robot,backend,t,tracking_error,velocity_error,torque_ratio,solve_time_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,u_cmd,effort
ur,tetrapga,0.00004093,2.217730348,1.75420158,1,42.36241,51.157194,5.29530125,1,0,0,0.255857635,85.136209848,1.2,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,1.7746315151212245e-05 -0.00052123965975223727 0.00096103130351844063 -0.0047207207629675566 -5.0894163509546307e-05 2.5309156429011715e-06,0.0058932346926633874 -0.15940098761517191 0.28385649995732054 -1.5597448346859915 -0.014029553252741224 0.00069506342484935925,6.1628950540342631e-07 -1.5707933207804647 5.5324497840918632e-06 -1.5707898674306631 6.4031449341576789e-06 6.0621854470375469e-06,0.015063512619931076 0.073448026149040932 0.13517331964416224 0.1578178714770016 0.15644251042152044 0.14811068395419461,0.00013105900246108011 -1.5701975975313143 0.0010943192305270762 -1.5695227157559775 0.0012597148793262265 0.0011903518790640313,0.017547075482229564 0.07548168328783933 0.13702108658490916 0.15896715189530281 0.15688236870386407 0.14795963869634793,0 0 0 0 0 0,-1.3677846032707155 -330 -70.207317193278215 -56 2.3291758144145129 -0.1163604569066502
ur,tetrapga,0.051258849,2.209033163,1.762221097,1,41.915542,49.714633,5.23944275,1,0,0,0.313868837,84.27237249,1.2,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,1.7746315151212245e-05 -0.00052123965975223727 0.00096103130351844063 -0.0047207207629675566 -5.0894163509546307e-05 2.5309156429011715e-06,0.0058932346926633874 -0.15940098761517191 0.28385649995732054 -1.5597448346859915 -0.014029553252741224 0.00069506342484935925,0.0011791223364717928 -1.5666998662472256 0.0072280457552450885 -1.5625230229532172 0.0080862582378964012 0.0075638481827059231,0.030949181050154862 0.086348837410561444 0.14676111627609931 0.16487251679607148 0.158940688715418 0.14692624537497628,0.00028136784555935195 -1.5695856316790229 0.0021978330320931981 -1.5682464394410853 0.0025164721324316647 0.0023733828134497371,0.020030018971918494 0.077508653753588619 0.13885505241236407 0.16009901707474616 0.15730388512117688 0.14779599678509284,0 0 0 0 0 0,-1.3677846032707155 -330 -70.207317193278215 -56 2.3291758144145129 -0.1163604569066502
ur,tetrapga,0.101060304,1.837561008,9.671888126,1,35.313198,43.250062,4.41414975,1,0,0,7.734539146,61.408850524,1.2,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0010013074746763571 -0.028008265116773647 0.016796240492713683 -0.54285906076368784 -0.00026661422434031844 7.6097696533337138e-05,-0.0044748180557087078 -0.70134023859854344 0.15780397386738043 -9.465735252945354 0.028522873993800303 0.010276008531839038,0.0031039490958514994 -1.562093214041443 0.014805730744091389 -1.5541558882504174 0.016047120997333762 0.014842077861879313,0.046338209358200662 0.098601134431798687 0.15745837168154139 0.17103022150209257 0.16064356130373519 0.14528327636146987,0.00045153723543624055 -1.5689574772727757 0.0033159629082873347 -1.5669611781531376 0.0037765280517060738 0.0035550542796524689,0.022512185996592455 0.079528798663313069 0.14067508295625217 0.16121338091211382 0.15770703050052348 0.14761977440758003,0 0 0 0 0 0,-4.2559918960290926 -330 -121.90044010260594 56 0.36158802281544178 0.087945650241826545
ur,tetrapga,0.144427652,1.626947992,7.151630213,1,34.098223,41.314872,4.262277875,1,0,0,3.806902904,48.457698146,1.2,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00044316704858369469 -0.06744205657759797 0.023050362001195028 -0.89437453319163596 0.00015073774520623091 0.00045582830852543841,-0.019222967586709234 -1.1648922427536201 0.11718631619565764 -6.857816740690537 0.0070788155901655965 0.0073390436220007998,0.0054027550354658876 -1.5575905147057223 0.021827481333826646 -1.5466330586648869 0.023035216143999684 0.021104444763654931,0.059663271628271897 0.10901046415917334 0.16629166729593012 0.17581422491534957 0.16153971728875485 0.14346211704942577,0.00064156033208035432 -1.568313189471199 0.00444859684320917 -1.5656670722431405 0.0050397355568185488 0.0047352657010546109,0.024993419488172117 0.081541979540961707 0.14248104496190792 0.16231015854767628 0.1580917770685234 0.14743098846001723,0 0 0 0 0 0,6.9441920545528149 -330 -117.94410489710016 38.193490649266096 0.77406051204998239 0.0013837070635043247
ur,tetrapga,0.185820483,1.490310279,5.070972143,1,35.578144,42.952397,4.447268,1,0,0,1.959264557,39.127803143,1.2,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.00034398531201756369 -0.12409014331739748 0.027157309315334052 -1.1173611232814824 0.00075489562814206376 0.0010835733673257555,-0.019289040996410229 -1.6398736520888102 0.083212371651022535 -4.5705521827667166 0.011785821497869095 0.013025031003105529,0.0081340941618366532 -1.5528768693727495 0.028877713718887678 -1.5392699726031396 0.029730651992154109 0.027000959366015917,0.072291864277654785 0.11869967712855925 0.1742857117789777 0.17986781667450458 0.16188406748815248 0.14138878471917182,0.00085142903906034113 -1.5676528245390735 0.0055956217586105852 -1.5643642627359864 0.0063059473508554533 0.0059139166390411975,0.027473562411114993 0.083548058325250044 0.14427280609839532 0.16338926637069948 0.15845809845317066 0.14722965654669304,0 0 0 0 0 0,11.353248346243598 -330 -116.55042277070484 22.218538078466736 1.1522033707454797 -0.025800962998340893
ur,tetrapga,0.228908672,1.369395993,3.89776188,1,34.073425,41.280312,4.259178125,1,0,0,1.707224215,30.699164445,1.2,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.001105110339121765 -0.20387996761122673 0.030267279855919812 -1.2718380943051288 0.0015481217497136457 0.0019130794587011409,-0.017591923313514557 -2.1305251374700998 0.059387227736791538 -2.9830527324844804 0.015591992627471506 0.016633293918346184,0.011530190946344514 -1.5475499039402743 0.036558257286350274 -1.5314385470326977 0.036704178874531652 0.033040503051746675,0.085321039059671949 0.12851066560860896 0.18213623645375079 0.18354629516977436 0.16171200953925391 0.13888734213563608,0.0010811340038180215 -1.5669764398439854 0.0067569235213178012 -1.5630528913204382 0.0075750159315383925 0.0070909067986605302,0.029952457770624892 0.085546897377479503 0.14605023496657479 0.16445062202487379 0.15880596968555985 0.14701579697896469,0 0 0 0 0 0,14.758284868540645 -330 -115.18418956291131 11.532221652339103 1.3315001147831751 -0.043481701908655523
ur,tetrapga,0.27026165,1.254250875,3.493158301,1,34.319313,41.945089,4.289914125,1,0,0,2.092608415,23.394782551,1.2,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0018119065948769919 -0.29879416807525983 0.032497919821449429 -1.3686150271389059 0.002462289520757921 0.0028424160247493982,-0.018528221295963706 -2.5867877232305805 0.04461992135166086 -1.9839977404545577 0.018715448808023324 0.019200917744298766,0.015314738619946438 -1.5420457660900095 0.044237856203961999 -1.5237844694095981 0.043379243732976934 0.038728647597975466,0.097691561791848625 0.13764455596032343 0.18920317642786738 0.18654976417917252 0.16103873299077209 0.13616216029691239,0.0013306646180271916 -1.5662840938529139 0.0079323869507178322 -1.5617331003390751 0.008846793602455591 0.0082661360342765697,0.032429948620859683 0.087538359489334291 0.14781320110711552 0.16549414441366397 0.1591353672015168 0.14678942877421097,0 0 0 0 0 0,19.140005885708735 -330 -113.8592395679554 4.9743491805993472 1.4077404914384299 -0.0554969924344757
ur,tetrapga,0.312277241,1.129386348,3.532577925,1,34.171729,41.754229,4.271466125,1,0,0,2.706787035,16.772506784,1.2,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0026123107294579442 -0.41180705742398499 0.034234708770649748 -1.4328568807007669 0.0034662476851119437 0.0038387391311818717,-0.021928269322598067 -3.0372917418920604 0.034990774354211676 -1.3164853966267418 0.021167962538695715 0.021065973410555983,0.019680653102471045 -1.5360728164513717 0.052329747116323107 -1.5158917095164213 0.050122128869436601 0.044385807392245472,0.11010388967180912 0.14662410901141312 0.19589949862231745 0.18906603970098135 0.15984677299878583 0.13307311095049423,0.0016000090180180793 -1.5655758461287572 0.0091218958263088266 -1.5604050327781909 0.010121132484305961 0.0094395043552127911,0.034905878073137005 0.089522307890655239 0.14956157500845343 0.16651975370558073 0.15944626884313559 0.14655057165474941,0 0 0 0 0 0,25.141395003942993 -330 -112.55100093624269 0.66246986742225999 1.4430529256662936 -0.064019594006438751
ur,tetrapga,0.354114441,0.983494049,3.824586159,1,34.187125,41.796454,4.273390625,1,0,0,3.500463791,10.896986495,1.2,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0036283688100996617 -0.54988522804825246 0.035720164144898245 -1.4770520654373684 0.0045980418894875988 0.0049389826661603497,-0.026686454752414077 -3.5128106331308144 0.028033292150904738 -0.8531389015483154 0.022451408828760233 0.021855255210974357,0.024542565810053686 -1.5297569543163421 0.060656445126617158 -1.5079387431694113 0.056776014965669593 0.049883366265768926,0.12228521924649405 0.15524719873270071 0.20206881627927931 0.19102977908720969 0.15815407929663675 0.12968222232882104,0.0018891540852674395 -1.5648517573267964 0.010325332895313849 -1.5590688322576542 0.011397884526155085 0.010610911931387249,0.037380089304137464 0.091498606257190335 0.15129522811469392 0.16752737133937246 0.15973865386022068 0.14629924604671884,0 0 0 0 0 0,32.832155311848318 -330 -111.245738651477 -2.2963161248244432 1.4615952343073637 -0.068465156693200413
ur,tetrapga,0.396035384,0.82771688,4.221001837,1,34.025664,41.29865,4.253208,1,0,0,4.443630258,6.693249101,1.2,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0047697269157722872 -0.70020833843025088 0.036947858498175334 -1.504421618871028 0.0057460838636549426 0.0060366948025730085,-0.030521142658301862 -3.9789177934319779 0.024267639583358949 -0.56107139302024922 0.023656217785193365 0.022649337358107435,0.02992126005710399 -1.5230735677881582 0.069248008696843846 -1.4998988972813136 0.06336165269991953 0.055243143217786221,0.13429095981814276 0.16355216843347775 0.20773830821977352 0.19245042942449386 0.15595571332381133 0.12597557460953379,0.0021980854469542564 -1.5641118891910974 0.011542579880357654 -1.5577246430207254 0.012676901516702338 0.01178025909893857,0.039852425564104954 0.093467118718321265 0.15301403283345921 0.16851692002913801 0.16001250291163446 0.14603547307892617,0 0 0 0 0 0,40.810847344326291 -330 -110.10535308371422 -4.1448569037565903 1.468410331707485 -0.072314991907845183
ur,tetrapga,0.437417489,0.654983458,4.684475809,1,28.632615,36.235347,3.579076875,1,0,0,5.535729267,4.50805037,1.2,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0060141380855513417 -0.86964080819883605 0.038045438212063638 -1.5222889146065077 0.0069174117078807358 0.0071436386831680498,-0.03155579778213416 -4.4694706590034992 0.02222667200678962 -0.36568355087726268 0.024678495576597546 0.023329402550669173,0.035720008457583961 -1.516141736898025 0.077951588344107509 -1.4919152050814033 0.069762087490078326 0.060375433686125947,0.14592530161942663 0.17140526482476309 0.21282010514546831 0.19331220797022677 0.15329735190430438 0.12201980784823815,0.0025267874765810463 -1.563356304550851 0.01277351748720605 -1.5563726099238344 0.01395803509555844 0.012947446365842554,0.042322730185043816 0.09542770986476598 0.15471786254367989 0.16948832376935907 0.16026779806654973 0.14575927458165827,0 0 0 0 0 0,48.164028235258371 -330 -109.06481960821759 -5.371824941156774 1.4701293110494085 -0.075530867217050712
ur,tetrapga,0.473718655,0.485767111,5.085069238,0.645587978,34.045299,41.447739,4.255662375,1,0,0,5.637873753,4.815561638,1.2,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0070419704215151351 -1.0392639812383473 0.038672040760298003 -1.5328570503617787 0.0080272503993810522 0.00817613839800551,-0.017571718665168275 -4.8740795231803267 -0.071411690708272663 -0.25085230640927531 0.028455479418737543 0.024756007504750682,0.041199565436277202 -1.5097989819291802 0.085751544092006873 -1.484890830388863 0.075278576363890556 0.064738267277176506,0.15593758478034855 0.17799984329534624 0.21684812827491981 0.19362393686124177 0.15057055832974722 0.11831246108464988,-0.001832941509871149 -1.3175845402613788 0.023008227055907986 -1.542943866472301 0.013058159782387675 0.012255181236178506,0.05369817998896384 -2.0338118756068817 -0.33889745801391824 0.20910799413824929 0.2582480364566585 0.21160094009475117,-10.892557780444513 275.84135226169099 98.474422813823523 7.4361919077556928 -1.4137176887188132 0.014837880565654115,50.262993604277838 -213.04403279337566 -89.360868925795074 -4.9770311720021709 1.2548587793462715 -0.083132540979597991
