robot,backend,t,tracking_error,velocity_error,torque_ratio,solve_time_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,u_cmd,effort
ur,tetrapga,0.000064453,2.221430929,0.308568953,0,42.599748,56.794361,5.3249685,1,0,0,0.160959046,85.669144495,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0 0 0 0 0 0,0 0 0 0 0 0,9.7071441124751589e-07 -1.5707915929921015 8.712195920438856e-06 -1.5707861550408271 1.0083157634710415e-05 9.5461880596299852e-06,0.015070815980693937 0.073454015529591909 0.13517877287085514 0.15782127623586767 0.15644383062701869 0.14811025830475941,0.00013147184819742544 -1.570195821905463 0.0010975424412102094 -1.5695189763322188 0.0012634052381793536 0.0011938323282031196,0.017554377252098623 0.075487653211039021 0.13702649942871653 0.15897050557426096 0.1568836350215288 0.14795917598499239,0 0 0 0 0 0,0 0 0 0 0 0
ur,tetrapga,0.05691774,2.211736899,0.324001259,0,42.085753,49.858977,5.260719125,1,0,0,0.231793519,84.697013483,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0 0 0 0 0 0,0 0 0 0 0 0,0.0013592185250540503 -1.5662072438473202 0.0080620753784728331 -1.5615879437385114 0.0089863404345765265 0.0083948312742596776,0.032701392602077377 0.087756171805247529 0.14800553942012779 0.16560742796170963 0.15917034529180366 0.14676385876190559,0.00028183909755126349 -1.569583808372979 0.0022010993826748738 -1.5682426733930659 0.0025201724059806421 0.002376859412804791,0.020037318688955516 0.077514603810480157 0.13886042447744074 0.16010231941880324 0.157305097463179 0.14779549705837294,0 0 0 0 0 0,0 0 0 0 0 0
ur,tetrapga,0.106853642,1.824459659,10.263772077,1,36.189193,43.811958,4.523649125,1,0,0,8.922028026,58.856339117,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00086480749474245749 -0.037209559012220443 0.016821791481493525 -0.55087098357164133 -0.00023966275089962069 7.4952225769707735e-05,-0.0059784344140670874 -0.9817197126927717 0.19534318218905053 -10.03268693121097 0.0083789784263535588 0.011435792014746628,0.0033775724993929074 -1.5615179121446565 0.015721438937965196 -1.5531631054602779 0.016978226644951525 0.015683112061044779,0.048122970272445928 0.10000622785414996 0.15866484024489497 0.17170073624255633 0.16079493882215265 0.14506093309614981,0.00045206687541349933 -1.5689556064471015 0.0033192720709632525 -1.5669573858925443 0.0037802378078079907 0.003558526733293751,0.022519483198918701 0.079534728446124567 0.14068041384943333 0.16121663166992489 0.15770818878314641 0.14761923771413804,0 0 0 0 0 0,-0.23728100041603672 -330 -111.16382725372203 -56 -2.1474374302913022 0.22700716279136435
ur,tetrapga,0.150778183,1.603926194,7.68108969,1,36.172463,43.801592,4.521557875,1,0,0,4.478942148,44.596311022,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00019077256153290841 -0.092100741008749917 0.023108155998639336 -0.89290908468798036 0.0001521688200815509 0.00045746961891920105,-0.019225668982238545 -1.6072751031058334 0.14548884293780631 -7.3066038148170946 -0.0016337907455322809 0.0079180523126264786,0.0057878215207618133 -1.5568934661525275 0.022887510753309057 -1.5455144600361195 0.024061356078680422 0.022014566598670002,0.061607018375099479 0.11051308016243827 0.16754626917598642 0.17646887738546721 0.16162498047033008 0.14316517824093,0.00064214833807802992 -1.5683112712897143 0.0044519484870405137 -1.5656632541836566 0.0050434543626772287 0.004738733713449861,0.025000713713992491 0.081547888643129424 0.14248633429273294 0.16231335747156084 0.15809288121216844 0.14743041485057892,0 0 0 0 0 0,8.8768775846236192 -330 -122.00435032859122 -56 1.8980167370073611 -0.07395209938674796
ur,tetrapga,0.194660712,1.432430442,5.194267985,1,36.174726,43.998572,4.52184075,1,0,0,2.032215929,33.15292857,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.00076383420977250603 -0.1787279572957412 0.027499579236936137 -1.131812982397965 0.00082352285537482092 0.0011556897878182587,-0.022423606384947295 -2.2941088579213353 0.083505004017814424 -4.4124802851953158 0.021383745974811946 0.021901594540283155,0.0087850364232398802 -1.5518185271942753 0.030425749159781416 -1.5376763467159376 0.031161799961952771 0.028248736471966192,0.074975475494676078 0.1207360706878884 0.17593609661269227 0.1806678079911837 0.16189288144476788 0.14090396188473392,0.00085207538541955726 -1.5676508591688456 0.0055990155495457489 -1.5643604192932616 0.0063096747730544212 0.0059173799150722822,0.027480853198742168 0.083553946341441296 0.14427805347913172 0.16339241321665773 0.1584591483823623 0.14722904607406467,0 0 0 0 0 0,15.350169674164462 -330 -111.86611992803914 25.737637035325861 3.6891245219451383 2.3348784033391015
ur,tetrapga,0.238774894,1.282364373,4.346463407,1,36.070811,43.592788,4.508851375,1,0,0,2.020864898,24.009856473,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0017442610964942074 -0.28923950511189966 0.03039854339811154 -1.2812898676823545 0.0016169181644468858 0.0019811712723865303,-0.024987311922537295 -2.933725960942215 0.053644932451915719 -2.887292025623259 0.015090967267220019 0.015991398438374663,0.012386616094557854 -1.5462710987800818 0.038363800873680277 -1.5296238467890517 0.038299119085749879 0.034407745268869687,0.088285205558895546 0.13071563684140741 0.18386446077911162 0.18431002202869745 0.16159653188946593 0.13826583193289493,0.0010818386611869152 -1.5669744274553192 0.0067603591222143086 -1.5630490229120599 0.007578751536073877 0.0070943650436400829,0.02995974465850345 0.0855527639036157 0.14605544001224161 0.16445371655260221 0.15880696532895061 0.14701514969803009,0 0 0 0 0 0,20.798124022034042 -330 -113.65597870884503 11.091272808069334 1.3030931253062512 -0.044350234833263613
ur,tetrapga,0.28243279,1.124727885,4.251866041,1,36.209126,43.800635,4.52614075,1,0,0,2.649780469,16.390376062,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0028909581457599014 -0.42643584982922578 0.032485356589839962 -1.3787156101028399 0.0025531473329511276 0.0029262973083538997,-0.030182964212211325 -3.5640178579306707 0.038186056410856269 -1.8819269722982062 0.018095475660906604 0.018395401643077808,0.016525755950558482 -1.540354424625721 0.046552830247944883 -1.5215091247367611 0.04533753083526277 0.040380678688432953,0.10130436612568372 0.14027771846115472 0.19119378822593533 0.1873344680810686 0.16074600575845976 0.13530028019360504,0.0013314275533620643 -1.5662820346193418 0.0079358640213644475 -1.5617292073845377 0.0088505369547695716 0.0082695889539645909,0.03243723114759027 0.087544204122613767 0.147818363435507 0.1654971863865711 0.159136308491892 0.14678874474192832,0 0 0 0 0 0,29.05510457288166 -330 -111.58137272450472 4.5980024612454145 1.3584218615930315 -0.055203670057302645
ur,tetrapga,0.326307024,0.940836191,4.59558735,1,36.228962,44.136101,4.52862025,1,0,0,3.579969977,10.472562848,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0043555735897990062 -0.59847996924785973 0.034123056335277957 -1.4444407711285221 0.0036559409355077471 0.0040100875909325987,-0.036443941946187323 -4.2256949530678538 0.033575280109708457 -1.1884538711670709 0.029999981011285412 0.028885289570182229,0.021254212493172043 -1.5339951307695858 0.055093146573578881 -1.513234038828273 0.052361222176480149 0.046245102356403847,0.11420970345351361 0.14955203797375266 0.19802444695099145 0.18978507645647194 0.15933521509473048 0.13197072786635772,0.0016008301945847432 -1.5655737402270291 0.0091254140234478445 -1.5604011156988669 0.010124883149319242 0.009442951655833233,0.034913155777500419 0.089528130229576147 0.14956669424016231 0.16652274289080249 0.15944715571741769 0.14654985093014813,0 0 0 0 0 0,40.461396756543216 -330 -105.44439827766041 4.843870945168419 3.9215358859744747 2.2927522434736662
ur,tetrapga,0.370513926,0.742213197,5.126902649,1,36.197612,44.127285,4.5247015,1,0,0,4.740720629,7.527551415,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0059656666032470379 -0.79002030348250385 0.035344849338373445 -1.4846515595275054 0.004755992179265125 0.0050717588404762511,-0.039951896283993468 -4.8669724199303186 0.021499787796036032 -0.77682876291023817 0.021262928211594083 0.020549701815535407,0.026586739605426353 -1.5271839338698232 0.063989069990412609 -1.5048007448858898 0.059363202478400483 0.05199856141290015,0.12700688404076721 0.15853699059810433 0.20434847152668051 0.19165096720234109 0.15735369756374776 0.12826864891146772,0.0018900334626427528 -1.5648496049368688 0.010328891872663575 -1.5590648914767642 0.011401642068300417 0.01061435331964458,0.037387361725118785 0.091504405901573396 0.15130030387313448 0.16753030750778736 0.15973948625947343 0.14629848869089609,0 0 0 0 0 0,49.280343986854483 -330 -107.65829378630556 -2.4042380527589557 1.39129849367853 -0.065921140999812167
ur,tetrapga,0.414764401,0.520648858,5.612028869,0.3879012,36.226907,44.04829,4.528363375,1,0,0,5.979339699,8.061082367,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0074652034046110653 -1.0085382940049927 0.035469763614437773 -1.5105961821516938 0.0059310278736381125 0.0061696303122107058,-0.013890648548602145 -5.383157763000856 -0.16464398624108822 -0.51277796309345303 0.026792322968947527 0.021342037085294859,0.032486039209224812 -1.5199765957959672 0.073161045076003128 -1.4962900408200894 0.066271997445736378 0.057586208305260934,0.13958446014355916 0.16714978235820982 0.21010230821133846 0.19290716936793653 0.1548123358152878 0.12422135931187323,0.0021990229810278559 -1.5641096904961229 0.011546179288635078 -1.5577206789633078 0.012680665499957557 0.011783694282034282,0.039859692240917663 0.093472895269332348 0.15301906474489049 0.16851980295538202 0.16001328078106652 0.14603467915504345,0 0 0 0 0 0,49.132045705752489 -128.00739612614416 -56.109776792610127 -0.73027511681539181 0.74043079599305273 -0.071024794426477911
