robot,backend,t,tracking_error,velocity_error,torque_ratio,solve_time_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,u_cmd,effort
ur,tetrapga,0.000063588,2.220360685,0.875119584,1,43.763404,55.697031,5.4704255,1,0,0,0.182266747,85.470518909,1,5,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,1.0208003578187081e-05 -0.00022214007248402503 0.00045783842831749602 -0.0012918716422606854 -0.00015633969337520143 7.2248120595619302e-07,0.0051040017890935409 -0.11107003624201252 0.228919214158748 -0.64593582113034265 -0.078169846687600714 0.00036124060297809652,9.57678271577675e-07 -1.5707916565297297 8.5952663686333965e-06 -1.5707862915561768 9.9478337422135163e-06 9.418072679425946e-06,0.01507054741778131 0.073453795285975315 0.13517857234405728 0.15782115103695571 0.15644378208253878 0.14811027395889315,0.00013145666377723051 -1.5701958872021879 0.0010974239133742891 -1.5695191138416527 0.0012632695338551984 0.0011937043435085325,0.017554108747711218 0.075487433682939586 0.13702630038691982 0.15897038225369933 0.156883588458645 0.14795919300198396,0 0 0 0 0 0,0 -330 0 -56 0 0
ur,tetrapga,0.055818893,2.210861304,0.884803401,1,46.377772,54.550455,5.7972215,1,0,0,0.250610393,84.520204654,1,5,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,1.0208003578187081e-05 -0.00022214007248402503 0.00045783842831749602 -0.0012918716422606854 -0.00015633969337520143 7.2248120595619302e-07,0.0051040017890935409 -0.11107003624201252 0.228919214158748 -0.64593582113034265 -0.078169846687600714 0.00036124060297809652,0.0013234716010799121 -1.5663035244826853 0.0078995723611711959 -1.5617698429740832 0.0088114606499360183 0.0082335426334815345,0.032361207132959799 0.087483187950178398 0.14776446692726095 0.16546542316121832 0.15912647434693847 0.14679588013395825,0.00028182176538669301 -1.5695838754230167 0.0022009792684931375 -1.5682428118815195 0.0025200363370906161 0.0023767315696918865,0.020037050260079979 0.077514385012936227 0.13886022693520134 0.16010219798596845 0.15730505288512084 0.14779551543651032,0 0 0 0 0 0,0 -330 0 -56 0 0
ur,tetrapga,0.110468,1.839758474,10.564157912,1,39.691184,47.800506,4.961398,1,0,0,9.658169662,64.273116694,1,5,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.003095895284167316 -0.019464339935005095 0.020876344661693285 -0.54895945975466065 -0.0035304642845435164 0.00014118322994691724,0.013114121843725325 -0.3022406963075423 0.18967013515449388 -10.38277082133593 0.04662322116644084 0.010559549900323279,0.0035535173383584623 -1.5611548731364899 0.016296264288953175 -1.5525417692419932 0.017559560004796474 0.016207158350704149,0.049235774849676645 0.10088061933728135 0.15941344805398944 0.17211417454562944 0.16088443876907585 0.14491893657399491,0.0004520473961765877 -1.5689556752445473 0.0033191503824900556 -1.5669575253448789 0.0037801013902431131 0.0035583990426445917,0.02251921486253947 0.07953451039413087 0.14068021782120868 0.16121651213405938 0.15770814619299214 0.14761925745163237,0 0 0 0 0 0,-21.267963306046909 -330 -137.47968086251231 54.615864709911875 3.2593215710281576 -0.026048200162804847
ur,tetrapga,0.158413832,1.637651163,6.736352943,1,37.35029,45.539492,4.66878625,1,0,0,3.453376932,52.839032081,1,5,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.001936662458655133 -0.040081572904956571 0.027513361990149483 -0.92572939265316312 -0.0023388692203970885 0.00056705213288165605,-0.044088037527431574 -0.60827909624365639 0.12332603551928212 -6.5166362510852984 0.013983428652966857 0.017772856597922222,0.0062671448175556886 -1.5560427531232357 0.024172552587119162 -1.5441640493795348 0.025295810495269948 0.023106330779040968,0.063941255496614988 0.11231217535490441 0.16904136002130421 0.17724035261112336 0.16171193668039763 0.14279797042015299,0.00064212671257667553 -1.5683113418285439 0.0044518252364454721 -1.5656633945846601 0.0050433176123525396 0.0047386061861318923,0.025000445487090926 0.08154767135163625 0.14248613979288116 0.16231323984177232 0.15809284061284481 0.14743043594556476,0 0 0 0 0 0,11.693023074790084 -330 -130.7260072076061 33.743155153923908 7.0506447743041507 0.4539555693169488
ur,tetrapga,0.204029107,1.525018663,4.483211923,1,36.19426,43.956653,4.5242825,1,0,0,1.813196427,45.003914371,1,5,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-2.1716718351778378e-05 -0.074804874120424553 0.032003473769200111 -1.1547099026112337 -0.0022765219939546977 0.0012297265284853718,-0.040707585542444094 -0.95592972210382288 0.088420721371409758 -4.1629352791149961 0.0034617089428396596 0.02113847042931985,0.0095007359258963385 -1.5506773658721491 0.032082094409859548 -1.5359799068320954 0.032678423688376292 0.029566311486363506,0.077813735976264245 0.12288105764113803 0.1776628548943896 0.18149015182028053 0.16187736002913325 0.14037413282966238,0.00085205161459749404 -1.5676509314429155 0.0055988907491129449 -1.5643605606276489 0.0063095377059077702 0.0059172525619377199,0.027480585098295672 0.083553729825353723 0.14427786052191052 0.16339229750191842 0.15845910977664471 0.14722906852460016,0 0 0 0 0 0,20.370979010760895 -330 -129.26977973522818 18.555610046438233 13.41082440203828 2.3391923321883734
ur,tetrapga,0.248120869,1.439514141,3.188128819,1,36.162777,44.092437,4.520347125,1,0,0,1.744441132,38.23488696,1,5,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.001453088789068853 -0.12462814191323167 0.035321006866665734 -1.3009727457787221 -0.0022435329334119162 0.0020783754857875629,-0.025144986436363828 -1.290761285806479 0.066264012228244323 -2.6563691583966862 0.0074003595690772606 0.024533823260154148,0.013224820585737802 -1.5450397308046413 0.040089748851275142 -1.5278980156427495 0.039808782804322838 0.035697158005335947,0.091085906247081211 0.13278961240663717 0.18547732530146971 0.18500629105655667 0.16146102745097671 0.13766047076619511,0.0010818127461236773 -1.5669745014583667 0.0067602327843414804 -1.5630491651644753 0.0075786141680647011 0.0070942378755253005,0.029959476701484574 0.085552548177792606 0.14605524861180763 0.1644536027617485 0.15880692871946228 0.14701517350209686,0 0 0 0 0 0,20.833811283998333 -330 -129.16475121043806 7.4776706839556937 15.156210397582297 2.3205391662716366
ur,tetrapga,0.292286978,1.361188769,2.595548318,1,36.173422,43.828364,4.52167775,1,0,0,2.147048535,32.006268958,1,5,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.002234847022379141 -0.18549991827494586 0.037741057912427087 -1.3908858664569215 -0.001969143315232816 0.003011509023290801,-0.013858394791529914 -1.5915377110190285 0.052048359859654336 -1.7261112841724129 0.013938505718099639 0.027045531962776721,0.017538398230625182 -1.5389616767523704 0.04844470402077735 -1.5196601048320351 0.046920252665023393 0.041710432080318653,0.10421936827583278 0.14239069873880003 0.1927752365270366 0.18793651662368205 0.16047756914219408 0.13458272063744689,0.001331399495272944 -1.5662821103449853 0.0079357361585621795 -1.5617293505395555 0.0088503993018776966 0.0082694619816895097,0.032436963350965825 0.087543989201867164 0.14781817360591473 0.16549707452830287 0.15913627388110446 0.14678876989743175,0 0 0 0 0 0,20.191112687234835 -330 -128.63329715268799 1.0270017868078867 15.864038793847254 2.3064622156800407
ur,tetrapga,0.336196754,1.2776499,2.434484122,1,36.134305,43.824037,4.516788125,1,0,0,2.711810476,25.873999124,1,5,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0026858186322014292 -0.25867551919543103 0.039655530515833461 -1.4493063622622935 -0.001452612370941601 0.0040109403070761399,-0.0091946058262033468 -1.8758562366101053 0.036331278080065553 -1.1283479697084844 0.0093744374913201246 0.019347378145084301,0.022397974195136356 -1.5325059885465462 0.057058817352682929 -1.5113547655322563 0.053935076160710575 0.047546324597688164,0.11709146603986581 0.15159414898193943 0.19948844466336668 0.19025528621728163 0.15894057472322509 0.13117253160494019,0.0016007999948207407 -1.5655738176687692 0.0091252846483387412 -1.560401259740992 0.010124745227543652 0.0094428248902007142,0.034912888158230571 0.089527916128670171 0.14956650599536334 0.1665226329736825 0.15944712310765022 0.14654987743491746,0 0 0 0 0 0,19.995818011388522 -330 -131.9530005826675 -7.6190863953515873 13.638876298010128 -0.057959605966338756
ur,tetrapga,0.380095344,1.180919125,2.513830888,1,36.041157,43.678826,4.505144625,1,0,0,3.402931676,19.633277249,1,5,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0030865380524960264 -0.34807407955814279 0.041303138089321748 -1.4885124011777657 -0.00066642466717406826 0.0051275234789147405,-0.010049013863293843 -2.1718910491509731 0.035287219680124965 -0.70460142325151331 0.02421558846994204 0.029468047768877209,0.027816799918045684 -1.5256558180908364 0.065953245051704024 -1.5029628815179192 0.060868484559867604 0.053223508955503651,0.12975083452032921 0.16043488378271184 0.20564374686132281 0.19197501442769158 0.15685056872163239 0.12742101627705041,0.0018900011226905215 -1.5648496840880877 0.01032876099798145 -1.5590650363904335 0.011401503893658042 0.010614226771439817,0.037387094300156215 0.091504192635223566 0.15130011722697673 0.16753019954024084 0.15973945565289305 0.14629851654268455,0 0 0 0 0 0,24.26964601593242 -330 -127.01280963605325 -5.6943911184389435 16.313598898782061 2.2885634541215794
ur,tetrapga,0.423900127,1.077706782,2.714359446,1,36.111258,44.041055,4.51390725,1,0,0,4.208278486,13.893483996,1,5,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0035870759161715652 -0.44541798859412673 0.042645045657463548 -1.5123171474904302 0.00022733844897747569 0.0062087733653594006,-0.014332533592347579 -2.4489513350425871 0.025128167063366985 -0.45985120610411206 0.017194429437056836 0.020926570223271969,0.033772971800442593 -1.5184416505722607 0.075085593594589939 -1.4945268388547113 0.067683626802364172 0.058717063541098256,0.14214994431741793 0.16887872358009018 0.21121709289548662 0.19308995358735573 0.15421870830265541 0.12334395482172503,0.0021989885025096366 -1.5641097713500853 0.0115460469272241 -1.5577208247328915 0.012680527088482052 0.011783567962024184,0.039859425027206637 0.093472682852204766 0.15301887971111716 0.16851969694569593 0.16001325217968787 0.14603470835152829,0 0 0 0 0 0,28.320854057523444 -330 -130.31860902434912 -11.937607328115519 13.80545786425464 -0.065185006272280077
