robot,backend,t,tracking_error,velocity_error,torque_ratio,solve_time_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,u_cmd,effort
ur,tetrapga,0.000040143,2.218405786,1.442765839,1,40.068805,52.49296,5.008600625,1,0,0,0.22409272,108.198114524,1,5,5,1,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,3.1459000554486712e-05 -0.00055522468398998791 0.0011137110052874492 -0.0037306426115313509 -0.00036614745171836675 1.579735402230668e-06,0.010625498488149816 -0.16654230575298146 0.32793628848497652 -1.2193854846353329 -0.10490387917158267 0.00042862709813723749,6.0443461712161729e-07 -1.5707933785839825 5.4260684533254066e-06 -1.570789991633283 6.280024695837749e-06 5.9456223331625769e-06,0.015063268274118627 0.073447825763651539 0.13517313719560309 0.1578177575626985 0.15644246624917382 0.1481106981930996,0.00013104519300880476 -1.5701976569353204 0.0010942113950031954 -1.5695228408630817 0.0012595914129187287 0.0011902354348222862,0.017546831189619562 0.075481483553406267 0.1370209054874045 0.15896703968994755 0.15688232633441748 0.14795965417522169,0 0 0 0 0 0,-2.3427368211939354 -330 -81.724159454673043 -56 15.946648724270545 -0.07369308300753169
ur,tetrapga,0.052592485,2.209473245,1.450867133,1,39.632844,47.265604,4.9541055,1,0,0,0.285000615,107.01651731,1,5,5,1,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,3.1459000554486712e-05 -0.00055522468398998791 0.0011137110052874492 -0.0037306426115313509 -0.00036614745171836675 1.579735402230668e-06,0.010625498488149816 -0.16654230575298146 0.32793628848497652 -1.2193854846353329 -0.10490387917158267 0.00042862709813723749,0.0012206726878947491 -1.5665844869195311 0.0074239677060923106 -1.5623030269456457 0.0082982639653701191 0.0077597692079735487,0.031362194542230715 0.086680841910265177 0.14705504643085013 0.16504652014132387 0.15899564531141289 0.14688853866437299,0.00028135208203052307 -1.5695856926782552 0.002197723753237674 -1.5682465654389681 0.002516348334290036 0.002373266497993689,0.020029774747965821 0.077508454683794276 0.13885487267915775 0.16009890658687018 0.15730384455756899 0.14779601350237789,0 0 0 0 0 0,-2.3427368211939354 -330 -81.724159454673043 -56 15.946648724270545 -0.07369308300753169
ur,tetrapga,0.099934956,1.890527466,11.3936101,1,39.718608,46.993721,4.964826,1,0,0,11.525359796,89.961100435,1,5,5,1,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0029438363923888784 -0.017131605563159662 0.019381244289741605 -0.46521424292990193 -0.0040312462617281691 5.453853794607504e-05,0.034823793821032512 -0.26871612465847722 0.20131746363981429 -11.215287650347747 0.041153641913324018 0.010986021061756002,0.0030519976367335768 -1.5622040207872803 0.014628667642034455 -1.554348282887648 0.015866358234265715 0.014678559715665422,0.045991371545229247 0.098327692028093508 0.15722308450031369 0.17089885858660786 0.16061302521859841 0.14532571439635819,0.00045151951844193023 -1.5689575398618623 0.0033158521970672312 -1.5669613050280256 0.0037764039362883197 0.0035549381028829449,0.022511941856750026 0.079528600271800129 0.14067490460049828 0.1612132721501264 0.15770699174555541 0.14761979236164907,0 0 0 0 0 0,-30.238148579858599 -330 -129.95300866226506 17.306041035833914 6.874543599666616 0.43136767144434063
ur,tetrapga,0.147049154,1.67167837,7.421886593,1,39.642807,46.865981,4.955350875,1,0,0,4.255147181,76.217381201,1,5,5,1,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0023613746354351518 -0.034336091370448872 0.026301449724372761 -0.85773855088703599 -0.0024139125507348512 0.00047406682837278355,-0.039331918067882929 -0.53073167271528732 0.13201619423665961 -7.2149347102975057 0.020342255958977502 0.016720030278066428,0.0055602145538874281 -1.5573039294058924 0.022264096087109414 -1.5461718047897304 0.023458741274323805 0.021480371832536344,0.060465906743420395 0.1096314353004231 0.16681078960923765 0.17608589648085193 0.16157633822898401 0.14334047339459127,0.00064154066235524684 -1.5683132536446591 0.0044484847106964201 -1.5656671999811933 0.0050396111386045318 0.0047351496728591418,0.024993175447890023 0.081541781841332511 0.14248086799667006 0.16231005151986416 0.15809174012485838 0.14743100764917327,0 0 0 0 0 0,7.3920059622847498 -330 -128.48505581449459 43.427713957673404 7.5534299813765884 2.3666795107801391
ur,tetrapga,0.193988401,1.542736096,4.809082088,1,34.029358,41.296405,4.25366975,1,0,0,1.93033157,64.513509933,1,5,5,1,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00031790267232762202 -0.067398314864289155 0.031395722525366238 -1.120196407716199 -0.0021397850500375704 0.001214151134799309,-0.042805729570855905 -0.89463524275641504 0.097199139677867433 -4.5139257301898104 0.0066723513178494316 0.023201919625885421,0.0087346981307615465 -1.5518996474667277 0.030307507332446061 -1.5377977915013095 0.031052957545826061 0.028153992615387903,0.074771563581920081 0.12058161881699091 0.17581129629903136 0.1806077856519562 0.16189301152718336 0.14094135022545584,0.00085140741746270805 -1.567652890291318 0.0055955082159812701 -1.5643643913232976 0.0063058226443457946 0.0059138007692934591,0.027473318485839747 0.083547861331065731 0.14427263053664588 0.1633891610852263 0.1584580633233342 0.14722967696916942,0 0 0 0 0 0,19.723036047168712 -330 -131.27733026017097 17.514123120762633 10.776809540842788 0.42942031920159884
ur,tetrapga,0.235411384,1.461888615,3.471551812,1,34.159116,41.496736,4.2698895,1,0,0,1.676159059,55.28790628,1,5,5,1,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0011146980647347966 -0.10965581386117085 0.034659465516479949 -1.2671827564099647 -0.0021079200344814451 0.0019872737700284793,-0.029126616812952744 -1.199503217704234 0.067127539063185707 -3.0120434964187259 -0.0029204624713196708 0.015876964765404747,0.012091365671894389 -1.54670950147293 0.037746355961297474 -1.5302433440454255 0.037755515053824698 0.033942326431858343,0.087275545575560276 0.12996571914340138 0.18327823095444526 0.18405296579675967 0.16163908173579472 0.13847974012365047,0.0010811104313296891 -1.5669765071693165 0.0067568085798514095 -1.5630530207430371 0.0075748909512533581 0.0070907910972197868,0.029952213975798586 0.085546701102259218 0.14605006082119412 0.16445051848977948 0.15880593637193907 0.14701581863292532,0 0 0 0 0 0,20.205423094008012 -330 -133.20945228182771 5.4258927951759688 12.28996288710146 -0.040827422035795813
ur,tetrapga,0.276987202,1.387616582,2.74241832,1,34.167799,41.756343,4.270974875,1,0,0,1.985073333,46.424820547,1,5,5,1,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0019995658606954416 -0.16389404553599168 0.037180409386177254 -1.3648934141396707 -0.0018916177527985066 0.0028757781982413641,-0.016694468725226969 -1.4911926969287606 0.052172488762042057 -2.0020567640381013 0.0034119386514334122 0.018855966526941052,0.01597848954446186 -1.5411151224695461 0.04551407508774228 -1.5225283345126492 0.04446179935626101 0.039642827595058397,0.09968960083351408 0.1391027648268478 0.19030823417951268 0.18698898482577345 0.1608822848919774 0.13568924091774934,0.0013306390957535026 -1.5662841627455257 0.0079322706217965257 -1.5617332305829268 0.0088466683629339956 0.0082660205109871196,0.032429704971919181 0.08753816394655449 0.14781302839089097 0.16549404263686426 0.15913533570636068 0.14678945165775026,0 0 0 0 0 0,19.457776690236642 -330 -132.8508817252438 -1.7122635833729873 13.15071141543196 -0.053468698556280003
ur,tetrapga,0.318816374,1.306655618,2.453983201,1,34.250869,41.653522,4.281358625,1,0,0,2.470779518,37.428313115,1,5,5,1,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0025205811419058283 -0.23304794626924574 0.039284420802630948 -1.4323142176707342 -0.0014030705155525685 0.0039016526774217743,-0.0097825482538701474 -1.7819651316724172 0.040740789490239508 -1.3015247518180093 0.0092346869159273762 0.020419023493709089,0.020406904667251757 -1.5351095410911773 0.053614027726836225 -1.5146542538063719 0.051166638393332804 0.045254328742862462,0.11202010542026343 0.14799327005336138 0.19689690792801093 0.18940875365925422 0.15961539649950734 0.13256368603047669,0.0015999815471878487 -1.5655759165827368 0.0091217781214166915 -1.5604051638291978 0.010121007000104059 0.0094393890199034099,0.034905634585513164 0.08952211309374887 0.14956140373407886 0.1665196536948666 0.15944623916855477 0.14655059576589266,0 0 0 0 0 0,19.553198040212511 -330 -132.20790001158403 -6.4685934092631214 13.557177450812027 -0.060671081371292956
ur,tetrapga,0.360547021,1.221882102,2.460742595,1,34.100409,41.30863,4.262551125,1,0,0,3.080073082,29.125686227,1,5,5,1,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0028690640368639856 -0.31006953107970953 0.040946759443282597 -1.4742926849561342 -0.00070248797864046577 0.0049531299781734881,-0.0087832431836606939 -2.0503701357955313 0.033643543191053185 -0.86049775506852333 0.014118314897848067 0.021700939965908529,0.025335146479710562 -1.5287541398720972 0.061959181591098249 -1.5067091060732516 0.057792379795212054 0.050715796194224366,0.12414098061601228 0.15654377490434301 0.20297238972314824 0.19128343892369015 0.15784929317665911 0.12913337906893022,0.0018891246672329001 -1.5648518293361233 0.010325213826036147 -1.5590689641016569 0.011397758811845458 0.010610796793870642,0.037379845993254279 0.091498412219546105 0.15129505829476875 0.16752727310240978 0.1597386260081872 0.146299271383422,0 0 0 0 0 0,21.605319551137391 -330 -131.48091660522923 -9.3754152437804805 13.724485435469294 -0.066136330118576225
ur,tetrapga,0.401974279,1.128154827,2.610276363,1,34.015252,41.486141,4.2519065,1,0,0,3.792412063,21.334875806,1,5,5,1,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0032650393704603256 -0.39774661193474453 0.042362826576528248 -1.5019185484665394 0.00015140259138571755 0.006029735457982288,-0.011599942062511007 -2.3162230729982309 0.029046420534067363 -0.56574165998900527 0.018000432701468425 0.022707502966788785,0.030723801016261272 -1.5220988348238269 0.070484009702404718 -1.4987554834273207 0.06428681752303049 0.055989669489341122,0.13597438237875914 0.16470063172936153 0.20849931924617213 0.19260718682209835 0.15560388884200732 0.12542582952192463,0.0021980540831910049 -1.5641119627496438 0.011542459458380063 -1.5577247756435035 0.012676775586872791 0.011780144169010806,0.03985218244537881 0.093466925453282917 0.15301386448048773 0.16851682357346692 0.16001247688398165 0.14603549963907617,0 0 0 0 0 0,25.685978622296052 -330 -130.71484958020983 -11.270425312986845 13.787450725123099 -0.070281559290872764
