robot,backend,t,tracking_error,velocity_error,torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,solver_dam_calc_ms,solver_dam_calcdiff_ms,solver_dynamics_calc_ms,solver_dynamics_calcdiff_ms,solver_cost_sum_calc_ms,solver_cost_sum_calcdiff_ms,solver_cost_item_total_ms,solver_state_cost_total_ms,solver_control_cost_total_ms,solver_velocity_cost_total_ms,solver_collision_cost_total_ms,solver_collision_residual_total_ms,solver_model_total_ms,solver_overhead_ms,solver_dam_calc_calls,solver_dam_calcdiff_calls,initial_dam_calc_ms,initial_cost_sum_calc_ms,initial_model_total_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,u_cmd,effort
ur,tetrapga,0.000039531,0.000012198,0.308562196,0,14.777182,0.039344,1.229682,0.006767,2.798506,0.068439,19.077039,0.064679,5.908684,8.619574,5.876718,8.518523,0.021778,0.0329,0.023561,0.008828,0.007109,0.007624,0,0,14.528258,0.248924,42,21,2.786868,0.011708,2.786868,19.194748,0.7388591,1,0,0,0.00761685,0.031151588,1,5,5,1,0.02 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,2.0790351884357517e-20 -1.5707963267948966 -2.8693129785357592e-21 -1.5707963267948966 -6.0152418181931687e-21 5.1656248008516922e-23,1.0395175942178758e-17 5.9886398953534166e-18 -1.4346564892678796e-18 1.6795902898920809e-18 -3.0076209090965845e-18 2.5828124004258459e-20,5.9521595508160484e-07 -1.5707934235340042 5.3433425367765965e-06 -1.5707900882177237 6.1842819170043959e-06 5.8549785824801782e-06,0.015063078261870028 0.073447669936595919 0.13517299531683544 0.15781766897865185 0.15644243189901816 0.14811070926570882,0.00036394061208258968 -1.5692736844723507 0.0027548824033145529 -1.5676051479236708 0.0031458765928096349 0.0029641881237285621,0.021270775289687679 0.078519234793380882 0.13976649966569918 0.16065819711886906 0.15750768545872437 0.14770948793203206,0 0 0 0 0 0,0 0 0 0 0 0
ur,tetrapga,0.020001775,0.006225681,0.313980526,0,14.283379,0.037254,0.823115,0.01033,2.74349,0.026558,18.045103,0.030433,5.460224,8.604575,5.435397,8.512595,0.015646,0.024595,0.015702,0.005803,0.004835,0.005064,0,0,14.064799,0.21858,42,21,2.73995,0.009405,2.73995,18.126635,0.71416895,1,0,0,0.016604431,0.028317148,1,5,5,1,0.02 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,2.9350898205888969e-19 -1.5707963267948966 -5.0635986855093291e-20 -1.5707963267948966 -4.8461928733831928e-20 -2.3481726509006053e-21,1.5398229371138085e-17 4.0972485469212001e-17 -2.7048581434133863e-18 1.1630974548187971e-17 -2.2253312840800354e-18 -1.5225165070057992e-19,0.00036313773383944703 -1.5692766488645937 0.0027496055415109633 -1.5676112136352742 0.0031399297685585459 0.0029586111886036118,0.02125906066130313 0.078509700609773594 0.13975790983785027 0.16065293765218824 0.15750578258871856 0.14771031946647473,0.00085139060384983856 -1.5676529414225622 0.0055954199211731576 -1.564364491317439 0.0063057256680194001 0.0059137106647262931,0.027473128800611014 0.083547708141130661 0.14427249401330908 0.16338907921127072 0.15845803600496433 0.14722969285035059,0 0 0 0 0 0,-7.073424976593557e-15 0 9.7944288946219947e-16 0 4.5270653674224649e-16 3.1211604636118272e-17
ur,tetrapga,0.040001762,0.0117959,0.272606528,0.023215576,19.034437,0.037777,0.954,0.014496,3.03773,0.024835,23.259261,0.033808,9.210219,9.565899,9.157413,9.455699,0.036195,0.034716,0.030782,0.010183,0.010405,0.010194,0,0,18.776118,0.258319,63,21,3.031575,0.011923,3.031575,23.34519,0.95172185,1,0,0,0.031380658,0.006798109,1,5,5,1,0.02 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,9.2718317627092016e-05 -1.570832757251414 0.00022420477301981795 -1.5703529309766975 0.00048450472906391207 0.00042343243462816457,0.0057247521908315707 -0.00053222079590858938 0.015754416451413844 0.026656123746512963 0.02899482456374684 0.025557114073094307,0.00085035319231491452 -1.5676560967574165 0.0055899710524584516 -1.5643706622641502 0.0062997408982980747 0.0059081499279502814,0.027461422542360895 0.083538254087478517 0.14426406844264786 0.16338402623665102 0.15845634986870891 0.14723067280051885,0.0013309545553213452 -1.5684387379398939 0.0054841770056658704 -1.563971705033236 0.0067728753190083252 0.006243480067099353,0.044493267900425869 0.041449446463355459 0.1298185632580188 0.17000064005425297 0.16909195395104293 0.15360264693994735,-2.1626897820354607 15.756035463467477 8.5312918313019104 1.0102154087944129 -0.7840246555815954 0.003165456740532016,-1.4005661345885996 7.5233187526255278 3.4823363600351653 0.30314417048793985 -0.49425747952507582 -0.029357173381406199
ur,tetrapga,0.063420651,0.019347694,0.279259813,0.023215576,14.294033,0.038043,0.973976,0.010671,2.766236,0.029241,18.227285,0.029323,5.47275,8.595326,5.44447,8.501725,0.01884,0.025803,0.016542,0.005482,0.005702,0.005358,0,0,14.068076,0.225957,42,21,2.762236,0.010621,2.762236,18.306941,0.71470165,1,0,0,0.05941774,0.010650111,1,5,5,1,0.02 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,9.2718317627092016e-05 -1.570832757251414 0.00022420477301981795 -1.5703529309766975 0.00048450472906391207 0.00042343243462816457,0.0057247521908315707 -0.00053222079590858938 0.015754416451413844 0.026656123746512963 0.02899482456374684 0.025557114073094307,0.001578417153661293 -1.5656313273157858 0.0090291677972876641 -1.5605082970268815 0.010022238577206903 0.009348596227222639,0.034713966624973405 0.089368754528629607 0.14942653985053372 0.16644087562673487 0.15942282504966673 0.14656953757157415,0.0014153946760795011 -1.5709360610668279 0.0026096647659161641 -1.5666382744890037 0.0042705949154114905 0.0037864478148402709,0.06613381792262045 -0.0051651907706950721 0.11927299964481729 0.18573282438469058 0.18930450931737888 0.16815076901060527,-4.5511008584543813 34.076126831778225 18.486263197361836 2.178805720928529 -1.6824804406063425 0.0068094511432154406,-1.4005661345885996 7.5233187526255278 3.4823363600351653 0.30314417048793985 -0.49425747952507582 -0.029357173381406199
ur,tetrapga,0.081792535,0.025280937,0.285034778,0.02228884,17.079757,0.037019,0.814943,0.009866,2.745875,0.023477,20.854591,0.028839,8.234789,8.609208,8.194059,8.516846,0.026537,0.024404,0.0211,0.006994,0.006725,0.007381,0,0,16.843997,0.23576,63,21,2.742318,0.008399,2.742318,20.933388,0.85398785,1,0,0,0.065727261,0.000619734,1,5,5,1,0.02 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00010373790536201936 -1.5708326393412422 0.00025583578121428797 -1.5703005817953013 0.00054118643744500365 0.00047354886065492581,0.0055097938674636728 5.8955085879059147e-05 0.015815504097234992 0.02617459069805805 0.02834085419054579 0.025058213013380608,0.0022683650255280697 -1.563947795107707 0.011810927977613852 -1.5574292801789371 0.01295723069142251 0.012036003617380862,0.040393479462704926 0.093897073387617006 0.15338837224116261 0.16873116359630139 0.16006998700363204 0.14597606092604107,0.0022013593615148714 -1.5707514680442927 0.0040410783442019916 -1.5646270680331829 0.0062691654380964742 0.0055397050329171462,0.072089653539705562 0.0066441079871186002 0.13041640353183831 0.19211800544847196 0.19316373808341131 0.17048533475847741,-5.0978065713414873 33.326932046262129 17.007297223085107 2.0081217869597485 -1.6707961285680533 0.003945931629059183,-1.3556381608244676 7.2553268639439921 3.3433259480367283 0.28759737431391841 -0.47622118525792256 -0.029911436418066373
ur,tetrapga,0.102815361,0.030477293,0.251418585,0.036605674,14.346725,0.037397,0.755711,0.010414,2.760659,0.024246,18.044705,0.022506,5.494527,8.625002,5.46777,8.53057,0.017456,0.027147,0.017734,0.005935,0.005904,0.005895,0,0,14.119529,0.227196,42,21,2.756565,0.009161,2.756565,18.116239,0.71733625,1,0,0,0.072117452,0.014982568,1,5,5,1,0.02 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0003302527343812468 -1.5708052983278746 0.00086942966170929837 -1.5692714515593269 0.0016426634672043001 0.0014438325777636201,0.010052591573327028 0.0058841603315378825 0.032262269207165475 0.047877257187762791 0.05043805538712421 0.045011878513751435,0.0031857498973567292 -1.5619197894349461 0.015082400744793412 -1.5538555411906869 0.016329100881190908 0.015096999872311589,0.046879029955802745 0.099027259570629314 0.15782471358331834 0.17123436658704821 0.16069045002509774 0.14521660303168199,0.0019849145596099647 -1.570709481452121 0.003598887875009768 -1.5652033859884158 0.0057085478078142873 0.0050070057349533405,0.082733091261435882 0.0047908437876787394 0.13647291066502348 0.20340327854555332 0.2032942170304993 0.17815865785948601,-4.6765601956375278 35.92731690854535 19.37144626066452 2.2659188074954373 -1.7482718141619455 0.0066604294974015044,-2.2693482815608039 12.039614681571038 5.4908510418817649 0.44415404530263913 -0.79333751201213509 -0.061763470414025079
ur,tetrapga,0.120991176,0.035088701,0.25982148,0.016020361,17.041206,0.036605,0.823438,0.010279,2.757516,0.018934,20.805517,0.02432,8.214775,8.599846,8.173052,8.506177,0.027359,0.027089,0.02248,0.006948,0.007137,0.008395,0,0,16.814621,0.226585,63,21,2.754017,0.008752,2.754017,20.879073,0.8520603,1,0,0,0.077536811,0.000456162,1,5,5,1,0.02 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00052283595850145337 -1.5706436618711346 0.0014794735097391455 -1.5684273242643165 0.0025034658809729143 0.0022219087900915116,0.01028860675379745 0.011042494281669727 0.034087045133554671 0.044502358647237804 0.044594608571553652 0.040690003702049414,0.0040886690013316939 -1.5600799326295083 0.017985196914722116 -1.5507243327606248 0.019253860749665636 0.017729933866902484,0.05247259183882591 0.10341655862125515 0.16157501871456645 0.17329646171947816 0.16112338418963926 0.14449118509336478,0.0030185208897162315 -1.5702929915422472 0.0055016630725632466 -1.5626417391240643 0.0082175877831980638 0.0072033189269316705,0.088232281533026147 0.019179005969021102 0.14812411900943948 0.20868080011508996 0.20557904694022319 0.17944308322046218,-5.211831427930484 34.379033405977282 17.465167386173661 2.0533777658965251 -1.6962345969090622 0.0038904851367698684,-1.0507817840014502 5.2867190774741175 2.2508239538432733 0.035745664204114291 -0.40244616475843387 -0.094826421641508674
ur,tetrapga,0.141924988,0.041382415,0.315217215,0.027416912,14.334817,0.036264,0.777035,0.010161,2.764682,0.019723,18.061767,0.026656,5.510607,8.597062,5.479281,8.503451,0.021336,0.025561,0.020122,0.006745,0.006039,0.007338,0,0,14.107669,0.227148,42,21,2.761039,0.010055,2.761039,18.136383,0.71674085,1,0,0,0.099013379,0.00412359,1,5,5,1,0.02 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0006461244280359824 -1.5703758805779304 0.0019522705848858336 -1.5679822156781296 0.0028902198603895446 0.0026040611218586564,0.0045797174454625155 0.012404772852564236 0.018148267337620056 0.015223190432702934 0.011647645980003906 0.012307767712560381,0.0052543970923910931 -1.5578625885093462 0.021411930986880302 -1.5470727360916585 0.022630982213750737 0.020745263254597392,0.058896692035229903 0.10841674179812208 0.16579447900287769 0.1755529942669426 0.16150288825694686 0.14357702161641417,0.0026737100860393902 -1.5702326205610697 0.0049267342700600805 -1.5635832420865636 0.0072307636099761749 0.0063500459075380095,0.10137928290017038 0.007163000843038907 0.14872318425871237 0.21994867957830122 0.21702718747933147 0.18729923928396763,-4.7626010117786528 39.567642889752634 21.72785680082189 2.5232879417002629 -1.8561021914434976 0.008585852794843812,1.4185688285576559 -8.2126360799120448 -4.1125367952225194 -0.63419370413521392 0.43683327302055197 -0.098349433590487756
ur,tetrapga,0.16011711,0.046805632,0.297396837,0.017647142,14.336712,0.036488,0.889612,0.011116,2.754551,0.023305,18.214509,0.036579,5.475007,8.634597,5.444333,8.537095,0.0201,0.028465,0.021069,0.006539,0.007612,0.006918,0,0,14.109604,0.227108,42,21,2.750734,0.009051,2.750734,18.301906,0.7168356,1,0,0,0.10724895,0.007540042,1,5,5,1,0.02 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00082878564776445206 -1.5702303544338236 0.0023673642710945338 -1.5674831303510115 0.0033429400447179776 0.003025757953626139,0.01193703379664196 0.0059447246672326461 0.024280611351406956 0.030059575711231697 0.028174757605092533 0.025727153031127516,0.006376497646935206 -1.5558511133969248 0.024460759442301444 -1.543862015094787 0.025571265544604357 0.023349484449446352,0.06446151417981634 0.11271235603193668 0.16937286373913951 0.17741010797952397 0.16172901576849111 0.14271454378996329,0.0047696047541518245 -1.5695603643465681 0.0082589840464693288 -1.5591211265191807 0.011543652064090245 0.010067337240088799,0.10479473340562173 0.033612810725082418 0.1666124888204624 0.22310577836914369 0.2156444227057035 0.18586456662753947,-6.3910183788141808 35.349799174401838 16.589615318726338 1.9723168367401955 -1.7935551609367955 0.00078302046433960295,0.82374397051875548 -5.0730015717690549 -2.6470712660181039 -0.52910382285881497 0.21686126677308337 -0.11896949481069363
ur,tetrapga,0.180055295,0.050952518,0.315975367,0.00768465,14.329232,0.040101,0.829429,0.010604,2.756583,0.028769,18.114318,0.031169,5.486726,8.613097,5.460421,8.518774,0.016704,0.025145,0.016856,0.005712,0.00538,0.005764,0,0,14.099823,0.229409,42,21,2.753048,0.009214,2.753048,18.199634,0.7164616,1,0,0,0.135157473,0.004746194,1,5,5,1,0.02 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0015442053443732262 -1.5700531593696017 0.0035609942682270253 -1.565835543560312 0.0049354654160705877 0.0044254414072212337,0.010831918251824274 0.0023414376954976218 0.016955857498001239 0.023361295197729875 0.022539223813781376 0.019656336001133191,0.0077223696682981388 -1.5535573511639122 0.027876053672438603 -1.540305409129431 0.028797407203043933 0.026184934893959292,0.070539032677583935 0.11736526690943108 0.17319850770587591 0.17933357765893834 0.1618660456803607 0.14169702525858283,0.0039790294193366516 -1.5700244489872386 0.006684797072499098 -1.5611669050398742 0.0095046824404486918 0.0083073648406741703,0.12174120374817128 0.0014355191181529225 0.15619014021360367 0.23343192602188956 0.22846085121890516 0.19409617167264684,-5.6213640726599694 45.689113500917841 24.756641553129644 2.8680288568002856 -2.1408766476543923 0.0088882741427883452,0.20372355075235937 -1.8467840865196194 -1.1526974510124752 -0.29577195452657179 0.080386209544801801 -0.083126072206855639
