robot,backend,t,tracking_error,velocity_error,torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,solver_dam_calc_ms,solver_dam_calcdiff_ms,solver_dynamics_calc_ms,solver_dynamics_calcdiff_ms,solver_cost_sum_calc_ms,solver_cost_sum_calcdiff_ms,solver_cost_item_total_ms,solver_state_cost_total_ms,solver_control_cost_total_ms,solver_velocity_cost_total_ms,solver_collision_cost_total_ms,solver_collision_residual_total_ms,solver_model_total_ms,solver_overhead_ms,solver_dam_calc_calls,solver_dam_calcdiff_calls,initial_dam_calc_ms,initial_cost_sum_calc_ms,initial_model_total_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,u_cmd,effort
ur,tetrapga,0.000107439,0.000108072,0.297974031,0.043229852,16.964112,0.079433,2.876051,0.010343,3.761028,0.078633,23.895794,0.049365,6.689434,10.009868,6.650027,9.899653,0.024494,0.036276,0.026542,0.010706,0.007982,0.007854,0,0,16.699302,0.26481,42,21,3.738413,0.022705,3.738413,24.042797,0.8482056,1,0,0,0.007103083,0.030654913,1,5,5,1,0 0.050000000000000003 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,9.3996849519937282e-06 -1.5708018155913355 2.6084297060407739e-05 -1.5707356085142385 8.009561239706999e-06 0.0001124210414558027,0.001011846589682024 -0.00035928827069057589 0.0032874623006553028 0.0064021100094667225 0.00070068966707755118 0.011888330030631436,1.6188353563333286e-06 -1.5707884352625512 1.4523204828878195e-05 -1.5707793708017266 1.6808103984028913e-05 1.5912838900402645e-05,0.015084162153485197 0.073464960395130827 0.13518873780824314 0.15782749771528404 0.15644624276546484 0.14810948019001902,0.0003653857832987223 -1.5692683518059147 0.0027643741913312638 -1.5675942376256529 0.0031565727408940005 0.0029742187288346743,0.021291845190480586 0.078536382604242339 0.13978194855841591 0.16066765582028694 0.15751110693301898 0.14770799162812723,0 0 0 0 0 0,-0.4711200536154585 0.23841890681433142 -1.1087656312923844 -2.2747388727575526 -0.15140315765767373 -2.4208717198805667
ur,tetrapga,0.024201948,0.007448038,0.304610111,0.043229852,15.186724,0.041289,0.863167,0.010718,2.947372,0.024345,19.180211,0.021107,5.835932,9.119447,5.808734,9.02454,0.017542,0.02655,0.018469,0.006686,0.00554,0.006243,0,0,14.955379,0.231345,42,21,2.943614,0.0085,2.943614,19.253988,0.7593362,1,0,0,0.02013017,0.025182884,1,5,5,1,0 0.050000000000000003 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,9.3996849519937282e-06 -1.5708018155913355 2.6084297060407739e-05 -1.5707356085142385 8.009561239706999e-06 0.0001124210414558027,0.001011846589682024 -0.00035928827069057589 0.0032874623006553028 0.0064021100094667225 0.00070068966707755118 0.011888330030631436,0.00045516612404186831 -1.5689446684368604 0.0033386170665017649 -1.566935218105644 0.0038019223605103062 0.0035788234246125184,0.022562136135651195 0.079569387594592103 0.14071157118116595 0.1612356297310184 0.15771495591364312 0.14761609849802873,0.00085325696373037539 -1.5676472672876509 0.0056052176920452822 -1.564353395583397 0.0063164863392372464 0.0059237086788649545,0.027494176377807773 0.083564705957984722 0.14428764223812754 0.16339816337578517 0.15846106661398282 0.1472279302147598,0 0 0 0 0 0,-0.4711200536154585 0.23841890681433142 -1.1087656312923844 -2.2747388727575526 -0.15140315765767373 -2.4208717198805667
ur,tetrapga,0.043532759,0.013546145,0.309739816,0.04332697,18.187782,0.036317,0.812082,0.010463,2.95191,0.023105,22.158936,0.025429,8.8418,9.103635,8.795411,9.011335,0.031499,0.024605,0.024394,0.008072,0.007785,0.008537,0,0,17.945435,0.242347,63,21,2.947844,0.009169,2.947844,22.233163,0.9093891,1,0,0,0.036109154,0.003868366,1,5,5,1,0 0.050000000000000003 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,1.328997479335691e-05 -1.5708022259629626 4.0037833225069788e-05 -1.5707098889815585 1.063609220517153e-05 0.00015999903659926412,0.00095823416888601398 -1.6654343084166389e-05 0.0035488738885095152 0.0064378286683092877 0.00064369561404008745 0.011895319512223862,0.000949251429109505 -1.567359563810476 0.006100756111228468 -1.5637929217414852 0.0068595260182624917 0.0064278578330565529,0.028555709920972734 0.084421407296652345 0.14505038612936447 0.16385471343829383 0.15861220727651429 0.14713785099546231,0.0013142168908989638 -1.5684460573022077 0.0053989670505509863 -1.5641198670790897 0.0065700020671854483 0.0061346964693373609,0.045595426243486371 0.040178303139888738 0.12991721753508603 0.17123899963679307 0.17052589241308413 0.15449928535698132,-2.1493009923545898 16.293176509419474 8.9338022023058716 1.0518052653745431 -0.79392582204472362 0.0035688390760105302,-0.45299203507416969 0.086535944949901022 -1.2237582271942784 -2.2926317487972483 -0.13659225321320442 -2.4263103241393962
ur,tetrapga,0.065851176,0.020514297,0.31503105,0.043344756,15.171921,0.037197,0.772825,0.011744,2.935801,0.02439,19.087148,0.029624,5.829339,9.110152,5.800564,9.015039,0.019095,0.027721,0.019726,0.006243,0.00687,0.006613,0,0,14.939491,0.23243,42,21,2.931802,0.009906,2.931802,19.16777,0.75859605,1,0,0,0.063240405,0.010749359,1,5,5,1,0 0.050000000000000003 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,3.0745248261164621e-05 -1.5707823260245468 0.00013089280011674252 -1.5705666513137697 2.2164119505958162e-05 0.00042174492870278557,0.00067077561896660635 0.001587448756637002 0.0045545007540446518 0.0065639571061411181 0.00043684043016290315 0.011898776012661002,0.0016637041467349443 -1.5654133832897865 0.0093929954263719181 -1.5601033831209288 0.010409830949455036 0.009704746550408554,0.035465900467433129 0.089970180711813688 0.14995516055648553 0.16674933593492763 0.15951405158321549 0.14649479224037176,0.0013797932297950487 -1.5709081448785989 0.0025219416756668456 -1.5668189403648722 0.0038533418272842478 0.0038004820408351924,0.067452399076694203 -0.0062909427026022506 0.11955244377750515 0.18738554744487179 0.1915588853889145 0.16893685560662036,-4.43955599269131 34.600145387365515 19.007024237805972 2.2268762223201461 -1.6708416618282373 0.0075646467737153387,-0.31802411115921381 -0.6719446495289958 -1.5985321259389074 -2.3398943984047946 -0.09233696244388398 -2.4273063237627102
ur,tetrapga,0.085092322,0.025927189,0.277303838,0.045633158,15.209828,0.037737,0.845793,0.010991,2.966499,0.022481,19.202986,0.022358,5.833268,9.135781,5.807654,9.041504,0.016384,0.02584,0.017839,0.006052,0.005747,0.00604,0,0,14.969049,0.240779,42,21,2.962288,0.009767,2.962288,19.274214,0.7604914,1,0,0,0.06753576,0.004642222,1,5,5,1,0 0.050000000000000003 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00012506701353208341 -1.5707709280002433 0.00043164173955737706 -1.5700408173419329 0.00050483765868641016 0.00098854855168166358,0.0057799829815698119 0.0026400275899853025 0.01990758859358837 0.030746538917715519 0.029129461861254143 0.032626323029343846,0.0024033362469595559 -1.5636366197275788 0.012318237925128454 -1.5568718404247519 0.013485603105250866 0.01251750677463854,0.041412481508685539 0.094706013326383731 0.15409162232615697 0.16913240383703049 0.16017586247857002 0.14586251919105861,0.0016360791529790066 -1.5707932150754458 0.0029983413102070942 -1.5661196885630722 0.0044766280922513488 0.0044625539238241961,0.075550606972346154 -0.0011143537601270071 0.12833497853248588 0.19605643894303637 0.19858952167824692 0.17370026860712662,-4.5922420334286462 35.424374490975453 19.233977215813631 2.248275114622921 -1.7179367268497825 0.0069879665233573522,-1.5745992622373499 5.9056505486323658 1.3644022193933232 -2.1816177804903418 -0.54289280289078334 -2.5554568310031742
ur,tetrapga,0.10444135,0.030508227,0.243287099,0.046754081,15.209051,0.036133,0.799503,0.010101,2.938329,0.023324,19.133348,0.021083,5.864334,9.113869,5.83675,9.02146,0.018035,0.02493,0.018478,0.006449,0.005772,0.006257,0,0,14.978203,0.230848,42,21,2.934783,0.00843,2.934783,19.201606,0.76045255,1,0,0,0.069716624,0.00809669,1,5,5,1,0 0.050000000000000003 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00033864020878198868 -1.5706813323960818 0.0010983130450071639 -1.5689798895662732 0.0015581549715885843 0.0020454383094410081,0.010314558908769181 0.0088265964571864839 0.036477622068534235 0.052285498217704826 0.051635808015342559 0.051859276714664254,0.0032623819614033696 -1.5617584514833962 0.015339297474670844 -1.5535769627689169 0.016590416556951548 0.015333069890276121,0.047379971909586059 0.09942169056498236 0.15816345607488241 0.17142271041794002 0.16073309177652409 0.14515430205535154,0.0019919363620965586 -1.5705178119952723 0.0038639878047314574 -1.5649053348769173 0.0056383787933242929 0.0055895943608106589,0.082664807665728493 0.0081760200404714083 0.13828373798621468 0.20372773446779557 0.20401119108678542 0.17720780256848248,-4.5308414469798901 35.044020484453931 18.878902023538792 2.1979568823470665 -1.6866594399220738 0.0064250861368400783,-2.4253923946094846 10.239078356466052 3.2760446781042418 -2.0806900626630522 -0.84567189432299728 -2.6182285352662849
ur,tetrapga,0.123691719,0.035384708,0.25532788,0.046446901,15.160627,0.036938,0.821955,0.010537,2.924955,0.018598,19.085735,0.025865,5.830827,9.097163,5.803585,9.0049,0.018045,0.025304,0.01831,0.006511,0.005718,0.006081,0,0,14.92799,0.232637,42,21,2.921117,0.010067,2.921117,19.160865,0.75803135,1,0,0,0.078247127,0.004709795,1,5,5,1,0 0.050000000000000003 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0005305324031078055 -1.5704592231870917 0.0017737537493679478 -1.5680847484706482 0.0024091170493081111 0.0029173455849769215,0.010116469813487418 0.014578161896331713 0.03742762780952625 0.046751514779354623 0.043546306899745563 0.045165539880535024,0.004231494131738376 -1.559799776023103 0.018422280758846808 -1.5502559350215617 0.019689057638840886 0.018119985979466662,0.053302474217174996 0.10406496276953639 0.16212539512853927 0.17359471089981648 0.16117950936935324 0.14437797727559348,0.0023469185956599063 -1.5701968256796333 0.0046920225553787002 -1.5638552298660133 0.00660970529473887 0.0065378606442896784,0.090819309627605038 0.013119875372919256 0.14591344030053763 0.21147593023174269 0.21002941227153796 0.18102575296563783,-4.4784307686958753 35.74876625620719 19.365317577505074 2.2456616455516292 -1.6886586327053879 0.0069294071599721565,-1.0903690435097326 2.8701452906007034 -0.23134655483378808 -2.4696263958057898 -0.41174343611287689 -2.6010264378217567
ur,tetrapga,0.142911925,0.041087629,0.311361927,0.054664896,18.123278,0.036825,0.843989,0.009706,2.955359,0.019284,22.115218,0.02668,8.775529,9.109333,8.735157,9.016058,0.026295,0.02491,0.021635,0.007069,0.006894,0.007672,0,0,17.884862,0.238416,63,21,2.951249,0.008705,2.951249,22.19112,0.9061639,1,0,0,0.091336298,0.000866953,1,5,5,1,0 0.050000000000000003 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00064135410663877985 -1.5701542971100777 0.0022625254678569646 -1.5676397418700103 0.0027323873315621473 0.0033609559370444912,0.0042449003567452889 0.016263828255128482 0.021392545969403279 0.016930390671806943 0.0089743744858062566 0.016965927462483311,0.0053126736174066002 -1.5577554724131921 0.021575656558076736 -1.5468994253790274 0.022790382687637299 0.020886942454809761,0.059199034334426859 0.10865098377701221 0.16599073374884787 0.17565623029873031 0.16151762986696264 0.14353185139578351,0.0034463911510443463 -1.5696948811249309 0.0066009065286996155 -1.5614034946019326 0.0089358346137010485 0.0086047025837076938,0.097612739994750175 0.024034013496226001 0.15618162585408912 0.21719956330395446 0.21323941502752697 0.18276471465203048,-5.161453543110686 35.149753982278973 18.038524350597566 2.1072528683301877 -1.69319088931762 0.0045668017688457385,1.4159426784115769 -10.787356533935053 -6.6349272809774664 -3.0612341947544337 0.44855267411922206 -2.5163650320814943
ur,tetrapga,0.165157814,0.048010421,0.315410811,0.053091179,15.156854,0.037289,0.842418,0.010197,2.928787,0.024296,19.107183,0.024037,5.826341,9.100285,5.801167,9.008221,0.016042,0.025181,0.017567,0.005856,0.005595,0.006116,0,0,14.926626,0.230228,42,21,2.925097,0.00876,2.925097,19.180483,0.7578427,1,0,0,0.116481714,0.004471625,1,5,5,1,0 0.050000000000000003 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00076807133884799822 -1.5698704017712601 0.0027137298114085291 -1.5672114111686433 0.0030025357342050234 0.003786940892613235,0.0063017126883911333 0.01058567492381962 0.019214408544533965 0.019394125561723787 0.013033785425909081 0.019357749642513251,0.0067053077336142429 -1.5552799835739044 0.025316982381708267 -1.5429664865570734 0.026386611653956425 0.024068237846955835,0.066000214673042665 0.11389419481787652 0.17034961700992768 0.17790748000419732 0.16177460517601927 0.14246441918676628,0.0030394833645881005 -1.5697277954367723 0.0058278284277283043 -1.5626171001589377 0.0075337694391175176 0.0076132865257439886,0.11357060128700511 0.0071303167243920978 0.15570493081598877 0.22971555048527895 0.22656168524562473 0.19131728165653766,-5.0065718224890619 42.028885061724324 22.998609362134196 2.6511702097531145 -1.9455986618201946 0.0087603871606256791,1.0853519014042661 -8.9872058400196693 -5.7610229334054921 -2.9731060474823607 0.34401379166472523 -2.521576884269539
ur,tetrapga,0.184415291,0.053855223,0.311345496,0.051486594,15.161379,0.041515,0.815172,0.012259,2.922736,0.023225,19.086169,0.031353,5.83315,9.099828,5.807141,9.006707,0.01708,0.025516,0.017261,0.00591,0.005328,0.006023,0,0,14.932978,0.228401,42,21,2.919151,0.008914,2.919151,19.172576,0.75806895,1,0,0,0.127434223,0.007757699,1,5,5,1,0 0.050000000000000003 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00094919977526313967 -1.5697148976542783 0.0031437333433085956 -1.5666724860153138 0.0034311781695453825 0.0043143688965346927,0.0090509008460338079 0.0066280066375948949 0.020539195390563141 0.025897494274783977 0.021099656499798756 0.025447608880366696,0.0080328102322495473 -1.5530434370517365 0.028632994398164146 -1.5395226306403449 0.029503176186928885 0.026802227741080806,0.071864827269138468 0.11837489219835173 0.17402151022522225 0.17973851254064704 0.16188056797315664 0.14146449271576303,0.0053751166593260739 -1.5690217595717564 0.0093173599582643749 -1.557960962848336 0.012032657368435815 0.011407742412341625,0.11678166473689869 0.035301793250796375 0.17447657652680348 0.23280686553008889 0.22494439646591494 0.18972279432988176,-6.8039383415732875 37.451300662383609 17.547451336246645 2.0820077748325234 -1.8949270369601861 0.00082348403546853174,0.62405218634265935 -6.6155641415916762 -4.6765775848211213 -2.8832492702495074 0.19351032093485188 -2.5407489772931608
