robot,backend,t,tracking_error,velocity_error,torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,solver_dam_calc_ms,solver_dam_calcdiff_ms,solver_dynamics_calc_ms,solver_dynamics_calcdiff_ms,solver_cost_sum_calc_ms,solver_cost_sum_calcdiff_ms,solver_cost_item_total_ms,solver_state_cost_total_ms,solver_control_cost_total_ms,solver_velocity_cost_total_ms,solver_collision_cost_total_ms,solver_collision_residual_total_ms,solver_model_total_ms,solver_overhead_ms,solver_dam_calc_calls,solver_dam_calcdiff_calls,initial_dam_calc_ms,initial_cost_sum_calc_ms,initial_model_total_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,u_cmd,effort
ur,tetrapga,0.000039698,0.000012249,0.308562241,0,16.501781,0.044854,1.446462,0.007076,4.080317,0.113264,22.363965,0.057249,7.108409,9.120283,7.062706,9.008966,0.032404,0.038155,0.03214,0.011776,0.010496,0.009868,0,0,16.228692,0.273089,42,21,4.061493,0.02312,4.061493,22.48576,0.82508905,1,0,0,0.007616853,0.013443851,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,5 0 0,0 0 0,,0 -1.5707963267948966 0 -1.5707963267948966 0 0,0 0 0 0 0 0,5.9773149348079105e-07 -1.5707934112682398 5.3659164302272346e-06 -1.5707900618621708 6.2104078039142055e-06 5.8797130706752623e-06,0.01506313011161787 0.073447712458034844 0.13517303403212799 0.157817693151106 0.15644244127235557 0.14811070624426886,0.00036394416430638973 -1.5692736713596349 0.0027549057443231697 -1.5676051210937498 0.0031459028965938091 0.0029642127912127393,0.021270827105063877 0.078519276964050019 0.13976653765900074 0.16065822038134822 0.15750769387447142 0.1477094842534184,0 0 0 0 0 0,0 0 0 0 0 0
ur,tetrapga,0.022581369,0.007036451,0.314681232,0,14.285133,0.039787,0.854791,0.010118,2.752562,0.026637,18.083508,0.026036,5.457578,8.605332,5.430753,8.51154,0.016477,0.026075,0.017619,0.005765,0.005911,0.005943,0,0,14.06291,0.222223,42,21,2.748669,0.009172,2.748669,18.161874,0.71425665,1,0,0,0.019040567,0.005717672,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,5 0 0,0 0 0,,0 -1.5707963267948966 0 -1.5707963267948966 0 0,0 0 0 0 0 0,0.00041900976343620637 -1.5690732858379066 0.0031108805515447637 -1.5671963315712576 0.0035463976220276032 0.0033395700159548239,0.022059391729202831 0.079160748381366691 0.14034407257524284 0.16101137975394775 0.15763484996693777 0.14765286281155993,0.00085139519186666981 -1.5676529274700914 0.0055954440146827678 -1.5643644640314609 0.0063057521305120347 0.0059137352520846377,0.027473180561123495 0.083547749942963545 0.14427253126723444 0.16338910155270359 0.15845804345949757 0.1472296885167676,0 0 0 0 0 0,0 0 0 0 0 0
ur,tetrapga,0.040828207,0.012822411,0.319637141,0,14.31809,0.038923,0.777439,0.010368,2.757414,0.019949,18.036388,0.023699,5.49024,8.603644,5.463018,8.508778,0.017158,0.028558,0.01846,0.005857,0.006478,0.006125,0,0,14.093884,0.224206,42,21,2.753743,0.008799,2.753743,18.111024,0.7159045,1,0,0,0.028845424,0.015724786,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,5 0 0,0 0 0,,1.0393008397066462e-20 -1.5707963267948966 -3.2706020792400404e-21 -1.5707963267948966 -3.8590247334321737e-22 2.1903526215856919e-23,5.1965041985332307e-18 5.3087811679704021e-18 -1.6353010396200201e-18 4.8970133651502196e-19 -1.9295123667160867e-19 1.095176310792846e-20,0.00087315439343707633 -1.5675869715117887 0.0057092735345210047 -1.5642355886881176 0.0064307115770735838 0.0060298191035132705,0.027717567468636697 0.083745086732037483 0.14444836014955606 0.16349450284170092 0.15849315122075217 0.1472091661625215,0.00093984696508195732 -1.5709029389995182 0.0022989829372399026 -1.5672413501582236 0.0035145366496267105 0.0032365735093921075,0.046992348254097864 -0.005330610231083199 0.11494914686199513 0.17774883183364359 0.1757268324813355 0.16182867546960539,-2.0928595584379215 25.022247464030027 13.466817279584523 1.1876870937106008 -0.19435736148623423 0.0076363327468803111,0 0 0 0 0 0
ur,tetrapga,0.0601428,0.016857114,0.232162375,0.032503342,14.288072,0.037546,0.831825,0.012125,2.743969,0.023544,18.051389,0.022274,5.452701,8.613365,5.42653,8.519469,0.016361,0.026658,0.018069,0.005837,0.005656,0.006576,0,0,14.066066,0.222006,42,21,2.739701,0.00928,2.739701,18.125007,0.7144036,1,0,0,0.024356305,0.008363344,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,5 0 0,0 0 0,,0.00022654687807496779 -1.5707435279340001 0.00076423192115801378 -1.5695345689233771 0.001263140422651374 0.0011778507227780124,0.0094463824702864657 0.0087117490856831042 0.036737006357625675 0.051722225748633471 0.051528010248992839 0.048083514458428518,0.0014662922623885483 -1.5659229339736782 0.008540541116737058 -1.5610531801479006 0.0094998795341945212 0.0088680003291577904,0.033699646141696793 0.088556543995155862 0.14871148238096812 0.1660222515751219 0.15929708879089344 0.14666851749927937,0.0012842912154182892 -1.5705209911301516 0.0033283848686211288 -1.5658306579389845 0.0048787360199665682 0.0044831738555900728,0.052887216867166069 0.0111268401924258 0.12820764737315574 0.18519554921963172 0.18077977986575969 0.16526615664060301,-2.0532401935741902 23.372167575154936 12.151492607935921 1.0405679669225296 -0.1748478073274321 0.0058572062866964064,-1.5285596444735789 10.726102751121289 4.394983097987657 0.013193378560572455 -0.22867539107905621 -0.14750679524452792
ur,tetrapga,0.079995193,0.022400239,0.293132143,0.017985618,15.168041,0.037866,0.950315,0.010089,2.932325,0.01918,19.234307,0.023461,5.825427,9.100088,5.799617,9.004921,0.016107,0.02757,0.018772,0.006344,0.005997,0.006431,0,0,14.925515,0.242526,42,21,2.927814,0.008724,2.927814,19.309268,0.75840205,1,0,0,0.033636326,0.002963346,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,5 0 0,0 0 0,,0.00033372406179704543 -1.5705213403897647 0.0012322609329413156 -1.5690497682737448 0.0017282504900208271 0.0016089237159830397,0.0044113596410701042 0.0088645256237791827 0.018106256064997068 0.018982121701584947 0.017931780963496687 0.016527411300084324,0.0021962630396757084 -1.564116163839852 0.011535581701285592 -1.5577323503509013 0.012669583059452375 0.01177357983921048,0.039838296533793553 0.093455886871834176 0.1530042486541125 0.16851131415570869 0.16001099000021271 0.14603701643917313,0.001572615652101523 -1.5703793286469905 0.003878920839070087 -1.5651695372063361 0.0054897161095654214 0.0050205526846780332,0.061944579515223877 0.007100587138712415 0.13233299530643858 0.19401155337043358 0.1880732809772297 0.17058144843474965,-2.0754282422559078 26.023612145020397 13.887720224023777 1.2082735103165616 -0.19753317214271054 0.007506284499548461,0.76889674121627083 -5.9112701109106638 -2.697842666549608 -0.3237777664899113 -0.013456459650988961 -0.051219901111669408
ur,tetrapga,0.099999295,0.028140377,0.286287568,0.007856614,15.16252,0.036662,0.918853,0.010462,2.930116,0.024982,19.20284,0.022221,5.817563,9.109201,5.791007,9.015971,0.016933,0.025877,0.018107,0.00568,0.005781,0.006646,0,0,14.926764,0.235756,42,21,2.925924,0.00901,2.925924,19.27484,0.758126,1,0,0,0.040652433,0.002934189,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,5 0 0,0 0 0,,0.00046627664960428899 -1.5704251210012194 0.0016106190507787501 -1.5685395921627301 0.0022189047919529067 0.0020579732262079606,0.0076093745808617401 0.004126298633823796 0.020505826846261795 0.027833308012589791 0.026914857540797549 0.024624660704169975,0.0030549573135381725 -1.5621976939788398 0.014638783651078763 -1.5543372871840604 0.015876691972183027 0.014687909748967892,0.046011202438073148 0.098343329830600915 0.15723654462071052 0.17090637871448588 0.16061478096005313 0.14532329470178848,0.0018933067119366199 -1.5703137887532543 0.0043779677222367764 -1.5644800870379383 0.0061241480378618051 0.005573820619712011,0.071351503116616533 0.0055666123982551184 0.13836743357290132 0.20297525623958509 0.19526216229544491 0.17579236967520254,-2.2883722779553377 28.396856203236879 14.976763870791679 1.2877973127119255 -0.21273476805790587 0.0075753942160240702,0.26416296568369724 -2.3264928710905224 -1.1784920914464578 -0.26465681103491079 -0.064773687590669482 -0.076012448404693345
ur,tetrapga,0.119999553,0.033859367,0.291655967,0.004492477,15.172582,0.037067,0.88215,0.011245,2.952362,0.019874,19.189725,0.023052,5.822776,9.107419,5.794974,9.012543,0.018544,0.026285,0.020191,0.006838,0.006889,0.006464,0,0,14.930195,0.242387,42,21,2.947661,0.00976,2.947661,19.261492,0.7586291,1,0,0,0.048969331,0.002487143,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,5 0 0,0 0 0,,0.00064748102843548085 -1.5703687256638457 0.0020322992597887361 -1.5679459826989566 0.0027903724703333636 0.0025770891447574047,0.0090556060868048453 0.0024053446229266064 0.020415027870184572 0.028417572555238638 0.027352932558584574 0.024809924503227911,0.0040367870966663937 -1.5601823647085442 0.01782507581256737 -1.5508961229798139 0.019094097554642527 0.017586632632797805,0.052167782742963034 0.10317822209410739 0.16137247715462674 0.17318641673064439 0.16110224264363132 0.14453240246454194,0.0022609990066280138 -1.5702595966362964 0.0049278747424552263 -1.5637107839987199 0.0068335232060451776 0.006191464330494811,0.080675898909626662 0.0054564513774626447 0.14477877413332452 0.21175993501183438 0.2021575367855907 0.18071875928687034,-2.420774612146035 30.502296218628402 16.0387830171451 1.3723702041178241 -0.22692976848478863 0.0079333198860065436,0.08670891408249215 -1.1134460044086154 -0.67387154169096064 -0.23129297325704101 -0.073749821425792561 -0.076566529093627267
ur,tetrapga,0.139998628,0.039670558,0.296359941,0.003963209,15.194167,0.036356,0.898924,0.011527,2.949386,0.025552,19.236399,0.024188,5.828855,9.130883,5.801716,9.035069,0.0175,0.028003,0.019366,0.006532,0.006252,0.006582,0,0,14.959738,0.234429,42,21,2.945399,0.008451,2.945399,19.310003,0.75970835,1,0,0,0.058218159,0.001864253,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,5 0 0,0 0 0,,0.000856476433642404 -1.5703345682324672 0.0024557430139706066 -1.5673369260842711 0.003372776618523636 0.0031018188605102279,0.010337219818255814 0.0016474279863906459 0.020620467468115682 0.029196708530963268 0.027895146517279857 0.025099611987148919,0.0051415093677207096 -1.5580709975169009 0.021092920615300388 -1.547410719659764 0.02231989783782902 0.02046859770643987,0.058306421285492509 0.10795914264112019 0.16541071994487042 0.17535067298283413 0.16147329727813423 0.14366465103234249,0.0026588514428467578 -1.5702117099404826 0.0054862011358717648 -1.5629266026805344 0.0075513010168983931 0.0068121039374843782,0.090118750460217695 0.0061429145992329369 0.15152290609505792 0.22051617018683276 0.20892621991873789 0.18551425384870748,-2.5314540162445516 32.488585423696044 17.052922966001383 1.4530405071875943 -0.24033126687134826 0.0082812416614001204,0.0093333135025375213 -0.60802407698975003 -0.47115165045402563 -0.22193973108733189 -0.078328306398006475 -0.07744421766264864
ur,tetrapga,0.159997597,0.045529401,0.299985618,0.003984597,15.180821,0.038288,0.889724,0.010325,2.928003,0.019068,19.176007,0.021287,5.826766,9.117847,5.799866,9.021469,0.017034,0.028452,0.019744,0.006829,0.006345,0.00657,0,0,14.944613,0.236208,42,21,2.923859,0.008882,2.923859,19.24708,0.75904105,1,0,0,0.068422417,0.001219511,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,5 0 0,0 0 0,,0.0011009087180540124 -1.570312495212483 0.0029004168395145836 -1.5666890634714452 0.0039877612950665522 0.0036515432134916143,0.011670936873590188 0.001377403727809909 0.02140255220832982 0.03041525220257631 0.028859797936158872 0.025789211769275393,0.0063687958390604817 -1.5558645823116497 0.024440518571734553 -1.54388321719896 0.025551936894663816 0.023332427855272116,0.064425014762441626 0.11268429043089805 0.16934962721840779 0.17739822468923 0.1617278449758727 0.14272041553967485,0.0030949308999183196 -1.5701648649338813 0.0060697904028079886 -1.5621055513889697 0.0082979958867344123 0.0074541227852117503,0.099701109093215362 0.0073815139300831088 0.15846867816467028 0.22917560412377394 0.21551172958339299 0.19012897858600677,-2.6326382301571387 34.403056837495384 18.027873466737109 1.5300342032904164 -0.25309711528134904 0.008604894162815591,-0.039392384344958842 -0.32546970115981821 -0.37109420799028214 -0.22313745695100806 -0.082637485107726505 -0.079578191552817756
ur,tetrapga,0.17999815,0.051560944,0.302574712,0.004105046,15.173362,0.036655,0.862,0.010593,2.946683,0.023231,19.170523,0.024156,5.830301,9.11086,5.800326,9.015292,0.018695,0.027528,0.019999,0.007031,0.006242,0.006726,0,0,14.941161,0.232201,42,21,2.942397,0.009232,2.942397,19.243446,0.7586681,1,0,0,0.079841558,0.000320361,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,5 0 0,0 0 0,,0.0013474790139220761 -1.5702952888376887 0.0033178004903988713 -1.5660798802204776 0.004561914020585563 0.0041613614689361604,0.013260292565247815 0.0012642898737514055 0.022636145721405619 0.032185651115864543 0.030321979142635864 0.026914397660251478,0.007718339211997635 -1.5535640576234568 0.027866156552847396 -1.5403156569940164 0.028788157374348769 0.026176837531047929,0.070521648030687792 0.11735201516866724 0.17318768836386872 0.17932823285377536 0.16186581854643137 0.14170004914576198,0.0035383819518616864 -1.5701177374119721 0.0066300062732542993 -1.5613216584653744 0.0090036867556194215 0.0080557079098044718,0.10954514689698051 0.0088775712858203282 0.16561028914277143 0.23791108775515871 0.22208863675169296 0.19471732204341555,-2.7335222276690097 36.308139553463811 18.993189459085876 1.6058633789344696 -0.26573781429585835 0.0089099687625717912,-0.074605394307580397 -0.12357379960940307 -0.30198057607912432 -0.22988255188192852 -0.088022315530688289 -0.08302856130764269
