robot,backend,t,tracking_error,velocity_error,torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,solver_dam_calc_ms,solver_dam_calcdiff_ms,solver_dynamics_calc_ms,solver_dynamics_calcdiff_ms,solver_cost_sum_calc_ms,solver_cost_sum_calcdiff_ms,solver_cost_item_total_ms,solver_state_cost_total_ms,solver_control_cost_total_ms,solver_velocity_cost_total_ms,solver_collision_cost_total_ms,solver_collision_residual_total_ms,solver_model_total_ms,solver_overhead_ms,solver_dam_calc_calls,solver_dam_calcdiff_calls,initial_dam_calc_ms,initial_cost_sum_calc_ms,initial_model_total_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,u_cmd,effort
ur,tetrapga,0.000047088,0.000014529,0.308564244,0,15.619182,0.055178,1.690197,0.009259,5.103255,0.098259,22.715587,0.175038,6.232339,9.127133,6.196779,9.025292,0.025048,0.033701,0.026408,0.010029,0.00807,0.008309,0,0,15.359472,0.25971,42,21,5.084278,0.019849,5.084278,22.966554,0.7809591,1,0,0,0.007616951,0.013444729,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,2.2815382541296727e-19 -1.5707963267948966 -7.6485189557151252e-20 -1.5707963267948966 -4.6969991965542313e-21 4.1922368843839614e-22,7.2440401894792879e-18 6.5338984752641671e-17 -2.2132835703249047e-18 5.8018471152396849e-18 -1.4650451943877377e-19 1.3286292213883535e-20,7.0905650292015771e-07 -1.5707928684826922 6.3648514820194807e-06 -1.5707888955854661 7.3665189775246829e-06 6.9742506957732266e-06,0.015065424540377695 0.073449594092504927 0.13517474723581885 0.15781876281082899 0.15644285604857935 0.14811057253552465,0.00036410136419099011 -1.5692730910952828 0.0027559386252487116 -1.5676039338256977 0.0031470668798275741 0.0029653043636998712,0.021273120012655262 0.078521143076279387 0.13976821891336239 0.16065924977321969 0.15750806627585584 0.14770932146377133,0 0 0 0 0 0,-3.3299301608642319e-15 0 8.0495063447544988e-16 0 2.966330057213275e-17 -2.7095827273840336e-18
ur,tetrapga,0.023066722,0.007189198,0.314813075,0,14.359373,0.041091,0.877699,0.010294,2.767722,0.02716,18.236013,0.038297,5.5061,8.624231,5.471616,8.523517,0.023455,0.031164,0.022388,0.00716,0.007082,0.008146,0,0,14.130331,0.229042,42,21,2.763562,0.010379,2.763562,18.329829,0.71796865,1,0,0,0.019524729,0.005329168,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,2.2815382541296727e-19 -1.5707963267948966 -7.6485189557151252e-20 -1.5707963267948966 -4.6969991965542313e-21 4.1922368843839614e-22,7.2440401894792879e-18 6.5338984752641671e-17 -2.2132835703249047e-18 5.8018471152396849e-18 -1.4650451943877377e-19 1.3286292213883535e-20,0.00042975289597523431 -1.569034835222983 0.0031790236947940678 -1.567118167895581 0.0036229120134236847 0.0034112311188434158,0.022209964403786663 0.079283163121614306 0.14045419655215646 0.16107861684868327 0.15765892037184126 0.14764190622390302,0.00085159822713433962 -1.5676523100453845 0.0055965101947801806 -1.5643632565823475 0.0063069231366720659 0.0059148232787741813,0.027475471040742529 0.083549599733488009 0.14427417980294963 0.16339009018680598 0.1584583733257014 0.14722949674376581,0 0 0 0 0 0,-3.3299301608642319e-15 0 8.0495063447544988e-16 0 2.966330057213275e-17 -2.7095827273840336e-18
ur,tetrapga,0.041496378,0.013035973,0.319818532,0,15.146956,0.036754,0.831834,0.010663,2.760502,0.025298,18.975212,0.036609,5.72237,9.178293,5.691772,9.074224,0.019596,0.034065,0.02325,0.007104,0.008501,0.007645,0,0,14.900663,0.246293,42,21,2.75632,0.009606,2.75632,19.063119,0.7573478,1,0,0,0.029011801,0.016754535,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,2.5706586228494595e-19 -1.5707963267948966 -8.508986596988581e-20 -1.5707963267948966 -5.2895844019520302e-21 4.7239304315431395e-22,7.2226710092109106e-18 7.3143941569076323e-17 -2.1304831039901588e-18 6.5145492643046826e-18 -1.4869310228316244e-19 1.3294355128230711e-20,0.00089174365122716807 -1.5675309596231659 0.0058058394859143323 -1.5641263166018591 0.006536622003687197 0.0061281741624600429,0.027924647763587707 0.083912251893647968 0.14459724589809222 0.16358368330702727 0.15852276071149476 0.14719168057214999,0.00094555233663973443 -1.5709024569650933 0.0023040368958904536 -1.56723450862906 0.0035202543349087132 0.0032409568918381824,0.04727761683198671 -0.0053065085098374792 0.11520184479452267 0.1780909082918242 0.17601271674543564 0.1620478445919091,-2.0953208153996954 25.083273070157155 13.499790921761024 1.1904289256934397 -0.19479845667914497 0.0076505795158626887,-3.320106468891301e-15 0 7.7535227154863202e-16 0 3.0110298084810353e-17 -2.7112257348645542e-18
ur,tetrapga,0.060663806,0.019212787,0.325015875,0,15.169208,0.037544,0.915209,0.010489,2.950663,0.027351,19.234739,0.024953,5.819253,9.111539,5.793835,9.018355,0.016267,0.025476,0.017231,0.005512,0.005673,0.006046,0,0,14.930792,0.238416,42,21,2.94635,0.009995,2.94635,19.309503,0.7584604,1,0,0,0.034451773,0.002407404,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,3.8611830944112937e-19 -1.5707963267948966 -1.1973483067121316e-19 -1.5707963267948966 -8.0639878701115319e-21 7.1205454444456147e-22,7.1272969939206301e-18 1.0797996086366986e-16 -1.7608347922341244e-18 9.7689494764519352e-18 -1.5846753121163641e-19 1.3330664539983818e-20,0.001483891984642396 -1.5658767618286693 0.0086180503448070964 -1.5609666641692055 0.0095828795370248698 0.0089444114471607696,0.033860888480052073 0.088685728115380946 0.14882530364438062 0.16608899239661992 0.15931728195429487 0.14665292488409332,0.0011120822063703721 -1.570888015742149 0.0024496814640451226 -1.5670381083752929 0.003683556875518489 0.003365705142388277,0.055604110318518571 -0.0045844473626164223 0.12248407320225611 0.18791092098018453 0.18417784377592444 0.16828525711941386,-2.1655690753656263 26.849434968464333 14.453640146511299 1.2696359893345925 -0.20754455128080462 0.0080596286669666183,-3.2762645348776982e-15 0 6.4319449473127521e-16 0 3.2107070354069645e-17 -2.7186327314918403e-18
ur,tetrapga,0.080037202,0.024977919,0.281707414,0.022113771,15.14502,0.037424,0.830014,0.010605,2.934472,0.019366,19.102937,0.024995,5.817747,9.095432,5.790057,9.004438,0.018502,0.024516,0.017318,0.005955,0.005507,0.005856,0,0,14.913179,0.231841,42,21,2.930674,0.008699,2.930674,19.177376,0.757251,1,0,0,0.036745188,0.004116337,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,5.9221927784781016e-05 -1.5708172193507182 0.00017921445925943091 -1.5704521486712777 0.00034636401864922544 0.000323206680327616,0.0051850427541242959 0.00017339613532558183 0.017572609971229818 0.028351841714264449 0.028666072203736601 0.026823036472661137,0.0021979368792584249 -1.5641122376348096 0.011542009445529765 -1.5577252712509517 0.012676304990321303 0.011779714678460415,0.039851273916394606 0.093466203225821928 0.15301323534821495 0.16851646311939844 0.160012379617682 0.14603559889265108,0.0013329295896686946 -1.5707952965080443 0.0028201747050228794 -1.566507881902901 0.0041759739140401139 0.003797361211673427,0.063685383094195677 0.0010961421336903019 0.13204801228817242 0.19721333841883418 0.19148049476954437 0.17370772656729055,-2.2755259341540914 27.666021432861328 14.59421320977377 1.2585956161081777 -0.20918514287418655 0.007329453477277436,-0.99262966726281943 7.2975445755182591 3.110781404227394 0.062246318287179747 -0.13564410200968435 -0.080340738277843826
ur,tetrapga,0.100004394,0.028258451,0.304542326,0.014663482,15.160118,0.037421,0.81139,0.009965,2.939279,0.023704,19.094369,0.021502,5.811698,9.11622,5.786118,9.024232,0.016134,0.023953,0.016917,0.005945,0.005342,0.00563,0,0,14.927918,0.2322,42,21,2.935623,0.008747,2.935623,19.165107,0.7580059,1,0,0,0.041891972,0.005885061,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00044123371000759435 -1.5703538509480406 0.0016049520455251377 -1.5686321142466455 0.0021237932992682999 0.0019708363477835581,0.0054022769053397209 0.0049039929305347823 0.014504864272323408 0.016697080798767399 0.015668227992337812 0.014163648179104923,0.0030551919286662828 -1.5621971925230413 0.014639585402939338 -1.5543364157309161 0.015877510947305766 0.014688650751958581,0.046012774071011502 0.098344569136240234 0.15723761132105379 0.17090697464961171 0.16061492005479755 0.14532310290173306,0.0018704026626984722 -1.5702653164304659 0.004360580132780548 -1.5645690503035539 0.0060338642518896037 0.0054909325374579467,0.071458447634543898 0.0044267258787401738 0.13778140436277053 0.20315319715458327 0.19550354763106517 0.17600480948371941,-2.2462378248038672 28.567595354422821 15.199164611212108 1.3155166404950203 -0.21552486664072606 0.0080086394006198165,0.6132348064946207 -4.7925834662673878 -2.1995222746141252 -0.27298608303681249 -0.013866908358301622 -0.043864923675259959
ur,tetrapga,0.120003548,0.034341716,0.310014719,0.008633197,15.2065,0.037802,0.876475,0.011043,2.936628,0.019263,19.207669,0.027234,5.840138,9.128789,5.812775,9.032489,0.018154,0.026375,0.018692,0.006551,0.00578,0.006361,0,0,14.968927,0.237573,42,21,2.932822,0.013378,2.932822,19.286383,0.760325,1,0,0,0.051299982,0.001206014,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00058015185020520148 -1.5703086558253587 0.0018896310600872897 -1.5682489872240437 0.0024851129149953267 0.0022944353751363374,0.0068577054253905053 0.0008676154331437655 0.012881165820182939 0.018006245100736135 0.017066832748487876 0.015260447046303083,0.0040369955094115544 -1.5601819525096283 0.017825720497244506 -1.5508954310991925 0.019094741158273174 0.017587210039414717,0.052169010829150583 0.10317918255708305 0.16137329362449687 0.17318686064477609 0.16110232839165542 0.14453223678940599,0.0022038423778500864 -1.5702614261605621 0.0047627381103584315 -1.5640013742035836 0.0065435261432237324 0.0059225185757738573,0.081184526382244257 0.0023614832398349711 0.1436553525135571 0.21238065102300721 0.20292066141142029 0.18140416003187596,-2.4286243286917788 31.123604228245373 16.475159394486248 1.4166237035042593 -0.23309418022149314 0.0083773631891736183,0.31517045106368879 -2.6793925628653597 -1.2949795446408654 -0.21376507545937784 -0.032045356097421873 -0.047175943329606618
ur,tetrapga,0.140005683,0.040251308,0.293809914,0.00335383,15.220291,0.03888,0.851637,0.010599,2.932854,0.018653,19.187466,0.022243,5.862754,9.12446,5.833606,9.028404,0.019272,0.026087,0.019127,0.005927,0.00649,0.00671,0,0,14.987214,0.233077,42,21,2.928384,0.009269,2.928384,19.260355,0.76101455,1,0,0,0.059314183,0.001924997,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00078030064324224944 -1.5703332876388827 0.0022462972214879664 -1.567678451276165 0.0030330805145585968 0.0027872454218892976,0.011306334423422089 -0.0010325141923476257 0.020793777062928193 0.031630868685802352 0.030476930419938288 0.027451734785261257,0.0051419207271497453 -1.5580702358592347 0.021094087592893291 -1.5474094825581455 0.02232103703233056 0.020469611259425393,0.058308583402278735 0.10796081947313028 0.16541212708616473 0.17535141592967299 0.16147340762286566 0.14366433139752929,0.0025925785480312019 -1.5702473959815531 0.0052717162966854254 -1.563252667287292 0.0072283484690730225 0.0065128056375302118,0.090613895239447628 0.0042945828664847632 0.15127095375987293 0.22128919944365216 0.20976339772572131 0.1862780107820457,-2.6002650001929055 32.920470884764939 17.223108240412436 1.4650930500542443 -0.24325520718035731 0.0082329090253977742,-0.19327458445147983 0.87053070224010298 0.17094535578165093 -0.18781449777816306 -0.096477638367668206 -0.084611052211855053
ur,tetrapga,0.160047988,0.046133441,0.299951212,0.003597081,14.307916,0.038397,0.856433,0.010588,2.763518,0.021651,18.126732,0.027552,5.49241,8.59017,5.464446,8.498143,0.017894,0.024697,0.017985,0.0064,0.005623,0.005962,0,0,14.08258,0.225336,42,21,2.760093,0.009159,2.760093,18.209979,0.7153958,1,0,0,0.069484644,0.001314499,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0010280622652360455 -1.5703436282133589 0.0026777443769630035 -1.5670283707948618 0.0036531151056598877 0.0033418259975097533,0.012034629763837979 0.00014946686086012283 0.021120439966465832 0.030843277848229243 0.029337713228464651 0.026203054801256221,0.006372042667727916 -1.5558589037394126 0.02444905251566282 -1.5438742777987635 0.025560086534953622 0.023339619617364395,0.06444040433364906 0.11269612415425957 0.16935942501577941 0.17740323562638269 0.16172833913200663 0.14271794012893171,0.0030294671726794394 -1.5702158194219045 0.0058490538970908529 -1.5624286180571407 0.0079801023673217279 0.0071596999211317553,0.10007024537216969 0.0063904395727275472 0.15856547600639245 0.22998763688605062 0.21634936308309205 0.19089369618110014,-2.6653488762319029 34.667249178388623 18.152136344241008 1.5404979673141221 -0.25517492344669335 0.0086278557030080028,-0.13569884336480342 0.38716041483166919 -0.057445631646015016 -0.20143653522609384 -0.089154434911298708 -0.080820365172328934
ur,tetrapga,0.180006321,0.052065725,0.303621352,0.003861932,14.408707,0.037779,0.799424,0.010569,2.757704,0.026808,18.161725,0.024222,5.549469,8.62706,5.515016,8.530712,0.023646,0.027984,0.022012,0.006952,0.007546,0.007514,0,0,14.176529,0.232178,42,21,2.754211,0.009048,2.754211,18.235889,0.72043535,1,0,0,0.080792349,0.000360361,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0012974395951315589 -1.5703390811964555 0.0031249655872982039 -1.5663664205394396 0.0042781052919412064 0.0038968792279117375,0.013182021319109151 0.00069353961941068752 0.022037451081521366 0.031752590684271484 0.02993567866307599 0.026560843025135228,0.0077189154545394051 -1.5535630987323994 0.027867571675769618 -1.5403141916999032 0.028789479980085051 0.026177995360383191,0.070524133824032983 0.11735391002707607 0.17318923544211526 0.17932899715152159 0.16186585108199489 0.14169961680659857,0.0034928424632989924 -1.5701735770282732 0.0064400827277052899 -1.561594738823241 0.0087337855154060104 0.0078040800471591357,0.10977014340837166 0.0082752084091156485 0.16575585702035425 0.23858408580993601 0.22278401117324015 0.19536004096236986,-2.747307604898193 36.485392213605465 19.091262037030116 1.6149019367329123 -0.26731611524420379 0.0089578233846805844,-0.11395151393481839 0.17999961175974022 -0.16388826867850526 -0.21626821951940656 -0.089093395535828179 -0.0819284814339305
