robot,backend,t,tracking_error,velocity_error,torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,solver_dam_calc_ms,solver_dam_calcdiff_ms,solver_dynamics_calc_ms,solver_dynamics_calcdiff_ms,solver_cost_sum_calc_ms,solver_cost_sum_calcdiff_ms,solver_cost_item_total_ms,solver_state_cost_total_ms,solver_control_cost_total_ms,solver_velocity_cost_total_ms,solver_collision_cost_total_ms,solver_collision_residual_total_ms,solver_model_total_ms,solver_overhead_ms,solver_dam_calc_calls,solver_dam_calcdiff_calls,initial_dam_calc_ms,initial_cost_sum_calc_ms,initial_model_total_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,u_cmd,effort
ur,tetrapga,0.000115197,0.000035546,0.308582711,0,15.221295,0.12469,4.0753,0.02168,4.817749,0.068614,24.39882,0.050646,5.822919,9.141915,5.79629,9.040804,0.017575,0.032315,0.021296,0.008591,0.006644,0.006061,0,0,14.964834,0.256461,42,21,4.791519,0.022677,4.791519,24.593035,0.76106475,1,0,0,0.007617863,0.013452837,1,5,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,5.3772198419762057e-19 -1.5707963267948966 -8.7086654861670077e-20 -1.5707963267948966 -8.7816695332417679e-20 4.6411067308476532e-21,1.5257865937365936e-17 7.0814156445375937e-17 -2.2376787981211689e-18 2.1472241376139032e-17 -2.3808319845105985e-18 1.3066140608546681e-19,1.7358676295926653e-06 -1.5707878653137264 1.557200603281044e-05 -1.5707781463716441 1.8021815623865921e-05 1.7061871702837915e-05,0.015086570834154669 0.073466935675480613 0.13519053621184873 0.15782862049819857 0.15644667804553639 0.14810933971913195,0.00036555097477077578 -1.5692677425130597 0.0027654586265340821 -1.5675929911617879 0.0031577947135774894 0.0029753646467704249,0.021294252270998227 0.078538341586529184 0.13978371341894444 0.16066873632835216 0.15751149772750273 0.1477078206285245,0 0 0 0 0 0,-7.009619978406309e-15 0 8.1492075674067257e-16 0 4.8388971687430936e-16 -2.6654220045949256e-17
ur,tetrapga,0.024756579,0.007721513,0.315272121,0,15.265221,0.041971,0.831668,0.011084,2.959245,0.06064,19.301471,0.028992,5.812962,9.216628,5.78546,9.115955,0.018235,0.032173,0.019604,0.006337,0.006654,0.006613,0,0,15.02959,0.235631,42,21,2.954375,0.009051,2.954375,19.384845,0.76326105,1,0,0,0.021244166,0.003948179,1,5,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,5.3772198419762057e-19 -1.5707963267948966 -8.7086654861670077e-20 -1.5707963267948966 -8.7816695332417679e-20 4.6411067308476532e-21,1.5257865937365936e-17 7.0814156445375937e-17 -2.2376787981211689e-18 2.1472241376139032e-17 -2.3808319845105985e-18 1.3066140608546681e-19,0.00046772749699169436 -1.5689004980208947 0.0034166949112804583 -1.5668457705857699 0.0038894035230094617 0.0036606923696200248,0.022734187872660759 0.079709175691619866 0.14083721225033913 0.16131221186566141 0.1577421981634273 0.14760339776768813,0.00085347027287788083 -1.5676466189851297 0.0056063370822864219 -1.5643521279364203 0.0063177156815347295 0.0059248508723662363,0.027496580906214995 0.083566647802954669 0.14428937274799927 0.16339920109475126 0.15846141275462514 0.14722772878888368,0 0 0 0 0 0,-7.009619978406309e-15 0 8.1492075674067257e-16 0 4.8388971687430936e-16 -2.6654220045949256e-17
ur,tetrapga,0.044228156,0.013910345,0.320560026,0,15.229865,0.037493,0.809969,0.010171,2.933472,0.023153,19.200674,0.02993,5.828094,9.162662,5.799472,9.065739,0.01892,0.027422,0.018707,0.005958,0.006165,0.006584,0,0,14.990756,0.239109,42,21,2.92972,0.008468,2.92972,19.281267,0.76149325,1,0,0,0.029711713,0.021079617,1,5,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,6.2910574851604091e-19 -1.5707963267948966 -9.9973103069089547e-20 -1.5707963267948966 -1.0220750452055582e-19 5.4251167997708856e-21,1.5217019591204022e-17 8.1867748584998548e-17 -2.1028056639459221e-18 2.4853104594172524e-17 -2.4072808076446244e-18 1.3067181450939522e-19,0.00096918390674669876 -1.5673007969972703 0.006201677450016786 -1.5636789455686981 0.0069698350045794711 0.0065301706026744911,0.028771189844043123 0.084595168865666773 0.14520491403805308 0.16394700269491996 0.15864247812845511 0.14711928309193537,0.00096894914457414149 -1.5709004708213585 0.002324714959750597 -1.567206534487426 0.003543613966694475 0.0032588540009361468,0.048447457228707039 -0.005207201323097101 0.11623574798752984 0.1794896153735252 0.17718069833472375 0.16294270004680733,-2.1053737726578796 25.333148091790552 13.634793160795505 1.201651981952059 -0.19660404094900508 0.0077088346554405824,-6.9908561812831028e-15 0 7.6673947741831385e-16 0 4.8928793499695863e-16 -2.6656342376914184e-17
ur,tetrapga,0.063609526,0.020170678,0.325813227,0,15.125756,0.036856,0.745447,0.010354,2.932062,0.024892,19.002095,0.022157,5.814205,9.077131,5.789151,8.985655,0.016,0.025303,0.01741,0.005893,0.005467,0.00605,0,0,14.891336,0.23442,42,21,2.928505,0.009193,2.928505,19.072843,0.7562878,1,0,0,0.035387676,0.002314887,1,5,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,9.0179171675552836e-19 -1.5707963267948966 -1.3379327276822582e-19 -1.5707963267948966 -1.4632906438529218e-19 7.777521098167169e-21,1.5095126092208058e-17 1.1485054407524507e-16 -1.7002487195449587e-18 3.4952390592909737e-17 -2.4862391666368003e-18 1.3070295157338271e-19,0.0015849792728743343 -1.5656144433761325 0.009057394619117096 -1.5604768582370225 0.010052350238718723 0.0093762790041023118,0.03477240476411203 0.089415516404420678 0.1494676674331564 0.1664649054583113 0.15942997547317025 0.14656377038626833,0.0011381856305461631 -1.5708856888988967 0.0024721699247250619 -1.5670079127437668 0.0037085307086946835 0.0033847042416897269,0.056909281527308113 -0.0044681052000006332 0.1236084962362531 0.18942070255649146 0.18542653543473417 0.16923521208448633,-2.1762710845765514 27.123395646065653 14.601532306965984 1.2818977979799862 -0.20951794579833283 0.0081225371965124842,-6.9348572692998786e-15 0 6.2290007797168312e-16 0 5.0540936332078096e-16 -2.6662698201835579e-17
ur,tetrapga,0.082736654,0.02577327,0.283666123,0.023686904,15.147767,0.036548,0.887727,0.010266,2.934779,0.019785,19.155608,0.021762,5.823872,9.091235,5.799165,8.998545,0.015855,0.025399,0.017413,0.005722,0.005251,0.00644,0,0,14.915107,0.23266,42,21,2.931369,0.008371,2.931369,19.22666,0.75738835,1,0,0,0.038164539,0.003456997,1,5,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,8.0241298073660839e-05 -1.5708287185983449 0.00019754342584480641 -1.5704019740038679 0.00042543644117505619 0.00037706890322978631,0.0059432809512448238 -0.00087018855915440793 0.015956815464521178 0.027377732914305935 0.029781308743332326 0.026380513794486259,0.0023066389262585405 -1.5638590357643936 0.011955839977234551 -1.5572699235196579 0.013108370279954368 0.012173807170170078,0.040685067747031123 0.094128661911018596 0.1535898437953368 0.16884628029275275 0.16010060207626012 0.14594379066137031,0.0013814096689949466 -1.5708279328902628 0.0028477411377328381 -1.5664332815205548 0.0042740600047342153 0.003865741801963021,0.065058418546064284 3.9285404112636489e-05 0.13250988559440161 0.1984346241656561 0.19243117817795796 0.17443364493666172,-2.326817968786647 28.184062207932474 14.862308824193473 1.281496572371132 -0.21364583719292665 0.0074217333124078919,-1.4279921054420501 7.684307794700544 3.5530356445830762 0.26364664652555803 -0.50882338826711671 -0.080771783686833132
ur,tetrapga,0.102044047,0.030641026,0.248049117,0.039926415,15.167102,0.040008,0.906214,0.010299,2.954262,0.024351,19.213758,0.024731,5.83226,9.095799,5.806734,9.003149,0.016416,0.025021,0.017471,0.005919,0.005482,0.00607,0,0,14.928059,0.239043,42,21,2.950012,0.008893,2.950012,19.289801,0.7583551,1,0,0,0.040524151,0.005291839,1,5,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00027313379013305035 -1.5708153275441672 0.00072195520990683555 -1.569508028922147 0.0013785495336018053 0.0012240375943748578,0.011092967407595635 0.0037224244632890102 0.032495685992817748 0.050429466533244843 0.053579813313588028 0.047727884459593264,0.0031496831012211355 -1.5619960983470729 0.014960730380365389 -1.5539875821075031 0.016205165980912661 0.014984980937325735,0.046641364228744098 0.09884003486181453 0.15766380412001652 0.17114475748349425 0.1606699535637541 0.14524597796746189,0.0017264470657543751 -1.5706466290710759 0.003569860530711825 -1.5653789124847048 0.0053411596681708778 0.0047930234666738927,0.072665663781066231 0.0084349236545641602 0.14239526604024946 0.20645582187210448 0.19813050672845356 0.17844929361495171,-2.3525935523466939 28.374319611614229 14.768990223127119 1.2562748894211193 -0.21171401083230926 0.006823114510205822,-2.461772146906176 13.097796412086609 5.9889622727955185 0.42110397623309836 -0.87021656582923335 -0.14651888043939998
ur,tetrapga,0.121383558,0.036264667,0.305412095,0.015808779,15.178881,0.036401,0.834428,0.009894,2.929244,0.020995,19.132656,0.023997,5.834356,9.112991,5.805925,9.019001,0.018848,0.025861,0.019093,0.006581,0.005774,0.006738,0,0,14.947347,0.231534,42,21,2.925162,0.008852,2.925162,19.205395,0.75894405,1,0,0,0.051073583,0.002051828,1,5,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00038563991461200767 -1.5706776429525247 0.0011453251439338728 -1.5690167674089879 0.001843477896601189 0.0016641843310954969,0.0040980512542663702 0.007965336760619916 0.018479528347869714 0.019213664502404266 0.015923854633454412 0.0161924421492796,0.0041092819627144665 -1.5600393353373125 0.018048611755689489 -1.5506563258193067 0.019317084292627663 0.017786626398025637,0.052593191809242261 0.10351083110855314 0.16165509754661894 0.17333992762354247 0.1611316708181374 0.14447482331388856,0.0020150000839276108 -1.5705047544100834 0.0041107257269085481 -1.5647143577592595 0.0059435990657817324 0.0053312401751298925,0.081468008465780145 0.0086444271220655067 0.14827002914873377 0.21512048248641624 0.2050060584590272 0.18335279220171977,-2.2437786968345024 30.19604079964472 16.101679801412221 1.3891985872826487 -0.22649168699556582 0.0083901225796664172,0.77708563710928891 -4.618274973611733 -2.3713168985856932 -0.3942685411666389 0.21486946779535465 -0.050458077127318646
ur,tetrapga,0.140649668,0.042256264,0.314136699,0.013950074,15.203567,0.036816,0.85374,0.011252,2.974953,0.023813,19.249655,0.025573,5.848363,9.118203,5.817045,9.024426,0.021197,0.026449,0.021046,0.00682,0.006708,0.007518,0,0,14.966566,0.237001,42,21,2.970062,0.010591,2.970062,19.325384,0.76017835,1,0,0,0.061388398,0.000521353,1,5,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00047484710380768096 -1.5705576514733133 0.0014561920509933368 -1.5686790610387296 0.0021249763395548731 0.001944070963269119,0.0051218254963826815 0.0057221822420958201 0.016084185298232894 0.017709222828487779 0.014870076957461396 0.014627933721486786,0.0051795341262221807 -1.5580006614322957 0.021200651868572541 -1.5472965370532998 0.022425026714776572 0.020562119530622348,0.05850593232890338 0.10811385256087441 0.16554051979530651 0.17541917143133101 0.16148341889540951 0.14363511483483854,0.0022961817850911414 -1.5704075736902945 0.0045414075169236869 -1.5641970506801033 0.0063691796844543395 0.0057143292705504967,0.091066734064173024 0.007503889150944471 0.15426077329651747 0.22410051793131461 0.21221016724497332 0.18851291536406889,-2.3753569920908424 32.445992482300824 17.276442848812891 1.4853185874327499 -0.2425296990800998 0.0088439860754075759,0.68975742858779476 -4.0939620695080521 -2.0925111351808585 -0.3535977566443762 0.19410412045907943 -0.045203811273989203
ur,tetrapga,0.160032576,0.048311732,0.317487993,0.010875113,15.140693,0.041212,0.872457,0.010866,2.926732,0.020251,19.132271,0.023885,5.812686,9.094782,5.786837,9.003482,0.016673,0.025392,0.016904,0.005623,0.005429,0.005852,0,0,14.907468,0.233225,42,21,2.922477,0.009134,2.922477,19.2088,0.75703465,1,0,0,0.072287812,0.000300142,1,5,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00060034342501952536 -1.5704730017214426 0.0017738548125068941 -1.5682895825059073 0.0024656924084563679 0.002267403817587413,0.006725870130522448 0.0032679908238508158 0.015367912487412656 0.019435969061842084 0.01740492399462077 0.016229027687208467,0.0063710495484873616 -1.5558606405841879 0.024446442371295975 -1.5438770119256218 0.025557593978954882 0.023337420042636465,0.064435697475099571 0.11269250486943296 0.16935642844460763 0.17740170311926171 0.161728188073781 0.14271869728026876,0.004194310582395242 -1.5695280779532408 0.0080604461545498354 -1.559656181763565 0.010603587820267137 0.0094575122085213785,0.094906439865205028 0.043974786852689546 0.17595193188130739 0.22704344582691505 0.2117204067906398 0.18715914689854413,-3.7075552634224467 27.72594067013469 11.899011174592676 0.8865747727027341 -0.17752849338416765 0.0010157298973838809,0.49681377297416152 -3.0994383107554313 -1.631266998181788 -0.30926198377164837 0.13597806104487198 -0.050069155645508623
ur,tetrapga,0.179974643,0.052809496,0.312093075,0.00350806,15.304134,0.036802,0.810966,0.011697,2.917276,0.026286,19.276065,0.031927,5.882789,9.177412,5.849624,9.081219,0.023456,0.029516,0.022761,0.007044,0.007174,0.008543,0,0,15.060201,0.243933,42,21,2.913411,0.009167,2.913411,19.357935,0.7652067,1,0,0,0.082860867,0.020683856,1,5,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0011751404680608712 -1.5704154403715027 0.0027924241712171641 -1.5667960160123833 0.0038829591893270467 0.0035323610740732852,0.011347505330734982 0.0006600919718431728 0.018529994689141231 0.026551366943031444 0.024984389828295407 0.022154658452020238,0.0077166815436707781 -1.5535668161532052 0.027862085482169893 -1.5403198724369416 0.028784352395653301 0.026173506573374413,0.070514496674268373 0.11734656382959122 0.17318323750701442 0.17932603394916422 0.16186572483691591 0.14170129286401006,0.0033782862524905262 -1.5702698784425839 0.0061107770172224426 -1.5620048886612807 0.0083577232597982134 0.0074570296312058415,0.11015728922148274 0.0072780964459368356 0.16591764230026393 0.23955636755512477 0.22373820352355828 0.19623342785662784,-2.7264482802840386 36.761554444683618 19.31673856080009 1.6385234436898957 -0.27048878844107171 0.0091985198093591652,-0.068040717217108693 -0.21322090505873348 -0.33652617295385667 -0.1964513399398129 -0.029413565966756039 -0.068307900878508576
