robot,backend,t,tracking_error,velocity_error,torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,solver_dam_calc_ms,solver_dam_calcdiff_ms,solver_dynamics_calc_ms,solver_dynamics_calcdiff_ms,solver_cost_sum_calc_ms,solver_cost_sum_calcdiff_ms,solver_cost_item_total_ms,solver_state_cost_total_ms,solver_control_cost_total_ms,solver_velocity_cost_total_ms,solver_collision_cost_total_ms,solver_collision_residual_total_ms,solver_model_total_ms,solver_overhead_ms,solver_dam_calc_calls,solver_dam_calcdiff_calls,initial_dam_calc_ms,initial_cost_sum_calc_ms,initial_model_total_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,u_cmd,effort
ur,tetrapga,0.000058128,0.000017936,0.308567238,0,1.212564,0.008978,1.087699,0.003195,0.068066,0.102588,2.568385,0.040828,0.328439,0.482166,0.274096,0.369894,0.044786,0.099612,0.065193,0.02635,0.015923,0.02292,0,0,0.810605,0.401959,168,84,0.054936,0.010549,0.054936,2.620278,0.0606282,4,1,0,0.007617099,0,1,5,5,1,0 0 0.060000000000000005,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,1.0991940928822734e-19 -1.5707963267948966 -1.6739508850488992e-20 -1.5707963267948966 -2.4097004333633622e-20 9.8300913682391092e-22,1.5473182228257129e-17 1.8727232152543765e-17 -2.5697735833058249e-18 5.5837734060452927e-18 -2.6241152073789054e-18 1.3042392883030392e-19,8.7539771059019961e-07 -1.5707920575836567 7.8571948191476115e-06 -1.570787153257504 9.0936515285776716e-06 8.6093903138628022e-06,0.015068852211294675 0.073452405075946761 0.13517730658740335 0.1578203607593795 0.15644347565810643 0.14811037276655425,0.00036433623834412719 -1.5692722242064747 0.0027574816802496908 -1.5676021601390915 0.0031488057719500965 0.0029669350732663162,0.021276545410458161 0.078523930870327566 0.13977073053496836 0.16066078756485297 0.15750862258104009 0.14770907825059279,0 0 0 0 0 0,-6.9188035569018708e-15 0 8.5069588879620827e-16 0 5.8255670334174047e-16 -2.6444330965882933e-17
ur,tetrapga,0.019995461,0.005646644,0.265244556,0.024648854,0.822177,0.005003,0.335649,0.002233,0.044152,0.027691,1.324265,0.02514,0.248634,0.315354,0.210638,0.265919,0.030749,0.041939,0.034674,0.011932,0.008245,0.014497,0,0,0.563988,0.258189,168,84,0.040834,0.007724,0.040834,1.355492,0.04110885,4,1,0,0.014323817,0,1,5,5,1,0 0 0.060000000000000005,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,6.8188758632714989e-05 -1.5708260538436265 0.00016602851547457023 -1.570457422926488 0.00036519623231254001 0.00032338886199574429,0.0061674929018190848 -0.0013942716368537693 0.0158493854028465 0.027806611829478401 0.030495215256160821 0.026838188036941119,0.00036300351031518072 -1.5692771445698097 0.0027487231146033422 -1.5676122279951457 0.0031389352780520231 0.0029576785452075731,0.021257101602246278 0.078508106177069631 0.13975647331591326 0.16065205806450511 0.15750546432856871 0.14771045849806108,0.00085190157522280197 -1.5676513876425493 0.0055981029953195678 -1.5643614527475993 0.0063086725198336566 0.0059164486908367094,0.027478892810747554 0.083552363143818573 0.14427664254529488 0.16339156708964128 0.15845886608702123 0.14722921023211455,0 0 0 0 0 0,-1.4595593751016065 7.8795610239067173 3.6973281384849335 0.27680138169853308 -0.5452894551822105 -0.080487818690582635
ur,tetrapga,0.040016674,0.010495653,0.2286942,0.041177942,0.912807,0.022009,0.231206,0.001815,0.043715,0.020252,1.313344,0.020895,0.300019,0.339019,0.253107,0.28845,0.038022,0.04219,0.038809,0.01343,0.009194,0.016185,0,0,0.639038,0.273769,189,84,0.04105,0.006138,0.04105,1.358218,0.04564035,4,1,0,0.027906219,0.000000001,1,5,5,1,0 0 0.060000000000000005,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00025717234170555649 -1.5708288084961897 0.00065821576365884707 -1.5696016662099637 0.0012828208846366845 0.0011346954093616379,0.011500151946657917 0.0029487622316181116 0.032518533509869336 0.05121650118974877 0.054807665039660509 0.048549677125804901,0.00085076273150862128 -1.5676548510071406 0.0055921223430504966 -1.5643682258666756 0.0063021038043513875 0.0059103454288586205,0.027466044424021899 0.083541986767087378 0.14426739507430633 0.1633860213051703 0.15845701564009365 0.14723028592882628,0.0013955561280479742 -1.568367606099748 0.0057281892332752028 -1.5636084907624133 0.0071504734720231984 0.0065833063708298899,0.043599219457684829 0.0448684642391428 0.13110180188042941 0.1693037441937868 0.16794025955528541 0.1527439189508055,-2.1024759968696212 14.797064342471419 7.8936359954938062 0.9356537771492468 -0.74007952271520272 0.0026425758290620333,-2.5820544098640257 13.49008843322008 6.1766913438961151 0.44050750967835484 -0.94386477092812626 -0.14904798062747915
ur,tetrapga,0.060014262,0.01508655,0.234521677,0.019808036,1.154503,0.023327,0.360046,0.002799,0.068923,0.039431,1.784076,0.036334,0.348239,0.44403,0.294342,0.374983,0.043633,0.05779,0.048328,0.016635,0.011046,0.020647,0,0,0.792269,0.362234,126,63,0.065017,0.010359,0.065017,1.846808,0.05772515,3,1,0,0.044866152,0.000000005,1,5,5,1,0 0 0.060000000000000005,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00049693705242668791 -1.5706912500038384 0.0013611423309161414 -1.5685735809683206 0.0023482779699963625 0.002090026229022217,0.011777248331606502 0.0095170837746684188 0.036118530583710957 0.049547919682345253 0.050503898708737026 0.045621784052919549,0.0014619631339763853 -1.5659343148061053 0.008521427845525141 -1.561074519257136 0.0094794041259005611 0.0088491476045094216,0.03365986478310707 0.088524667881562658 0.14868339184122933 0.16600577415740833 0.15929209484018639 0.14667235623237831,0.0017104432854014549 -1.5705449052587086 0.0037960152110533916 -1.564964405719649 0.0059998130018850369 0.0053503675800957301,0.060675311648738357 0.0073172372564877571 0.12174364400686249 0.18045876243357217 0.18257675159443373 0.16301706755367568,-4.1286631130621672 29.968156341103555 16.063923381010618 1.8953274307953012 -1.4669050877217469 0.005639428610110713,-1.3188385521598622 6.5366519766303099 2.8223559914429366 0.051638411161547992 -0.52183013258403577 -0.14050923462154685
ur,tetrapga,0.080003687,0.020241738,0.273271565,0.018939012,1.410821,0.012409,0.597809,0.003158,0.075877,0.043757,2.284156,0.030201,0.413552,0.534106,0.329798,0.434534,0.072054,0.085904,0.08606,0.025623,0.033518,0.026919,0,0,0.947658,0.463163,126,63,0.071028,0.011283,0.071028,2.328275,0.07054105,3,1,0,0.055376014,0,1,5,5,1,0 0 0.060000000000000005,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00068815337552035076 -1.5704601189671743 0.0019741505874098192 -1.5678344143875045 0.0030657173196675003 0.0027520746311968563,0.008185616015693193 0.011291923275226629 0.026287647917344024 0.030147568755830252 0.028084978154258505 0.02638259566361199,0.0021966014373104399 -1.5641153700166899 0.011536881327090876 -1.5577309190113771 0.012670942193994922 0.011774820276410964,0.03984092049717225 0.093457972802249406 0.15300606574994383 0.16851235528958089 0.16001127101485887 0.14603672984631841,0.0020822131423237442 -1.5703263935550686 0.0045124357716774723 -1.5640615002570251 0.0068600257683260248 0.0061084291399469441,0.069702988340169678 0.0066862706052863777 0.12691425921338267 0.18864570652396784 0.18971542243292619 0.16781772543750437,-4.2273877097579229 32.198049207162704 17.475112064224039 2.0520077360926061 -1.5400864164617492 0.006731217399021913,0.91650400361401196 -5.4814102192840437 -2.8408517870428707 -0.51179303357730532 0.24916496974457836 -0.081698717434376178
ur,tetrapga,0.100014531,0.025815279,0.275070291,0.01358958,1.533898,0.01675,0.462754,0.003146,0.072016,0.043802,2.260577,0.035163,0.515493,0.571782,0.436078,0.483724,0.06396,0.07344,0.065871,0.023422,0.01553,0.026919,0,0,1.087275,0.446623,189,84,0.067529,0.011137,0.067529,2.314479,0.0766949,4,1,0,0.063943919,0,1,5,5,1,0 0 0.060000000000000005,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00086608169055322538 -1.5702914506809436 0.0024513582473472953 -1.5672461222728862 0.0036208753552033827 0.003264747561083046,0.010828451724472792 0.0081486726378761348 0.026489158482299029 0.033081500675719404 0.03162924859840105 0.028873206696909196,0.0030556583759933768 -1.5621961955916563 0.014641179331353692 -1.5543346832409091 0.015879139102151846 0.014690123890319994,0.046015898532316295 0.098347032911580992 0.15723973194222005 0.17090815936849768 0.1606151965578437 0.14532272158122767,0.0030049102334078056 -1.5699749280078423 0.0062228752601485374 -1.5617625729595184 0.009102981787715167 0.0080839292707954903,0.076538140848466024 0.016699705508193656 0.13704891253180762 0.19456191527185934 0.19312656129752315 0.1698670460140248,-4.8934170730236612 31.89758219246194 16.204192307034852 1.9095920714701147 -1.5599591204306062 0.0038224130717344276,0.61201470763485943 -3.8202875135812064 -2.0384369276075507 -0.43477003237057943 0.15081194794739083 -0.08861343571064495
ur,tetrapga,0.120016245,0.03102062,0.258599553,0.006610253,1.525564,0.020159,0.558637,0.003877,0.091746,0.041183,2.435255,0.038953,0.464578,0.582461,0.39262,0.495317,0.058235,0.072563,0.064193,0.022277,0.015071,0.026845,0,0,1.047039,0.478525,126,63,0.087017,0.015192,0.087017,2.496859,0.0762782,3,1,0,0.078020076,0,1,5,5,1,0 0 0.060000000000000005,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0011838601275023374 -1.5701789575399572 0.0030831188022076889 -1.5663634972832874 0.004479400964247736 0.0040329901815616938,0.018092754503288837 0.004597081271809641 0.033910597366711051 0.047068813917732225 0.046437710384316336 0.041131111663009312,0.0040376579241210584 -1.5601806424241682 0.017827769470427399 -1.5508932321366662 0.019096786676266748 0.017589045161882314,0.052172913955988415 0.10318223510816604 0.16137588852181792 0.17318827147214039 0.16110260088714437 0.14453171021653896,0.0029705793233111644 -1.5700810770294245 0.0058453787340073914 -1.5622622036978182 0.0085563026187705574 0.0075770014376508408,0.089335959790441344 0.004894025526630737 0.13811299658998513 0.20506467927346411 0.2038450827261411 0.17720056280445734,-4.9863630420842133 37.259131518246072 19.891876288949483 2.3264577296104441 -1.7784886720750157 0.006775597218748289,0.049849345272054535 -1.0689928444535326 -0.822234423859598 -0.37017415242280549 -0.048738891602642553 -0.12663038091582735
ur,tetrapga,0.140004395,0.036487233,0.285331923,0.010264489,2.230146,0.010328,0.669814,0.005212,0.114031,0.065853,3.411339,0.063211,0.677595,0.845284,0.574661,0.718876,0.083315,0.105741,0.091762,0.031909,0.021183,0.03867,0,0,1.522879,0.707267,126,63,0.108371,0.01648,0.108371,3.487989,0.1115073,3,1,0,0.090620143,0,1,5,5,1,0 0 0.060000000000000005,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0014984216012628932 -1.5700705762563885 0.0036710450159157882 -1.5655805650328218 0.0052376860918462165 0.0047064938963058368,0.013994382350210164 0.0056883949155052734 0.026173641588411078 0.034261853223204901 0.032698127175538057 0.029146145253791497,0.0051418456259485299 -1.5580703749125731 0.021093874542239047 -1.5474097084106817 0.022320829054594517 0.02046942621972897,0.058308188674410635 0.10796051334187916 0.16541187019155376 0.17535128029425365 0.16147338747880027 0.14366438975254708,0.0048180451613564074 -1.5694805043915898 0.008936457512746989 -1.5580974819987328 0.01260960693750833 0.011097013664402048,0.092373291902262164 0.030028631891732202 0.15455393893697988 0.2082360849542686 0.20266521593688863 0.1760006113375604,-6.0371505526765405 33.243438784059606 15.543974427924903 1.8478386664923294 -1.6668794216167393 0.00074025710196694945,0.3185549754424315 -2.5731766113021877 -1.539673421114184 -0.37990746943160048 0.092578650105743066 -0.090063477552941862
ur,tetrapga,0.160014409,0.041737632,0.241926249,0.006456149,2.979433,0.016233,1.25434,0.007589,0.172007,0.08532,5.013278,0.083264,0.896284,1.136045,0.757292,0.958888,0.112799,0.149324,0.12952,0.044657,0.028077,0.056786,0,0,2.032329,0.947104,126,63,0.162112,0.026042,0.162112,5.116656,0.14897165,3,1,0,0.104772298,0.000000003,1,5,5,1,0 0 0.060000000000000005,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0019326221106020847 -1.5700261204448656 0.0043400269125045141 -1.5645698213769121 0.0062213440134387217 0.0055652564612776959,0.030135827861066701 0.0010730883872544304 0.044507879318612407 0.065611806679336165 0.065190255451578139 0.056163973746185321,0.006369878995568911 -1.5558626878301709 0.024443365705145995 -1.5438802347659526 0.025554655864580226 0.023334827263956404,0.064430149216398835 0.11268823856870998 0.16935289613878313 0.17739989657629393 0.1617280099239588 0.14271958971956983,0.0041125764765044849 -1.5699014369647075 0.0073478162289331659 -1.5601542090951832 0.010554788879086285 0.009275307265539115,0.10899771829512001 0.0062341740079017265 0.15038946582143259 0.22078061408644992 0.21667224328237816 0.18550254021307092,-5.6832056177982322 41.736404368399619 21.976781573684182 2.5627819314948157 -1.9847517102639689 0.006724357252366777,-0.54677164909041664 2.1305292989218287 0.66977313627223722 -0.3034935791092721 -0.26953727685840789 -0.17069228283031279
ur,tetrapga,0.180017873,0.047066237,0.293995368,0.011719861,2.969988,0.01681,0.994949,0.007292,0.181173,0.101289,4.657442,0.080991,0.904408,1.125076,0.765625,0.945391,0.112634,0.15159,0.130262,0.04312,0.029843,0.057299,0,0,2.029484,0.940504,126,63,0.171299,0.025227,0.171299,4.759264,0.1484994,3,1,0,0.119257336,0,1,5,5,1,0 0 0.060000000000000005,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0023999644491674069 -1.5699463557144624 0.0050700628154110809 -1.5635759246021443 0.0071927579210080677 0.0064070802060062441,0.016562767988333914 0.0063007234135632464 0.027624599419978572 0.035352062552513608 0.033038808212393578 0.029129582275895294,0.0077197301696322858 -1.5535617430445574 0.027869572370450742 -1.5403121200850871 0.02879134985466229 0.026179632270825957,0.070527648182967015 0.11735658892379972 0.17319142264176321 0.17933007766693468 0.16186589704692561 0.14169900555241693,0.0063396347932488592 -1.5692128880156675 0.010709733799943265 -1.5556784710749156 0.014855249118337552 0.012956724990762503,0.11135291583721871 0.034427447451996974 0.16809587855050498 0.22378690101338167 0.21502301196256332 0.18407088626116944,-6.7625460681383327 37.04150088557482 17.268050335469454 2.0529090924963724 -1.8460550571584751 0.00080703443059941169,0.17131109644816434 -2.5596417857123015 -1.7579791064828676 -0.40472316951036191 0.095370828502876037 -0.096351623744041603
