case_name,summary_file,robot,backend,num_cycles,tracking_rmse,tracking_mean,tracking_p95,torque_ratio_mean,torque_ratio_p95,torque_ratio_max,solve_time_mean_ms,solve_time_p95_ms,reference_build_mean_ms,reference_build_p95_ms,problem_build_mean_ms,problem_build_p95_ms,warm_start_mean_ms,warm_start_p95_ms,initial_calc_mean_ms,initial_calc_p95_ms,solver_setup_mean_ms,solver_setup_p95_ms,mpc_pipeline_mean_ms,mpc_pipeline_p95_ms,publish_command_mean_ms,publish_command_p95_ms,solver_dam_calc_mean_ms,solver_dam_calc_p95_ms,solver_dam_calcdiff_mean_ms,solver_dam_calcdiff_p95_ms,solver_dynamics_calc_mean_ms,solver_dynamics_calc_p95_ms,solver_dynamics_calcdiff_mean_ms,solver_dynamics_calcdiff_p95_ms,solver_cost_sum_calc_mean_ms,solver_cost_sum_calc_p95_ms,solver_cost_sum_calcdiff_mean_ms,solver_cost_sum_calcdiff_p95_ms,solver_cost_item_total_mean_ms,solver_cost_item_total_p95_ms,solver_collision_cost_total_mean_ms,solver_collision_cost_total_p95_ms,solver_collision_residual_total_mean_ms,solver_collision_residual_total_p95_ms,solver_model_total_mean_ms,solver_model_total_p95_ms,solver_overhead_mean_ms,solver_overhead_p95_ms,initial_model_total_mean_ms,initial_model_total_p95_ms,enable_collision_cost,collision_obstacle_count,collision_weight,collision_safety_distance,realtime_ratio_mean,deadline_miss_rate,failure_rate,dt,horizon,solve_budget_ms,control_rate_hz,experiment_duration_s,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque
com_01cm_x_tetrapga,com_01cm_x_tetrapga_summary.csv,ur,tetrapga,1000,0.165105383,0.159034153,0.227713389,0.143871563,0.29591746,1,3.519758518,10.396133,0.013765018,0.025264,0.78536048,1.329231,0.005201731,0.008949,0.110931429,0.181475,0.055188242,0.095302,4.731388114,11.255059,0.044708498,0.078181,1.677090213,7.062429,0.996920035,1.770844,1.393292508,5.91271,0.835738727,1.490119,0.23517274,0.981941,0.136470143,0.243898,0.186271283,0.624739,0,0,0,0,2.674010248,8.75569,0.84574827,1.65703,0.104364904,0.171159,0,4,50,0.08,0.175987926,0,0,0.02,20,10,50,20,1,5,5,1,0.01 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_01cm_y_tetrapga,com_01cm_y_tetrapga_summary.csv,ur,tetrapga,1000,0.16327892,0.157280433,0.225876792,0.143792027,0.295175227,1,3.175016294,10.345998,0.012240112,0.026086,0.675303045,1.283258,0.004158659,0.007801,0.090609118,0.181405,0.045160816,0.087002,4.20103086,10.963968,0.038379108,0.072662,1.585391662,7.049904,0.855435064,1.68994,1.317616325,5.886042,0.714809762,1.422449,0.221882849,0.975712,0.119415522,0.230214,0.172534918,0.622154,0,0,0,0,2.440826726,8.724039,0.734189568,1.619312,0.085038577,0.171456,0,4,50,0.08,0.158750815,0,0,0.02,20,10,50,20,1,5,5,1,0 0.01 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_01cm_z_tetrapga,com_01cm_z_tetrapga_summary.csv,ur,tetrapga,1000,0.164416895,0.158286602,0.227726844,0.143623799,0.293672441,1,3.387239017,10.413497,0.01634804,0.031103,0.753887518,1.307685,0.004855451,0.008549,0.102846119,0.178872,0.052269145,0.089073,4.538648005,11.180102,0.042991916,0.078041,1.662609079,7.086007,0.936818322,1.73521,1.384108557,5.909124,0.785350745,1.45572,0.230294135,0.977501,0.128467208,0.237166,0.180546913,0.622904,0,0,0,0,2.599427401,8.772102,0.787811616,1.629947,0.096675083,0.169129,0,4,50,0.08,0.169361951,0,0,0.02,20,10,50,20,1,5,5,1,0 0 0.060000000000000005,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_02cm_x_tetrapga,com_02cm_x_tetrapga_summary.csv,ur,tetrapga,1000,0.164171426,0.158172681,0.227066118,0.145339379,0.29545916,1,3.249844513,10.376948,0.012841716,0.027876,0.750605299,1.414001,0.004637279,0.008841,0.097086119,0.189068,0.049305052,0.092679,4.382386796,11.015736,0.043253825,0.084131,1.599990925,7.075246,0.888589183,1.696448,1.328186544,5.90201,0.740550373,1.421122,0.225613211,0.977162,0.125799667,0.243358,0.176936335,0.623952,0,0,0,0,2.488580108,8.743004,0.761264405,1.6371,0.091054947,0.177184,0,4,50,0.08,0.162492226,0,0,0.02,20,10,50,20,1,5,5,1,0.02 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_02cm_y_tetrapga,com_02cm_y_tetrapga_summary.csv,ur,tetrapga,1000,0.164408709,0.158447059,0.227129761,0.14559577,0.298115184,1,3.265316343,10.387931,0.012885079,0.026551,0.762784622,1.34034,0.004699178,0.008338,0.100652095,0.184233,0.050660475,0.092272,4.41914435,11.173789,0.043539403,0.078151,1.58290929,7.063308,0.909386939,1.729276,1.31461956,5.877984,0.759940777,1.451272,0.222475561,0.974193,0.126587895,0.238355,0.175275245,0.623591,0,0,0,0,2.492296229,8.750253,0.773020114,1.646214,0.094377508,0.173071,0,4,50,0.08,0.163265817,0,0,0.02,20,10,50,20,1,5,5,1,0 0.02 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_02cm_z_tetrapga,com_02cm_z_tetrapga_summary.csv,ur,tetrapga,1000,0.163727223,0.15769137,0.226562703,0.141219711,0.289028023,1,3.407543488,10.363656,0.016625206,0.032881,0.761962933,1.461885,0.004715845,0.008913,0.100035931,0.185375,0.050039046,0.091239,4.567915985,11.015582,0.042765605,0.079001,1.678510845,7.075291,0.937737693,1.718772,1.392928903,5.905456,0.777352635,1.432161,0.236817634,0.981311,0.136686893,0.25415,0.191341663,0.637645,0,0,0,0,2.616248538,8.751686,0.79129495,1.628767,0.093816823,0.175312,0,4,50,0.08,0.170377174,0,0,0.02,20,10,50,20,1,5,5,1,0 0 0.070000000000000007,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_05cm_x_tetrapga,com_05cm_x_tetrapga_summary.csv,ur,tetrapga,1000,0.165512409,0.159493823,0.228821763,0.146870534,0.30861473,1,3.573169821,10.378297,0.015213184,0.029453,0.858825263,1.462386,0.005380972,0.009047,0.116183568,0.195452,0.056962127,0.094352,4.876538343,11.218301,0.046856633,0.080356,1.697622187,7.051439,1.016176427,1.754793,1.408298113,5.888096,0.847200804,1.46263,0.240221821,0.979192,0.143967509,0.254418,0.193029823,0.626095,0,0,0,0,2.713798614,8.734596,0.859371207,1.650554,0.109032277,0.183775,0,4,50,0.08,0.178658491,0,0,0.02,20,10,50,20,1,5,5,1,0.050000000000000003 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_05cm_y_tetrapga,com_05cm_y_tetrapga_summary.csv,ur,tetrapga,1000,0.164955339,0.158945804,0.224429646,0.150102905,0.308984951,1,3.520460832,10.430608,0.013904484,0.027891,0.818021586,1.437613,0.00507376,0.008847,0.108197225,0.192299,0.054270876,0.095506,4.754637376,11.252184,0.04431289,0.077582,1.726732001,7.090753,0.967100727,1.750432,1.432427449,5.901659,0.80682344,1.46495,0.244372291,0.991526,0.136013846,0.245057,0.191193887,0.635169,0,0,0,0,2.693832728,8.769368,0.826628104,1.678034,0.10164011,0.182031,0,4,50,0.08,0.176023042,0,0,0.02,20,10,50,20,1,5,5,1,0 0.050000000000000003 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_05cm_z_tetrapga,com_05cm_z_tetrapga_summary.csv,ur,tetrapga,1000,0.164624978,0.158487649,0.227854039,0.144275284,0.293280562,1,3.253653606,10.322378,0.015555713,0.030253,0.764859392,1.400586,0.004578277,0.008393,0.09722404,0.178717,0.049272147,0.088282,4.404987166,10.982719,0.044159542,0.080183,1.596503949,7.060091,0.892347104,1.673135,1.325662037,5.886926,0.743789944,1.403504,0.224566445,0.981854,0.125805385,0.236812,0.175660523,0.621758,0,0,0,0,2.488851053,8.701044,0.764802553,1.619685,0.091137642,0.168344,0,4,50,0.08,0.16268268,0,0,0.02,20,10,50,20,1,5,5,1,0 0 0.10000000000000001,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
external_10N_tetrapga,external_10N_tetrapga_summary.csv,ur,tetrapga,1000,0.177214601,0.171910922,0.242525063,0.103881838,0.209761931,1,1.837766212,3.649509,0.015789595,0.029193,0.861629176,1.448196,0.005000621,0.008939,0.107038226,0.196239,0.05457893,0.097299,3.128504769,5.766776,0.051055401,0.09448,0.564618705,1.11253,0.701199793,1.383913,0.46398406,0.897166,0.57913653,1.132959,0.084488184,0.1791,0.104269953,0.216562,0.091226513,0.194222,0,0,0,0,1.265818498,2.536259,0.571947714,1.112594,0.100146463,0.183909,0,4,50,0.08,0.091888311,0,0,0.02,20,10,50,20,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,10 0 0,0 0 0
