robot,backend,t,tracking_error,velocity_error,torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,solver_dam_calc_ms,solver_dam_calcdiff_ms,solver_dynamics_calc_ms,solver_dynamics_calcdiff_ms,solver_cost_sum_calc_ms,solver_cost_sum_calcdiff_ms,solver_cost_item_total_ms,solver_state_cost_total_ms,solver_control_cost_total_ms,solver_velocity_cost_total_ms,solver_collision_cost_total_ms,solver_collision_residual_total_ms,solver_model_total_ms,solver_overhead_ms,solver_dam_calc_calls,solver_dam_calcdiff_calls,initial_dam_calc_ms,initial_cost_sum_calc_ms,initial_model_total_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,u_cmd,effort
ur,tetrapga,0.000106002,0.000032709,0.308580218,0,1.695025,0.013679,1.734132,0.005111,0.104958,0.164521,3.879091,0.060344,0.456995,0.679295,0.371728,0.553285,0.07232,0.109505,0.094677,0.03487,0.026869,0.032938,0,0,1.13629,0.558735,126,63,0.087849,0.016164,0.087849,3.956575,0.08475125,3,1,0,0.00761774,0,0.7,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,6.7384763963530928e-20 -1.5707963267948966 -1.7330474300993069e-20 -1.5707963267948966 -1.5748040060209939e-21 8.1453149122978056e-23,5.0251185303166123e-18 2.8528292213580097e-17 -1.2585983188206008e-18 1.9443360394921059e-18 -1.0806711920896652e-19 6.0044755956193729e-21,1.5971597358815069e-06 -1.5707885408314364 1.4328938851991822e-05 -1.5707795975996914 1.6583290791106096e-05 1.5700005558675707e-05,0.015083715997969168 0.073464594516926773 0.13518840469185664 0.15782728974249133 0.15644616213745147 0.14810950620787983,0.0003653551872375333 -1.5692684646624357 0.0027641733249060656 -1.5675944685049306 0.0031563463974853484 0.0029740064724279474,0.021291399331317181 0.078536019744862476 0.1397816216551169 0.16066745567796412 0.15751103454498117 0.14770802330076976,0 0 0 0 0 0,-2.3108919910884801e-15 0 4.6202598116350275e-16 0 2.1878805892797785e-17 -1.2245450684750464e-18
ur,tetrapga,0.020025554,0.005743658,0.263164893,0.021385372,0.624233,0.004116,0.257587,0.001745,0.039976,0.025546,1.039208,0.021084,0.185797,0.235646,0.157344,0.197627,0.02305,0.031801,0.026107,0.009049,0.006214,0.010844,0,0,0.421443,0.20279,126,63,0.037304,0.00668,0.037304,1.065443,0.03121165,3,1,0,0.014220481,0,0.7,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,4.9798888944964765e-05 -1.5708079708659843 0.00015612009528817564 -1.5705066867334707 0.00028961546605188611 0.00027038304605399695,0.0051555437101830403 0.00096623542468552846 0.0182797322647529 0.02902655851564678 0.029317220710421789 0.027439154343304333,0.00036364334076317454 -1.5692747819110298 0.0027529289091711004 -1.5676073934296855 0.0031436751128124801 0.0029621235860642064,0.021266438620624595 0.078515705324995286 0.13976331980948636 0.16065625014763593 0.15750698107765454 0.14770979579275431,0.00085321745491893062 -1.5676473873698751 0.0056050103509336941 -1.5643536303864196 0.006316258630730591 0.0059234971123024302,0.02749373099132655 0.083564346272882825 0.14428732169750305 0.16339797115918656 0.15846100249708683 0.14722796752320932,0 0 0 0 0 0,-0.94303393562995619 7.0571727726755853 3.051662168955426 0.059084498157062626 -0.12800569118815019 -0.074013805922977127
ur,tetrapga,0.040033798,0.010420044,0.223082386,0.026500126,2.050188,0.009755,0.584833,0.004799,0.111395,0.051666,3.101587,0.064058,0.625268,0.766947,0.529109,0.650359,0.077832,0.097839,0.086219,0.030902,0.01972,0.035597,0,0,1.392215,0.657973,126,63,0.105435,0.016861,0.105435,3.178452,0.1025094,3,1,0,0.018444797,0,0.7,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00021387780741594764 -1.5706829846109633 0.00078093446082347969 -1.5695742026283623 0.001217875462304618 0.001136547733886728,0.0089181550531181632 0.012819201362278813 0.039155284956043868 0.052416264527167938 0.052026739446943242 0.048601801030864089,0.00085123310549592142 -1.5676534203974595 0.0055945928106309606 -1.5643654280248316 0.0063048172288325578 0.0059128665964707419,0.027471351895981426 0.083546273109828373 0.1442712151068011 0.16338831223990669 0.15845778009087413 0.14722984161609062,0.0010870162615227797 -1.5704097243387132 0.0032212108238835338 -1.5660721245147089 0.0046637970467841095 0.0043128928581546589,0.043656922705341605 0.013663013612510799 0.1220138181530027 0.17510390568266665 0.17229607922397458 0.15881725621339654,-1.8776123236340934 20.744459742105452 10.807278449700314 0.93100762793046754 -0.15622371747268571 0.0053822898771819557,-1.2491616275528137 8.7450415326784423 3.5581863072628543 -0.050777833813299367 -0.21744473653583007 -0.14907134456986348
ur,tetrapga,0.060066011,0.015559599,0.268060695,0.019488365,3.296001,0.026005,1.093704,0.008053,0.192724,0.122336,5.062089,0.071708,0.941215,1.289458,0.775565,1.052619,0.138353,0.203927,0.17787,0.055976,0.047644,0.07425,0,0,2.230673,1.065328,126,63,0.180482,0.028226,0.180482,5.16395,0.16480005,3,1,0,0.024904798,0,0.7,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00033499790673841305 -1.5704009052066621 0.0013724109711792582 -1.5688941190271384 0.0018799469433384002 0.0017532473911357953,0.0057642008357125692 0.013349135807830498 0.026414017358169117 0.029325912762662741 0.028050536948659076 0.025991295019024689,0.0014637054127228108 -1.5659297334110063 0.0085291223550029178 -1.5610659284526662 0.0094876473845566019 0.0088567377122963069,0.033675880685578877 0.088537501341396402 0.14869470146040864 0.16601240847200635 0.15929410596378435 0.14667081115774525,0.0013798875409850421 -1.5701730667243063 0.0039095255623258843 -1.5652218837150147 0.0054649692279485247 0.005030206947396359,0.052244481712331453 0.011391924117789613 0.12685572955733126 0.18361176560617962 0.17925111423050624 0.16384797781302821,-1.9065036902971166 22.954614613006729 12.214461421574635 1.0640837784006045 -0.17440247980216264 0.0066406566736669434,0.82780597323748584 -6.3577960006005014 -2.9232547362430825 -0.40238832871546037 -0.042781743049925325 -0.081481045653873707
ur,tetrapga,0.080031299,0.020984086,0.273555759,0.008075866,0.96702,0.009983,0.408961,0.002257,0.053003,0.028016,1.578735,0.028015,0.281252,0.375809,0.233939,0.30683,0.039107,0.05961,0.050554,0.016849,0.014393,0.019312,0,0,0.657061,0.309959,126,63,0.04975,0.00774,0.04975,1.618203,0.048351,3,1,0,0.031799101,0,0.7,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00047527338173982005 -1.5702257427853166 0.0018568797183302263 -1.5682933688313978 0.0024573052833435798 0.0022846256525922816,0.0083994143515239358 0.0059034461376566757 0.023943843765678912 0.031520115397339205 0.030442661938253068 0.027874798172729805,0.0021977016425706922 -1.5641127893615288 0.011541106212128545 -1.5577262660014981 0.012675360437820648 0.011778852629732177,0.039849450370311415 0.09346475361065569 0.15301197258528776 0.16851573963006436 0.16001218438299228 0.14603579810344608,0.0017096204861166756 -1.5700917512143333 0.0044812808704030281 -1.5644487250641566 0.0061836574524522896 0.0056637648123018438,0.061717355218842772 0.0066995785491664201 0.13122005760364008 0.19223218836206007 0.18631760845543546 0.16895695798547811,-2.1735202322043325 25.900905172800297 13.623992121410895 1.173846742067062 -0.19423358832852833 0.0069677283198121718,0.31579635497987102 -2.5071886025361891 -1.2113798265630074 -0.28556833443235519 -0.07259295957752343 -0.083520104923838545
ur,tetrapga,0.100035797,0.02647109,0.278940713,0.004530709,1.860212,0.015708,0.611749,0.004101,0.097422,0.04351,2.870478,0.053551,0.591827,0.706217,0.496808,0.55863,0.080211,0.129231,0.107364,0.032633,0.032469,0.042262,0,0,1.298044,0.562168,126,63,0.089764,0.023654,0.089764,2.942134,0.0930106,3,1,0,0.038873676,0,0.7,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00067147397915092691 -1.570145710635837 0.0023359893439922241 -1.5676304461139603 0.0030950824175091339 0.0028649378920788588,0.010148155830633209 0.0031284646733441808 0.023388788612619518 0.032531653005314763 0.031306920945555781 0.028417667607692924,0.0030566370197873758 -1.5621941040886964 0.014644523238796234 -1.5543310486815658 0.015882554751088868 0.014693214314810665,0.046022453199968325 0.098352201522578175 0.15724418062735615 0.17091064464643338 0.16061577652533446 0.14532192155992088,0.0020881370937295436 -1.5700313705147713 0.0050784909518508444 -1.5636137790809241 0.0069580493454269587 0.0063419364506875943,0.070833155728930813 0.0057170060532869063 0.13712508039293103 0.20083335165181246 0.19314834639589123 0.1738499279304368,-2.3334559858089468 28.137107948924317 14.734364746056089 1.2616063718738586 -0.20925843792527582 0.0073109952842474917,0.10582681777472303 -1.1630996007825161 -0.67566814203864567 -0.25371967687897268 -0.086154013885936465 -0.087549321960349147
ur,tetrapga,0.120058489,0.032164108,0.28178295,0.004368948,2.233601,0.011616,0.793977,0.005089,0.119814,0.063028,3.552379,0.06589,0.679682,0.844545,0.576651,0.711821,0.083487,0.112462,0.096856,0.033342,0.021397,0.042117,0,0,1.524227,0.709374,126,63,0.113441,0.01837,0.113441,3.633166,0.11168005,3,1,0,0.046640396,0,0.7,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00087894943548243794 -1.5701059248740927 0.002768778905433891 -1.567008744288729 0.0036901722047299949 0.0034020890415933183,0.01207370337645255 0.0018638061445973013 0.024253556853936563 0.034643662467988154 0.033147946245433588 0.029848990645265319,0.0040398621909884533 -1.5601762833793138 0.017834586815813288 -1.5508859158721859 0.019103592313682864 0.017595150722440452,0.052185899940273797 0.10319239104973441 0.1613845216833914 0.173192965079349 0.1611035071651688 0.14452995804064345,0.0024798347722736203 -1.5699828508836513 0.0056440113995695589 -1.5628171335827203 0.0076900093809146256 0.0069768758872228998,0.080044266839559133 0.0061536995220660253 0.14376162470678336 0.20958053530043669 0.19999185880923154 0.17873934228147909,-2.464814727207806 30.138544003520376 15.730864501148622 1.3398431961010562 -0.2225837668698899 0.0076096238660883801,0.0060107037061296609 -0.45597899580116064 -0.37697610371601797 -0.24466109223794774 -0.095910920135022337 -0.091547974010268263
ur,tetrapga,0.140038448,0.037807818,0.286179781,0.004336773,2.757243,0.01412,0.91571,0.005859,0.147277,0.066584,4.256573,0.097105,0.803042,1.088857,0.659071,0.877183,0.121178,0.184126,0.132903,0.045846,0.034277,0.05278,0,0,1.891899,0.865344,126,63,0.138735,0.022885,0.138735,4.370766,0.13786215,3,1,0,0.055347792,0,0.7,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0011377314336294951 -1.5700748456603635 0.0032578612277784635 -1.5662997636310356 0.0043647077999598837 0.0040066927945572968,0.013495755808016168 0.0014624452203478111 0.024736691888493437 0.03551667904090508 0.033737860574917726 0.030156993953052155,0.0051438313723870263 -1.5580666983954057 0.021099507428296284 -1.5474037371124783 0.022326327716924534 0.020474318396923055,0.058318624724204932 0.10796860696558776 0.1654186620034781 0.17535486615083937 0.16147391989847834 0.14366284681711392,0.002924021820160543 -1.5699314985543773 0.0062675839904871942 -1.5619378332614777 0.0084952498803128277 0.0076734000123621811,0.089314519326552391 0.0071673552993090786 0.15048613813543649 0.21809651847789224 0.20652710401764721 0.18333536089024419,-2.5719849048825978 32.048971254533576 16.703018883043647 1.4168887131121597 -0.23535853681967897 0.0079426098711976867,-0.038710274939361966 -0.17674755267307773 -0.27009926615612656 -0.24285927535675 -0.099237883827548501 -0.092519784619085499
ur,tetrapga,0.160068804,0.043537492,0.289393484,0.004430162,4.474658,0.035852,1.774303,0.01048,0.2692,0.131005,7.177748,0.112486,1.290992,1.784983,1.063768,1.442938,0.190552,0.294463,0.248198,0.091602,0.068548,0.088048,0,0,3.075975,1.398683,126,63,0.253228,0.042027,0.253228,7.331166,0.2237329,3,1,0,0.065048118,0,0.7,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0014272276658349077 -1.5700484134609429 0.003762777171644954 -1.5655658972675413 0.0050577849500066958 0.0046235337201606082,0.015106786074341917 0.0013515814338837023 0.025768877396852539 0.036987189973059532 0.034880077689920103 0.030965982517433283,0.0063733841253506267 -1.5558565578060148 0.024452577943577202 -1.5438705849514687 0.025563453074183558 0.023342590423361925,0.064446761564468574 0.11270101243567493 0.16936347219692244 0.17740530537450816 0.16172854304675369 0.14271691742148396,0.0034029176626942663 -1.5698767665510009 0.0069105672263565102 -1.561034477125433 0.0093164745046194087 0.0083794652962136968,0.098784499842967929 0.0085823454970991794 0.15738950273557781 0.22657100710541034 0.21293447773063565 0.18779657880265441,-2.6757627249624552 33.922028462048473 17.650024262544434 1.491287527527541 -0.24773703512532302 0.0082495169093583232,-0.06918706862232149 0.00063487636634818045 -0.20847566622544633 -0.24808909926287015 -0.10350329865928742 -0.094965132986256862
ur,tetrapga,0.180049408,0.049462336,0.291223662,0.004303189,2.075589,0.014548,0.553631,0.004148,0.096482,0.065401,2.966416,0.039947,0.661387,0.790467,0.547814,0.64615,0.094232,0.124542,0.11337,0.041324,0.030712,0.041334,0,0,1.451854,0.623735,189,84,0.090843,0.01424,0.090843,3.022899,0.10377945,4,1,0,0.07254921,0,0.7,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0017064171389676978 -1.5700224645319163 0.0042253295705782764 -1.5648963056493437 0.0056859497279797451 0.0051794686381532191,0.017136001529575857 0.0011725191262217231 0.027255156175706556 0.039339303135484366 0.036834231373940325 0.032478457625658597,0.0077219544102843773 -1.5535580420892203 0.027875034056104423 -1.5403064648645821 0.028796454297701748 0.026184100722654556,0.070537241744341311 0.11736390175572767 0.17319739315084515 0.1793330270891533 0.16186602232532041 0.14169733680382929,0.0046620581748573666 -1.5693799704775095 0.0090077076071870422 -1.5583193971309373 0.011817828902106871 0.010565616193464553,0.10536953870131921 0.028482253197451769 0.17198796043598241 0.23229971282255402 0.21583083929036456 0.18930746131405479,-3.3380635253827187 32.328563161935129 15.455625919786717 1.2383349640597325 -0.22124981134694074 0.0047903196558281083,-0.039725909822271532 0.20589121867487847 -0.029595205506819156 -0.24097856705975573 -0.098239059960615549 -0.088062718812867757
