robot,backend,t,tracking_error,velocity_error,torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,solver_dam_calc_ms,solver_dam_calcdiff_ms,solver_dynamics_calc_ms,solver_dynamics_calcdiff_ms,solver_cost_sum_calc_ms,solver_cost_sum_calcdiff_ms,solver_cost_item_total_ms,solver_state_cost_total_ms,solver_control_cost_total_ms,solver_velocity_cost_total_ms,solver_collision_cost_total_ms,solver_collision_residual_total_ms,solver_model_total_ms,solver_overhead_ms,solver_dam_calc_calls,solver_dam_calcdiff_calls,initial_dam_calc_ms,initial_cost_sum_calc_ms,initial_model_total_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,u_cmd,effort
ur,tetrapga,0.000067636,0.00002087,0.308569816,0,1.238396,0.011673,0.839802,0.001951,0.069474,0.087819,2.380863,0.05274,0.368793,0.463667,0.309943,0.384019,0.048121,0.068425,0.053757,0.019867,0.012364,0.021526,0,0,0.83246,0.405936,168,84,0.056694,0.012753,0.056694,2.447641,0.0619198,4,1,0,0.007617227,0,1,5,5,1,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,1.3899249794898196e-19 -1.5707963267948966 -2.2223285197785028e-20 -1.5707963267948966 -2.7129792605718199e-20 1.2443922178164966e-21,1.5351859163244071e-17 2.2482868293323484e-17 -2.6688147404108238e-18 6.7112224022218694e-18 -2.3579772721340507e-18 1.3059439148378417e-19,1.0186863913129668e-06 -1.5707913591866802 9.1424711288406908e-06 -1.5707856526949715 1.0581118631887614e-05 1.0017622920136425e-05,0.015071804230070365 0.073454825974518453 0.13517951076173096 0.15782173693717172 0.15644400925763743 0.14811020069989711,0.00036453854976247835 -1.569271477589526 0.0027588106306388545 -1.5676006325700274 0.0031503033662111622 0.0029683394901864591,0.021279495470956082 0.078526331796923768 0.13977289360220377 0.16066211193326027 0.15750910166074003 0.14770886876845959,0 0 0 0 0 0,-6.9879844393322856e-15 0 9.2288901168404061e-16 0 5.0074363342479886e-16 -2.6608233660401185e-17
ur,tetrapga,0.019995021,0.005647186,0.265330236,0.024807477,0.819794,0.003879,0.267953,0.00238,0.040013,0.025201,1.24614,0.022628,0.249256,0.314955,0.210959,0.266824,0.031081,0.040356,0.034463,0.012182,0.00812,0.014161,0,0,0.564211,0.255583,168,84,0.036927,0.006916,0.036927,1.273724,0.0409897,4,1,0,0.014318781,0,1,5,5,1,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,6.8176008955521104e-05 -1.5708269082804129 0.00016523339337669597 -1.570457539152915 0.00036500505624417919 0.00032354215210268718,0.0061292633171262266 -0.0014806519405841569 0.015808788441084017 0.027817627793277459 0.030390967714679001 0.026850878777776133,0.0003629941572205101 -1.569277179113352 0.0027486616217771071 -1.5676122986820378 0.0031388659756525976 0.0029576135526037037,0.021256965082431547 0.07850799506661664 0.13975637320952985 0.16065199676878883 0.15750544214973417 0.14771046818638148,0.00085216285854537938 -1.5676505932153664 0.0055994747877199979 -1.5643598992145327 0.0063101791487498102 0.0059178485449944574,0.027481839746271094 0.083554743069853263 0.1442787635156485 0.16339283901835658 0.15845929044061985 0.14722896346002398,0 0 0 0 0 0,-1.4428121411072257 7.9262535897169073 3.7211215326471692 0.27962072642458224 -0.52203422693589374 -0.080523430137922958
ur,tetrapga,0.040001483,0.010493769,0.228835479,0.041405642,1.647012,0.007191,0.373995,0.003523,0.069875,0.036523,2.293972,0.024331,0.549682,0.614796,0.461489,0.523078,0.071605,0.076416,0.074197,0.024723,0.019827,0.029647,0,0,1.164478,0.482534,189,84,0.065667,0.010224,0.065667,2.327192,0.0823506,4,1,0,0.027917736,0.000000001,1,5,5,1,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00025646920427574969 -1.5708317862756578 0.00065602927802750827 -1.5696018368496387 0.0012805825471386685 0.0011350552573406595,0.011433418178245386 0.0028243649835719446 0.032463248609691291 0.051228970651142326 0.054629343406100594 0.048560219956606934,0.00085034553059008832 -1.5676561200645796 0.0055899308027920393 -1.5643707078482882 0.0062996966889781987 0.0059081088505915594,0.027461336068004726 0.083538184249684427 0.14426400620168026 0.16338398890880218 0.15845633741167253 0.14723068003838205,0.0013955075605679326 -1.5683694991864985 0.0057273930689834681 -1.5636079034732115 0.0071501383900514637 0.0065841249566094585,0.043607836315063077 0.044828388161045812 0.13108235018910688 0.1692985230326049 0.16794178443769844 0.15274084640458901,-2.1035797395826936 14.809548364184964 7.8993133375913871 0.93610116478739702 -0.74029981274518208 0.0026427089113614521,-2.5474168233661545 13.566092724377086 6.2108463632027746 0.44276709446421592 -0.89978431648829549 -0.14907687138605397
ur,tetrapga,0.060002695,0.015087593,0.234579717,0.019940345,1.95731,0.009852,0.523565,0.004334,0.101596,0.047123,2.919978,0.069941,0.603323,0.746408,0.503745,0.635867,0.082044,0.092849,0.083249,0.028889,0.019299,0.035061,0,0,1.349731,0.607579,126,63,0.09634,0.015319,0.09634,3.002214,0.0978655,3,1,0,0.044900351,0.000000005,1,5,5,1,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00049552856778767513 -1.5706959727086018 0.0013581212267842863 -1.5685736336923635 0.0023441203863692906 0.0020905016563949651,0.011751550948333092 0.009454173638401335 0.036094465904136945 0.049555779617939069 0.05043578617135263 0.045625257314880784,0.0014615738110248084 -1.5659353387543482 0.0085197080393525099 -1.5610764394373486 0.0094775615968399687 0.008847451043367897,0.033656284879546569 0.088521799287487657 0.14868086381740825 0.16600429114454732 0.1592916452054827 0.14667270151795653,0.0017092265841063188 -1.5705504344335213 0.0037925876047243991 -1.564964624466235 0.0059958014065921404 0.0053507452196933421,0.060684900815932183 0.0072769137540328824 0.12172331889700563 0.18045046130642273 0.18258405101114247 0.16301217816491886,-4.1302103201735072 29.982992535627965 16.070657458948666 1.8958978666739521 -1.4672964153453536 0.0056394592715435883,-1.3006044520774784 6.5803139133149671 2.8400324207902941 0.051394103919847112 -0.49953806879334195 -0.14051770944527497
ur,tetrapga,0.079958181,0.020344739,0.27200895,0.019149004,0.774342,0.021077,0.327164,0.00256,0.05195,0.026839,1.291708,0.020535,0.23123,0.295951,0.195534,0.247721,0.028898,0.040881,0.032722,0.011231,0.007784,0.013707,0,0,0.527181,0.247161,126,63,0.048466,0.008352,0.048466,1.335023,0.0387171,3,1,0,0.055207635,0,1,5,5,1,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00067038385554007865 -1.5704876490288513 0.0019187441402452547 -1.5678945462560792 0.0030055497282378205 0.0026997933929431609,0.0083798792582650307 0.011580266884954544 0.026879658631625149 0.030770414815434854 0.028741077067705664 0.02691799578357474,0.0021947887562374321 -1.5641196226609289 0.011529918854565085 -1.5577385872077021 0.012663660755354401 0.011768174694049798,0.039826862773548327 0.093446797474404139 0.15299633059141737 0.16850677725026503 0.16000976525476937 0.14603826508362241,0.0020637325000218121 -1.5703473345476344 0.0044620388583599879 -1.564118866800255 0.0068020899797810435 0.0060583908824932368,0.069667432224086667 0.0070157240608488347 0.12716473590573665 0.18878397279120551 0.18982701257716117 0.16792987447750379,-4.2195658275300731 32.130729816915661 17.437009058864192 2.0476647265253045 -1.5377223748387769 0.0067106770436680136,0.89749752614052181 -5.5056064266318572 -2.8723505958401958 -0.52069063057388121 0.22898781715140082 -0.084051694652075071
ur,tetrapga,0.099997832,0.02579877,0.276060695,0.014164513,1.73737,0.006277,0.410229,0.003869,0.075622,0.043896,2.435176,0.039506,0.564949,0.61942,0.477868,0.523014,0.071228,0.080508,0.074244,0.026281,0.017211,0.030752,0,0,1.184369,0.553001,189,84,0.070301,0.010791,0.070301,2.482705,0.0868685,4,1,0,0.063942484,0,1,5,5,1,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0008703304620166734 -1.5702965898214662 0.0024544245274828826 -1.5672374292351745 0.0036272868478706916 0.0032722656874851082,0.010573594206208844 0.0083079386717546111 0.026170464752797769 0.032441569386558386 0.031000923419009178 0.028289284314762145,0.003054889999478862 -1.5621978378548711 0.014638553614237862 -1.5543375372199673 0.015876456992787676 0.014687697140947489,0.046010751506534601 0.098342974249642293 0.15723623856296423 0.17090620772799858 0.16061474104973317 0.14532334973194169,0.0029971295423511417 -1.5699847341421407 0.0062012560309255334 -1.5617858604152182 0.0090781148565239073 0.0080635494959002234,0.076504903066594965 0.016861402120481678 0.1371512169002049 0.19461438012482746 0.19317132213490198 0.16991106054555261,-4.8831675845118081 31.86110519923222 16.191936648873426 1.9080862021401013 -1.558065809896457 0.0038332412195829762,0.61603295445497785 -3.9628252717438954 -2.1246768977306267 -0.44252316925212654 0.14644418299583251 -0.087258281449111408
ur,tetrapga,0.120005969,0.031018328,0.259005239,0.006655041,1.794222,0.012555,0.704908,0.004608,0.105056,0.058467,2.930562,0.041542,0.555516,0.679611,0.470145,0.568315,0.069217,0.094728,0.07466,0.025416,0.01814,0.031104,0,0,1.235127,0.559095,126,63,0.099517,0.01582,0.099517,2.987784,0.0897111,3,1,0,0.078078013,0,1,5,5,1,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0011852461076518306 -1.5701830659025793 0.0030812541357653584 -1.5663623387671273 0.0044793049919655747 0.0040337854351672232,0.017990580434140153 0.0045839629471044569 0.033744266543917323 0.046832626930395561 0.04619664607243968 0.040916101232239294,0.0040371218114876612 -1.5601817027121228 0.017826111182587309 -1.5508950118134772 0.019095131187073112 0.017587559951838451,0.052169755058261082 0.10317976460381631 0.16137378840947714 0.17318712965782776 0.16110238035334204 0.14453213638753606,0.0029719889072352631 -1.5700860753235262 0.0058429332289505666 -1.5622612718626085 0.0085561806423574641 0.0075776951553146767,0.089337139979171615 0.0048495289526581942 0.13808395465926041 0.20505334522593099 0.20384378251959448 0.17719548600737264,-4.9862107376587073 37.273843576022209 19.902374271924593 2.3276213320550823 -1.7790241785993914 0.0067847890631551064,0.05434527907295994 -1.0889453420677455 -0.83222027964900391 -0.3726822833677943 -0.050285122326112486 -0.12596140625892716
ur,tetrapga,0.140014551,0.036615736,0.28410887,0.01020827,2.923694,0.021333,1.004401,0.007448,0.18107,0.098737,4.679419,0.071513,0.904281,1.091635,0.762912,0.927196,0.114884,0.137959,0.123263,0.043023,0.028378,0.051862,0,0,1.995916,0.927778,126,63,0.172396,0.02513,0.172396,4.776735,0.1461847,3,1,0,0.090631946,0,1,5,5,1,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0014712329657862197 -1.570086423912296 0.0036157394203008022 -1.5656491043552028 0.005171150282349375 0.0046477890625790056,0.014311378952459436 0.0057097056097804907 0.026672416267023349 0.034973192764180198 0.033433948638262913 0.029749528169839789,0.0051424378197178012 -1.5580692784533419 0.021095554475478867 -1.5474079275376482 0.022322468979124287 0.020470885272934704,0.058311301138173184 0.10796292720903899 0.16541389581831351 0.17535234977903288 0.16147354630351476 0.14366392960918303,0.004819507032109171 -1.5694862249005292 0.0089336079224201295 -1.5580967568058492 0.012609449847902427 0.011097607552598879,0.092375906243695405 0.029992521149844794 0.15453373467347814 0.2082257528379671 0.2026634602772481 0.17599561986421006,-6.0394303237801283 33.257361846200162 15.5506696492745 1.8486260150966365 -1.6676176177547459 0.00074056836840586369,0.30175248917702113 -2.5286944808231056 -1.5312404366966277 -0.38599748112301313 0.077936585468780351 -0.092197647282203476
ur,tetrapga,0.16001757,0.04186377,0.241289736,0.006942428,2.83291,0.02113,1.015049,0.016985,0.165058,0.087079,4.468213,0.067579,0.88039,1.080328,0.744299,0.916851,0.110301,0.136848,0.121358,0.04184,0.030248,0.04927,0,0,1.960718,0.872192,126,63,0.156297,0.024293,0.156297,4.56005,0.1416455,3,1,0,0.105224724,0.000000003,1,5,5,1,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0018972263218768814 -1.5700234221380538 0.0042914004949149188 -1.5646438981638082 0.0061462218150069234 0.0055013529561894082,0.030434496600534121 0.0005500412637363325 0.044450885666212345 0.066330137031115941 0.06595782414147694 0.056808646033387908,0.0063700826607963673 -1.5558623316214757 0.024443901030622092 -1.5438796740043828 0.025555167086868596 0.02333527840033409,0.064431114597030381 0.11268898089484231 0.1693535107547175 0.17740021091598207 0.16172804092837242 0.14271943444249025,0.0040810634298447382 -1.5699071649473879 0.0072978248173886061 -1.5602251165018259 0.010483766369927525 0.0092145168319112333,0.10919185539839285 0.0058128595332929047 0.15032121612368438 0.22093908309911742 0.21687722774603002 0.18565819378609122,-5.7075685479619578 41.858268789118974 22.034370034611946 2.569707230312396 -1.992910741980541 0.0067080644659536478,-0.42425092704725387 2.291001394029081 0.95235909293036158 -0.28362485860998277 -0.25554991863524634 -0.16283451308675012
ur,tetrapga,0.180010044,0.047243163,0.29374286,0.010567807,2.002046,0.015774,0.768698,0.006114,0.136184,0.076713,3.252489,0.054668,0.60852,0.760147,0.510407,0.640542,0.08048,0.100057,0.088852,0.031869,0.020234,0.036749,0,0,1.368667,0.633379,126,63,0.127832,0.023145,0.127832,3.325589,0.1001023,3,1,0,0.119662639,0,1,5,5,1,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0023535224388831224 -1.5699475950173842 0.0049994029767080833 -1.5636807482912762 0.0070852091839443219 0.0063152690622141168,0.016738249721294226 0.0058270616587391862 0.027465789991886053 0.035670455327781229 0.03350052341579382 0.02943932867710666,0.0077191780179979965 -1.5535626618221852 0.027868216460605343 -1.5403135240573986 0.028790082606676221 0.026178522907689863,0.070525266439058862 0.11735477338906364 0.17318994034062818 0.17932934538635745 0.1618658658999069 0.14169941981322046,0.0063115253246094072 -1.569225460888896 0.010659033532088365 -1.5557461524229026 0.01478820845567449 0.012899022908088607,0.11152309473823345 0.034085202924593494 0.16806043573498791 0.22394820394616277 0.21522210428734828 0.18422530380886873,-6.7816825563013206 37.149677600970811 17.320739013970908 2.0592275088706771 -1.8525715113802428 0.00080896433413323184,0.20311269995361059 -2.3793356044952816 -1.5851710718319332 -0.39458696652945946 0.088816997616699922 -0.092262573996158892
ur,tetrapga,0.200018615,0.052612693,0.247063027,0.008076739,1.371863,0.020236,0.502737,0.004071,0.077793,0.038516,2.203624,0.047767,0.417396,0.515409,0.348799,0.436521,0.05639,0.066037,0.057518,0.020125,0.013111,0.024282,0,0,0.932805,0.439058,126,63,0.072955,0.012954,0.072955,2.274016,0.06859315,3,1,0,0.13795114,0.000000004,1,5,5,1,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0028729586612402909 -1.569900513921265 0.0057091909870976114 -1.5626132989504262 0.0081103818498826814 0.0071967151436741119,0.035944624534003607 0.0012273148920107558 0.047563064641191491 0.069576971837252172 0.068143621584713085 0.057895510841491034,0.0091910991447748391 -1.5511683422307032 0.031371054189839639 -1.5367070737629538 0.032029194661241635 0.029002882279841751,0.076599443842634826 0.12196447506170616 0.17692646264803355 0.181141327360993 0.16188713596150209 0.14060296327850064,0.0054522362983378337 -1.5697248441895988 0.0089628432044693961 -1.5578928946706749 0.012684120800918746 0.011058156272329023,0.12896388185487714 0.0087834865833028592 0.16268261086858921 0.23602021398755929 0.22868694755180324 0.19307205643274561,-6.183702082651175 46.0395786822125 24.181385842696702 2.8080917625259065 -2.1633739732916082 0.0072130537334959624,-0.6705056413155539 2.6653237515274668 0.8599829703824895 -0.30675733361385937 -0.2840198604476214 -0.17590558897284225
