robot,backend,t,tracking_error,velocity_error,torque_ratio,command_torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,solver_dam_calc_ms,solver_dam_calcdiff_ms,solver_dynamics_calc_ms,solver_dynamics_calcdiff_ms,solver_cost_sum_calc_ms,solver_cost_sum_calcdiff_ms,solver_cost_item_total_ms,solver_state_cost_total_ms,solver_control_cost_total_ms,solver_velocity_cost_total_ms,solver_collision_cost_total_ms,solver_collision_residual_total_ms,solver_model_total_ms,solver_overhead_ms,solver_dam_calc_calls,solver_dam_calcdiff_calls,initial_dam_calc_ms,initial_cost_sum_calc_ms,initial_model_total_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,ddq_cmd,u_cmd,effort
ur,tetrapga,0.000146919,0.000045335,0.308591312,0,0,2.797938,0.034345,2.353605,0.007536,0.197335,0.255555,6.124323,0.120179,0,0,0,0,0,0,0.139372,0.050939,0.028515,0.059918,0,0,0,2.797938,0,0,0,0,0,6.286654,0.1398969,3,1,0,0.007618288,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,0 10 0,0 0 0,,3.8270770847299376e-20 -1.5707963267948966 -1.2851865550700398e-20 -1.5707963267948966 -1.0337459735967673e-21 7.4232364837397422e-23,7.1954201661831475e-18 1.3920204995567181e-17 -2.5187117339713606e-18 1.2515635207753276e-18 -1.5091172183984651e-19 1.3242097132450148e-20,2.21460004376579e-06 -1.5707855346674875 1.986063685586812e-05 -1.570773139659329 2.2984645372697471e-05 2.1760187065780135e-05,0.015096419781433064 0.073475012415124358 0.13519788964336815 0.15783321132112241 0.15644845770066085 0.14810876521864069,0.00036622662715166652 -1.5692652509927394 0.0027698929599490395 -1.5675878943580599 0.0031627913186511657 0.0029800502231648492,0.021304094671508417 0.078546351680964688 0.13979092969153203 0.16067315428982137 0.15751309548298617 0.14770712129832458,1.0652047335754204 3.9273175840482337 6.9895464845766018 8.0336577144910688 7.8756547741493081 7.3853560649162286,0 0 0 0 0 0,-3.0952486260503898e-15 0 8.1107544062789817e-16 0 3.52940457705334e-17 -2.636153724377301e-18
ur,tetrapga,0.020039152,0.00575538,0.264054762,0.02348574,0,4.476892,0.034126,1.374872,0.009465,0.218029,0.161883,7.151607,0.11071,0,0,0,0,0,0,0.248864,0.083246,0.069153,0.096465,0,0,0,4.476892,0,0,0,0,0,7.304015,0.2238446,3,1,0,0.014234233,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,0 10 0,0 0 0,,4.9124302404662407e-05 -1.5708176672925618 0.00014479551422357919 -1.5705074085119497 0.00029047625217890353 0.000270901072505962,0.0053881130850272916 -0.00077521599314475979 0.017317735809393237 0.029016351433929988 0.029404784892235178 0.027495192631439014,0.00036393255048103882 -1.5692737142311224 0.0027548294318275194 -1.5676052088131174 0.0031458168974004656 0.0029641321418310538,0.021270657696706798 0.078519139088677609 0.13976641344135737 0.16065814432554973 0.15750766635948424 0.1477094962804823,0.000854342675362177 -1.5676439679579912 0.0056109143419987781 -1.5643469445196643 0.0063227424169168779 0.0059295212173140445,0.027506412867456715 0.083574587820547566 0.14429644855956608 0.16340344409210503 0.15846282792257393 0.14722690504789904,1.1059149891214712 4.2174901906846163 6.3489356375086414 6.7193546329087512 6.4529021515169367 5.9865856208230008,0 0 0 0 0 0,-0.99149388896165092 7.7502940547437902 3.4448303561686773 0.089435413112369133 -0.13421042502942715 -0.07408627283398328
ur,tetrapga,0.040021674,0.01075733,0.224843029,0.037474422,0.076034038,2.740149,0.035046,1.249877,0.008322,0.173961,0.077786,4.655261,0.08535,0,0,0,0,0,0,0.124231,0.042534,0.029557,0.05214,0,0,0,2.740149,0,0,0,0,0,4.781127,0.13700745,3,1,0,0.02016597,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,0 10 0,0 0 0,,0.00018260846091955538 -1.5707605348598566 0.00062217006075366427 -1.5697497350120757 0.0010480985071419926 0.00097795412132647519,0.010171993040982553 0.0053332541054048176 0.035639085663985076 0.053861682261424827 0.053902350395400804 0.050221680170757066,0.0008509000656050363 -1.5676544332940778 0.0055928436828143946 -1.5643674089348967 0.0063028960899876385 0.005911081579963947,0.027467594141956517 0.083543238330531414 0.14426851048418163 0.16338669023869332 0.1584572388591739 0.14723015620083749,0.0010761030209020274 -1.5706043005341626 0.0030182207262717236 -1.5662432245358939 0.0045029374363467819 0.0041618951985218471,0.044674727999123601 0.0078117162846955274 0.11980253327590297 0.17532552380908789 0.17274194646023946 0.15919705385976859,1.7251367479070523 0.12392310896453548 4.2081723805958946 6.0731920773831538 5.9419798032419324 5.4487686844505765,-2.0628891266911977 22.115251424875787 11.40510564069092 0.97579470397666479 -0.16561432510139115 0.0053903770576977711,-1.4928976009834201 12.311107946386073 5.6211632967123499 0.13203337618961086 -0.20012618734424237 -0.10391619257994478
ur,tetrapga,0.059999076,0.015912164,0.269704973,0.015370273,0.083473285,2.677069,0.016395,0.871615,0.005758,0.142472,0.075043,4.165198,0.068346,0,0,0,0,0,0,0.123592,0.04264,0.029545,0.051407,0,0,0,2.677069,0,0,0,0,0,4.254065,0.13385345,3,1,0,0.025971106,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,0 10 0,0 0 0,,0.00032196567837726014 -1.5705791593589788 0.0011714239159530558 -1.5690623083562631 0.0017223786700225306 0.0016047778813562943,0.0062482817918679077 0.010160153849820714 0.024833820513811146 0.02918470846491179 0.028060026580715498 0.025965883421198412,0.001461452010956569 -1.5659356591131157 0.0085191699647375885 -1.5610770402060388 0.0094769851206305405 0.0088469202346656318,0.033655164824292302 0.088520901779092248 0.14868007286115367 0.16600382714241171 0.15929150451905552 0.14667280954307385,0.0013759490955899999 -1.5704008039148125 0.0036926955276601675 -1.5653845246890281 0.0053148498844598525 0.0048884925676132979,0.052699170860636982 0.008917772208319092 0.12606358058535558 0.18388918336175164 0.17962356072186608 0.16418573431285019,2.3225444534384536 -0.062119082075081079 5.0614880035772218 7.7352237448419929 7.578176707057529 6.910992544582589,-1.9940235875530459 23.641555522285792 12.520992746884305 1.0880243147037272 -0.17918335969912899 0.0066794961504964947,0.58376733074860354 -4.7933651799376094 -2.3055410240804299 -0.35801552764405642 -0.052492639975950439 -0.081551069122891562
ur,tetrapga,0.079998563,0.021335651,0.273740023,0.008170946,0.091398497,5.088173,0.015141,1.221402,0.00873,0.252106,0.116112,7.573415,0.12254,0,0,0,0,0,0,0.217159,0.085972,0.045609,0.085578,0,0,0,5.088173,0,0,0,0,0,7.719485,0.25440865,3,1,0,0.032242393,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,0 10 0,0 0 0,,0.00047171514214758395 -1.5704310505610937 0.0016523830215748379 -1.5684468068764728 0.0023151603276571988 0.0021496807725047695,0.0084351750245242677 0.0056587070024524261 0.023916857942076764 0.031442610502222045 0.030360679463158232 0.027808423226533176,0.0021963972964892113 -1.5641158488921185 0.011536097326818333 -1.5577317824670764 0.012670122296676543 0.011774071983764286,0.039839337593237073 0.093456714467145624 0.15300496959008031 0.16851172722869445 0.16001110149545858 0.14603690273494874,0.0017078185402190796 -1.5702992359451571 0.0042811563516174525 -1.5645954715859423 0.0060482021677987254 0.0055351464223443968,0.061805169903574778 0.0065907307968312966 0.13143866650213074 0.19256676452652985 0.1866520920070763 0.16927328249198137,2.6684997439525255 0.046601189718943524 5.3760904280026987 8.0562077012153903 7.814570627195903 7.073242963272409,-2.1921494508436092 26.084366068609167 13.709774579449846 1.1809413119236409 -0.19558950596348887 0.0069877245863722232,0.28693435218379992 -2.4397713427906638 -1.2256419689894962 -0.28993754470775457 -0.074264461953175598 -0.085349490967331576
ur,tetrapga,0.100025997,0.026988867,0.277197457,0.004415619,0.098509123,4.499032,0.037962,1.45925,0.010202,0.220054,0.177791,6.98212,0.119462,0,0,0,0,0,0,0.253082,0.090555,0.070066,0.092461,0,0,0,4.499032,0,0,0,0,0,7.145936,0.2249516,3,1,0,0.039257498,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,0 10 0,0 0 0,,0.00063379288619811738 -1.5703509426911104 0.0020691079927434076 -1.5678770718193824 0.0028635988411465944 0.002649832263386517,0.01043897782240677 0.0032896314883525263 0.024083135493388412 0.033553446378645158 0.032267037289806517 0.029284845204386262,0.0030561860145468661 -1.5621950679286003 0.014642982255871424 -1.5543327236002715 0.015880980717788425 0.014691790158172813,0.046019432617923607 0.098349819681441408 0.15724213055545999 0.17090949937315275 0.16061550927553153 0.14532229024419158,0.0020529481215744313 -1.5702305297722634 0.0048229674561104142 -1.5638486738872068 0.0067377178581117698 0.0061371865187165881,0.070957761768815686 0.0060206459423482739 0.13769297316835033 0.20141989660878229 0.19370595084825878 0.17436771276650354,3.0259391973204459 0.13655072269978738 5.6804918837480951 8.3933225115068559 8.0719456779226135 7.254143378105864,-2.3457164347457713 28.237187450763571 14.776368407347205 1.2648440981128972 -0.21005736753242071 0.0072979284128538132,0.19396077517401711 -1.2560893951531398 -0.5925372243784004 -0.24727467083630472 -0.077218732053477623 -0.079274310285576632
ur,tetrapga,0.119989631,0.032572104,0.2821811,0.004448003,0.105256465,2.772445,0.03621,1.735192,0.009557,0.313314,0.088848,5.384566,0.085204,0,0,0,0,0,0,0.129558,0.044034,0.031032,0.054492,0,0,0,2.772445,0,0,0,0,0,5.51098,0.13862225,3,1,0,0.047125445,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,0 10 0,0 0 0,,0.00085311537225768723 -1.5702971351599189 0.0025422834245002082 -1.5672067244186465 0.0035054504937399923 0.0032300229506908029,0.011951496565349619 0.0021266096105524365 0.024215146053272431 0.03429673284941108 0.0327758698086821 0.029515841036329895,0.0040362695030574779 -1.5601833884310297 0.017823474684908965 -1.5508978413299712 0.019092499099247612 0.017585198580259292,0.052164732659540108 0.10317583667466623 0.16137044934955741 0.17318531420354361 0.16110202965936277 0.1445328139227805,0.0024552763015882463 -1.5701701036365427 0.0054254268000462052 -1.5630064274172824 0.0075137050035339742 0.0068127203097791975,0.080108046466527957 0.0063515761688034836 0.14415716877729984 0.21001485006820964 0.20041272548969913 0.17913486795441974,3.4078274950589167 0.21124832791255235 5.99710113620137 8.785905860939927 8.3818427840508516 7.4809513459044918,-2.468872576885885 30.239232868438698 15.788469685610997 1.3452674261634512 -0.22350422027126962 0.0076415652611223775,0.038484701909236918 -0.6181159566867791 -0.43648932298918552 -0.24908814602531493 -0.09154947263894897 -0.088960596217575016
ur,tetrapga,0.140002258,0.03834924,0.284759303,0.004453558,0.111687921,2.740671,0.018867,1.072952,0.00646,0.147835,0.076887,4.443688,0.079792,0,0,0,0,0,0,0.121859,0.042429,0.028278,0.051152,0,0,0,2.740671,0,0,0,0,0,4.54676,0.13703355,3,1,0,0.055935555,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,0 10 0,0 0 0,,0.0010833481687872429 -1.5702647881151821 0.0029827647047231043 -1.566570425180116 0.0041105014561265696 0.0037725914828311896,0.013819013775947832 0.0014753515863178298 0.025371630471386956 0.036360058948223861 0.034522933857918693 0.030865572645727327,0.0051417210220491109 -1.5580706056236473 0.021093521057527872 -1.5474100831361273 0.022320483986001186 0.020469119208824615,0.058307533756949428 0.10796000542018605 0.16541144396099924 0.17535105525212136 0.16147335405547664 0.14366448657224548,0.0028729516860907514 -1.57011806464296 0.006003185752051738 -1.5621959346661287 0.0082530964552992095 0.0074504179909501535,0.089480175865175399 0.0073361736111006385 0.15102105236643171 0.21872452569937029 0.20712974995863193 0.18389132540594821,3.7830581044613787 0.2930411012391404 6.2824710947522373 9.1182233375573212 8.6303408050356616 7.6512876380110448,-2.5864433416397379 32.165384245785731 16.753188157063956 1.420974778400198 -0.2362846812437728 0.0079373031638098925,-0.027072532236330105 -0.17791912240591046 -0.25977157020191655 -0.24939925242597383 -0.099166964960483384 -0.092851677172628655
ur,tetrapga,0.160000527,0.044053461,0.289131349,0.004598013,0.118065372,2.755664,0.017122,1.119813,0.00776,0.179322,0.079324,4.571317,0.086938,0,0,0,0,0,0,0.125322,0.043435,0.030461,0.051426,0,0,0,2.755664,0,0,0,0,0,4.679855,0.1377832,3,1,0,0.065745858,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,0 10 0,0 0 0,,0.0013751184002156985 -1.5702359454429251 0.0034949266929208858 -1.5658290649591478 0.0048104692982834096 0.0043957564823677714,0.01515599915221514 0.0014603832664196661 0.02600294698986922 0.037066743283183011 0.034924799474035026 0.031015113528632701,0.0063689846056646706 -1.5558642521456707 0.024441014766976937 -1.543882697421735 0.025552410757291723 0.023332846025878807,0.064425909597635583 0.11268497851638423 0.16935019693189626 0.17739851607215357 0.16172787372899877 0.142720271619386,0.003353566056015579 -1.5700615676303851 0.006652323799728352 -1.5612858144765394 0.0090806310127851154 0.0081623165173774805,0.098922382789994018 0.0087188906270069567 0.15786985534037329 0.22716252413041921 0.21350808572508528 0.18832800175048545,4.1883191818889438 0.36292536802936454 6.593345417525204 9.5047890423618089 8.929164312552512 7.8656444110926369,-2.6843026216758332 34.037535467743929 17.70980575172949 1.4967337445547317 -0.24874335068547609 0.0082710760513864581,-0.080670068116761584 -0.04833236535978358 -0.27064790076406453 -0.25748874213059025 -0.10227321049642768 -0.095230740608581499
ur,tetrapga,0.180002208,0.049955398,0.291074495,0.004676641,0.103383448,3.782569,0.018022,0.901915,0.006964,0.149496,0.107813,5.456864,0.084718,0,0,0,0,0,0,0.190038,0.062746,0.046707,0.080585,0,0,0,3.782569,0,0,0,0,0,5.565146,0.18912845,4,1,0,0.073285798,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,0 10 0,0 0 0,,0.0016633047433353648 -1.570209832757548 0.0039702106852097267 -1.5651412316674813 0.0054551507770016798 0.0049660422585900369,0.017135898958232358 0.0013211037573729039 0.027498527899450165 0.039312370325384323 0.03678445206736173 0.032450829849282138,0.0077186253913502064 -1.5535635814070698 0.027866859350045726 -1.5403149292792773 0.028788814225873229 0.026177412549411715,0.070522882561789763 0.1173529562218579 0.17318845669835348 0.17932861243283324 0.16186583470714572 0.14169983443282116,0.0046182928500701527 -1.5695620636042542 0.0087609889355905156 -1.5585560261011038 0.011595616205893017 0.010360635725686311,0.10549287251973405 0.028681829485623544 0.17248608465607379 0.23287484854532864 0.21638626554998103 0.18982281688512759,4.4178486780750843 1.3680362864125319 7.2493778378311804 9.6781239109972166 8.980090674130965 7.8685993517922723,-3.3462952002342048 32.432882188473506 15.507517172488523 1.2429454017792207 -0.22214082557168152 0.0048030610409412382,-0.086593702441867038 0.15411733612654643 -0.15179620747990441 -0.261891887418642 -0.10710752507107202 -0.097604920249992233
