robot,backend,t,tracking_error,velocity_error,torque_ratio,command_torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,solver_dam_calc_ms,solver_dam_calcdiff_ms,solver_dynamics_calc_ms,solver_dynamics_calcdiff_ms,solver_cost_sum_calc_ms,solver_cost_sum_calcdiff_ms,solver_cost_item_total_ms,solver_state_cost_total_ms,solver_control_cost_total_ms,solver_velocity_cost_total_ms,solver_collision_cost_total_ms,solver_collision_residual_total_ms,solver_model_total_ms,solver_overhead_ms,solver_dam_calc_calls,solver_dam_calcdiff_calls,initial_dam_calc_ms,initial_cost_sum_calc_ms,initial_model_total_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,ddq_cmd,u_cmd,effort
ur,tetrapga,0.000215498,0.000066499,0.308609905,0,0,2.85295,0.061417,3.085218,0.008284,0.214206,0.285567,6.867701,0.157151,0,0,0,0,0,0,0.134191,0.052201,0.029719,0.052271,0,0,0,2.85295,0,0,0,0,0,7.094787,0.1426475,3,1,0,0.007619206,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,0 0 20,0 0 0,,3.1463434147259717e-19 -1.5707963267948966 -1.0130866694474172e-19 -1.5707963267948966 -6.5009417691674818e-21 5.788285757944968e-22,7.1801249514402751e-18 8.8684272746227919e-17 -1.9655907696737234e-18 7.9515776374111629e-18 -1.5305257582291012e-19 1.3310493865443021e-20,3.250627513957564e-06 -1.5707804952258948 2.9132918017316429e-05 -1.5707623152752384 3.3713856052446439e-05 3.1917295470266404e-05,0.01511771194975234 0.073492472964999708 0.13521378610891852 0.15784313517535922 0.15645230410859848 0.14810752254261889,0.00036768837027227673 -1.5692598637687121 0.0027794802170359343 -1.567576875226335 0.0031735935276411341 0.0029901797779774038,0.021325372665427639 0.078563668133556794 0.13980652961855725 0.16068270442758742 0.15751654864266676 0.14770560875822389,1.0662686332713815 3.9281834066778356 6.9903264809278625 8.0341352213793709 7.8758274321333381 7.3852804379111943,0 0 0 0 0 0,-3.300548608322183e-15 0 7.1640024527256754e-16 0 3.1000858085873582e-17 -2.7145176379834177e-18
ur,tetrapga,0.020025505,0.005849947,0.263655936,0.026275448,0,2.729701,0.019699,0.913555,0.007,0.146159,0.098299,4.300209,0.119242,0,0,0,0,0,0,0.124248,0.043188,0.028659,0.052401,0,0,0,2.729701,0,0,0,0,0,4.444229,0.13648505,3,1,0,0.014146096,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,0 0 20,0 0 0,,3.8494468235872846e-05 -1.5708161819286517 0.00011053948053957132 -1.5705646485435172 0.00023245803734907479 0.00021664459053162427,0.0055029280231202755 -0.0017196736051939172 0.016812749800459586 0.029621288425477219 0.030084717156916945 0.028107042226007923,0.00036364229870805451 -1.5692747857582989 0.0027529220607687022 -1.5676074013018417 0.0031436673949704671 0.0029621163482841861,0.021266423417301405 0.078515692951491065 0.13976330866160014 0.1606562433219289 0.15750697860816523 0.14770979687197242,0.00085622976648792957 -1.567638235907753 0.005620810572651333 -1.5643357381603653 0.0063336097440725844 0.0059396178301538991,0.027527668271886317 0.083591752757229826 0.14431174480967143 0.16341261596812898 0.15846588634732778 0.14722512354961823,1.1012370124383022 4.2655713181211867 6.3749497504605923 6.6895663771325884 6.4190584595205422 5.9559040661805156,0 0 0 0 0 0,-0.90181464075190942 8.137107271792047 3.9413171287663182 0.15515519031941949 -0.099812082707887662 -0.035160758954420501
ur,tetrapga,0.039983577,0.01063145,0.224603352,0.035900799,0.075206605,2.70814,0.017103,0.867806,0.006239,0.14477,0.092703,4.215305,0.084196,0,0,0,0,0,0,0.129287,0.041618,0.027933,0.059736,0,0,0,2.70814,0,0,0,0,0,4.320628,0.135407,3,1,0,0.019814398,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,0 0 20,0 0 0,,0.000202121255424066 -1.570774090275767 0.00065804502857807503 -1.5696790938231475 0.0011192159862382356 0.0010431862712021796,0.010045655007682921 0.006748881896278475 0.03664678761329191 0.053375432516524414 0.053309757274695085 0.049711670035228812,0.00084985385759433444 -1.5676576158591782 0.0055873476472606516 -1.5643736333805449 0.0062968593769585557 0.0059054725338761336,0.027455786208842474 0.083533702096714374 0.14426001158899882 0.16338159319173803 0.15845553788196573 0.14723114452686728,0.0010907679176831826 -1.5705936288354256 0.0030623897981561163 -1.5661756067757084 0.0045701260757146844 0.0042237191992673647,0.04443233311295583 0.009023072017062676 0.12021723847890206 0.17517435237195936 0.17254550447382244 0.15902664640325925,1.7193339052636452 0.11370950603921004 4.1785225432805078 6.0899459927717476 5.961787359956368 5.4657488184015222,-2.0310350522853917 21.85033222134863 11.280990733915594 0.96638124494451505 -0.16365028197568879 0.0053882928165388264,-1.6542615395499896 11.847263697552989 4.9371930253162351 0.045584604300529463 -0.24089927106347098 -0.15079998767135372
ur,tetrapga,0.060068706,0.015755036,0.269003463,0.018959649,0.082238716,3.968104,0.035857,1.408792,0.009519,0.21976,0.147069,6.200441,0.080806,0,0,0,0,0,0,0.23091,0.078769,0.068101,0.08404,0,0,0,3.968104,0,0,0,0,0,6.322807,0.1984052,3,1,0,0.02536239,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,0 0 20,0 0 0,,0.00033915347887605326 -1.5705590172660797 0.0012407547635509336 -1.5689628605193569 0.001821916920483866 0.0016975868574555665,0.0059236685937766823 0.012436015490466513 0.025982438701531649 0.028970581546920084 0.027697826825837747 0.025656333249942424,0.0014637961703451801 -1.5659294948015396 0.0085295230880169902 -1.5610654810487599 0.0094880766823132786 0.0088571329900239328,0.033676714764689142 0.088538169677489495 0.14869529042935964 0.16601275395525988 0.15929421067847035 0.14667073067857889,0.0013871261888301202 -1.5703443131980559 0.0037752766908192709 -1.5652879544319764 0.0054099109515669715 0.0049772584439333823,0.052398635497703343 0.010735203401186012 0.12672609636341686 0.18374530436902267 0.17939970155415524 0.16398357932389077,2.323748345196333 -0.085040604464025046 5.0371828830942604 7.7387361411051288 7.5850937364158755 6.9163623036974169,-1.9390115548976554 23.224590190881301 12.335807335648399 1.0737886862192725 -0.17626758385997088 0.0066664587116276154,0.7077473392606537 -5.8871802363701136 -2.8439473931723711 -0.4005579448194112 -0.047981389004116082 -0.085366440659138121
ur,tetrapga,0.079994913,0.021167614,0.272908336,0.009348342,0.090667578,3.448122,0.033473,1.640877,0.009668,0.271805,0.11735,5.956038,0.081726,0,0,0,0,0,0,0.188526,0.063221,0.052861,0.072444,0,0,0,3.448122,0,0,0,0,0,6.076269,0.1724061,3,1,0,0.03178959,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,0 0 20,0 0 0,,0.00047784095693446124 -1.5703765903076028 0.0017281760200193491 -1.5683645241259836 0.0023961094802069749 0.0022261554701044437,0.0083180721022089073 0.006750578548564084 0.024531468938686924 0.031629036516348269 0.030486289280931868 0.027931107141350421,0.0021962518849647883 -1.5641161900074905 0.011535538860104352 -1.5577323975340645 0.01266953825637647 0.011773538948844552,0.039838210036256802 0.093455818110142669 0.15300418875426861 0.16851127983495964 0.16001098073636461 0.14603702588630915,0.0017105146899008511 -1.5702272871104448 0.0043619999204761329 -1.5645165433712822 0.0061250658068835138 0.0056078953342689388,0.061633686648319475 0.0074651598579016038 0.13169119502283924 0.19239903773506731 0.18644781633382695 0.16908699320822476,2.6657807273055285 0.035729065466875987 5.3579863042076159 8.0385000609359523 7.7980763526447543 7.0577943033437176,-2.1631037237785944 25.845087343578843 13.600136638549507 1.172153943113732 -0.19388466603023691 0.0069665993937846841,0.3804906018116645 -2.9491002188296989 -1.4022512444734101 -0.30285601528430561 -0.069424955471072636 -0.083619903604553514
ur,tetrapga,0.099922396,0.026661672,0.277923387,0.005458249,0.098022695,2.730194,0.017003,0.878668,0.006693,0.146597,0.094974,4.25778,0.07975,0,0,0,0,0,0,0.127277,0.044525,0.028821,0.053931,0,0,0,2.730194,0,0,0,0,0,4.359127,0.1365097,3,1,0,0.038843093,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,0 0 20,0 0 0,,0.0006586992500765465 -1.570273641351432 0.0022017093260400357 -1.5677273823428712 0.003008496732660358 0.0027845112798012498,0.010181495005869711 0.0038991157665374185 0.02405787021377042 0.032876018278483063 0.031573129805276184 0.028665225743937622,0.0030514200094188854 -1.5622052557639206 0.014626692936595333 -1.5543504293680919 0.015864340936822263 0.014676734421726718,0.045987500220067846 0.098324639217079887 0.157220456754572 0.17089739039928128 0.16061268232954148 0.14532618666604266,0.0020737379152024815 -1.5701451949488121 0.0049533556967338473 -1.5637069149424887 0.0068746593470660824 0.0062646972944397812,0.070751933256296765 0.0064223201309918602 0.13758231853469055 0.20102337001912773 0.19330813072028619 0.17400930073192658,3.0285219125213527 0.12616021822272208 5.6762224160460057 8.4073675870322333 8.0867500457505006 7.2672037493994477,-2.3242605010203183 28.070604089985697 14.703404311761535 1.2592710902462687 -0.20884361669394969 0.0073021597313641983,0.17427923565022319 -1.5453422095924907 -0.81873742400622618 -0.26806619286253408 -0.082010441022706715 -0.086266214893147009
ur,tetrapga,0.119982803,0.032356149,0.281233631,0.004669451,0.104724228,2.722167,0.01869,1.074097,0.006345,0.143417,0.078359,4.412354,0.084827,0,0,0,0,0,0,0.124056,0.043609,0.02871,0.051737,0,0,0,2.722167,0,0,0,0,0,4.519988,0.13610835,3,1,0,0.04666924,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,0 0 20,0 0 0,,0.00086477121885580345 -1.5702196929440064 0.0026437679281641814 -1.5671030240672112 0.003605263455612821 0.0033233954748261097,0.012019600105874993 0.0025647973306532823 0.024764136132364268 0.034705348695274398 0.033147632294898297 0.029864196760467383,0.0040359133294287659 -1.5601840929100381 0.017822372852244982 -1.5508990238367062 0.019091399095089528 0.017584211709239177,0.05216263368810839 0.10317419509836093 0.16136905386565825 0.17318455546346084 0.16110188307382756 0.1445330970640579,0.0024645468526691985 -1.5700842934458974 0.0055274172769475289 -1.5629073984006685 0.0076085443084290697 0.0069015298773009758,0.079988781690669766 0.006769974905447675 0.14418246743916735 0.20978128332713289 0.20016404264081239 0.17890672012374331,3.3984590792397387 0.21025887873971963 5.9709165653401541 8.7537967315929244 8.3508205172957037 7.4521261681637956,-2.4550899677396152 30.084182478548396 15.708634182317569 1.3384066538550532 -0.22227138668504492 0.0076116085709506598,0.035217874386241022 -0.77536543909536704 -0.54805371339636366 -0.26148923511118483 -0.092944703224089764 -0.091686944649431723
ur,tetrapga,0.140001067,0.038005006,0.285731326,0.004597998,0.111300565,2.737335,0.036693,1.350242,0.00676,0.155497,0.079252,4.745422,0.092222,0,0,0,0,0,0,0.120801,0.042784,0.028519,0.049498,0,0,0,2.737335,0,0,0,0,0,4.880314,0.13686675,3,1,0,0.055460027,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,0 0 20,0 0 0,,0.001121821202619781 -1.5701761527650351 0.0031405205486124345 -1.5663928902295923 0.0042800391288016215 0.0039284703703477098,0.013485753538899348 0.0019484054488178933 0.02515084715628875 0.035589099509783666 0.033757032281021948 0.030186611782202492,0.0051416515779937654 -1.5580707342038451 0.02109332405263958 -1.5474102919791595 0.022320291671247602 0.020468948104388977,0.058307168756056488 0.10795972234329003 0.16541120641226642 0.17535092983030792 0.16147333542730061 0.14366454053174516,0.0029079008506994494 -1.5700239220984571 0.0061573614734439699 -1.5620267009095636 0.0084143509748321171 0.0075987412839620821,0.089303982403983406 0.0076115333288973297 0.15084204624157677 0.21830946600143392 0.20671559230152478 0.18351354568071862,3.790911443254203 0.28315639400397186 6.2845599542644015 9.136018324582512 8.6479280010251411 7.6663466949258057,-2.566913440026497 32.02752872968226 16.695084781390754 1.41653731407716 -0.23526541771472056 0.007945823225548581,-0.024929321989789699 -0.4023998538223168 -0.40516147438756889 -0.25748790214947803 -0.096770300412410748 -0.092684921869489401
ur,tetrapga,0.15997999,0.043836363,0.287944415,0.004595386,0.117676544,2.925685,0.016977,1.011013,0.006416,0.143429,0.080093,4.662756,0.101812,0,0,0,0,0,0,0.147739,0.049399,0.039335,0.059005,0,0,0,2.925685,0,0,0,0,0,4.787182,0.14628425,3,1,0,0.065287433,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,0 0 20,0 0 0,,0.0013799803544748235 -1.5701446645839199 0.0035988110224560712 -1.5657319727604468 0.0049037534917912269 0.0044839160232123089,0.015435318148644189 0.001499660390821984 0.026461885367543118 0.037796690632316915 0.035613567286413968 0.031623912776739198,0.0063676615551643062 -1.5558665663075502 0.024437536862987455 -1.543886340634087 0.025549089354018763 0.023329914969302236,0.064419637495211665 0.11268015555113735 0.16934620364183378 0.1773964736533867 0.16172767213945444 0.14272128035325857,0.0033571437770004383 -1.5699680146286277 0.0067542541465419612 -1.5611933829024938 0.0091691840982590332 0.0082460863561169585,0.098858171126280731 0.0088324977646088258 0.15777215620429449 0.22692949289765815 0.21327153032339038 0.18810851664523248,4.1711426488818271 0.36664186868934207 6.5655135418375687 9.4566401132670617 8.8828981518488206 7.8242301934246639,-2.6813774861957396 33.939152941959406 17.651481597886665 1.4912919258354713 -0.24788900288514049 0.0082324260797776508,-0.051853751330522613 -0.06195038606892922 -0.22882733393159072 -0.25734162019671203 -0.10258267818672806 -0.095111276206489848
ur,tetrapga,0.179982658,0.049599048,0.292233994,0.004779803,0.124046907,2.734263,0.019709,0.924853,0.006678,0.150328,0.106874,4.336453,0.08424,0,0,0,0,0,0,0.125621,0.044541,0.029543,0.051537,0,0,0,2.734263,0,0,0,0,0,4.444509,0.13671315,3,1,0,0.076165907,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,0 0 20,0 0 0,,0.0017038704617452531 -1.570113468613666 0.0041333128795507813 -1.5649622643613892 0.0056249440352870829 0.005121735672456139,0.01674972504486039 0.0016409780877469178 0.027145230782288029 0.038453827826319793 0.035954472481234297 0.031722698011094043,0.0077172467271332994 -1.5535658756130475 0.027863473551900268 -1.5403184351357748 0.028785649749565996 0.026174642307537351,0.070516935020821708 0.1173484225398029 0.17318475509723458 0.17932678371108088 0.16186575680642495 0.14170086881474947,0.0038737111906552305 -1.56990543155375 0.0074266106190383294 -1.5602566609335922 0.010014797733678287 0.0089694884939121138,0.10849203644549886 0.010401852995804768 0.16466488697437739 0.23528017138984592 0.21949268491956025 0.19238764107279874,4.5871155700319237 0.43804374540289248 6.8759828096044684 9.8413171781763058 9.1769106219162975 8.0332471530852345,-2.7754496087832767 35.807950204609504 18.60703597749858 1.5667812915097425 -0.26027128887507578 0.00856412180406586,-0.099000019596173772 0.0025274821064158459 -0.27183530559659985 -0.26766894855336432 -0.1051019587706854 -0.097406551830058419
