robot,backend,t,tracking_error,velocity_error,torque_ratio,command_torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,solver_dam_calc_ms,solver_dam_calcdiff_ms,solver_dynamics_calc_ms,solver_dynamics_calcdiff_ms,solver_cost_sum_calc_ms,solver_cost_sum_calcdiff_ms,solver_cost_item_total_ms,solver_state_cost_total_ms,solver_control_cost_total_ms,solver_velocity_cost_total_ms,solver_collision_cost_total_ms,solver_collision_residual_total_ms,solver_model_total_ms,solver_overhead_ms,solver_dam_calc_calls,solver_dam_calcdiff_calls,initial_dam_calc_ms,initial_cost_sum_calc_ms,initial_model_total_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,ddq_cmd,u_cmd,effort
ur,tetrapga,0.000210686,0.000065013,0.308608601,0,0,2.854654,0.056378,3.062919,0.008683,0.216786,0.24508,6.799789,0.156025,0,0,0,0,0,0,0.133073,0.051795,0.029328,0.05195,0,0,0,2.854654,0,0,0,0,0,7.021721,0.1427327,3,1,0,0.007619142,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,5 0 0,0 0 0,,5.2911577714707616e-20 -1.5707963267948966 -1.8061141642602072e-20 -1.5707963267948966 -1.3155783519307227e-21 1.007810186422122e-22,7.3204034337041209e-18 1.7968525630940356e-17 -2.6046380459508376e-18 1.6035666184319137e-18 -1.4091618916697771e-19 1.3274326902407393e-20,3.177884678647756e-06 -1.5707808488687269 2.8482271962159105e-05 -1.5707630748147297 3.2961008214327437e-05 3.1204601861925181e-05,0.015116217937919688 0.073491247821892189 0.1352126707303756 0.15784243888731789 0.15645203426062029 0.14810760976801471,0.00036758575617120771 -1.5692602418141597 0.0027788074706489446 -1.5675776484298967 0.0031728355585919276 0.0029894690183326338,0.021323879649115186 0.078562453102192606 0.13980543504811316 0.16068203436272174 0.15751630638801503 0.14770571491914461,1.0661939824557589 3.9281226551096293 6.9902717524056577 8.0341017181360872 7.8758153194007514 7.3852857459572308,0 0 0 0 0 0,-3.3026978562780649e-15 0 8.9918008902777581e-16 0 3.0785991255328692e-17 -2.7013878150198301e-18
ur,tetrapga,0.019966484,0.005831511,0.263651011,0.026269048,0,2.718139,0.016774,0.861179,0.006407,0.145416,0.095376,4.220266,0.091559,0,0,0,0,0,0,0.129499,0.050025,0.028281,0.051193,0,0,0,2.718139,0,0,0,0,0,4.332793,0.13590695,3,1,0,0.01409899,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,5 0 0,0 0 0,,3.8484192803478355e-05 -1.5708161773635139 0.000110512855444513 -1.5705647041645581 0.00023240250955389559 0.00021659309480032856,0.0055014664689725266 -0.0017192908140976273 0.016808694452461595 0.029614176812914922 0.030077530643307596 0.028100361247642695,0.00036238767354474053 -1.569279419393184 0.0027446734867950925 -1.5676168831513448 0.0031343712633756129 0.0029533983300081834,0.021248110836112614 0.078500788751630496 0.13974988053757131 0.16064802121032967 0.15750400358232486 0.14771109645879579,0.00085609730693658661 -1.5676386381483693 0.005620116147117573 -1.5643365245003251 0.006332847206743702 0.0059389093825585465,0.027526176841557348 0.083590548358147457 0.14431067154819399 0.16341197244534944 0.15846567179029705 0.14722524858248875,1.1012355186292411 4.2654919586122535 6.3750988547866205 6.6898897816217255 6.4194070573494733 5.9562443667423022,0 0 0 0 0 0,-0.90159618799331587 8.1351254198316383 3.9403572154017343 0.15511693363896484 -0.099787983883837583 -0.035152404925847591
ur,tetrapga,0.039962719,0.010815043,0.223881347,0.038240385,0.075976199,2.729803,0.016921,0.862886,0.006403,0.147089,0.095239,4.247302,0.087223,0,0,0,0,0,0,0.12362,0.044092,0.028767,0.050761,0,0,0,2.729803,0,0,0,0,0,4.355966,0.13649015,3,1,0,0.020152623,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,5 0 0,0 0 0,,0.00018199465024661964 -1.5707875961805011 0.00058464501230776045 -1.569786018412747 0.0010124235007152337 0.00094360254222927459,0.010416804071476106 0.0051647939233729128 0.036249719134401059 0.054364687344552444 0.054408606724832644 0.050706984406553676,0.00084928125222720474 -1.5676593581506855 0.0055843387204675965 -1.5643770411647109 0.0062935543210633675 0.0059024015810215068,0.027449321386805971 0.083528480966065133 0.14425535833018663 0.16337880240237326 0.15845460642449563 0.1472316855122261,0.0010752997410715494 -1.5706305837906083 0.0029821985052773808 -1.5662783398711004 0.0044684839780530002 0.0041288202071684708,0.044665254541246487 0.0078506194946384895 0.11987767464848102 0.17538392708232761 0.17280302386688828 0.15926088324695981,1.7124225234885191 0.13429127856327883 4.1813977757039984 6.0509619868887583 5.9197208571027824 5.427694942020306,-2.0706664314051126 22.12598330995678 11.396429859509063 0.97468234369962714 -0.16553677146744505 0.005370075619452892,-1.692314567523749 12.619327190192962 5.4138071093204232 0.08156824087836867 -0.24275945630156137 -0.14562263360826577
ur,tetrapga,0.060006188,0.015750182,0.270561337,0.019558685,0.082366045,2.714636,0.018627,0.914357,0.007005,0.14836,0.096849,4.281013,0.094106,0,0,0,0,0,0,0.123801,0.043769,0.028367,0.051665,0,0,0,2.714636,0,0,0,0,0,4.398494,0.1357318,3,1,0,0.025450789,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,5 0 0,0 0 0,,0.00033734000579403517 -1.5705582680557078 0.0012361824307601809 -1.5689723686247401 0.0018123871170704668 0.0016887642156656467,0.0057297084708253961 0.012481691548526831 0.025457547654559775 0.028039860570023757 0.026756379044210736 0.024782733575922866,0.0014616913743159619 -1.5659350295461905 0.0085202273829431286 -1.5610758595835776 0.0094781180027938214 0.0088479633709321985,0.033657365938361675 0.088522665546537177 0.1486816272326896 0.16600473898838553 0.15929178099014465 0.14667259725144652,0.0013850071466731425 -1.5703458291033159 0.0037691925921420786 -1.5652977435891933 0.0054003310364969404 0.0049684588672831778,0.052383357043955373 0.010621947619589804 0.12665050806909489 0.18373125177733804 0.1793971959713237 0.16398473258087654,2.3326824286564989 -0.092987196446851342 5.0596480207267556 7.7845695603657141 7.6320408463556477 6.9600999502476837,-1.9358592237755885 23.240451537323636 12.354906757522997 1.0761267481239774 -0.1765124748306503 0.0067018492365426121,0.73298489690022439 -6.0879213699936372 -2.9338027812864684 -0.40185023798494512 -0.044004499828796284 -0.083009149927649517
ur,tetrapga,0.079961185,0.021158461,0.27301561,0.00961549,0.090655466,2.702677,0.016967,1.021331,0.006316,0.148884,0.0791,4.355763,0.116575,0,0,0,0,0,0,0.12143,0.042466,0.028799,0.050165,0,0,0,2.702677,0,0,0,0,0,4.494038,0.13513385,3,1,0,0.031783363,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,5 0 0,0 0 0,,0.00048080659811551552 -1.5703789299957389 0.0017277983695500477 -1.5683649193594473 0.0023951166861520116 0.0022246746930039353,0.0082871772380106335 0.0067666545903266135 0.024530017712790592 0.031538817005830604 0.030399987732321939 0.027858909164441222,0.0021949083975270575 -1.5641193419456412 0.011530378456507466 -1.5577380810127901 0.012664141424838554 0.011768613392845908,0.039827790771920529 0.093447535202271961 0.15299697325603079 0.16850714549299556 0.16000986467342809 0.14603816374997752,0.0017129973084389941 -1.5702294033508599 0.0043614288508814804 -1.564517261775465 0.0061238367719726738 0.0056062720000460402,0.061609535516173923 0.0074763322439506787 0.13168152406657163 0.19238287919911815 0.18643600429103313 0.16907986535210526,2.6661179139081645 0.035483882681203255 5.3575753176890517 8.042203109664376 7.8018008279355593 7.0610478093832016,-2.1623881790222512 25.840776843804392 13.598319870492031 1.1720698550234925 -0.19385145441307006 0.0069687415248724021,0.35694983431424987 -2.9437522654625354 -1.4423234633033086 -0.30688672320593469 -0.070919275004744264 -0.085440861803332879
ur,tetrapga,0.099962201,0.026770788,0.27693594,0.00559767,0.097888316,2.72936,0.017609,0.892262,0.005582,0.148324,0.100267,4.272644,0.07968,0,0,0,0,0,0,0.122056,0.042099,0.029628,0.050329,0,0,0,2.72936,0,0,0,0,0,4.373973,0.136468,3,1,0,0.038806958,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,5 0 0,0 0 0,,0.0006472793173631212 -1.5702850585681289 0.002161650067023188 -1.5677801422360158 0.0029569462495449036 0.0027367793396228341,0.01030702714405576 0.0040929983059384513 0.0245135015401882 0.033409882554120113 0.032082625566713173 0.02913337253399154,0.0030532507860478487 -1.5622013417591019 0.014632951262619565 -1.5543436267048629 0.015870734146268429 0.014682519100797589,0.045999769156407445 0.098334314078848933 0.15722878444506619 0.17090204320549929 0.16061376885186515 0.14532468984988331,0.0020627215430807887 -1.5701519964338657 0.0049174399817224542 -1.5637565654147696 0.0068259076479134165 0.0062195255389020966,0.070772111285883385 0.0066531067131661882 0.13778949573496327 0.2011788410623073 0.19344806991842564 0.17413730996396312,3.023254207091381 0.12800542036138685 5.663799709738754 8.3884479254093591 8.0682722175856227 7.2501968714985789,-2.3220450653730347 28.03585896389086 14.683247364699287 1.2574810138985657 -0.20858585093232901 0.007286348467594822,0.18067121663361885 -1.5909879904356785 -0.8396505636318512 -0.27279389543127763 -0.083279534661981458 -0.087686950225968729
ur,tetrapga,0.119966226,0.032342036,0.282070081,0.004663655,0.104755002,2.755485,0.018204,1.047488,0.00624,0.146662,0.076794,4.444429,0.086036,0,0,0,0,0,0,0.124572,0.043668,0.029383,0.051521,0,0,0,2.755485,0,0,0,0,0,4.553029,0.13777425,3,1,0,0.046688573,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,5 0 0,0 0 0,,0.00087081896389731048 -1.5702203475580541 0.0026486477199746013 -1.5670977778372828 0.0036092862813249544 0.0033262076150727673,0.011820156568490482 0.0027033257574172413 0.024461905797877076 0.034154912453305361 0.032608776138041959 0.029377040737375824,0.0040350486716873501 -1.560185803195637 0.01781969786552039 -1.5509018947018138 0.019088728512123884 0.017581815778391789,0.052157537802398339 0.10317020965779265 0.1613656658663456 0.17318271334024107 0.16110152713741321 0.14453378443638665,0.0024699500330099796 -1.5700845569759598 0.0055318787374626695 -1.5629025829133629 0.007612236257681905 0.0069041041895070545,0.079956553455633461 0.0067895291047169034 0.14416155087440344 0.20975974619599735 0.20014749881784755 0.17889482872171436,3.4068198443571491 0.20431016736498311 5.9849822538263178 8.7802416871345983 8.376936133990279 7.4758893992169266,-2.4497899071648819 30.076429725679805 15.713250336344677 1.3392400027093088 -0.22229919961508846 0.0076314391314143293,0.048295576872238399 -0.86995362877860316 -0.58808434741231252 -0.26116470125361957 -0.090668243497340484 -0.090218920354564247
ur,tetrapga,0.139971988,0.038114953,0.284589215,0.004548416,0.111273705,2.729626,0.019101,1.050723,0.006142,0.144533,0.096016,4.439813,0.087288,0,0,0,0,0,0,0.123922,0.042763,0.029443,0.051716,0,0,0,2.729626,0,0,0,0,0,4.550503,0.1364813,3,1,0,0.055499974,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,5 0 0,0 0 0,,0.0010992631524345616 -1.5701799347131111 0.0030922874010327599 -1.5664628675061731 0.0042125735154260194 0.0038673081026568525,0.01376271911836912 0.001828619666091959 0.025537376158784007 0.036337817544190777 0.034481298483359124 0.030831725272415868,0.0051399561934057075 -1.5580738734641209 0.021088514144497021 -1.5474153909643231 0.02231559619474081 0.020464770464060558,0.058298257011981755 0.10795281078483396 0.16540540640406903 0.1753478674509199 0.16147288048068159 0.1436658579020601,0.0028863545822846925 -1.5700279603633487 0.0061112796023210627 -1.562093581081649 0.0083499162212227404 0.0075403663547031702,0.089354571492506529 0.0075987174881259213 0.15094961006441515 0.21846432122620368 0.20686713528983602 0.18365291260231589,3.7795926187068702 0.28850489110169808 6.2706116952815565 9.1063251841006458 8.6192918403238448 7.6410593664950008,-2.5727940428859197 32.034963823485967 16.691055676417761 1.415854322554839 -0.2352970620898974 0.0079242060833457084,-0.0062033384735524777 -0.33903319331966486 -0.33015913223584548 -0.25471131053473073 -0.097862288114544782 -0.092720357486406613
ur,tetrapga,0.159991066,0.043847664,0.288922761,0.004568737,0.117765858,4.475658,0.035725,1.571699,0.00919,0.243186,0.115313,7.007669,0.121074,0,0,0,0,0,0,0.222888,0.075189,0.05792,0.089779,0,0,0,4.475658,0,0,0,0,0,7.171061,0.2237829,3,1,0,0.065362584,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,5 0 0,0 0 0,,0.0013822023095912505 -1.5701439744870174 0.0035977571952612976 -1.5657366739638812 0.0048982452546251463 0.0044781988634076016,0.015180750429283553 0.0015793231996008028 0.026080779364636202 0.037169419502511944 0.035013469812574645 0.031089484232795738,0.0063683750858024276 -1.5558653182477422 0.024439412553466058 -1.5438843757846445 0.025550880650317589 0.023331495747190668,0.064423020163898614 0.11268275667683997 0.16934835731339534 0.17739757518461849 0.1617277808758546 0.14272073633359789,0.0033593197572007565 -1.5699680937937956 0.0067527548695442922 -1.5611977910139196 0.009164039708703442 0.0082407110714546455,0.098855872380475301 0.0087940346610874704 0.15774988371414972 0.22694414749807279 0.2132897227039148 0.18812561040235221,4.1837560975595878 0.3607355730743334 6.5834552174756755 9.4887363997780412 8.9138126445670078 7.8518063084778236,-2.6763543311983442 33.946495260504967 17.664878743619685 1.4928952917780804 -0.24803769581521962 0.008256806794816253,-0.045964811578604881 -0.12138128982132912 -0.25783955270923542 -0.25584927581257944 -0.10050156928661735 -0.093679359031217047
ur,tetrapga,0.179962464,0.049658596,0.291932826,0.004364638,0.124180287,2.727086,0.018717,0.912464,0.006533,0.15138,0.108164,4.322657,0.101592,0,0,0,0,0,0,0.124338,0.045676,0.028082,0.05058,0,0,0,2.727086,0,0,0,0,0,4.447456,0.1363543,3,1,0,0.076295558,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,5 0 0,0 0 0,,0.0016861033125836924 -1.5701090382587568 0.0041083991650780445 -1.5650039526003305 0.0055853339411838119 0.0050866113370376031,0.016884141240168377 0.0013785239037811658 0.027045664846009662 0.03880161338308509 0.036298913434235185 0.032012807627958273,0.0077158227701782127 -1.5535682452998072 0.027859976297562945 -1.5403220564417712 0.028782381033286505 0.026171780789404946,0.070510791535910028 0.11734373945291476 0.17318093145773666 0.1793248946300437 0.16186567622256773 0.14170193719460139,0.0038572592282315747 -1.5699053989519767 0.0074009684397756299 -1.5602966711203381 0.0099769735718636364 0.0089359486568827834,0.10855779578239411 0.010181965339006996 0.16462846373487927 0.23536407399962733 0.21958198153399128 0.19246686599225901,4.5836827271112863 0.44017207176129147 6.8791399444434793 9.828123030827113 9.164153404987804 8.0227029182150371,-2.7824642442936525 35.853101491814591 18.627042992647329 1.568215417982237 -0.26062999959333411 0.0085578478983878801,-0.0023391501553486904 0.068522355462846463 -0.070340067980481535 -0.24441971792657569 -0.095065445622029898 -0.086716558528888044
