robot,backend,t,tracking_error,velocity_error,torque_ratio,command_torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,solver_dam_calc_ms,solver_dam_calcdiff_ms,solver_dynamics_calc_ms,solver_dynamics_calcdiff_ms,solver_cost_sum_calc_ms,solver_cost_sum_calcdiff_ms,solver_cost_item_total_ms,solver_state_cost_total_ms,solver_control_cost_total_ms,solver_velocity_cost_total_ms,solver_collision_cost_total_ms,solver_collision_residual_total_ms,solver_model_total_ms,solver_overhead_ms,solver_dam_calc_calls,solver_dam_calcdiff_calls,initial_dam_calc_ms,initial_cost_sum_calc_ms,initial_model_total_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,ddq_cmd,u_cmd,effort
ur,tetrapga,0.0002375,0.000075392,0.308876394,0.001601905,0,3.32902,0.05708,4.590734,0.012196,0.30795,0.58247,9.242333,0.153384,0,0,0,0,0,0,0.196315,0.069622,0.050765,0.075928,0,0,0,3.32902,0,0,0,0,0,9.462132,0.166451,3,1,0,0.007632371,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-4.2191621854261301e-06 -1.5708070507497676 3.0090467965467257e-06 -1.5707951818887855 -5.6774854222457532e-07 -2.4085448589917338e-08,-0.00031812303120598069 -0.0012890790053466034 9.8797436770648047e-05 8.9523681779213912e-05 -4.5996091608540637e-05 -1.9027097509250962e-06,3.5833225611788506e-06 -1.57077887818288 3.2107947842415228e-05 -1.5707588423755556 3.7156133220145122e-05 3.5175952793339832e-05,0.01512454304659583 0.073498074680163408 0.13521888591264569 0.15784631874666555 0.1564535378552889 0.14810712366213782,0.000368157646220475 -1.5692581351497699 0.0027825562953570707 -1.5675733398517686 0.0031770592189291217 0.0029934295914409354,0.02133219920862486 0.078569223613000963 0.13981153427946597 0.16068576809716875 0.15751765622352093 0.14770512329866331,1.0825161119915421 3.9929151309173778 6.985636842134765 8.0298122207694753 7.878182615756474 7.3853513004207114,0 0 0 0 0 0,0.1550192496297568 0.52862850432575215 -0.06146337105365856 -0.033788849686970934 0.0099087053564161434 0.00041050909677777154
ur,tetrapga,0.01995571,0.005939606,0.264475196,0.032767055,0,2.710596,0.016488,0.849169,0.006343,0.141949,0.092405,4.18293,0.059804,0,0,0,0,0,0,0.122322,0.043498,0.0294,0.049424,0,0,0,2.710596,0,0,0,0,0,4.263437,0.1355298,3,1,0,0.014101474,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,1.9768272435392155e-05 -1.5708555690809249 7.6602891226930399e-05 -1.5706209701915828 0.00017210217467304465 0.000160677254260439,0.0053635873258675451 -0.0045400245588502726 0.015381410953823921 0.0301503900061591 0.030628908714625213 0.028521172816537356,0.00036215876440667865 -1.5692802651460256 0.0027431678347874279 -1.5676186139650394 0.0031326743181671235 0.0029518068893773374,0.021244767957378077 0.078498068021049069 0.13974742921578803 0.16064652020029452 0.1575034603976426 0.14771133361826749,0.00085683550526427174 -1.5676363966614277 0.0056239857736452483 -1.5643321427236201 0.0063370963212955557 0.0059428570710326123,0.027534487561651472 0.083597259620898173 0.14431665203766089 0.1634155582778605 0.15846686728551812 0.14722455180168401,1.1085450117891964 4.4068642089874226 6.446762054191848 6.6632584135850701 6.3918979285446458 5.9351689492573323,0 0 0 0 0 0,-0.55740004260999854 9.390527781021774 4.9150582857292626 0.36742447380038357 0.082108167534497234 0.15985276414493743
ur,tetrapga,0.039954697,0.010739962,0.225127871,0.041101957,0.076612751,2.704151,0.016248,0.835061,0.005913,0.141669,0.087606,4.160043,0.071385,0,0,0,0,0,0,0.122036,0.042628,0.029571,0.049837,0,0,0,2.704151,0,0,0,0,0,4.252026,0.13520755,3,1,0,0.020467371,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00018756045212876948 -1.5708726412612921 0.00060937486210262831 -1.5697232046226735 0.0010727356688575056 0.00099831970325494138,0.010277513700723179 0.0038996083988237012 0.035932357585712844 0.053925612400336789 0.053940050400283039 0.050222270275782764,0.00084906106374389658 -1.5676600282081052 0.0055831815111614357 -1.5643783517851584 0.0062922831996476483 0.0059012204876058684,0.027446835009904039 0.08352647290281183 0.14425356865796379 0.16337772903088787 0.15845424815196921 0.14723189355286245,0.0010836401305911662 -1.5707315024810549 0.0029971946133386267 -1.5662192898311755 0.0045259357383665806 0.0041808341807787076,0.044803983923119836 0.0070569390118581038 0.11939098756179992 0.17519573957489573 0.17266000347545374 0.15912572387618831,1.726323511119833 0.15786653065172013 4.1729314988043535 6.0635063587279472 5.9359976537585348 5.4451726800202769,-2.0986831651308093 22.364014394839874 11.491912650385308 0.98161113889881035 -0.16681809674264583 0.0053854199779107183,-1.6908231790458359 13.56364580247191 5.3582746421652789 0.017067599375877762 -0.26904974658906333 -0.15711707433747435
ur,tetrapga,0.059979487,0.015755398,0.271762962,0.015848444,0.084255415,3.612141,0.03667,1.455262,0.021188,0.221826,0.156556,5.920505,0.08236,0,0,0,0,0,0,0.215087,0.068903,0.067828,0.078356,0,0,0,3.612141,0,0,0,0,0,6.045176,0.18060705,3,1,0,0.026375182,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00033742506598744156 -1.5706926078501549 0.0012253036858380765 -1.568946742398682 0.0018333276779506924 0.0017067035203245696,0.0057919817874460657 0.0087483294973320965 0.024196932366357098 0.02831316747190505 0.0270575088037899 0.02511040858352185,0.0014607927993135789 -1.5659373931014784 0.0085162575127239164 -1.5610802920304088 0.0094738647668075934 0.0088440470552727558,0.033649102159622052 0.088516043699677055 0.14867579150429963 0.16600131551804406 0.15929074294284704 0.14667339421939934,0.0013940251543585844 -1.570532377623036 0.0037336346499262881 -1.5652755251817283 0.0054204135627425789 0.0049853547397328843,0.052830004418557147 0.0080115113559380367 0.12541654820441059 0.18356086084768275 0.17935429423959431 0.16393256097041572,2.3519011315555538 -0.036840907069702993 5.0609807919026739 7.7623846687888856 7.6148392717902205 6.9411076193446943,-2.0215913835994419 23.921330911400364 12.638312279473915 1.0966192399213108 -0.180658212114681 0.0067073916375722312,0.76526584584402357 -4.2985904975648737 -2.377266538007218 -0.37548503995367355 -0.026714069106148486 -0.076276693960023678
ur,tetrapga,0.079983136,0.021321285,0.273696548,0.006653274,0.092475272,2.746121,0.033942,1.70978,0.007422,0.199459,0.079534,5.195322,0.083395,0,0,0,0,0,0,0.134956,0.043493,0.0305,0.060963,0,0,0,2.746121,0,0,0,0,0,5.317956,0.13730605,3,1,0,0.032836983,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00046570268549416189 -1.5705926510724426 0.0016459591051243407 -1.568400822651512 0.0023571780717705324 0.0021891935075392492,0.0084741474164469234 0.0033796360335964048 0.023748674659008321 0.032103217899024289 0.030948378481354132 0.028381273013721064,0.0021957827317884353 -1.5641172906196299 0.011533736944609125 -1.5577343820829066 0.012667653809350839 0.011771819068450928,0.039834571885824649 0.09345292593549645 0.15300166930743744 0.16850983625961208 0.16001059107171423 0.14603742322581506,0.0017075312074432054 -1.570487808062166 0.004260419439492874 -1.5645529633036439 0.0060882766438046321 0.0055726465556487324,0.062091426097452163 0.0052421505138245126 0.13072301671842668 0.19239296739340109 0.18655492860170497 0.16917265240547413,2.680863934050262 0.093125724011405384 5.3487171029709177 8.0144874747188393 7.7803275060175423 7.0395689695876529,-2.2467615064867656 26.506351320290619 13.871290795450793 1.1917280071434113 -0.19787254983512667 0.0069686014675087084,0.40130846751755822 -1.3386817619793874 -0.9979911593891444 -0.29921620269487903 -0.062796830465893905 -0.083431839287495535
ur,tetrapga,0.099997516,0.026869131,0.279698481,0.004748952,0.100062197,4.440313,0.033659,1.42444,0.009849,0.236127,0.15328,6.709217,0.089307,0,0,0,0,0,0,0.264114,0.093439,0.077038,0.093637,0,0,0,4.440313,0,0,0,0,0,6.837384,0.22201565,3,1,0,0.04017569,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00064865457504860826 -1.5705565362623473 0.0021006146324060713 -1.5677595485509142 0.0029737394742632697 0.0027517156479341357,0.010212822242874944 0.00055762816888610183 0.022920686404562362 0.032822868302239516 0.031525060882734678 0.02863572179312044,0.0030548754600967748 -1.562197868931239 0.014638503927596924 -1.5543375912263231 0.015876406238530868 0.014687651218767092,0.046010654107777424 0.098342897446063351 0.1572361724560975 0.17090617079577183 0.16061473242924065 0.14532336161809953,0.0020740295952599548 -1.5704729074878614 0.0048327118610650916 -1.5637386491042107 0.006842592877397656 0.0062339564596406404,0.07126875101056733 0.0041814387242914454 0.136604861432951 0.20104497233517118 0.19344267015671934 0.1741120405853252,3.0527964383846191 0.18119052777026717 5.6842087514194315 8.411105201646583 8.095880463699233 7.2738159396102384,-2.4103573726438077 28.793152133118248 15.0093295165592 1.2819628711953186 -0.21331422938398453 0.0073271034541224113,0.19494003368953816 0.02515668670184823 -0.43985317314563233 -0.2659412858865835 -0.076520183557963861 -0.08541696877199989
ur,tetrapga,0.11995752,0.032608345,0.282761927,0.004295775,0.106976882,2.73896,0.018262,1.122291,0.006425,0.145491,0.07998,4.493052,0.111281,0,0,0,0,0,0,0.12827,0.044427,0.028896,0.054947,0,0,0,2.73896,0,0,0,0,0,4.627251,0.136948,3,1,0,0.048259586,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00084157088635194218 -1.5705599317380916 0.0025037436040350868 -1.5671650645715365 0.0035427349939471438 0.0032664572624613035,0.012165538945918861 -0.0010771992201354698 0.023530490218767099 0.034980690266885453 0.033433998760015515 0.03011583906725453,0.0040345945998131313 -1.5601867013863711 0.017818293023778877 -1.5509034024263046 0.019087325963042471 0.017580557465693144,0.05215486151228832 0.1031681165474314 0.16136388651142636 0.17318174585201845 0.16110134017274647 0.1445341454132032,0.0024524262519214817 -1.570473287671432 0.0053661379507368937 -1.5629688021370944 0.0075492617236059623 0.006847191687131127,0.080542768278476978 0.0043322033329767796 0.14311971733509035 0.20981312172210215 0.2003263364829409 0.17903672123349118,3.4188614666279058 0.27047012765561246 5.979461355816162 8.7416215727608346 8.3446168861462695 7.4460441083118321,-2.5520274792523279 30.884405620717665 16.046532239817104 1.3633165410793575 -0.22727065591962892 0.0076287767071962888,0.13394724409579872 0.85684562179903878 0.0090919818367005689 -0.24056342593212321 -0.080502480733786186 -0.081024498393864164
ur,tetrapga,0.139957426,0.038306985,0.287564513,0.004436082,0.113708708,2.721249,0.017485,1.153809,0.006816,0.154773,0.096919,4.550904,0.083248,0,0,0,0,0,0,0.125558,0.04472,0.028972,0.051866,0,0,0,2.721249,0,0,0,0,0,4.656063,0.13606245,3,1,0,0.057327725,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0010943488145831425 -1.570587357022051 0.0029680895726676283 -1.5664668026950397 0.0042071019531149381 0.0038625826518066744,0.013626930139901886 -0.0017541247384783212 0.023877663088983567 0.035691792245347687 0.033885102096142213 0.030299352702320918,0.0051391072866806128 -1.5580754454477508 0.021086105532117084 -1.5474179443688025 0.022313244828314642 0.020462678397034872,0.058293794228547149 0.10794934961346975 0.16540250183328761 0.17534633379898684 0.16147265256279364 0.14366651754576953,0.002892066621489023 -1.5704839994286239 0.0059635662188320645 -1.562099705179298 0.0083450402030598447 0.007535779558819641,0.089885890345294026 0.0051678796713568263 0.1497738323082218 0.21835487578708832 0.20689691249724526 0.1836598453506483,3.8129480102696065 0.34610022049175737 6.2948084609619119 9.1331541770870306 8.6505905200551521 7.668024632416369,-2.6690972207556301 32.880597923310759 17.056306257477122 1.4433461901491795 -0.24060729518034268 0.0079703027480824782,-0.00050134222240139081 1.3255460389700602 0.08667618680055611 -0.24842056732632045 -0.093880438128342902 -0.09083861667112636
ur,tetrapga,0.159973505,0.044063197,0.291084306,0.004840277,0.12021343,2.766586,0.037943,1.396379,0.006955,0.163864,0.079717,4.830735,0.094395,0,0,0,0,0,0,0.128294,0.044036,0.030812,0.053446,0,0,0,2.766586,0,0,0,0,0,4.968119,0.1383293,3,1,0,0.067354115,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0013852386045647169 -1.5706260392601294 0.0034535860812031616 -1.5657310454079789 0.0049019224130767364 0.0044811439931011004,0.015230799521261478 -0.0020278076861838215 0.024800154293875061 0.037038623625460503 0.034917414657964302 0.031012187043658677,0.0063672438002371004 -1.5558672970334206 0.0244364386569456 -1.5438874910481275 0.025548040550271413 0.023328989420766357,0.064417656938889789 0.11267863258334124 0.16934494265234537 0.17739582868989553 0.16172760845767448 0.14272159886604102,0.0033728670031979526 -1.570496127423628 0.0065858483869369287 -1.5611948529284139 0.009167849515776632 0.0082434076124297869,0.099381419931661788 0.0064955918250698581 0.15661311528668834 0.22680962397825025 0.21329635513499476 0.18811318096643431,4.2075310205200154 0.42616997556268393 6.5906480496406639 9.4885500176394864 8.9189470238515227 7.8550496961387815,-2.7801174259276449 34.819879034507174 18.032014522427833 1.5199574015593584 -0.25340549729988748 0.0082825351808809393,-0.069160608242031074 1.5972915318598098 0.14310585339447357 -0.25513441615748889 -0.099825502027293567 -0.094711680953096788
ur,tetrapga,0.179958,0.049994951,0.293165484,0.00542894,0.089686353,2.693083,0.017222,0.864847,0.006057,0.14363,0.097885,4.20744,0.077096,0,0,0,0,0,0,0.123545,0.042751,0.028925,0.051869,0,0,0,2.693083,0,0,0,0,0,4.306427,0.13465415,3,1,0,0.078097582,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0016746982282158968 -1.5706628802675859 0.0039070437850759398 -1.5650440936508199 0.0055461453154476235 0.0050510031901942736,0.017197671038583346 -0.0022069885659338697 0.026259032120969555 0.039241208766911687 0.036735156557375852 0.032409139330503836,0.0077155080130359797 -1.5535687691199493 0.027859203219771519 -1.5403228569471688 0.028781658464947648 0.026171148231430203,0.070509433479767972 0.11734270422135726 0.17318008620603992 0.17932447702147514 0.16186565839299644 0.14170217335572011,0.0054257864025556487 -1.5695824423883586 0.010168541534390927 -1.5566005647289491 0.013420711538215363 0.011976655440086614,0.10264596996788478 0.045684251763467257 0.1791346573726999 0.22971440997323977 0.21264310112193657 0.18666239138284133,4.2724149464650711 2.3945620164700561 7.6437812625865176 9.5236600603164057 8.795397228228035 7.7126626026168736,-3.983292167463591 29.596496439483541 12.636616960537886 0.93609613945167458 -0.18730975885564416 0.001073735956327554,-0.075204728849033842 1.7915502306723283 0.25503936611722366 -0.26020579551641276 -0.10503212463760647 -0.097084563143411629
