robot,backend,t,tracking_error,velocity_error,torque_ratio,command_torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,solver_dam_calc_ms,solver_dam_calcdiff_ms,solver_dynamics_calc_ms,solver_dynamics_calcdiff_ms,solver_cost_sum_calc_ms,solver_cost_sum_calcdiff_ms,solver_cost_item_total_ms,solver_state_cost_total_ms,solver_control_cost_total_ms,solver_velocity_cost_total_ms,solver_collision_cost_total_ms,solver_collision_residual_total_ms,solver_model_total_ms,solver_overhead_ms,solver_dam_calc_calls,solver_dam_calcdiff_calls,initial_dam_calc_ms,initial_cost_sum_calc_ms,initial_model_total_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,ddq_cmd,u_cmd,effort
ur,tetrapga,0.000165718,0.000053082,0.303471768,0.036728694,0,2.854815,0.034447,3.130843,0.009687,0.210113,0.321994,6.914537,0.146494,0,0,0,0,0,0,0.168463,0.062313,0.045067,0.061083,0,0,0,2.854815,0,0,0,0,0,7.103972,0.14274075,3,1,0,0.007367609,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,6.4205859858439721e-06 -1.570796536739562 3.5396180062845566e-05 -1.5707295668835324 1.0455651326235784e-06 9.9756362264409973e-06,0.00054720258359058503 0.00054670988487645091 0.0036501041758792568 0.0057756951195692963 6.5613022469711228e-05 0.0008677275183950066,2.4984525008442915e-06 -1.5707841533657396 2.240226294329175e-05 -1.5707701725272181 2.5925729841114488e-05 2.4544480542212167e-05,0.015102256432672313 0.073479798780645353 0.13520224731129865 0.1578359317927614 0.15644951221886816 0.14810842466623969,0.00036662717765251212 -1.5692637743552558 0.0027725209298322911 -1.5675848738388241 0.0031657524162320115 0.0029828269654418862,0.021309927440106732 0.078551098548816881 0.1397952060742397 0.16067577231920188 0.15751404220380641 0.14770670676999947,1.0381362428258072 3.9002194331970212 6.8072550949180215 7.7450038599816295 7.8724214590668344 7.341948962580223,0 0 0 0 0 0,-0.26339396192871645 -0.13724225864280015 -1.2460165377624501 -2.0568068694556132 -0.014345386838060099 -0.17694490448834763
ur,tetrapga,0.020035932,0.005705213,0.258595463,0.034814455,0,2.738058,0.018032,0.96587,0.006991,0.155422,0.107076,4.388538,0.100255,0,0,0,0,0,0,0.13089,0.044224,0.029415,0.057251,0,0,0,2.738058,0,0,0,0,0,4.511845,0.1369029,3,1,0,0.013986776,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,5.0884079887065919e-05 -1.5707864987096996 0.00021896864421537684 -1.5704046077008873 0.00023267663139069008 0.00024000596112696296,0.0056323286343467347 0.00085316444738099218 0.020856086792537646 0.033993102198516832 0.030038786456781329 0.028698957936543194,0.00036386406057176612 -1.5692739670614413 0.0027543793851556695 -1.5676057261316201 0.0031453097229760408 0.0029636565171388364,0.021269658621699449 0.078518325976853778 0.13976568087444186 0.1606576957896915 0.15750750408986935 0.14770956720812958,0.00085485982318461435 -1.5676423967950868 0.0056136270103487986 -1.564343872674685 0.0063257213675007827 0.0059322889313127855,0.027512239446653146 0.083579293157104842 0.14430064170021928 0.16340595843321204 0.15846366643841447 0.14722641679194401,1.0939955406153206 4.1363064354861923 6.1722277453840819 6.4706428117347601 6.4212439990816579 5.9263729427700405,0 0 0 0 0 0,-1.0345519052833354 6.9453134710320228 2.147475333278889 -1.949609506195884 -0.0999473941813811 -0.21336581347243744
ur,tetrapga,0.040000874,0.010486886,0.2190555,0.036748923,0.072701386,2.726872,0.01837,0.97995,0.006345,0.151083,0.097573,4.36225,0.091125,0,0,0,0,0,0,0.121787,0.042494,0.028211,0.051082,0,0,0,2.726872,0,0,0,0,0,4.47573,0.1363436,3,1,0,0.018721089,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00020075618491712901 -1.5706790609352421 0.00081370533407626271 -1.5694984665909897 0.0010600485731478845 0.0010235851484148419,0.010111509154217104 0.0096076950871335359 0.040487658859667888 0.057549503947602207 0.053877144885929047 0.050735190639691521,0.0008503288066938992 -1.5676561709392873 0.0055898429460536315 -1.5643708073491127 0.0062996001890769943 0.0059080191871026056,0.027461147312146765 0.083538031808017318 0.14426387034230329 0.16338390742965925 0.15845631022042916 0.14723069583710588,0.0010803813769024379 -1.570439702418412 0.003239358146849267 -1.5660013348565593 0.0045135287183114764 0.0042051841821198277,0.043981259599265445 0.011967925841503956 0.1212826406386502 0.17485658672151666 0.17267400725817961 0.1590799516852493,1.6934875222524171 0.11801153771852099 4.0397490889491152 5.8653541386957224 5.9398431186125284 5.4172380522778889,-1.9559217144353225 21.129237539978206 10.905207940489696 0.93236299899615538 -0.15708949910506781 0.0052497181018527706,-1.6511983104853067 10.182079970002633 3.124413668574693 -2.0579396878702028 -0.24405240348202462 -0.32378966362543515
ur,tetrapga,0.05999802,0.015354086,0.264211539,0.045688437,0.07936586,2.779277,0.017287,0.880767,0.00625,0.147982,0.097029,4.3216,0.095014,0,0,0,0,0,0,0.134758,0.052207,0.029442,0.053109,0,0,0,2.779277,0,0,0,0,0,4.438525,0.13896385,3,1,0,0.023968793,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00035138428806321623 -1.5703758137167727 0.0015356166616165999 -1.5686282616380578 0.0018222939472572978 0.0017457928506696776,0.0059147617628714502 0.015292945027102491 0.030025873589908096 0.033549662088305808 0.027139364455397764 0.025888244819629275,0.0014614164712750781 -1.5659357525910498 0.0085190129587025092 -1.5610772155060086 0.0094768169088234443 0.0088467653481621115,0.033654837999595628 0.088520639891851646 0.14867984206484239 0.16600369174899893 0.15929146346698303 0.1466728410635994,0.0013880461262384229 -1.5701006995257194 0.0040867589862415635 -1.5649678558599893 0.005409183924995762 0.0050226769286938226,0.051833091908760336 0.013755709552663097 0.12755711623124816 0.18302028890342009 0.17934449888692319 0.16384420390120724,2.2959165072944443 -0.076861773721969687 4.8765621320670025 7.4735313407557138 7.6102567215762704 6.8977979540788974,-1.8553521025161923 22.406187376098622 11.904879035268511 1.0341665602557364 -0.16842640442670426 0.0065181481877343598,0.61993811658811904 -7.2585229410988177 -4.6093347113229779 -2.5585524854232062 -0.047601362807236924 -0.26155898271766986
ur,tetrapga,0.079999725,0.020779353,0.265619366,0.044136869,0.087007331,3.014669,0.017679,1.031784,0.006274,0.147546,0.078238,4.847396,0.118854,0,0,0,0,0,0,0.138637,0.048977,0.031719,0.057941,0,0,0,3.014669,0,0,0,0,0,4.990154,0.15073345,3,1,0,0.029808149,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0004803298718483724 -1.5701524718196527 0.0020635075986397931 -1.5679893821473712 0.0023468192318516767 0.0022419694477029584,0.0084873333157488642 0.0105331271064834 0.029855844235352692 0.037284783716963969 0.030998984143242137 0.029144369085919011,0.0021964435900080539 -1.5641157402952506 0.011536275118737425 -1.5577315866563668 0.012670308229598817 0.011774241678622486,0.039839696557863721 0.093456999827576992 0.15300521817332019 0.16851186965845519 0.16001113993905003 0.14603686352841116,0.0016999007230746584 -1.5699241842690748 0.0047218541040619285 -1.5641563773190921 0.0060775748433701468 0.0056229787898144958,0.060978542561314297 0.011414377528896624 0.13291732527110678 0.19165024141395132 0.18653778057592352 0.16905046710557686,2.6245604622782714 0.044062521120661211 5.1530740517877041 7.7182728848493669 7.7769398216340679 6.9953049009828927,-2.0577718618851493 24.798823715789378 13.05109969961852 1.1223343338300191 -0.18423943676942373 0.0067696414168881055,0.29233551267473334 -4.4935114462186903 -3.3177718365728079 -2.4716646797451176 -0.074392058602162692 -0.26677082562972743
ur,tetrapga,0.100019339,0.026271917,0.270224593,0.043678598,0.093908928,2.910493,0.019001,0.920186,0.006866,0.145005,0.100465,4.522594,0.083153,0,0,0,0,0,0,0.142598,0.048022,0.037509,0.057067,0,0,0,2.910493,0,0,0,0,0,4.629734,0.14552465,3,1,0,0.036429538,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00064798834580938693 -1.5699859025148974 0.0025924015751853415 -1.5673081236989872 0.0029131139054665925 0.0027715855133253471,0.010275465726698896 0.0083579396857890419 0.029714673056096777 0.038514780316929433 0.032071539827937159 0.029862413561003307,0.0030558796239960966 -1.5621957227363128 0.01464193534240283 -1.5543338615131281 0.015879911340332148 0.014690822601530549,0.046017380469395179 0.098348201480669362 0.15724073774862976 0.17090872127281842 0.16061532769337122 0.14532254071318271,0.0020493651219136051 -1.5697682214574327 0.0053723154964484925 -1.5633033893336736 0.0067839861818336988 0.0062530077572103193,0.07006883880521092 0.010884052873237189 0.13899569606315754 0.20023671826567446 0.19354361381835533 0.17407111219424862,2.9896686539256012 0.12630565937240737 5.464051150353038 8.0860968974372511 8.0736036995209091 7.2104349316622658,-2.1988100243890223 26.869851200458612 14.086339256759576 1.2041097844144513 -0.19808851815024631 0.0071015419158085855,0.12612783768153335 -3.4198779648277196 -2.882694577808369 -2.4460015086842759 -0.08581112149883019 -0.26969331381635975
ur,tetrapga,0.12000129,0.03172357,0.275043374,0.04342378,0.1004929,2.734856,0.018027,1.042164,0.006457,0.145525,0.075548,4.413616,0.08411,0,0,0,0,0,0,0.121327,0.0429,0.028389,0.050038,0,0,0,2.734856,0,0,0,0,0,4.520033,0.1367428,3,1,0,0.043864297,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00086328894173682918 -1.5698320895735103 0.0031747037281319415 -1.5665395533377968 0.0035525993172251268 0.0033644447057797752,0.011818911997906609 0.0070787742797149191 0.029715599275439368 0.039321541491569426 0.032769760279261761 0.030239373922173709,0.0040368777125687648 -1.5601821854876097 0.017825356116868505 -1.5508958221548403 0.019094377389270379 0.017586883685518324,0.052168316706931006 0.1031786396974216 0.16137283215089038 0.17318660974218686 0.16110227992688475 0.14453233043044814,0.0024477093090993223 -1.5696104210409998 0.0060797422387891056 -1.5623674136013512 0.0075578581868189394 0.0069407096418486374,0.079221018368124646 0.01108342662552083 0.14525192553285821 0.20860698682228468 0.20026294347969062 0.1788132468034431,3.3701053185109018 0.20023261729029554 5.7768163128709418 8.4642722665357635 8.3746591600214426 7.4286936440634692,-2.3183742039042738 28.823122274715562 15.073935047985675 1.2822024425513701 -0.21110863580085321 0.0074358074069218617,0.033619665078566285 -2.8078220038269137 -2.6304836701694221 -2.4317317001159608 -0.091697291258761027 -0.27067355115100966
ur,tetrapga,0.140000738,0.037232768,0.278685595,0.04348638,0.106695164,2.727305,0.018861,1.085772,0.006284,0.148595,0.076091,4.448803,0.096444,0,0,0,0,0,0,0.122918,0.043048,0.028382,0.051488,0,0,0,2.727305,0,0,0,0,0,4.568767,0.13636525,3,1,0,0.052095165,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0011176144061091789 -1.5696982316159835 0.0037746411337726831 -1.5657319175097559 0.0042247297644932768 0.0039817479218027607,0.013416130746287178 0.0065462878498846726 0.030466286087374752 0.040607202530552743 0.033815104149793752 0.03095609816372389,0.0051416323949518309 -1.5580707697225809 0.021093269632363465 -1.5474103496696097 0.022320238546521095 0.020468900838752694,0.058307067928761211 0.10795964414653078 0.16541114079210936 0.17535089518390701 0.16147333028140926 0.14366455543738618,0.0028873360674881382 -1.5694571678589628 0.0068109672817974641 -1.5613938785466681 0.0083609437922965851 0.0076494423910096511,0.088486083068947965 0.012053187851030352 0.15181630740123905 0.21690194815438996 0.20681070139016539 0.18338472346034448,3.7534976161330391 0.27534500005728396 6.0675010656932145 8.8147372811918601 8.6497798620185815 7.6214312648310303,-2.4235741758056206 30.665076417755333 16.004274526029221 1.3552149029880778 -0.22320000103543511 0.007744871807498852,-0.0562479967383549 -2.4318197861812223 -2.5270744279749344 -2.4352372731682408 -0.099309047718358912 -0.27473960008718912
ur,tetrapga,0.160006284,0.042946153,0.280757838,0.043467941,0.112792794,2.704358,0.022753,1.020991,0.006213,0.142148,0.104821,4.363372,0.07415,0,0,0,0,0,0,0.121771,0.042383,0.028149,0.051239,0,0,0,2.704358,0,0,0,0,0,4.473054,0.1352179,3,1,0,0.061392413,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0013737923225737535 -1.5695830727543032 0.004328993752868179 -1.5649810263580388 0.0048488150903158063 0.0045506988205354466,0.015344412412660045 0.0062343327277389095 0.031860066593160756 0.042843904247898849 0.035639208606743245 0.032372977624929897,0.0063693555106872383 -1.5558636034143578 0.024441989719282853 -1.5438816761368299 0.025553341824823387 0.023333667665668523,0.064427667809956499 0.11268633049507271 0.1693513163250786 0.17739908858748832 0.16172793021718662 0.14271998883336756,0.0033340539355249457 -1.5693156019831169 0.0075021284761405613 -1.5604744697578969 0.0091163031003762135 0.0083097956861143876,0.098013080647559606 0.0133735385593126 0.15865673616361914 0.22532783000709716 0.21337440050302037 0.18795484327894701,4.1334334117449778 0.35696029157868453 6.3398334785229187 9.124196287959915 8.8867595948138565 7.7790932827008552,-2.5289558287275846 32.490590910764176 16.918919054835058 1.4263348234534798 -0.2350895198962088 0.0080240419046201036,-0.079282163563261676 -2.1086823999203261 -2.3617516478630165 -2.4342046921628935 -0.10422347298029422 -0.2769142991919491
ur,tetrapga,0.180000601,0.04858753,0.284888436,0.043609908,0.118934811,2.722807,0.018444,0.882109,0.00634,0.1442,0.098938,4.250928,0.082503,0,0,0,0,0,0,0.12044,0.042056,0.027715,0.050669,0,0,0,2.722807,0,0,0,0,0,4.355898,0.13614035,3,1,0,0.071711744,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0016865167623061398 -1.5694545320986439 0.0049611005656307753 -1.5641280500518533 0.0055564752768918037 0.0051913502525727509,0.016709156664056677 0.0063772975327162562 0.032516925836249398 0.043530250624492638 0.0361205963631549 0.032573246696744391,0.0077185120614707498 -1.5535637699929712 0.027866581036440293 -1.5403152174602368 0.028788554107481996 0.02617718483770946,0.070522393677860729 0.11735258355766809 0.17318815243234559 0.17932846211711728 0.16186582830794954 0.14169991946121102,0.0038393166692513242 -1.5691563826185841 0.008269072295780569 -1.5594584628642174 0.0099489459018498629 0.0090358412793393114,0.10763999534725922 0.014907474002990143 0.16539858650748965 0.23347935938179029 0.2196235312479029 0.192224551338328,4.5465419341601274 0.42650882351369429 6.644083033562012 9.4974554378648826 9.1751467442374004 7.9825652320791809,-2.6169682916580368 34.289071389834113 17.84022158120472 1.4988331499184293 -0.24690601519708774 0.0083472323657274722,-0.09159253022193603 -2.1096732832702401 -2.3848831609440282 -2.4421548589962185 -0.10528155306248621 -0.27772167686061167
