robot,backend,t,tracking_error,velocity_error,torque_ratio,command_torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,solver_dam_calc_ms,solver_dam_calcdiff_ms,solver_dynamics_calc_ms,solver_dynamics_calcdiff_ms,solver_cost_sum_calc_ms,solver_cost_sum_calcdiff_ms,solver_cost_item_total_ms,solver_state_cost_total_ms,solver_control_cost_total_ms,solver_velocity_cost_total_ms,solver_collision_cost_total_ms,solver_collision_residual_total_ms,solver_model_total_ms,solver_overhead_ms,solver_dam_calc_calls,solver_dam_calcdiff_calls,initial_dam_calc_ms,initial_cost_sum_calc_ms,initial_model_total_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,ddq_cmd,u_cmd,effort
ur,tetrapga,0.000141968,0.000043807,0.308589969,0,0,2.799981,0.03092,2.443365,0.011817,0.174991,0.323376,6.174535,0.128265,0,0,0,0,0,0,0.131378,0.051444,0.028431,0.051503,0,0,0,2.799981,0,0,0,0,0,6.341893,0.13999905,3,1,0,0.007618222,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,1.2295828837721686e-19 -1.5707963267948966 -4.1282918943910818e-20 -1.5707963267948966 -2.4868721767982697e-21 -4.8689300597476122e-23,9.5473482501413524e-18 3.0862602972405086e-17 -3.0919463947194241e-18 2.7117731265899938e-18 -1.5537693978964593e-19 -3.617394156090532e-21,2.1398614746934242e-06 -1.5707858984391534 1.919127494529895e-05 -1.5707739210897844 2.2210069746164189e-05 2.1026900347182708e-05,0.015094882610928983 0.073473751847604865 0.13519674197328127 0.1578324948279923 0.15644817996057453 0.14810885489666259,0.00036612115438168291 -1.5692656398726317 0.0027692008578441979 -1.56758868984914 0.0031620114719326923 0.0029793189249370721,0.021302558523195566 0.078545101515432411 0.13978980342882508 0.16067246477620573 0.15751284613289879 0.14770723045905795,1.0651279261597777 3.9272550757716189 6.9894901714412541 8.0336232388102857 7.8756423066449388 7.3853615229528975,0 0 0 0 0 0,-4.381156538641035e-15 0 1.1175664511415714e-15 0 3.1606826781216464e-17 7.3850268812996667e-19
ur,tetrapga,0.020005463,0.005848748,0.264078899,0.02736896,0,2.716717,0.017837,0.863415,0.006493,0.14688,0.11023,4.255798,0.098762,0,0,0,0,0,0,0.119847,0.042637,0.027305,0.049905,0,0,0,2.716717,0,0,0,0,0,4.376837,0.13583585,3,1,0,0.014210365,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,3.7821090733132138e-05 -1.5708162404819859 0.00010598586765950141 -1.5705696099088764 0.00023224692532343991 0.000215858806608295,0.0058713574462750315 -0.0017692975965386099 0.016402441991429182 0.029250266450072015 0.030057913181160117 0.028004771789960723,0.00036321613936522544 -1.5692763593191006 0.0027501209702296852 -1.5676106211462928 0.0031405106502275164 0.0029591559441120505,0.021260204945156048 0.078510631914060505 0.13975874890459514 0.1606534514132674 0.15750596847880086 0.14771023825466498,0.00085420649491077083 -1.5676443817327077 0.0056101999330157495 -1.5643477535284767 0.0063219578680025505 0.0059287922965888546,0.02750487834885551 0.083573348592591024 0.14429534421960552 0.16340278188616775 0.15846260706983917 0.14722703362595579,1.0816760451290239 4.2671323094564819 6.394645111408817 6.7076257718047874 6.4202346944339528 5.9611130917997537,0 0 0 0 0 0,-0.96372097544571367 8.1144038816901229 4.1053439534351099 0.29136887031199876 -0.11875094717894008 -0.034988887174311145
ur,tetrapga,0.039999438,0.010751057,0.224819769,0.037560501,0.076001418,2.717845,0.017188,0.897854,0.006302,0.14409,0.095173,4.266702,0.081674,0,0,0,0,0,0,0.12397,0.043284,0.028936,0.05175,0,0,0,2.717845,0,0,0,0,0,4.370156,0.13589225,3,1,0,0.020171271,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00019788890207137868 -1.5707791359991594 0.00060802011280300643 -1.5697506783522337 0.0010612260034296192 0.00098721046171467157,0.011087443505442317 0.0054336941707865179 0.035828478259239918 0.05353393655112601 0.053919050810110079 0.050161430471674193,0.00085028937280592594 -1.567656290899643 0.0055896357833658313 -1.5643710419682657 0.0062993726458615527 0.0059078077637966355,0.027460702232623847 0.083537672355907089 0.14426354999047145 0.16338371530437637 0.15845624610403636 0.14723073308963841,0.0010908533514557349 -1.5706223138661639 0.0030047320065258931 -1.5662443442751055 0.0045152411662396988 0.0041705573825076385,0.044648222469217805 0.0078411066497774146 0.11983559468614433 0.17531670385640472 0.17270075814050401 0.15916734603964833,1.6780389481887745 0.12037062394954483 4.2003558213452203 6.0891383652639348 5.9390853665196959 5.4502957783987069,-2.0796441990304237 22.12121382454432 11.400212636625598 0.97612066154019406 -0.16584994023120458 0.0053924524818494699,-2.020954195303807 12.394965193481767 5.4698951272188339 0.2295200815433418 -0.26635167444052854 -0.14391486843773116
ur,tetrapga,0.060000931,0.015741687,0.270660499,0.017482504,0.083038842,2.675276,0.016512,0.869114,0.005894,0.14311,0.092119,4.184182,0.076401,0,0,0,0,0,0,0.121367,0.042389,0.027801,0.051177,0,0,0,2.675276,0,0,0,0,0,4.281283,0.1337638,3,1,0,0.025751376,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00035564692995882245 -1.5705631836073406 0.0012342400607505215 -1.5689725192020521 0.0018223589482687878 0.0016954946015476566,0.0055762501849518052 0.011035747432487782 0.024925912464421163 0.028523087184523028 0.027092988273939567 0.025132846451899022,0.0014615144418198046 -1.5659354949064164 0.0085194457666487745 -1.5610767322687189 0.0094772806064383087 0.0088471923126759774,0.033655738933893932 0.088521361817438443 0.14868047828397993 0.16600406497762099 0.15929157663152707 0.14667275417268474,0.0014056242995708248 -1.5703716780217731 0.0037582389883946393 -1.5652986263082067 0.0054099133984865906 0.0049748285578168011,0.052498868480600119 0.0095752792783730944 0.12619994638220589 0.18369464469227134 0.17937772251089015 0.16396669781345721,2.3461309147824156 -0.073023407705734372 5.063701695889236 7.7585778753874148 7.6142367118475285 6.9416925680779089,-1.9639478774516073 23.478274996302481 12.455826263533957 1.0831241411671331 -0.17795442658605259 0.0066949194502749004,0.78722358403197212 -5.3522813759354904 -2.6223755857606665 -0.44940645516544464 -0.033812914165409325 -0.07900184011467104
ur,tetrapga,0.080001236,0.021283994,0.272229109,0.008632707,0.090873511,2.741272,0.017255,1.135846,0.006872,0.14948,0.100308,4.550155,0.082147,0,0,0,0,0,0,0.136329,0.050859,0.028362,0.057108,0,0,0,2.741272,0,0,0,0,0,4.654283,0.1370636,3,1,0,0.031927079,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00047875521497844518 -1.5704147161279356 0.00166934853567869 -1.5684246573266405 0.0023466065347572266 0.0021782620283214245,0.0083643543143456667 0.0063406574707592272 0.024705119793414106 0.03222063699409982 0.030968206100696765 0.028392437649513057,0.0021965037881422032 -1.5641155990814435 0.011536506309866296 -1.5577313320347916 0.012670550006469033 0.01177446234028476,0.03984016333538215 0.093457370894118652 0.15300554141663039 0.16851205486560081 0.16001118992836705 0.14603681254602405,0.0017124628947259677 -1.5702696891529928 0.0043035757121992089 -1.5645738862506187 0.0060780514095866781 0.0055623612353847144,0.061685383987376122 0.0072513487471351354 0.13171135882602594 0.19253855380109383 0.18657224374147258 0.16920496035316446,2.6660514836515228 0.045534563818795407 5.3503119516305917 8.0158958403496996 7.7802018820387913 7.0406261351825705,-2.1741669588321515 25.926780275780128 13.631026582429353 1.1741073236506765 -0.19436251679197136 0.0069538013777099604,0.46742095744747125 -2.7034733697464617 -1.2949060264539884 -0.33216927108969685 -0.067078544200297685 -0.084838907186158607
ur,tetrapga,0.100003081,0.026775185,0.278077143,0.005884838,0.098122328,2.731105,0.017426,0.892424,0.006426,0.146406,0.094148,4.271023,0.076583,0,0,0,0,0,0,0.118667,0.042331,0.027516,0.04882,0,0,0,2.731105,0,0,0,0,0,4.369535,0.13655525,3,1,0,0.038964686,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00066460464464875859 -1.5703167780011651 0.00215324354981479 -1.5677687931230093 0.0029755333447561067 0.0027516077939222484,0.010095381966423126 0.003964324812864563 0.024100619221728348 0.032807006750099274 0.031410500686442126 0.028538820626807477,0.0030551315141596116 -1.5621973216492511 0.014639378950136001 -1.5543366401316729 0.015877300059939248 0.01468845994269205,0.046012369373312267 0.09834425001353593 0.15723733664474007 0.17090682119615211 0.16061488423841835 0.14532315229100978,0.0020802038635619356 -1.5701868997279871 0.0049075032804211209 -1.563745520748332 0.0068439687419586375 0.0062338907151257743,0.070779960945658846 0.0064939136588999481 0.13771298653031655 0.20116361873387129 0.19342176986012655 0.17411414606017631,3.0342289489617862 0.12647944230176925 5.6806183654294102 8.4178305991885995 8.1005634586842206 7.2787662716684407,-2.3246499744633455 28.097731232501136 14.71834926395128 1.2606118093338414 -0.20904286055897703 0.0073112514489218697,0.19150139375189035 -1.5621767648572131 -0.88272563485654487 -0.30051235379960417 -0.079165866108240834 -0.087665201583670083
ur,tetrapga,0.12003979,0.032486372,0.280971336,0.004880178,0.104846673,2.739748,0.018588,1.164288,0.006819,0.15065,0.081593,4.55272,0.087467,0,0,0,0,0,0,0.147176,0.062443,0.028323,0.05641,0,0,0,2.739748,0,0,0,0,0,4.664202,0.1369874,3,1,0,0.046818102,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00086100801662229883 -1.5702597505398184 0.0025862838532095937 -1.5671593096950402 0.0035576109208321455 0.0032778584571965088,0.012078611681949807 0.0025306982750783165 0.024835968779788234 0.034936997170193801 0.033307612794005147 0.030011754478702603,0.0040388864205876986 -1.560178212931804 0.017831569122369936 -1.5508891543880161 0.019100579842952246 0.017592448149503191,0.052180151798257024 0.10318789562545945 0.16138070033071367 0.17319088755183559 0.16110310607183265 0.14453073367091412,0.0024618565614410162 -1.5701243650271794 0.0054723133972385454 -1.5629604391548382 0.0075636814454864889 0.0068585470712530187,0.080042427240935854 0.0067692756319413889 0.14430147720144759 0.20994352701010363 0.20030352623271713 0.17903443070282549,3.3981907779493024 0.21192886784315362 5.9732754210829677 8.7503264919954908 8.349795671935599 7.4511338112061436,-2.4594020199206663 30.123709675696375 15.727000950038725 1.339848699806147 -0.22257488870379222 0.0076114609400888163,0.096551107918154244 -0.77807961936196079 -0.49696907695921055 -0.27328998005214089 -0.089986135787887278 -0.090236306319166459
ur,tetrapga,0.140024104,0.038121088,0.28564391,0.004914996,0.111392091,4.541398,0.035574,1.659131,0.008943,0.216503,0.118591,7.147246,0.110366,0,0,0,0,0,0,0.2464,0.081845,0.067691,0.096864,0,0,0,4.541398,0,0,0,0,0,7.299069,0.2270699,3,1,0,0.055604663,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0011176950664763118 -1.5702162296203275 0.0030841368322685136 -1.5664471271422675 0.0042337639215704074 0.0038842878142799774,0.01354549763769047 0.001972565567423765 0.025221718065757681 0.035659014577873432 0.03376060124462793 0.030198780678041756,0.0051429948815615491 -1.558068247072653 0.021097134683526468 -1.5474062523918457 0.022324011536625606 0.020472257692386819,0.058314228798519691 0.10796519774268493 0.16541580115260043 0.17535335573700198 0.16147369567078401 0.14366349676826101,0.0029044270414085686 -1.5700633389543079 0.0061033282257735681 -1.5620781189350024 0.0083705128467167558 0.0075568366778206355,0.08933659874661283 0.0076445333009753855 0.1509595696752527 0.21845041036325419 0.20683744625731743 0.18362744317703289,3.7895550554461179 0.28359838667758103 6.2868925804747509 9.1395697892690375 8.6538422506344741 7.671433124949556,-2.5700002789602725 32.055654636666233 16.708813616073666 1.4177520525980809 -0.2354981525374456 0.0079497031897942053,-0.033555796457660492 -0.41555648655139521 -0.41827392481684456 -0.27523975018812052 -0.094983477728474597 -0.092723313159169152
ur,tetrapga,0.16004317,0.043991516,0.287778398,0.004308465,0.117843162,4.568466,0.036902,1.667742,0.009199,0.21832,0.122679,7.180475,0.145784,0,0,0,0,0,0,0.250145,0.086471,0.070554,0.09312,0,0,0,4.568466,0,0,0,0,0,7.368934,0.2284233,3,1,0,0.065518437,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0013662603661835479 -1.570182034530168 0.0035329331676547723 -1.5658018308911452 0.0048427324314026347 0.0044271443323029135,0.015456151679816649 0.0014688173194564392 0.026400128284357526 0.037996754673820243 0.035775560819745623 0.031764965176816422,0.0063717321974045022 -1.5558594467066131 0.024448236544209755 -1.5438751325263989 0.02555930732792942 0.023338932001758642,0.064438932907330881 0.11269499272047705 0.16935848825348843 0.17740275655140464 0.16172829191659796 0.14271817682955004,0.0033451184236472043 -1.5700061178700357 0.006690873639708301 -1.5612593050262902 0.0091116433768203761 0.0081924356100365366,0.098942902873182803 0.0087958330066167066 0.15789702360267643 0.22712629324275713 0.21344554727088708 0.18826456388668114,4.1743375596683077 0.36635078435801333 6.5748447659159446 9.4564769284468433 8.8834993225570731 7.8249799354932357,-2.6847829277813031 33.985510528528351 17.676474264334811 1.4933585164330423 -0.24829901501398599 0.0082356988174785602,0.080436939264084018 -0.08331852523406269 -0.089682308870777661 -0.24127401844907581 -0.092913989402468644 -0.085973038516145905
ur,tetrapga,0.180021834,0.049790581,0.291964385,0.004424391,0.124278842,4.485789,0.03752,1.420998,0.0092,0.234156,0.164939,6.918506,0.168198,0,0,0,0,0,0,0.247039,0.086967,0.069401,0.090671,0,0,0,4.485789,0,0,0,0,0,7.130949,0.22428945,3,1,0,0.076493401,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0016736943279389177 -1.570148035215283 0.004049532216619689 -1.5650598834359715 0.0055382750649158666 0.0050431587668023055,0.016867679883533982 0.0014696385067732912 0.027055844074484189 0.038780252921637615 0.036239584027831187 0.031964917390249502,0.0077200095320332741 -1.5535612781932895 0.027870258383161102 -1.5403114097579156 0.028791991005511684 0.026180193540171853,0.070528853199732094 0.11735750747096406 0.17319217259038308 0.17933044814964486 0.16186591279862372 0.14169879595711893,0.0038461454980572669 -1.5699430644535062 0.0073450854788925136 -1.5603493159686914 0.009932668609291307 0.0088949422605238224,0.10862255850591745 0.010248538088844619 0.16477766311364125 0.23552837336400653 0.219719677218772 0.19258917468607586,4.5877439311191734 0.43894497910356639 6.8860909519578533 9.8374060221184454 9.174004659547041 8.0312128647913177,-2.7826952936382243 35.876850536738992 18.641826345237241 1.5696088987370025 -0.26086170295886174 0.0085658430361126494,0.039223537266675379 0.031141274344918202 -0.073524163683554633 -0.24776589233169943 -0.095440079255393329 -0.087663520758596292
ur,tetrapga,0.200025266,0.055667193,0.29494204,0.004487971,0.092273513,3.018083,0.036201,1.753115,0.009782,0.222294,0.127605,5.62879,0.100215,0,0,0,0,0,0,0.167612,0.063226,0.041265,0.063121,0,0,0,3.018083,0,0,0,0,0,5.771619,0.15090415,3,1,0,0.087849594,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0020099171205980601 -1.5701131700564903 0.0045817951408856335 -1.564297285433718 0.0062479295875962401 0.0056675875412012088,0.018564355373439083 0.0014974632996240221 0.028163689529615697 0.040273049670821973 0.037370911391729593 0.032756474415743732,0.0091916086143757104 -1.5511675310399178 0.031372230931815535 -1.5367058689900486 0.032030271372541913 0.029003817428896825,0.076601458538395034 0.12196599718458871 0.17692768737002532 0.18114190983289985 0.16188712362962149 0.14060258628457714,0.0060828690753075565 -1.5689292011777269 0.011104409481133205 -1.5555828831379566 0.01431044642941141 0.012715336681785627,0.11183617886251448 0.050693163788960695 0.1879662001120346 0.23832164153674412 0.21888889100600517 0.19101972106309023,4.6635911744537699 2.4597850244668336 7.9901255291209452 9.9024295932961088 9.0758989807137791 7.9131623323673255,-4.1128181206696235 30.450259294001459 12.991013793630369 0.96121429880605458 -0.19232698878608651 0.0011025231001852206,0.031576418137134965 0.15054449965191452 -0.016652060481618491 -0.25132635161844519 -0.098176461902209411 -0.088947727491209605
