robot,backend,t,tracking_error,velocity_error,torque_ratio,command_torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,solver_dam_calc_ms,solver_dam_calcdiff_ms,solver_dynamics_calc_ms,solver_dynamics_calcdiff_ms,solver_cost_sum_calc_ms,solver_cost_sum_calcdiff_ms,solver_cost_item_total_ms,solver_state_cost_total_ms,solver_control_cost_total_ms,solver_velocity_cost_total_ms,solver_collision_cost_total_ms,solver_collision_residual_total_ms,solver_model_total_ms,solver_overhead_ms,solver_dam_calc_calls,solver_dam_calcdiff_calls,initial_dam_calc_ms,initial_cost_sum_calc_ms,initial_model_total_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,ddq_cmd,u_cmd,effort
ur,tetrapga,0.000160859,0.000049637,0.308595091,0,0,4.099006,0.042504,3.154282,0.009821,0.240602,0.349952,8.304534,0.154943,0,0,0,0,0,0,0.238328,0.084307,0.068861,0.08516,0,0,0,4.099006,0,0,0,0,0,8.511336,0.2049503,3,1,0,0.007618475,0,0.8,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,5.3942980268996037e-20 -1.5707963267948966 -1.618178055426352e-20 -1.5707963267948966 -1.3037609844139818e-21 -2.6700530792851118e-23,5.791003212670249e-18 2.1122697934829535e-17 -1.7827965965442693e-18 1.8387389732457569e-18 -1.1865414649076072e-19 -2.8207996077945888e-21,2.4250743019960876e-06 -1.5707845104010763 2.174531796000925e-05 -1.5707709394503022 2.516554232340753e-05 2.3824821492888967e-05,0.015100747826695932 0.073478561646493926 0.13520112098689285 0.1578352286383754 0.1564492396659769 0.14810851269589978,0.00036652363637780012 -1.5692641560320628 0.0027718416676113357 -1.5675856545607578 0.0031649870560954158 0.0029821092582933669,0.021308419837889017 0.078549871623858999 0.1397941007599004 0.16067509564330318 0.15751379751347364 0.14770681392028387,1.0654209918944504 3.9274935811929486 6.9897050379950194 8.0337547821651594 7.8756898756736815 7.3853406960141932,0 0 0 0 0 0,-2.6532816858225106e-15 0 6.386251579505137e-16 0 2.450679749451052e-17 5.7295652090548364e-19
ur,tetrapga,0.019979866,0.005832594,0.263215554,0.024452368,0,2.70311,0.01776,0.861984,0.006511,0.14426,0.102538,4.222055,0.080857,0,0,0,0,0,0,0.121696,0.042083,0.028943,0.05067,0,0,0,2.70311,0,0,0,0,0,4.324921,0.1351555,3,1,0,0.014135334,0,0.8,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,3.9266182016127254e-05 -1.5708125739317444 0.00011633099879577678 -1.5705645215860715 0.00023169382583329372 0.00021608114345911383,0.0054284859796035418 -0.00085744489854345835 0.017392584454599413 0.02958692804112685 0.029985978514364263 0.028031230691965843,0.00036267204354543866 -1.5692783688730181 0.0027465436400683353 -1.5676147333470509 0.0031364789864655172 0.0029553749979298713,0.021252262904054044 0.078504168056352214 0.13975292520131308 0.16064988551689702 0.15750467820615835 0.14771080185974889,0.0008547261448719753 -1.5676428029039176 0.0056129258561638633 -1.5643446666626581 0.0063249513930720832 0.0059315735578469716,0.02751073344442527 0.083578076966972878 0.14429955790172799 0.16340530855785548 0.15846344971598653 0.14722654299867352,1.1041123732410865 4.2217760932758166 6.3453486723564296 6.6909190258364308 6.4238735600811125 5.9597656153353844,0 0 0 0 0 0,-0.92569043195225409 7.830188614248982 3.6678552142932919 0.13124672918183933 -0.095728453633102895 -0.035260589637874595
ur,tetrapga,0.039981651,0.010801202,0.222408964,0.034483707,0.07456301,2.725457,0.017669,0.892987,0.006345,0.142954,0.094604,4.259736,0.084723,0,0,0,0,0,0,0.126913,0.047532,0.030019,0.049362,0,0,0,2.725457,0,0,0,0,0,4.366313,0.13627285,3,1,0,0.01952468,0,0.8,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0001795144714513974 -1.5707532141200047 0.00061005656825007448 -1.5697853167871902 0.0010099750586655464 0.00094197957485589326,0.010031374452970778 0.0077815610528748358 0.037620683467624379 0.054399785426112145 0.054307076543852348 0.05064896466051258,0.00084980097832496179 -1.567657776744624 0.0055870698028921062 -1.5643739480532453 0.0062965541916754188 0.0059051889666436657,0.027455189256122316 0.083533219986511087 0.14425958191734675 0.16338133549901385 0.15845545187767671 0.14723119448430511,0.0010663975211506801 -1.5705549510525854 0.0030249814890576984 -1.5662760725369291 0.0044660314768627868 0.0041274018372064857,0.044344152484964136 0.0099131533709629939 0.1207462460403812 0.17546221251305322 0.17280282090986199 0.15927111311752964,1.7156389015996676 0.1065796159044079 4.1562781286378412 6.053121354347053 5.9247872183004819 5.4311074228508529,-2.0057085750726573 21.641762600361584 11.184451447389391 0.95860506357617326 -0.1622618022156172 0.0053540073846883645,-1.5503980202011989 11.379623427470506 4.8248767751565822 0.037718310100899544 -0.23349381142452508 -0.14548774671502329
ur,tetrapga,0.059979787,0.015763732,0.270221472,0.018595287,0.082397036,2.680249,0.017773,0.888055,0.006781,0.142228,0.092722,4.198446,0.080675,0,0,0,0,0,0,0.122425,0.042555,0.028332,0.051538,0,0,0,2.680249,0,0,0,0,0,4.301301,0.13401245,3,1,0,0.025443586,0,0.8,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00032538788796223137 -1.5704913409390124 0.0012568089019681218 -1.5690042815783523 0.0017746160407340235 0.0016539865945547399,0.0057504093607851445 0.012190872030970175 0.025295147858671437 0.028350283733603144 0.027120638232868598 0.025115982758684329,0.0014608028940581541 -1.5659373665466541 0.0085163021154712037 -1.5610802422300083 0.0094739125540322273 0.0088440910572896818,0.033649195007692513 0.088516118100133351 0.14867585707273273 0.16600135398367319 0.15929075460700814 0.14667338526581081,0.0013737265973194994 -1.5702844283004187 0.0037876288669176882 -1.5653284569318657 0.0053641801934876908 0.0049351947522534691,0.052416935467863399 0.010345631929690827 0.12654099824747833 0.18379123232432318 0.17947820763768335 0.16406040788493642,2.3333263053539128 -0.092262005063967367 5.0622925194403452 7.7720474295360011 7.6178784702407381 6.9472212563126048,-1.9378754687224222 23.249323024206767 12.359555429285443 1.0763820020258181 -0.17662278919434127 0.0066943589427501315,0.77167753008556073 -6.0121125352316085 -2.7892930456326148 -0.38732556626655423 -0.042120202629179815 -0.078937306928406059
ur,tetrapga,0.079980853,0.021304334,0.272408019,0.008236973,0.090901697,2.717443,0.01697,1.017945,0.006346,0.145898,0.074669,4.362801,0.063718,0,0,0,0,0,0,0.120905,0.042116,0.02868,0.050109,0,0,0,2.717443,0,0,0,0,0,4.447694,0.13587215,3,1,0,0.031939306,0,0.8,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00045481120438934915 -1.5703396197547919 0.0016933033482315854 -1.5684578749803773 0.0022995555119047148 0.0021368046920413352,0.008522562984023237 0.0061018893201840521 0.024477186755664206 0.03212046335032314 0.031017576706910764 0.028410779459846814,0.0021956917902658806 -1.5641175039720199 0.011533387642355614 -1.5577347667905432 0.012667288505257656 0.011771485664925785,0.03983386662103449 0.093452365278443819 0.15300118090280643 0.1685095564144812 0.16001051552962434 0.14603750024792547,0.0016897950731279165 -1.5702002453295458 0.0043253111997091634 -1.5646057751106575 0.0060331221127785089 0.0055227819689235916,0.061749193436928369 0.0069687212622971707 0.1316003925738789 0.19260499348599441 0.18667833004368967 0.1692988638441128,2.6613315226452565 0.043341597105655931 5.3561602909107346 8.0242265067835632 7.7830376668389443 7.0444042192132983,-2.1770642624158021 25.930735662923766 13.635254490555823 1.1747660981609971 -0.19450213522206158 0.0069591616530396087,0.3270327013788501 -2.5676200117495682 -1.2355459654023004 -0.29145725073522044 -0.073663291280968934 -0.084873365839865045
ur,tetrapga,0.099980692,0.026820545,0.278361187,0.00456663,0.098403313,4.398971,0.016555,0.856847,0.005604,0.142251,0.085773,5.99863,0.089099,0,0,0,0,0,0,0.267066,0.103582,0.071642,0.091842,0,0,0,4.398971,0,0,0,0,0,6.109105,0.21994855,3,1,0,0.039127021,0,0.8,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00063898970075271721 -1.570250373389348 0.0021628060926847741 -1.5678162752418241 0.002917252745223036 0.0026998581682325181,0.010246063979413926 0.0032653255557926033 0.023654139627828238 0.03283332809722276 0.031579086283873022 0.02866045076172765,0.0030541014204730202 -1.5621995234177481 0.01463585861583828 -1.5543404665351999 0.01587370406013348 0.014685206293208066,0.046005468543173361 0.098338808366031233 0.15723265285860183 0.17090420446402671 0.16061427342796733 0.14532399441529864,0.0020570601086173606 -1.5701331768875326 0.0049123088466245845 -1.5637912481364069 0.0067883879583967594 0.0061845070498979231,0.070903520393232181 0.0058598250907722239 0.13747513769699049 0.20125135527085916 0.19355676065868616 0.17423244408327027,3.0328728206909128 0.12972497674898104 5.6910499034581123 8.4209013586818209 8.098883718740657 7.2785996660771302,-2.3375971554613204 28.187115032616113 14.760496971714835 1.2640565691071133 -0.20975307837510959 0.0073168896765480832,0.13280194563909653 -1.2441944963247806 -0.6843650879894092 -0.25573125791925122 -0.084538981850077022 -0.08636348274256811
ur,tetrapga,0.12003717,0.032566486,0.281297871,0.004135259,0.105189587,2.76461,0.017534,1.150677,0.007022,0.150605,0.084176,4.560211,0.089007,0,0,0,0,0,0,0.128105,0.043287,0.028502,0.056316,0,0,0,2.76461,0,0,0,0,0,4.671656,0.1382305,3,1,0,0.047052156,0,0.8,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00083268981427652789 -1.5702043080155967 0.0025805564744675442 -1.5672214916186245 0.0034870344627539202 0.0032150208679371062,0.012192630671661465 0.0017821453108076504 0.024361545507953213 0.034992549897465697 0.0334776308338764 0.030138943693725006,0.0040387497096450609 -1.5601784832832655 0.017831146305636487 -1.5508896081477601 0.019100157752887967 0.017592069478838613,0.052179346399302988 0.10318726574783481 0.16138016489720097 0.17319059645214646 0.16110304986473623 0.14453084234254873,0.0024364967655306768 -1.5700822751442995 0.00546217529555255 -1.5630199933558293 0.0074965731453425456 0.0067987360152118471,0.080190347562707459 0.006101643564859191 0.14408094105425029 0.21007491313975268 0.20047693412943124 0.17918575736373701,3.3998858445522999 0.21597491270257704 5.9859697773148532 8.7541181621143487 8.3499651647777426 7.4523406835006005,-2.473397271706034 30.231591435593096 15.778438115950628 1.3440172943684789 -0.22341471687131784 0.007618852885053355,0.065971403315874255 -0.45548177411001234 -0.27464299790175417 -0.23157453134717798 -0.085656295703527618 -0.081629493732178204
ur,tetrapga,0.139987172,0.038215843,0.28590069,0.004308901,0.111688805,2.719311,0.018868,1.054817,0.006197,0.145625,0.077247,4.406384,0.079269,0,0,0,0,0,0,0.122263,0.043487,0.028203,0.050573,0,0,0,2.719311,0,0,0,0,0,4.50862,0.13596555,3,1,0,0.055836718,0,0.8,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0010856900527207415 -1.5701723910990453 0.0030631766510661055 -1.5665227393114878 0.0041522116783308726 0.0038116473571952786,0.013597673837425597 0.0013444183032128268 0.024818550120605701 0.035720323474406554 0.033930269250814618 0.030327021655524353,0.0051408414294687671 -1.5580722342812425 0.021091025683180917 -1.5474127284701633 0.022318048000761877 0.020466951881224743,0.058302910407061134 0.10795641976489402 0.16540843498435703 0.17534946654523731 0.16147311806804895 0.14366517003919693,0.002874960165607429 -1.5700308174184521 0.0060790553825877114 -1.5621507557786356 0.0082926716867931516 0.0074874917349828062,0.089463505644334376 0.0070786840296587668 0.15079393657608031 0.21859917664260664 0.20702300042311389 0.18379221888937636,3.7932915903454392 0.28671328632229703 6.2987693227737314 9.143942658410003 8.6546365586149641 7.6732598616925998,-2.5807545854266243 32.14648591603769 16.753320812176344 1.4214095891832101 -0.23622656596198438 0.0079569089601526401,-0.032613608321442555 -0.13590151523567329 -0.23406204606959946 -0.24129845001425565 -0.098286146540752739 -0.091372822341586613
ur,tetrapga,0.159981136,0.043928463,0.289255816,0.004462885,0.11797586,2.706619,0.018282,1.03136,0.006335,0.144163,0.097887,4.384646,0.087683,0,0,0,0,0,0,0.121843,0.042876,0.028508,0.050459,0,0,0,2.706619,0,0,0,0,0,4.494652,0.13533095,3,1,0,0.065565589,0,0.8,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0013762140772163531 -1.570147323715356 0.0035692368951827187 -1.5657863246970243 0.0048477578830456577 0.0044307189411816302,0.015151060046929737 0.0012886670039458986 0.02583176422725 0.037068288040570455 0.034954852997765025 0.031036240659374367,0.0063677353802694221 -1.5558664371759376 0.024437730933864518 -1.5438861373376631 0.025549274693937484 0.023330078527857265,0.06441998748996168 0.11268042468251703 0.16934642647711251 0.17739658762714405 0.16172768339173732 0.14272122406628238,0.0033543172080634665 -1.5699767856812354 0.0067230802492157368 -1.5612453268986841 0.009115955208798189 0.0081954717571542449,0.098905156542355668 0.0085269017060273754 0.1576921677016509 0.22704988991700525 0.21340986628762651 0.1882376407986307,4.1877048247712967 0.36191173510407382 6.5930201737200447 9.4990800938217408 8.9227506644930745 7.8600700069628155,-2.6824505238010317 34.008629527757684 17.696379064994165 1.4955814287329325 -0.24853353212915177 0.0082667854344956951,-0.078636213821617673 0.027324447383762163 -0.20971846607365663 -0.24992154360461427 -0.10361873242489139 -0.095210264025444857
ur,tetrapga,0.180021725,0.049845388,0.29121639,0.00457895,0.124248195,2.744719,0.03589,1.309625,0.007516,0.170445,0.108035,4.769817,0.100774,0,0,0,0,0,0,0.124086,0.043852,0.028371,0.051863,0,0,0,2.744719,0,0,0,0,0,4.911562,0.13723595,3,1,0,0.076517522,0,0.8,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0016648936555216584 -1.5701238769834704 0.004042786456154677 -1.5650987174267093 0.0054925251244334347 0.0050009993249772317,0.017107978636419177 0.001244744838362143 0.02736150274571 0.03927309901959699 0.036769038423798917 0.032432305212131467,0.0077200018443900837 -1.5535612909852565 0.027870239505215409 -1.540311429304934 0.028791973362127212 0.026180178095002775,0.070528820039728143 0.11735748219413583 0.17319215195312337 0.17933043795465145 0.16186591236522488 0.1416988017248656,0.0038380512056966029 -1.5699209734223996 0.0073385033711455931 -1.560386280392144 0.0098891365972307958 0.0088548239339766768,0.10865787750874721 0.010145178053547314 0.1647858457495458 0.23562185172825864 0.21983057363986808 0.19269123044997225,4.5774949436164016 0.44502166075925853 6.8712171501917894 9.8174376354330821 9.153076760803458 8.0129462618920382,-2.7890695413325552 35.88465031643824 18.637229238559886 1.5689655339905115 -0.26086235966199722 0.0085498526351839941,-0.088513940332521912 0.19174151029073982 -0.1223258991292866 -0.2564211850758511 -0.10800599836582947 -0.097527860404454714
