robot,backend,t,tracking_error,velocity_error,torque_ratio,command_torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,solver_dam_calc_ms,solver_dam_calcdiff_ms,solver_dynamics_calc_ms,solver_dynamics_calcdiff_ms,solver_cost_sum_calc_ms,solver_cost_sum_calcdiff_ms,solver_cost_item_total_ms,solver_state_cost_total_ms,solver_control_cost_total_ms,solver_velocity_cost_total_ms,solver_collision_cost_total_ms,solver_collision_residual_total_ms,solver_model_total_ms,solver_overhead_ms,solver_dam_calc_calls,solver_dam_calcdiff_calls,initial_dam_calc_ms,initial_cost_sum_calc_ms,initial_model_total_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,ddq_cmd,u_cmd,effort
ur,tetrapga,0.000238555,0.000073614,0.308616157,0,0,2.829299,0.06082,2.538931,0.004771,0.188964,0.237655,6.212353,0.152714,0,0,0,0,0,0,0.13228,0.050492,0.030757,0.051031,0,0,0,2.829299,0,0,0,0,0,6.434766,0.14146495,3,1,0,0.007619515,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,3.8270770847299376e-20 -1.5707963267948966 -1.2851865550700398e-20 -1.5707963267948966 -1.0337459735967673e-21 7.4232364837397422e-23,7.1954201661831475e-18 1.3920204995567181e-17 -2.5187117339713606e-18 1.2515635207753276e-18 -1.5091172183984651e-19 1.3242097132450148e-20,3.5992791268768369e-06 -1.5707788006422696 3.2250603896044741e-05 -1.5707586758476089 3.7321191733786682e-05 3.5332205798712964e-05,0.015124870598873874 0.073498343282204462 0.13521913044658704 0.15784647139620953 0.15645359701019257 0.14810710453334763,0.00036818015186330873 -1.5692580522590984 0.0027827037966523215 -1.5675731703282059 0.0031772254000844505 0.0029935854203337357,0.021332526542480079 0.07856948999796462 0.13981177425122762 0.16068591499736162 0.15751770932873521 0.14770510001839779,1.0666263271240035 3.9284744998982304 6.9905887125613813 8.0342957498680807 7.8758854664367606 7.385255000919889,0 0 0 0 0 0,-3.0952486260503898e-15 0 8.1107544062789817e-16 0 3.52940457705334e-17 -2.636153724377301e-18
ur,tetrapga,0.019984231,0.005836553,0.263587149,0.026306112,0,2.715531,0.016785,0.859167,0.00649,0.144113,0.100362,4.217762,0.091571,0,0,0,0,0,0,0.120352,0.042232,0.028634,0.049486,0,0,0,2.715531,0,0,0,0,0,4.33045,0.13577655,3,1,0,0.014087552,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,3.8543710961041958e-05 -1.5708162038017277 0.0001106670584008935 -1.5705643820287247 0.0002327241035048706 0.00021689133504476985,0.0055099321530462167 -0.0017215075968860997 0.016832181604275499 0.029655364559020611 0.030119151949122101 0.028139054486454283,0.00036276481262886064 -1.5692780261999189 0.0027471536637543102 -1.5676140321089733 0.0031371664948661284 0.0029560197553702497,0.021253617243439042 0.078505270328753887 0.13975391831473716 0.1606504936140489 0.15750489824682018 0.14771070575851888,0.00085686455432113428 -1.5676363084661795 0.0056241380278372697 -1.5643319703201317 0.0063372635038653506 0.0059430123929203015,0.027534814547628666 0.083597523674660779 0.14431688733743317 0.16341569935878641 0.15846691431818069 0.14722452438388334,1.1012441197291225 4.2659515635773433 6.3742352866578837 6.6880167399882895 6.4173881184529291 5.954273494871452,0 0 0 0 0 0,-0.9028613957444005 8.1466037354302898 3.9459167569094484 0.15533850833162433 -0.099927555964980819 -0.03520078769942625
ur,tetrapga,0.039976051,0.010627514,0.224548695,0.035916914,0.075193972,2.738051,0.017486,0.873332,0.006769,0.1476,0.097614,4.263634,0.082233,0,0,0,0,0,0,0.130943,0.043879,0.028522,0.058542,0,0,0,2.738051,0,0,0,0,0,4.36767,0.13690255,3,1,0,0.019807504,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00020230266988866821 -1.5707740356437345 0.00065859932528482496 -1.5696782036931773 0.0011201013284058497 0.0010440070471276119,0.010051790982117791 0.0067566906378702472 0.036668921705519206 0.053404286659800647 0.053338025892003232 0.04973780211097073,0.00084964723412505477 -1.5676582445267311 0.0055862619527314314 -1.5643748629866261 0.0062956668418450963 0.0059043644715478473,0.02745345356763669 0.083531818209912498 0.14425833260772059 0.1633805862308349 0.15845520180720984 0.14723133973545119,0.0010908479552091275 -1.5705933580857601 0.0030629678845163206 -1.5661748284622541 0.0045709024743274098 0.0042244508237317558,0.044427264266022962 0.0090338778987230622 0.12021842796157478 0.17516876154615821 0.17254005729607802 0.15902218883020719,1.7187736641952582 0.11385936304264074 4.1774753128027786 6.0882237443178777 5.9601015702037392 5.4642193359618227,-2.0308989096368246 21.847194571103671 11.27909578007255 0.96620427780731366 -0.16362355235970363 0.0053868821172089786,-1.6550361792181003 11.852581611385176 4.9393289275543317 0.045567747502900602 -0.24102068176667402 -0.15088042352149245
ur,tetrapga,0.060006655,0.015732897,0.268985258,0.018977926,0.082210806,2.732529,0.0186,0.927328,0.006384,0.144991,0.097583,4.303435,0.083694,0,0,0,0,0,0,0.12363,0.043197,0.028236,0.052197,0,0,0,2.732529,0,0,0,0,0,4.41022,0.13662645,3,1,0,0.02534195,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0003393599532574766 -1.5705587554969955 0.0012415658429161252 -1.5689617658620383 0.0018229975038291477 0.0016985915372133118,0.0059208112735158174 0.012448534970062628 0.025987345930537441 0.028967928166618521 0.027694546514373728 0.025653571473434063,0.0014617070923396034 -1.5659349882060785 0.0085202968172868772 -1.5610757820593506 0.0094781923920597803 0.0088480318670318588,0.033657510471537727 0.088522781361765779 0.14868172929801932 0.16600479886303951 0.15929179914373848 0.14667258331125471,0.0013867418911326385 -1.5703439039925271 0.0037756647463811381 -1.5652875419914498 0.0054104112455988385 0.0049778135686983638,0.052369096893758092 0.010742575223423066 0.12670494517325065 0.18371119352942186 0.17937068708848453 0.16396110157425259,2.3224142810121138 -0.085297987331978131 5.0358799621356596 7.7371632681401667 7.5838070287055404 6.9153765050409266,-1.9384583699185307 23.21639841779233 12.331620907739513 1.0734469311400767 -0.17620877771242058 0.0066650582557390443,0.70841780833429358 -5.8929331495946826 -2.8466889000782185 -0.40075754493591376 -0.047938523156084045 -0.085367483113200748
ur,tetrapga,0.079977415,0.021159888,0.272909002,0.009359092,0.090657505,2.705942,0.017634,1.018683,0.006221,0.144069,0.104484,4.37123,0.079932,0,0,0,0,0,0,0.122153,0.043108,0.028185,0.05086,0,0,0,2.705942,0,0,0,0,0,4.472721,0.1352971,3,1,0,0.031781003,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00047796137269850536 -1.5703761401960579 0.0017290292297751854 -1.5683635132988281 0.0023971067987405385 0.002227094399099619,0.0083119606572838248 0.0067579795322583059 0.024531180629145888 0.031623288397006212 0.030481119809769319 0.027927211430804094,0.0021955548432581315 -1.5641178252598003 0.011532861625559986 -1.5577353461256738 0.012666738389300818 0.011770983587800548,0.039832804553114713 0.093451520976330096 0.15300044540548943 0.16850913498919645 0.16001040176693745 0.1460376162346344,0.0017104474608385086 -1.5702267469274813 0.004362729343305654 -1.5645157569563741 0.0061258669225881662 0.0056086776381693397,0.061624304407000154 0.0074696634288237782 0.13168500567652341 0.19238781712269373 0.18643800619238138 0.16907916195348602,2.6656171874858163 0.035584194828273616 5.357691252368876 8.0382264362843756 7.7978443191306033 7.0575975261340957,-2.1627541223032409 25.841867644344251 13.598625808046535 1.1720332003477743 -0.1938617459675184 0.0069662898811203204,0.38096671556663431 -2.9527444261148048 -1.4038637260324656 -0.30294490013147879 -0.069384422683683056 -0.08360864320351169
ur,tetrapga,0.099977007,0.026655517,0.27806691,0.005868442,0.097979611,2.732417,0.018332,0.879919,0.006279,0.147805,0.096458,4.261295,0.082696,0,0,0,0,0,0,0.124524,0.043653,0.029153,0.051718,0,0,0,2.732417,0,0,0,0,0,4.366682,0.13662085,3,1,0,0.038824079,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00066506640893557265 -1.570274416331767 0.002211376085464217 -1.5677126016775078 0.0030224223236436916 0.0027968143617259087,0.010122671545204813 0.0040270669711434375 0.024083565771990542 0.032743547447760583 0.031438798573610871 0.028550087564791771,0.003053931892414164 -1.5621998857946069 0.014635279214932908 -1.5543410963163999 0.015873112196721158 0.014684670774033282,0.046004332735421163 0.098337912720409607 0.15723188194391929 0.17090377376297167 0.1606141728808691 0.14532413301104405,0.0020799972758021833 -1.5701439600735094 0.0049637857813105866 -1.5636922288265924 0.0068883523357780238 0.0062767454633759108,0.070746543343330526 0.006522812912879412 0.13762048479231848 0.20101864254577134 0.1932965006067166 0.17399655508250009,3.0311935899062856 0.12478729708679873 5.6768459510163964 8.4137547549005376 8.0928851016552859 7.2723233758854153,-2.3210215559984824 28.053797910420712 14.696941685440864 1.2588428578276674 -0.20872045543287107 0.0073058172051355284,0.15714949212855167 -1.5900851700334897 -0.88026624115813057 -0.27333475685372832 -0.082735343206124412 -0.087678001043526521
ur,tetrapga,0.119978544,0.032354576,0.281037783,0.004594246,0.104726751,2.698083,0.017941,1.015061,0.005919,0.143488,0.081005,4.333114,0.083828,0,0,0,0,0,0,0.121854,0.042628,0.028943,0.050283,0,0,0,2.698083,0,0,0,0,0,4.439227,0.13490415,3,1,0,0.046664488,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00086344457061474664 -1.5702171116924 0.0026445318348639973 -1.5671037560447201 0.0036045618007011114 0.0033229341340420605,0.012076597910510372 0.0025191895561791073 0.02478798003239182 0.03485554393213762 0.033293500244306738 0.029989261904568045,0.0040356911715599261 -1.5601845323267547 0.017821685583298181 -1.5508997614287201 0.019090712962364243 0.017583596142402701,0.052161324442881143 0.10317317115355693 0.1613681834196708 0.17318408218861836 0.16110179163347871 0.1445332736703413,0.0024633354185713608 -1.5700822638061338 0.0055279661326485714 -1.5629081492326884 0.0076078439943366412 0.0069010647937840959,0.079994542397830701 0.0067423943133108465 0.14417171488922872 0.20978034060158418 0.2001641096817765 0.17890653298710174,3.3958972243660166 0.21116023785658694 5.9691867428418446 8.7462398334723268 8.3435304718734873 7.4458635541266842,-2.4567264100993222 30.088188658042586 15.709012579322293 1.3383209315794435 -0.22229358727253132 0.0076066282736745568,0.060143475355349807 -0.76994325502346328 -0.50005264076384748 -0.25727778127657075 -0.091881069753519284 -0.090193371038155945
ur,tetrapga,0.139978849,0.037995666,0.285751759,0.004593709,0.111297894,2.741878,0.018796,1.055308,0.0062,0.144713,0.076837,4.423437,0.090342,0,0,0,0,0,0,0.122699,0.042928,0.028466,0.051305,0,0,0,2.741878,0,0,0,0,0,4.537045,0.1370939,3,1,0,0.055450478,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0011211494726217311 -1.5701742214440426 0.003141742566173117 -1.5663925351909695 0.0042803959189383588 0.0039289224214774446,0.01348269537157339 0.001935037936699395 0.02513674316260648 0.035577294889649974 0.033746508952311384 0.030177308235557573,0.0051403561849602836 -1.5580731327942918 0.021089648995684985 -1.5474141879001257 0.022316704060542106 0.020465756154445392,0.058300359683565672 0.10795444153250378 0.16540677489702271 0.17534859002156031 0.16147298784456576 0.14366554709172083,0.0029070618610446517 -1.5700222766185108 0.0061582727119485065 -1.5620265962113846 0.008414511056438069 0.0075990379759067689,0.089295619421146027 0.0075972412765959911 0.15082650728876948 0.21829694897924309 0.20670575687498549 0.1835057777214662,3.7906462024786318 0.28311016699482983 6.2844882063081497 9.1359827044796553 8.6479623961337051 7.6664234742954305,-2.5669373851627064 32.026738124806791 16.694684059454236 1.4165082651062686 -0.23526033508828523 0.0079457971220970557,-0.02623582120382828 -0.39555696439128951 -0.40277897335154833 -0.25724773123511113 -0.096784846405691738 -0.092665159149181164
ur,tetrapga,0.159925903,0.043690286,0.289035215,0.004647387,0.117662072,2.721375,0.016536,1.009137,0.006453,0.143465,0.079845,4.357054,0.10381,0,0,0,0,0,0,0.125011,0.044112,0.028516,0.052383,0,0,0,2.721375,0,0,0,0,0,4.481626,0.13606875,3,1,0,0.065172575,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0014095436803474217 -1.5701396715654938 0.0036520183422948465 -1.5656576220891552 0.0049738201942157341 0.0045462770795431911,0.01513356010949223 0.0016264476106465555 0.026082774193027722 0.037053819068768194 0.034901937473237929 0.030995779124392657,0.0063641777369498592 -1.5558726604956126 0.024428377719294687 -1.5438959353316788 0.025540342003785584 0.023322195531574833,0.064403118941915055 0.11266745332054388 0.16933568625560799 0.17739109407019971 0.16172714063754243 0.14272393660822819,0.0033844686014243056 -1.5699626676560174 0.0068045255628166133 -1.561123181818763 0.0092354218134623883 0.0083051090519071277,0.098746246053844175 0.0088501954738193951 0.15762536102608837 0.22672201351960872 0.21308008096233266 0.18794159861819687,4.1806342972175976 0.36118739315864196 6.5771293416530314 9.4834097225420262 8.9089071744547361 7.8472909746902104,-2.674795840731075 33.920233172735827 17.649310799539268 1.4914476703227415 -0.24776833980843463 0.0082514632097047541,-0.070780875490198625 -0.12775530059207085 -0.30506600096797598 -0.26025364608722157 -0.10154073194907198 -0.095129093653694596
ur,tetrapga,0.179978738,0.049610288,0.291112326,0.004711578,0.124006033,2.720834,0.017781,0.87951,0.006432,0.147163,0.09933,4.254861,0.080762,0,0,0,0,0,0,0.122355,0.042467,0.02904,0.050848,0,0,0,2.720834,0,0,0,0,0,4.357513,0.1360417,3,1,0,0.076138963,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0016971817032951225 -1.5701110435956098 0.0041281759642076074 -1.5649706326656128 0.0056175323456606405 0.0051157186490438994,0.017094900592184242 0.0014461932219821906 0.027517892786414797 0.039238111123210288 0.03670486504694475 0.03238096246109505,0.0077169703030854223 -1.5535663356170819 0.027862794669115051 -1.5403191380960484 0.028785015235829964 0.026174086839725101,0.070515742467547854 0.11734751347749356 0.17318401287176907 0.17932641701767715 0.16186574117302255 0.14170107621153777,0.0038676387135217318 -1.5699039901669221 0.0074216181088594532 -1.5602646662003301 0.010007716108156999 0.0089637404061094182,0.10852285051133047 0.010352671434391631 0.16467210723259229 0.23529832326413627 0.2195091881248179 0.19240108785327598,4.5713974959573109 0.445323910620472 6.857710722308874 9.8030106070462981 9.1402161538936575 8.0010062696090447,-2.7841434390953546 35.819291380371162 18.600904924919277 1.5656728419327566 -0.26025916844946079 0.0085363983909424162,-0.081583053497485736 0.097322464715034585 -0.17954954244582666 -0.26384834003874857 -0.10637338641029359 -0.097411251243315178
