condition,direction,rmse_rad,mean_error_rad,mean_torque_ratio,num_cycles
Nominal,,0.179796989,0.174473847,0.110047522,1000
0.7 scaling,,0.177345002,0.172131191,0.072847882,1000
0.8 scaling,,0.17859709,0.1732265,0.119644983,1000
0.9 scaling,,0.178251549,0.173042722,0.103910712,1000
1.1 scaling,,0.177795161,0.172860866,0.119608955,1000
1.2 scaling,,0.178025879,0.173125917,0.13211632,1000
1.3 scaling,,0.181372398,0.175997907,0.132666881,1000
1 cm offset,y,0.178682788,0.17351909,0.110621428,1000
2 cm offset,y,0.178741423,0.173635813,0.104977779,1000
5 cm offset,x,0.179841007,0.174386855,0.101048664,1000
