case_name,summary_file,robot,backend,num_cycles,tracking_rmse,tracking_mean,tracking_p95,torque_ratio_mean,torque_ratio_p95,torque_ratio_max,command_torque_ratio_mean,command_torque_ratio_p95,command_torque_ratio_max,solve_time_mean_ms,solve_time_p95_ms,reference_build_mean_ms,reference_build_p95_ms,problem_build_mean_ms,problem_build_p95_ms,warm_start_mean_ms,warm_start_p95_ms,initial_calc_mean_ms,initial_calc_p95_ms,solver_setup_mean_ms,solver_setup_p95_ms,mpc_pipeline_mean_ms,mpc_pipeline_p95_ms,publish_command_mean_ms,publish_command_p95_ms,solver_dam_calc_mean_ms,solver_dam_calc_p95_ms,solver_dam_calcdiff_mean_ms,solver_dam_calcdiff_p95_ms,solver_dynamics_calc_mean_ms,solver_dynamics_calc_p95_ms,solver_dynamics_calcdiff_mean_ms,solver_dynamics_calcdiff_p95_ms,solver_cost_sum_calc_mean_ms,solver_cost_sum_calc_p95_ms,solver_cost_sum_calcdiff_mean_ms,solver_cost_sum_calcdiff_p95_ms,solver_cost_item_total_mean_ms,solver_cost_item_total_p95_ms,solver_collision_cost_total_mean_ms,solver_collision_cost_total_p95_ms,solver_collision_residual_total_mean_ms,solver_collision_residual_total_p95_ms,solver_model_total_mean_ms,solver_model_total_p95_ms,solver_overhead_mean_ms,solver_overhead_p95_ms,initial_model_total_mean_ms,initial_model_total_p95_ms,enable_collision_cost,collision_obstacle_count,collision_weight,collision_safety_distance,acceleration_weight,realtime_ratio_mean,deadline_miss_rate,failure_rate,dt,horizon,solve_budget_ms,control_rate_hz,experiment_duration_s,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque
external_10N_x_tetrapga,external_10N_x_tetrapga_summary.csv,ur,tetrapga,1000,0.178255184,0.173219348,0.239109247,0.094640079,0.202765184,1,0.133876749,0.238292004,0.321665541,3.129160708,4.809149,0.023849549,0.042408,1.318955504,2.065705,0.007533619,0.011303,0.159365128,0.23505,0.093282012,0.140246,5.163317202,7.871231,0.078238225,0.112679,0,0,0,0,0,0,0,0,0,0,0,0,0.165379434,0.293264,0,0,0,0,0,0,3.129160708,4.809149,0,0,0,4,50,0.08,0,0.156458035,0,0,0.02,20,10,50,20,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,10 0 0,0 0 0
external_10N_y_tetrapga,external_10N_y_tetrapga_summary.csv,ur,tetrapga,1000,0.179655131,0.174090924,0.236868129,0.180366454,0.250020948,0.325855507,0.133445751,0.245444437,0.317920261,3.200844221,4.803968,0.024770817,0.043028,1.347450199,2.077799,0.007594928,0.01138,0.163593549,0.238053,0.094508719,0.142452,5.279456908,7.902884,0.078317332,0.118226,0,0,0,0,0,0,0,0,0,0,0,0,0.16910959,0.290282,0,0,0,0,0,0,3.200844221,4.803968,0,0,0,4,50,0.08,0,0.160042211,0,0,0.02,20,10,50,20,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,0 10 0,0 0 0
external_10N_z_tetrapga,external_10N_z_tetrapga_summary.csv,ur,tetrapga,1000,0.179057657,0.173631411,0.250493161,0.173043461,0.216707396,1,0.133790418,0.236991403,0.306729869,3.099208652,4.675188,0.023471946,0.0426,1.301514576,2.063769,0.007584601,0.011908,0.162456947,0.246029,0.092982635,0.14335,5.121308394,7.771484,0.075993335,0.107349,0,0,0,0,0,0,0,0,0,0,0,0,0.161402157,0.278409,0,0,0,0,0,0,3.099208652,4.675188,0,0,0,4,50,0.08,0,0.154960433,0,0,0.02,20,10,50,20,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,0 0 10,0 0 0
external_20N_x_tetrapga,external_20N_x_tetrapga_summary.csv,ur,tetrapga,1000,0.179003601,0.173735132,0.248005415,0.117980484,0.200279026,1,0.133468668,0.234004505,0.304857044,3.16888445,4.811196,0.02579383,0.043464,1.332523703,2.074444,0.007874973,0.011817,0.160187464,0.23933,0.092403963,0.141038,5.217099549,7.949141,0.077186954,0.107387,0,0,0,0,0,0,0,0,0,0,0,0,0.169925189,0.295814,0,0,0,0,0,0,3.16888445,4.811196,0,0,0,4,50,0.08,0,0.158444223,0,0,0.02,20,10,50,20,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,20 0 0,0 0 0
external_20N_y_tetrapga,external_20N_y_tetrapga_summary.csv,ur,tetrapga,1000,0.182142911,0.175376387,0.247531494,0.334036318,0.378950576,1,0.12977205,0.242688017,0.325532916,3.21057807,4.746237,0.024443058,0.042971,1.319027191,2.094755,0.007638809,0.01163,0.158069981,0.23149,0.092584484,0.140831,5.246103448,7.984826,0.076312341,0.111168,0,0,0,0,0,0,0,0,0,0,0,0,0.172960532,0.293048,0,0,0,0,0,0,3.21057807,4.746237,0,0,0,4,50,0.08,0,0.160528904,0,0,0.02,20,10,50,20,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,0 20 0,0 0 0
external_20N_z_tetrapga,external_20N_z_tetrapga_summary.csv,ur,tetrapga,1000,0.18431587,0.179019804,0.257242333,0.316262759,0.36041753,1,0.13244592,0.235703166,0.301830984,3.168576104,4.756403,0.024406691,0.042722,1.347711279,2.066428,0.007751451,0.011683,0.16507513,0.240383,0.095486194,0.142768,5.247332876,7.706234,0.078798441,0.109282,0,0,0,0,0,0,0,0,0,0,0,0,0.164408568,0.281934,0,0,0,0,0,0,3.168576104,4.756403,0,0,0,4,50,0.08,0,0.158428805,0,0,0.02,20,10,50,20,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,0 0 20,0 0 0
external_5N_x_tetrapga,external_5N_x_tetrapga_summary.csv,ur,tetrapga,1000,0.179462952,0.174238936,0.244691594,0.095463747,0.20907985,1,0.134747408,0.237890237,0.307153318,3.169659619,4.747052,0.024923524,0.042975,1.365122918,2.135403,0.007927583,0.012124,0.167076629,0.246428,0.095931815,0.144225,5.269131749,7.884609,0.078872144,0.116575,0,0,0,0,0,0,0,0,0,0,0,0,0.167134785,0.290522,0,0,0,0,0,0,3.169659619,4.747052,0,0,0,4,50,0.08,0,0.158482981,0,0,0.02,20,10,50,20,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,5 0 0,0 0 0
external_5N_y_tetrapga,external_5N_y_tetrapga_summary.csv,ur,tetrapga,1000,0.178750101,0.173601663,0.238518941,0.117114383,0.21158488,0.898532111,0.134970871,0.240113316,0.30660408,3.128372375,4.621485,0.024302976,0.042312,1.334516602,2.075482,0.007701501,0.01166,0.16275215,0.238148,0.09417907,0.141774,5.184047825,7.677781,0.076991658,0.103931,0,0,0,0,0,0,0,0,0,0,0,0,0.164542312,0.280315,0,0,0,0,0,0,3.128372375,4.621485,0,0,0,4,50,0.08,0,0.156418619,0,0,0.02,20,10,50,20,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,0 5 0,0 0 0
external_5N_z_tetrapga,external_5N_z_tetrapga_summary.csv,ur,tetrapga,1000,0.178076525,0.172920909,0.244168818,0.117812786,0.216133954,1,0.134110849,0.237197817,0.30468733,3.143506734,4.678644,0.025678137,0.04438,1.343123454,2.102069,0.007676497,0.01126,0.1604547,0.234066,0.092358663,0.139183,5.205145105,7.694773,0.078656045,0.106545,0,0,0,0,0,0,0,0,0,0,0,0,0.163754428,0.273975,0,0,0,0,0,0,3.143506734,4.678644,0,0,0,4,50,0.08,0,0.157175337,0,0,0.02,20,10,50,20,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,0 0 5,0 0 0
link_com_01cm_x_tetrapga,link_com_01cm_x_tetrapga_summary.csv,ur,tetrapga,1000,0.177628209,0.172625198,0.236829775,0.102453265,0.212784214,1,0.13429687,0.232516531,0.308003421,3.249778628,4.936922,0.025924427,0.045242,1.411561972,2.230114,0.008614364,0.012731,0.168434474,0.253609,0.098684241,0.153601,5.429733719,8.230491,0.082948493,0.127363,0,0,0,0,0,0,0,0,0,0,0,0,0.174693549,0.305362,0,0,0,0,0,0,3.249778628,4.936922,0,0,0,4,50,0.08,0,0.162488931,0,0,0.02,20,10,50,20,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
link_com_01cm_y_tetrapga,link_com_01cm_y_tetrapga_summary.csv,ur,tetrapga,1000,0.178682788,0.17351909,0.242573692,0.110621428,0.222894085,1,0.13384814,0.234266006,0.306486598,3.286077004,4.893712,0.024865299,0.043428,1.371369502,2.142919,0.008112403,0.012841,0.167686655,0.247816,0.097000496,0.146692,5.405075944,8.140738,0.08058349,0.123825,0,0,0,0,0,0,0,0,0,0,0,0,0.174639175,0.299099,0,0,0,0,0,0,3.286077004,4.893712,0,0,0,4,50,0.08,0,0.16430385,0,0,0.02,20,10,50,20,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
link_com_01cm_z_tetrapga,link_com_01cm_z_tetrapga_summary.csv,ur,tetrapga,1000,0.178498186,0.173366556,0.240795669,0.101743088,0.207736664,1,0.134629737,0.240319458,0.307955597,3.123511753,4.707217,0.02531109,0.043198,1.359015684,2.095335,0.007860603,0.011796,0.164431066,0.239866,0.095841104,0.147293,5.207658503,7.824483,0.078920011,0.107857,0,0,0,0,0,0,0,0,0,0,0,0,0.167466583,0.29254,0,0,0,0,0,0,3.123511753,4.707217,0,0,0,4,50,0.08,0,0.156175588,0,0,0.02,20,10,50,20,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
link_com_02cm_x_tetrapga,link_com_02cm_x_tetrapga_summary.csv,ur,tetrapga,1000,0.177858887,0.17270232,0.242285386,0.093917548,0.192039525,1,0.133151144,0.234397618,0.305523801,3.177709101,4.796931,0.026477403,0.046317,1.353618569,2.14591,0.007839009,0.011804,0.160907129,0.239728,0.094249723,0.143821,5.262106393,8.007509,0.080351574,0.123612,0,0,0,0,0,0,0,0,0,0,0,0,0.168431741,0.299987,0,0,0,0,0,0,3.177709101,4.796931,0,0,0,4,50,0.08,0,0.158885455,0,0,0.02,20,10,50,20,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
link_com_02cm_y_tetrapga,link_com_02cm_y_tetrapga_summary.csv,ur,tetrapga,1000,0.178741423,0.173635813,0.242549995,0.104977779,0.214148094,1,0.133975083,0.236441224,0.305394946,3.272772929,4.827454,0.024454812,0.042776,1.339271181,2.112315,0.007626687,0.011782,0.162109472,0.234111,0.09474096,0.143297,5.343828683,8.12443,0.078327823,0.121845,0,0,0,0,0,0,0,0,0,0,0,0,0.173149892,0.300463,0,0,0,0,0,0,3.272772929,4.827454,0,0,0,4,50,0.08,0,0.163638646,0,0,0.02,20,10,50,20,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
