case_name,cycles_file,summary_file,num_cycles,dt_estimate_s,tracking_rmse,tracking_mean,tracking_p95,velocity_rmse,solve_time_mean_ms,solve_time_p95_ms,torque_ratio_mean,torque_ratio_p95,failure_rate,active_window_start_s,active_window_end_s,active_num_cycles,active_tracking_rmse,active_tracking_mean,active_tracking_p95,active_velocity_rmse,active_torque_ratio_mean,active_torque_ratio_p95,active_failure_rate,post2_window_start_s,post2_num_cycles,post2_tracking_rmse,post2_tracking_mean,post2_tracking_p95,post2_velocity_rmse,post2_torque_ratio_mean,post2_torque_ratio_p95,post2_failure_rate,accel_rms_norm,accel_energy_mean,cmd_accel_rms_norm,cmd_accel_energy_mean,plant_accel_rms_norm,plant_accel_energy_mean,jerk_rms_norm_from_dq,jerk_rms_norm_from_q,torque_rate_rms_norm,effort_rate_rms_norm,robot,backend,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque
external_10N_x_tetrapga,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260630_200027_sixlink_com_external/external_10N_x_tetrapga_cycles.csv,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260630_200027_sixlink_com_external/external_10N_x_tetrapga_summary.csv,1000,0.019999945,0.178255184,0.173219348,0.239119445,0.177012258,3.12916071,4.80924545,0.0946400786,0.202864126,0,2,20,900,0.176696225,0.173124715,0.229487688,0.160401393,0.0974185363,0.205136511,0,2,900,0.176696225,0.173124715,0.229487688,0.160401393,0.0974185363,0.205136511,0,18.8859624,356.679577,18.8859624,356.679577,4.69043649,22.0001944,390.428962,219.025093,772.417414,1790.48359,ur,tetrapga,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,10 0 0,0 0 0
external_10N_y_tetrapga,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260630_200027_sixlink_com_external/external_10N_y_tetrapga_cycles.csv,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260630_200027_sixlink_com_external/external_10N_y_tetrapga_summary.csv,1000,0.019999908,0.179655131,0.174090924,0.236914505,0.177534576,3.20084422,4.8048141,0.180366454,0.250046686,0,2,20,900,0.17865266,0.17438732,0.232448032,0.161681761,0.192491588,0.253140542,0,2,900,0.17865266,0.17438732,0.232448032,0.161681761,0.192491588,0.253140542,0,19.127597,365.864966,19.127597,365.864966,4.77863912,22.8353919,391.218124,232.212265,784.245079,1942.57785,ur,tetrapga,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,0 10 0,0 0 0
external_10N_z_tetrapga,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260630_200027_sixlink_com_external/external_10N_z_tetrapga_cycles.csv,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260630_200027_sixlink_com_external/external_10N_z_tetrapga_summary.csv,1000,0.020000251,0.179057657,0.173631411,0.250493964,0.184088888,3.09920865,4.67526465,0.173043461,0.216721232,0,2,20,899,0.177815948,0.173784693,0.243280978,0.169951889,0.184522676,0.220479939,0,2,899,0.177815948,0.173784693,0.243280978,0.169951889,0.184522676,0.220479939,0,19.2115016,369.081795,19.2115016,369.081795,5.9857778,35.8295358,490.79295,236.695784,768.8983,1858.54503,ur,tetrapga,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,0 0 10,0 0 0
external_20N_x_tetrapga,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260630_200027_sixlink_com_external/external_20N_x_tetrapga_cycles.csv,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260630_200027_sixlink_com_external/external_20N_x_tetrapga_summary.csv,1000,0.019999949,0.179003601,0.173735132,0.2480943,0.177277797,3.16888445,4.8114631,0.117980484,0.200394179,0,2,20,900,0.177947474,0.174035614,0.240688227,0.161114092,0.122946973,0.203529284,0,2,900,0.177947474,0.174035614,0.240688227,0.161114092,0.122946973,0.203529284,0,18.9728537,359.969178,18.9728537,359.969178,4.75828904,22.6413146,395.032373,214.72914,776.228293,1786.8892,ur,tetrapga,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,20 0 0,0 0 0
external_20N_y_tetrapga,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260630_200027_sixlink_com_external/external_20N_y_tetrapga_cycles.csv,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260630_200027_sixlink_com_external/external_20N_y_tetrapga_summary.csv,1000,0.020000183,0.182142911,0.175376387,0.24755161,0.178010201,3.21057807,4.74696985,0.334036318,0.378970697,0,2,20,900,0.181581304,0.175945279,0.237742013,0.162661637,0.363189178,0.380494987,0,2,900,0.181581304,0.175945279,0.237742013,0.162661637,0.363189178,0.380494987,0,19.6832891,387.431871,19.6832891,387.431871,5.08927749,25.9007454,419.311817,246.634931,737.202588,1963.71953,ur,tetrapga,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,0 20 0,0 0 0
external_20N_z_tetrapga,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260630_200027_sixlink_com_external/external_20N_z_tetrapga_cycles.csv,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260630_200027_sixlink_com_external/external_20N_z_tetrapga_summary.csv,1000,0.020000023,0.18431587,0.179019804,0.257252937,0.184755529,3.1685761,4.75731335,0.316262759,0.360419984,0,2,20,900,0.183749062,0.1797846,0.252473634,0.170330147,0.343582242,0.360751797,0,2,900,0.183749062,0.1797846,0.252473634,0.170330147,0.343582242,0.360751797,0,19.9508984,398.038348,19.9508984,398.038348,5.9034974,34.8512816,478.766124,246.223608,771.223028,1877.30898,ur,tetrapga,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,0 0 20,0 0 0
external_5N_x_tetrapga,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260630_200027_sixlink_com_external/external_5N_x_tetrapga_cycles.csv,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260630_200027_sixlink_com_external/external_5N_x_tetrapga_summary.csv,1000,0.020000017,0.179462952,0.174238936,0.244711819,0.178765061,3.16965962,4.74734195,0.0954637474,0.209140202,0,2,20,900,0.178182375,0.174330582,0.239286931,0.163824116,0.0983179313,0.214036023,0,2,900,0.178182375,0.174330582,0.239286931,0.163824116,0.0983179313,0.214036023,0,18.9682927,359.796128,18.9682927,359.796128,5.19196617,26.9565127,440.724744,218.997023,786.675798,1842.23512,ur,tetrapga,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,5 0 0,0 0 0
external_5N_y_tetrapga,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260630_200027_sixlink_com_external/external_5N_y_tetrapga_cycles.csv,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260630_200027_sixlink_com_external/external_5N_y_tetrapga_summary.csv,1000,0.020000065,0.178750101,0.173601663,0.238536804,0.175963861,3.12837238,4.62153435,0.117114383,0.211637292,0,2,20,899,0.177380256,0.17368136,0.232484061,0.159688698,0.122310572,0.217297434,0,2,899,0.177380256,0.17368136,0.232484061,0.159688698,0.122310572,0.217297434,0,18.8702,356.084448,18.8702,356.084448,4.56993185,20.8842772,379.809865,216.445173,780.861542,1798.90689,ur,tetrapga,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,0 5 0,0 0 0
external_5N_z_tetrapga,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260630_200027_sixlink_com_external/external_5N_z_tetrapga_cycles.csv,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260630_200027_sixlink_com_external/external_5N_z_tetrapga_summary.csv,1000,0.020000077,0.178076525,0.172920909,0.244178837,0.18059634,3.14350673,4.6787244,0.117812786,0.216143856,0,2,20,900,0.17698086,0.173173294,0.236524424,0.16542967,0.122788943,0.221140512,0,2,900,0.17698086,0.173173294,0.236524424,0.16542967,0.122788943,0.221140512,0,18.9314555,358.400008,18.9314555,358.400008,5.39675164,29.1249283,440.815383,217.279425,778.467066,1878.15715,ur,tetrapga,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,2,18,0 0 5,0 0 0
link_com_01cm_x_tetrapga,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260630_200027_sixlink_com_external/link_com_01cm_x_tetrapga_cycles.csv,reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260630_200027_sixlink_com_external/link_com_01cm_x_tetrapga_summary.csv,1000,0.019999997,0.177628209,0.172625198,0.23685088,0.182129568,3.24977863,4.9369794,0.102453265,0.21285488,0,-1,-1,0,,,,,,,,2,900,0.176457126,0.172828637,0.230731142,0.167450192,0.105665957,0.21465554,0,18.838606,354.893075,18.838606,354.893075,5.64568973,31.8738125,469.768768,220.196161,765.468222,1823.6129,ur,tetrapga,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
