case_name,perturbation,level,direction,num_cycles,tracking_rmse,tracking_mean,tracking_p95,velocity_rmse,solve_time_mean_ms,solve_time_p95_ms,deadline_miss_rate,failure_rate,torque_ratio_mean,torque_ratio_p95,active_num_cycles,active_tracking_rmse,active_tracking_mean,active_tracking_p95,active_torque_ratio_mean,active_torque_ratio_p95,active_window_start_s,active_window_end_s,post2_num_cycles,post2_tracking_rmse,post2_tracking_mean,post2_tracking_p95,post2_torque_ratio_mean,post2_torque_ratio_p95,accel_rms_norm,jerk_rms_norm_from_dq,torque_rate_rms_norm,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,external_force,external_force_duration_s
external_10N_x_tetrapga,external_force_persistent,10N,x,1000,0.178255184,0.173219348,0.239109247,0.177012258,3.129160708,4.809149,0,0,0.094640079,0.202765184,900,0.176696225,0.173124715,0.229487688,0.0974185363,0.205136511,2,20,900,0.176696225,0.173124715,0.229487688,0.0974185363,0.205136511,18.8859624,390.428962,772.417414,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,10 0 0,18
external_10N_y_tetrapga,external_force_persistent,10N,y,1000,0.179655131,0.174090924,0.236868129,0.177534576,3.200844221,4.803968,0,0,0.180366454,0.250020948,900,0.17865266,0.17438732,0.232448032,0.192491588,0.253140542,2,20,900,0.17865266,0.17438732,0.232448032,0.192491588,0.253140542,19.127597,391.218124,784.245079,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 10 0,18
external_10N_z_tetrapga,external_force_persistent,10N,z,1000,0.179057657,0.173631411,0.250493161,0.184088888,3.099208652,4.675188,0,0,0.173043461,0.216707396,899,0.177815948,0.173784693,0.243280978,0.184522676,0.220479939,2,20,899,0.177815948,0.173784693,0.243280978,0.184522676,0.220479939,19.2115016,490.79295,768.8983,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 10,18
external_20N_x_tetrapga,external_force_persistent,20N,x,1000,0.179003601,0.173735132,0.248005415,0.177277797,3.16888445,4.811196,0,0,0.117980484,0.200279026,900,0.177947474,0.174035614,0.240688227,0.122946973,0.203529284,2,20,900,0.177947474,0.174035614,0.240688227,0.122946973,0.203529284,18.9728537,395.032373,776.228293,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,20 0 0,18
external_20N_y_tetrapga,external_force_persistent,20N,y,1000,0.182142911,0.175376387,0.247531494,0.178010201,3.21057807,4.746237,0,0,0.334036318,0.378950576,900,0.181581304,0.175945279,0.237742013,0.363189178,0.380494987,2,20,900,0.181581304,0.175945279,0.237742013,0.363189178,0.380494987,19.6832891,419.311817,737.202588,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 20 0,18
external_20N_z_tetrapga,external_force_persistent,20N,z,1000,0.18431587,0.179019804,0.257242333,0.184755529,3.168576104,4.756403,0,0,0.316262759,0.36041753,900,0.183749062,0.1797846,0.252473634,0.343582242,0.360751797,2,20,900,0.183749062,0.1797846,0.252473634,0.343582242,0.360751797,19.9508984,478.766124,771.223028,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 20,18
external_5N_x_tetrapga,external_force_persistent,5N,x,1000,0.179462952,0.174238936,0.244691594,0.178765061,3.169659619,4.747052,0,0,0.095463747,0.20907985,900,0.178182375,0.174330582,0.239286931,0.0983179313,0.214036023,2,20,900,0.178182375,0.174330582,0.239286931,0.0983179313,0.214036023,18.9682927,440.724744,786.675798,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,5 0 0,18
external_5N_y_tetrapga,external_force_persistent,5N,y,1000,0.178750101,0.173601663,0.238518941,0.175963861,3.128372375,4.621485,0,0,0.117114383,0.21158488,899,0.177380256,0.17368136,0.232484061,0.122310572,0.217297434,2,20,899,0.177380256,0.17368136,0.232484061,0.122310572,0.217297434,18.8702,379.809865,780.861542,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 5 0,18
external_5N_z_tetrapga,external_force_persistent,5N,z,1000,0.178076525,0.172920909,0.244168818,0.18059634,3.143506734,4.678644,0,0,0.117812786,0.216133954,900,0.17698086,0.173173294,0.236524424,0.122788943,0.221140512,2,20,900,0.17698086,0.173173294,0.236524424,0.122788943,0.221140512,18.9314555,440.815383,778.467066,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 5,18
link_com_01cm_x_tetrapga,six_link_com_offset,01cm,x,1000,0.177628209,0.172625198,0.236829775,0.182129568,3.249778628,4.936922,0,0,0.102453265,0.212784214,0,,,,,,-1,-1,900,0.176457126,0.172828637,0.230731142,0.105665957,0.21465554,18.838606,469.768768,765.468222,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0,0
