robot,backend,t,tracking_error,velocity_error,torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,solver_dam_calc_ms,solver_dam_calcdiff_ms,solver_dynamics_calc_ms,solver_dynamics_calcdiff_ms,solver_cost_sum_calc_ms,solver_cost_sum_calcdiff_ms,solver_cost_item_total_ms,solver_state_cost_total_ms,solver_control_cost_total_ms,solver_velocity_cost_total_ms,solver_collision_cost_total_ms,solver_collision_residual_total_ms,solver_model_total_ms,solver_overhead_ms,solver_dam_calc_calls,solver_dam_calcdiff_calls,initial_dam_calc_ms,initial_cost_sum_calc_ms,initial_model_total_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,u_cmd,effort
ur,tetrapga,0.000077005,0.000023761,0.308572356,0,1.007564,0.008192,0.964895,0.003385,0.067089,0.102167,2.279486,0.058363,0.28237,0.381176,0.235126,0.30931,0.039039,0.06218,0.052646,0.019344,0.01395,0.019352,0,0,0.663546,0.344018,126,63,0.055115,0.011058,0.055115,2.348487,0.0503782,3,1,0,0.007617352,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,5.2911577714707616e-20 -1.5707963267948966 -1.8061141642602072e-20 -1.5707963267948966 -1.3155783519307227e-21 1.007810186422122e-22,7.3204034337041209e-18 1.7968525630940356e-17 -2.6046380459508376e-18 1.6035666184319137e-18 -1.4091618916697771e-19 1.3274326902407393e-20,1.1599077517080128e-06 -1.5707906709772408 1.0408978139597575e-05 -1.5707841740567658 1.2046845017627495e-05 1.1405266596163184e-05,0.015074713091853044 0.073457211472277906 0.13518168269376019 0.1578230929723094 0.15644453503103273 0.14811003113130228,0.0003647379309730678 -1.5692707418652407 0.0027601201728636908 -1.5675991273205874 0.0031517790711959618 0.0029697233736109105,0.021282402402546918 0.078528697614203294 0.13977502502763225 0.16066341691612979 0.15750957371124227 0.14770866233143085,0 0 0 0 0 0,-3.3026978562780649e-15 0 8.9918008902777581e-16 0 3.0785991255328692e-17 -2.7013878150198301e-18
ur,tetrapga,0.020001528,0.005745244,0.264216609,0.02340237,0.965572,0.008803,0.416366,0.002576,0.053325,0.035228,1.589778,0.036248,0.2779,0.377755,0.231076,0.308716,0.038632,0.059746,0.050152,0.017429,0.013634,0.019089,0,0,0.655655,0.309917,126,63,0.05002,0.008109,0.05002,1.636184,0.0482786,3,1,0,0.014269196,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,4.8933461825256274e-05 -1.5708175964599531 0.00014428687769904396 -1.5705084196816175 0.00028946471523189733 0.00026996231531681113,0.0053672583269105314 -0.00077297510513774732 0.017256814270737723 0.02891479430758714 0.029302387043087724 0.027399912861391543,0.00036313248286092838 -1.569276668256482 0.0027495710213141736 -1.5676112533165456 0.0031398908646317848 0.0029585747041540322,0.02125898402406463 0.078509638236576196 0.13975785364211327 0.16065290324343617 0.15750577013878225 0.14771032490545655,0.00085242034950505717 -1.5676498103799927 0.0056008265452457302 -1.5643583683811526 0.0063116637558006715 0.0059192279320139417,0.027484743598029993 0.083557088193107587 0.14428085345916439 0.1633940923278763 0.15845970856498645 0.14722872027825112,0 0 0 0 0 0,-0.98797607389397468 7.7227820847083422 3.4325988734203632 0.089109041162373614 -0.13373944100691126 -0.073829570848188197
ur,tetrapga,0.039998479,0.010458175,0.225739988,0.033469207,1.737574,0.010398,0.449861,0.003249,0.086431,0.040176,2.545362,0.040263,0.51597,0.669699,0.429811,0.547241,0.071123,0.104741,0.089206,0.031684,0.024989,0.032533,0,0,1.185669,0.551905,126,63,0.082421,0.012243,0.082421,2.597983,0.0868787,3,1,0,0.019534713,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00022025922253241824 -1.5707579982066506 0.00072827080123908316 -1.5695800045091794 0.0012180116923723654 0.0011353967494063231,0.0096133836888715376 0.0082099779026686918 0.036777408920456792 0.052217784660719843 0.052056711071845348 0.048570286700873475,0.00085026303813500966 -1.5676563710121556 0.0055894974347239753 -1.5643711986531872 0.0062992206863420712 0.0059076665695116746,0.027460404996346263 0.083537432303845638 0.14426333605051603 0.16338358699754932 0.15845620328502788 0.14723075796767185,0.0011046742863229674 -1.5705571134240033 0.0031381528720812752 -1.5660804958353023 0.0046641284231491408 0.0043115627185736924,0.044220753189527458 0.010044239132368203 0.1204941035421096 0.17497543369385266 0.17230583653883877 0.15880829845836847,-1.993238129769529 21.605157580661214 11.183528078141681 0.95965480369232004 -0.16203065780159726 0.0054152898877925819,-1.5727264492114319 11.044838148534836 4.531538113108601 0.020505483588749485 -0.23246188842782978 -0.1489973169792016
ur,tetrapga,0.060010616,0.015512458,0.270096545,0.016895349,2.372775,0.020082,0.838447,0.005364,0.137012,0.064216,3.710939,0.042704,0.675663,0.947872,0.561423,0.773277,0.094283,0.151229,0.121508,0.040559,0.033804,0.047145,0,0,1.623535,0.74924,126,63,0.129185,0.020706,0.129185,3.776774,0.11863875,3,1,0,0.025552214,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00036351459602197706 -1.5705152709412 0.0013416013311595058 -1.5688445120429284 0.0019356295702588394 0.0018028666422431868,0.0059338322265054698 0.011251996628205266 0.024998213562940564 0.02867588572503179 0.027511436342772387 0.025473263193196292,0.0014618404121664787 -1.565934637565396 0.0085208857473311403 -1.5610751245133365 0.0094788233471811353 0.0088486128369001833,0.033658736372620034 0.088523763682184106 0.14868259499359365 0.16600530670534305 0.15929195311633132 0.14667246507164394,0.0014125236151707489 -1.5703207332128368 0.0038629486051378371 -1.5651765310000789 0.005517744492886837 0.0050770637690821145,0.052450450957438589 0.0097268864181579012 0.12606736369891655 0.18339905214247898 0.1791057461313999 0.1637098563419464,-1.9628826849494549 23.403734716968671 12.415283939757723 1.0796115866230513 -0.17743965064255957 0.0066725612267524732,0.67884829279559078 -5.3896730705055234 -2.5343023479993931 -0.3716846293400522 -0.046075402117590869 -0.079019957873246227
ur,tetrapga,0.080010625,0.021050578,0.272370028,0.008710602,1.562559,0.01808,0.736924,0.004423,0.118114,0.054335,2.662168,0.038106,0.445266,0.668862,0.36451,0.547123,0.068258,0.104861,0.082826,0.026582,0.023379,0.032865,0,0,1.114128,0.448431,126,63,0.11261,0.016656,0.11261,2.722252,0.07812795,3,1,0,0.031756608,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00049307397560124076 -1.570364839865138 0.0017782496284217382 -1.568296272259148 0.0024626575878365837 0.0022876757060960738,0.0084865848914811599 0.0063947795046320061 0.024650191428855502 0.032048952727002533 0.030912424320736587 0.028319751331265828,0.002196877861051898 -1.564114721599364 0.011537942888323794 -1.557729749869706 0.012672052352989436 0.011775833478430539,0.039843063779900309 0.093459676608341355 0.15300754996285709 0.16851320568490571 0.16001150053543703 0.14603649574347996,0.0017257761464925948 -1.5702192430334281 0.0044086438802200777 -1.5644515178263496 0.0061885410010977093 0.0056665361431976202,0.061635108544567697 0.0072798415854934632 0.13151971258991696 0.1922377216399255 0.18629417066305629 0.16894302185507729,-2.172460808345356 25.877948725902169 13.60433738605829 1.171784600109705 -0.19395345461372787 0.0069456284780931273,0.34979824241848601 -2.7260871495482206 -1.3065903250175719 -0.29830805825895368 -0.07215668009024867 -0.084768079053208822
ur,tetrapga,0.099997248,0.026539336,0.278229857,0.00574242,1.031593,0.007303,0.374774,0.003467,0.07264,0.03824,1.657939,0.029012,0.309998,0.400962,0.261445,0.339988,0.03955,0.051021,0.043888,0.015467,0.010621,0.0178,0,0,0.71096,0.320633,126,63,0.068341,0.011579,0.068341,1.695948,0.05157965,3,1,0,0.038780953,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0006817231482782204 -1.570267074972663 0.0022609537097410207 -1.5676426957480678 0.0030907670952568037 0.0028599258920849495,0.010125591969610577 0.0039231913960609535 0.023992809899872253 0.03268217891742687 0.03138254263874387 0.028496773989873717,0.0030548631292525428 -1.5621978952871267 0.014638461788310218 -1.5543376370291728 0.015876363193783553 0.014687612272104827,0.04601057150376521 0.09834283230884075 0.15723611639076143 0.17090613947348113 0.1606147251181673 0.1453233716987499,0.0020962175261478094 -1.5701379838640266 0.0050107147238692765 -1.5636255308169913 0.0069535620302311803 0.0063369269893510487,0.070724718893479449 0.0064545554318228612 0.13748805070641279 0.20085824655383008 0.19313974674871884 0.17385005486330493,-2.3233119726238205 28.062682286305353 14.698191494438566 1.258705574231783 -0.20870948828841329 0.0073024463404157769,0.14903362795715935 -1.5403453071148761 -0.86136297510272364 -0.27170894447954197 -0.082846656973803334 -0.087541884645263579
ur,tetrapga,0.119997562,0.032098809,0.282366011,0.004653807,1.501054,0.007729,0.528426,0.003613,0.082359,0.047901,2.383762,0.049265,0.452451,0.575876,0.381631,0.488139,0.057459,0.07365,0.062771,0.021887,0.014518,0.026366,0,0,1.028327,0.472727,126,63,0.077635,0.012111,0.077635,2.44294,0.0750527,3,1,0,0.04653422,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00091083436820423068 -1.5702076172192694 0.0027508585309902679 -1.5669517706675902 0.0037510325367468194 0.0034560186670232443,0.011779020810979647 0.0026148190528263063 0.024342187048277328 0.034001404089245797 0.03246653242936811 0.029251395239750722,0.0040366832312202445 -1.5601825701359078 0.017824754520370432 -1.5508964677937493 0.01909377680011997 0.017586344868702305,0.052167170697745111 0.1031777434245254 0.16137207024666389 0.17318619549411884 0.1611021999074003 0.14453248503140506,0.0025083923213252502 -1.5700725798917923 0.0056293867182019139 -1.5627633236710157 0.0077473758983696919 0.0070278208604581584,0.079877897656050967 0.0067518663738519759 0.14392640936058229 0.20942234982872165 0.19981716808114364 0.17859010967174577,-2.4513170440911729 30.072546317450435 15.706043677763917 1.3382160940992884 -0.22212075087050728 0.0076241705565773055,0.031186989280600486 -0.81875729683633836 -0.584888041881932 -0.26061318602296524 -0.090613870311505806 -0.090175431493777936
ur,tetrapga,0.139997767,0.03784927,0.284862515,0.004629241,1.462541,0.006607,0.479055,0.003476,0.087164,0.044176,2.290006,0.040979,0.444795,0.555784,0.374754,0.471289,0.057078,0.070292,0.061912,0.02155,0.014337,0.026025,0,0,1.000579,0.461962,126,63,0.082562,0.013147,0.082562,2.339852,0.07312705,3,1,0,0.055254485,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0011466843318494913 -1.5701701688504368 0.003202469156813157 -1.5663031159183292 0.0043670813063064915 0.0040081389052994453,0.013694636159798218 0.0018831492100742783 0.025492572984589755 0.036137615274743053 0.03428433610987925 0.030659941898789924,0.0051414591660055775 -1.5580710904696347 0.021092778196744443 -1.5474108706366545 0.022319758809325858 0.020468474011158536,0.058306157418198959 0.10795893799821275 0.16541054821494491 0.17535058231178624 0.16147328381054851 0.14366469004027677,0.0029314523561688906 -1.5700165520064429 0.0062173114290256567 -1.5619412255000475 0.0084971360461137731 0.0076745321186871421,0.089238401215969973 0.0076808421996958989 0.15074211361062495 0.21809452091408313 0.20650273699036406 0.18331966066938485,-2.5711890909620436 32.005549836393385 16.671942110528111 1.413903137132009 -0.23492790756105444 0.0079162809184167571,-0.03325015985187818 -0.34394863397756126 -0.38188650661182422 -0.2592375130734581 -0.098694590423983541 -0.094103736549612904
ur,tetrapga,0.159998656,0.043533468,0.28928426,0.004707981,1.080261,0.021647,0.468426,0.003176,0.071677,0.036885,1.79669,0.03265,0.330179,0.410216,0.275264,0.346976,0.045238,0.052601,0.049298,0.019272,0.01085,0.019176,0,0,0.740395,0.339866,126,63,0.067457,0.011238,0.067457,1.852867,0.05401305,3,1,0,0.064985192,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0014444039787073299 -1.5701364675293195 0.0037252927362243062 -1.5655501182832303 0.0050772368209005122 0.0046400319600037165,0.015018407715085787 0.0018128100984736168 0.026060340803128777 0.036838825993095799 0.034687709686597415 0.030810816824355113,0.0063688640653223674 -1.5558644629788545 0.024440697913098813 -1.5438830293341843 0.025552108164457153 0.023332578996164626,0.064425338185865946 0.11268453912815038 0.16934983313216831 0.17739833000505603 0.16172785536850298 0.14272036352225709,0.0034178679907246753 -1.5699561953042034 0.0068762777540501826 -1.5610200303457331 0.009334391571544514 0.0083947519588848454,0.098673200600867261 0.0090136112558085804 0.15754925089129382 0.22650439687485813 0.21285773753220005 0.18773599994405643,-2.6699633069729374 33.884808061240747 17.63175479347894 1.4898689972357508 -0.24743090411491472 0.0082497650351655172,-0.073681298512589422 -0.19815623143858829 -0.35912027535713165 -0.2636469529952592 -0.10048073838668969 -0.094973304133135983
ur,tetrapga,0.179997585,0.049281456,0.292383166,0.004843456,1.155406,0.006621,0.360871,0.002837,0.068492,0.040115,1.787577,0.031552,0.358237,0.443215,0.302996,0.37419,0.044844,0.056517,0.048766,0.016812,0.011003,0.020951,0,0,0.801452,0.353954,126,63,0.064635,0.01009,0.064635,1.827307,0.0577703,3,1,0,0.075744977,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0017733360395888503 -1.570103670071832 0.0042660201115633564 -1.5647719133875413 0.0058057349189443328 0.005283939125948928,0.016652912372140564 0.0018127834428091774 0.0271539405122628 0.03829115953652857 0.035793002971198799 0.031585636897464117,0.0077182993673150539 -1.5535641239273084 0.027866058701833694 -1.5403157583144531 0.028788065920161927 0.026176757470511722,0.070521476145423589 0.11735188414455552 0.17318758138743998 0.17932818000415987 0.16186581629597582 0.14170007904024448,0.0039393840442483192 -1.5698919405031642 0.0075549108332661832 -1.5600752292068687 0.010186922386482979 0.0091239231201913282,0.10830240023297341 0.010586478433391108 0.16444453608514131 0.23483420903362795 0.21905937337693235 0.19199919971212004,-2.7715565114821556 35.753300391688498 18.574970062679927 1.5636933479511448 -0.25969930923211287 0.0085513562569795951,-0.10142806681044725 -0.063857871989966952 -0.32257944578034881 -0.27123352930630062 -0.10417054231887946 -0.097350149862514002
