robot,backend,t,tracking_error,velocity_error,torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,u_cmd,effort
ur,tetrapga,0.000068178,2.096766266,10.018183956,1,36.111529,0.090447,2.800887,0.010654,5.855166,0.121284,45.34392,0.066788,45.523928,4.513941125,1,0,0,8.265190332,76.026998125,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00050235328824081715 -0.011145049403360162 0.0091718788104326945 -0.1694119626980439 -0.00030789990625301614 1.4614463250351981e-05,0.023506197360407075 -0.56263898960530989 0.28311340948952474 -9.8366104428890253 -0.0076377104362940398 0.00032748975516024557,1.0268553548091959e-06 -1.5707913193741272 9.2157384577240376e-06 -1.5707855671555688 1.0665911293148224e-05 1.0097898646257497e-05,0.015071972508781893 0.073454963976661541 0.13517963640928626 0.157821815384937 0.15644403967450077 0.14811019089076469,0.00013153724040625367 -1.5701955407121939 0.0010980528665170118 -1.5695183841660965 0.0012639896300932676 0.0011943834759971751,0.017555533528134968 0.075488598576816682 0.13702735657218232 0.15897103663446888 0.15688383553554364 0.14795910270204538,0 0 0 0 0 0,-12.575644430014959 -330 -130.98948861452675 -56 2.1829767575534107 -0.097850341640620703
ur,tetrapga,0.045649844,2.0891829,10.02509137,1,36.243484,0.068823,1.564353,0.01901,5.870608,0.042851,44.125331,0.031462,44.243953,4.5304355,1,0,0,8.314799067,75.309322021,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00050235328824081715 -0.011145049403360162 0.0091718788104326945 -0.1694119626980439 -0.00030789990625301614 1.4614463250351981e-05,0.023506197360407075 -0.56263898960530989 0.28311340948952474 -9.8366104428890253 -0.0076377104362940398 0.00032748975516024557,0.0010104006949471713 -1.567180276633545 0.006408337917499651 -1.5634457301921592 0.0071954188641627781 0.0067393011754735381,0.029211691312833403 0.084950239582465684 0.14552049626066749 0.16413526279728696 0.1587039305013995 0.14708102804415152,0.00028191373871633827 -1.5695835196293249 0.0022016166393404551 -1.568242077010952 0.002520758367826231 0.0023774099508839272,0.020038474639789736 0.077515546030205495 0.13886127516325769 0.16010284234977115 0.15730528942981944 0.14779541791384665,0 0 0 0 0 0,-12.575644430014959 -330 -130.98948861452675 -56 2.1829767575534107 -0.097850341640620703
ur,tetrapga,0.089994014,1.734667397,9.146911748,1,36.126855,0.069216,1.428452,0.021058,5.811459,0.04229,43.772041,0.038275,43.8966,4.515856875,1,0,0,6.617215691,53.433358023,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0006750652222730978 -0.054876971425850692 0.01938387703595296 -0.69948133062845474 -0.00028084147884054631 2.6775598874089544e-05,-0.014750961884999138 -1.2113291137694504 0.16646406784463175 -8.8807441003003564 0.0047300989637639552 0.0096087624027252124,0.002610035968267557 -1.563169459907277 0.013076098588446192 -1.5560413559220125 0.014271109858873591 0.01323205890478253,0.042925492906152163 0.095905141423846249 0.15513153933035043 0.16972271373885431 0.16032730501145978 0.14568996021747577,0.00045215076264063181 -1.5689553101784892 0.0033197961070771023 -1.5669567853596325 0.0037808252711528023 0.0035590766147959273,0.022520638751409715 0.079535667455224945 0.14068125801534229 0.16121714643185187 0.15770837218915662 0.14761915271573572,0 0 0 0 0 0,4.6851488304691253 -330 -108.54118802890756 -56 1.0756394985779814 2.5295938222413543
ur,tetrapga,0.134014237,1.541033864,6.298986513,1,35.990122,0.068861,1.495625,0.020257,5.81865,0.039809,43.690013,0.036028,43.81438,4.49876525,1,0,0,2.629987303,40.676990335,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.00016938375977840285 -0.11987282346627588 0.024659991125526873 -0.99740475680196283 0.00010329915846729761 0.00042493822533406475,-0.022394952457530551 -1.8559836530895883 0.099056555529365098 -5.806317423510464 0.0064916977811703327 0.0077384906578358871,0.0047980704405990605 -1.5587128062562667 0.020106618564424354 -1.548458190523871 0.021353868982485643 0.019608047835065267,0.056471523442072374 0.10653428322805075 0.16421267141943616 0.17471524348470555 0.161374475678567 0.14393235019699424,0.00064224146788795309 -1.5683109675220863 0.0044524792501957561 -1.5656626495654566 0.005044043258985372 0.0047392828915759824,0.025001868795012448 0.081548824377223467 0.14248717187690296 0.16231386402522635 0.15809305604494459 0.14743032400633391,0 0 0 0 0 0,11.17840130154614 -330 -117.24462355682797 30.610063161176186 1.005232206077185 -0.0088707114464892101
ur,tetrapga,0.177896451,1.379416889,4.712791043,1,36.189853,0.068334,1.447761,0.019196,5.857918,0.038805,43.92064,0.043683,44.051286,4.523731625,1,0,0,1.589694896,30.076638507,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0011695560140374131 -0.21737775723634387 0.028421817808532562 -1.2011577101374697 0.00076964410997980867 0.0011357059268959342,-0.023388923800685534 -2.541076679551451 0.072006267625232476 -3.7058249618304235 0.02155576137046656 0.02212216106776323,0.0075707959254971329 -1.5538101838356679 0.027502586727184232 -1.5406923439152995 0.028447973393253539 0.025878910115072776,0.069882128770292082 0.11686429907930837 0.17278918722962672 0.1791309869395134 0.16185680353149548 0.14181083393758878,0.00085217775374804702 -1.5676505479286589 0.0055995529868425884 -1.5643598106555943 0.0063102650336917844 0.0059179283430888406,0.027482007735180305 0.083554878736342666 0.14427888442016387 0.16339291152342397 0.15845931462995355 0.14722894939233969,0 0 0 0 0 0,17.593553868032398 -330 -111.06935648540103 21.016985464903883 3.7663880549425253 2.3317682726081816
ur,tetrapga,0.222086019,1.228610873,4.21572155,1,36.114903,0.06763,1.227136,0.019608,5.834213,0.045052,43.59235,0.037946,43.715005,4.514362875,1,0,0,1.868431896,21.517906929,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0022092498837451473 -0.33813594523320295 0.030930460545530152 -1.3266893679935263 0.0015732818885314168 0.0019685828025744374,-0.02688290502977082 -3.1752148033647303 0.046095868840347887 -2.4248563519641655 0.01536528105589286 0.01613265823596596,0.010955080522139123 -1.5484214589272995 0.035319726802676525 -1.5326889674253477 0.035600650359898643 0.03209148792761142,0.083266874174326003 0.1269766734689271 0.18092587818085862 0.18300097387058714 0.16177529353707146 0.13930655104382278,0.001081950263384942 -1.5669741087695435 0.0067609031802634972 -1.5630484103210529 0.0075793430923133554 0.0070949126748817834,0.029960898577269909 0.085553692895336597 0.14605626424917278 0.16445420657441676 0.15880712298005981 0.14701504718751687,0 0 0 0 0 0,23.704972013000802 -330 -112.87266399391686 8.0763309041294633 1.3379228137522805 -0.046365752634771162
ur,tetrapga,0.265874848,1.065150412,4.326143555,1,36.019813,0.068474,1.574208,0.019106,5.821234,0.034285,43.81886,0.038644,43.942971,4.502476625,1,0,0,2.554135862,14.54288132,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.003452384088542741 -0.48541030167918781 0.032762041608878842 -1.4084424874924442 0.0025206864790895309 0.0029184470238281571,-0.032726789586056161 -3.803310300273119 0.033283719238853343 -1.5792070033039245 0.018344784924951094 0.018485948080450183,0.014889047767643609 -1.5426474913110275 0.043409453136599455 -1.5246021837136372 0.042672588336388491 0.038130663056955769,0.096386141741048134 0.13668923757910945 0.18847565516027431 0.18625582626251944 0.16113370861304524 0.13646617050164603,0.0013315483841959768 -1.5662817085154577 0.0079364146462907875 -1.5617285909066212 0.008851129737796299 0.0082701357418369908,0.03243838437561989 0.08754512964736863 0.14781918090781349 0.16549766808596938 0.15913645753587641 0.14678863641164708,0 0 0 0 0 0,32.698402641643725 -330 -110.83003763787686 2.6523835639072786 1.3752042157062316 -0.056538946540165114
ur,tetrapga,0.309889735,0.872649417,4.771976685,1,36.01641,0.068002,1.470659,0.020671,5.815905,0.033283,43.688556,0.038505,43.811491,4.50205125,1,0,0,3.521784624,9.551082423,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0050219011945900208 -0.66804020294382305 0.034229398643659106 -1.463518493919052 0.0036331720399319137 0.0040053899394515095,-0.038457804968714426 -4.4685422419959178 0.030521244953493929 -0.9942058102878647 0.030192474926352721 0.028942187027890486,0.019418615774884494 -1.5364222835325358 0.051862473908026556 -1.516342952866911 0.049740396234705532 0.044067874586802294,0.10940317139818441 0.1461222762233369 0.19553230187132292 0.18893761783130156 0.1599281784301908 0.13325719496523844,0.0016009602482364787 -1.5655734067330267 0.0091259711608937203 -1.560400495400768 0.010125477090235839 0.009443497553815362,0.034914308241756578 0.089529052223785224 0.1495675048877636 0.16652321623091013 0.15944729614428976 0.14654973678944702,0 0 0 0 0 0,44.378947923424917 -330 -104.74373723600681 3.6064655789350581 3.9299235858891457 2.2918471895175365
ur,tetrapga,0.353780784,0.664686172,5.350198443,1,30.240915,0.069673,1.671184,0.018808,5.82834,0.034788,38.108407,0.044222,38.23897,3.780114375,1,0,0,4.707616914,7.881313905,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.006672175951686567 -0.8699797488906269 0.035349929505430047 -1.4971449438415698 0.0047401743142121734 0.0050689729552169738,-0.039660581701262049 -5.1200303754022025 0.019593079320673525 -0.64963449813970409 0.021405072251137691 0.020586314106152862,0.024501780570455624 -1.5298087423757032 0.060589031324648164 -1.5080024793396574 0.056723243165584636 0.049840092167737313,0.12218883192352761 0.15517972933861168 0.20202161830420229 0.19101626988824993 0.15816956563906348 0.12971049226562106,0.0018901727327100847 -1.5648492640812464 0.010329455467792514 -1.5590642674255026 0.011402237098132215 0.010614898281291562,0.037388513352597227 0.091505324301866378 0.15130110763639687 0.1675307724523227 0.15973961805990136 0.14629836874945079,0 0 0 0 0 0,52.402260413798587 -330 -107.00491870377374 -3.2095425426487054 1.3958170574888484 -0.066584911626375032
ur,tetrapga,0.392141413,0.471466801,5.467956161,0.159986057,36.285029,0.075136,1.324099,0.020568,5.825664,0.04023,43.957921,0.044292,44.095612,4.535628625,1,0,0,5.43171456,8.34531601,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0073991976437694134 -1.061363908239914 0.032329962272479161 -1.5164424143565767 0.0058571499355440492 0.0060370694702893109,0.034267698670800137 -5.2334713516657745 -0.34546315837035485 -0.46926896272599045 0.033232938538817959 0.022662452836056932,0.029400488073126556 -1.5237089625899718 0.068440062915864602 -1.5006480834073346 0.062753925704354063 0.05475190175441131,0.13318476956445491 0.16279531507933986 0.20723361248834152 0.19234164164560388 0.15618097227813571 0.12633273240570617,0.0021991714605246642 -1.5641093423078842 0.011546749286135331 -1.5577200512261915 0.012681261549657862 0.011784238260979959,0.039860842958650305 0.093473810012552005 0.15301986156463074 0.1685202594686584 0.16001340394637495 0.14603455342285648,0 0 0 0 0 0,28.764795423861852 52.795398835014566 22.376254164558297 4.8072839608321374 -0.45823676251249168 -0.068881844619884447
