robot,backend,t,tracking_error,velocity_error,torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,solver_dam_calc_ms,solver_dam_calcdiff_ms,solver_dynamics_calc_ms,solver_dynamics_calcdiff_ms,solver_cost_sum_calc_ms,solver_cost_sum_calcdiff_ms,solver_cost_item_total_ms,solver_state_cost_total_ms,solver_control_cost_total_ms,solver_velocity_cost_total_ms,solver_collision_cost_total_ms,solver_collision_residual_total_ms,solver_model_total_ms,solver_overhead_ms,solver_dam_calc_calls,solver_dam_calcdiff_calls,initial_dam_calc_ms,initial_cost_sum_calc_ms,initial_model_total_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,u_cmd,effort
ur,tetrapga,0.000049454,2.220089513,1.03759378,1,51.009063,0.07576,2.857907,0.008883,7.146826,0.128279,61.636885,0.075761,27.878477,22.585197,23.663695,17.870453,4.171732,4.569615,8.613391,0.023522,0.018642,0.027446,8.543781,8.468817,50.463674,0.545389,164,41,7.126232,1.081687,7.126232,61.806077,6.376132875,1,0,0,112.162707468,142.681501228,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,6.1821679442028928e-06 -0.0002309178635793817 0.00041998717324728796 -0.0016699866539694418 -2.0024693012860951e-05 9.9835804628332501e-07,0.0030910839721014463 -0.11545893178969084 0.20999358662364398 -0.83499332698472084 -0.010012346506430476 0.00049917902314166251,7.4470216640230578e-07 -1.5707926947002397 6.6846755828562379e-06 -1.5707885221858682 7.736662932029396e-06 7.3246802597473372e-06,0.015066159130070466 0.073450196519897412 0.13517529573672823 0.15781910527250861 0.15644298884102084 0.14811052972474031,0.00013120858500946105 -1.570196954116226 0.0010954872066288759 -1.5695213607147951 0.0012610521465928721 0.0011916130863097241,0.017549721416035686 0.075483846608098967 0.13702304804411447 0.15896836718113488 0.15688282759612837 0.14795947103679657,0 0 0 0 0 0,0 -330 0 -56 0 0
ur,tetrapga,0.061905889,2.209505787,1.048333141,1,49.807679,0.073711,2.011828,0.019237,6.702024,0.041034,59.064758,0.048564,26.752803,22.543719,22.720338,17.842364,3.993505,4.557517,8.439999,0.020022,0.015752,0.022152,8.382073,8.316477,49.296522,0.511157,164,41,6.69147,0.994643,6.69147,59.207018,6.225959875,1,0,0,112.275323553,142.552441982,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,6.1821679442028928e-06 -0.0002309178635793817 0.00041998717324728796 -0.0016699866539694418 -2.0024693012860951e-05 9.9835804628332501e-07,0.0030910839721014463 -0.11545893178969084 0.20999358662364398 -0.83499332698472084 -0.010012346506430476 0.00049917902314166251,0.0015261887354700279 -1.5657664155892361 0.00880307212535744 -1.5607602691869178 0.0097807945714341211 0.0091265433646860964,0.034245263323396474 0.088993574253808133 0.14909640356890266 0.16624779582687252 0.1593651059783715 0.14661553849091644,0.00028153859271486928 -1.569584970986069 0.002199016640856733 -1.5682450747519634 0.0025178129926208903 0.0023746426257546115,0.020032664161999354 0.077510809875057804 0.1388569990947659 0.16010021375850053 0.15730432445437714 0.14779581571231418,0 0 0 0 0 0,0 -330 0 -56 0 0
ur,tetrapga,0.121254282,1.719998953,8.662665045,1,50.358979,0.074558,1.952606,0.01865,6.720079,0.037981,59.577812,0.046996,26.787352,23.048956,22.746808,18.235812,4.002431,4.6572,8.541279,0.020801,0.018082,0.023424,8.478972,8.403605,49.836308,0.522671,164,41,6.707571,0.994724,6.707571,59.718275,6.294872375,1,0,0,117.897339223,103.108029277,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0006412460237598251 -0.057444186061991212 0.019775849412550096 -0.71410058250723607 -0.00010955409618424641 0.00017867055862591944,-0.01594897085601537 -1.2492919660753061 0.16468659729556245 -8.380322512102266 0.0054793055237646535 0.010505103986828933,0.0041024854934827238 -1.5600527147960661 0.018027715336340702 -1.5506787335865133 0.019296254010850208 0.017767948922081583,0.052553459135355876 0.10347977394419677 0.16162871855020217 0.17332561206465524 0.16112894561586291 0.14448021721095761,0.00045172914057959316 -1.5689567993601379 0.00331716203092764 -1.5669598039652581 0.003777872348223024 0.0035563125897807055,0.022514830275577616 0.079530947438227639 0.14067701471937902 0.16121455890270966 0.15770745024432209 0.1476195799391998,0 0 0 0 0 0,5.4250219877792594 -330 -110.30340301544716 -56 -1.5649460390890879 0.11455717054440218
ur,tetrapga,0.18111802,1.469575269,5.553982102,1,49.900733,0.068694,1.892243,0.018902,6.707611,0.041411,59.058028,0.049514,26.722289,22.651707,22.652922,17.92798,4.026228,4.573721,8.474837,0.022329,0.018695,0.024672,8.409141,8.337179,49.373996,0.526737,164,41,6.697403,0.998744,6.697403,59.193938,6.237591625,1,0,0,113.994513558,78.032771163,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.00056208251478587332 -0.15634104072328964 0.026473090262920093 -1.085967968926431 0.00045919673381975674 0.00079359461023545907,-0.022369127123759346 -2.1382211628497272 0.08927812930663849 -4.8905586687625995 0.015013889221745737 0.015994704898659118,0.0077975050389566059 -1.5534324932426826 0.028060222914846725 -1.540114774101254 0.028969428477895166 0.026335489943004151,0.070862297718144035 0.11761162035135651 0.17339956169578905 0.1794327984041135 0.16187009620293596 0.14164067762342145,0.00064177338725339298 -1.5683124943982394 0.0044498113598054221 -1.5656656887064087 0.0050410831328316303 0.0047365224019144158,0.024996062688721427 0.081544120821995233 0.14248296166426808 0.16231131775536073 0.15809217719407484 0.14743078061441611,0 0 0 0 0 0,13.638928911320605 -330 -116.30406714598108 24.386449033481767 1.1009365114948086 -0.037450706414025703
ur,tetrapga,0.240390178,1.261456795,4.292629075,1,46.901089,0.069778,1.861015,0.01927,6.343652,0.038312,55.608107,0.033534,25.274476,21.139063,21.336411,16.867358,3.898542,4.128211,7.912442,0.019338,0.017409,0.023434,7.852261,7.787757,46.413539,0.48755,164,41,6.336086,0.979232,6.336086,55.729858,5.862636125,1,0,0,113.450365473,54.806057788,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0019545741345931684 -0.30703877830510595 0.030311402511143032 -1.2983650297623437 0.001264553013945129 0.0016608095205441213,-0.026113058085028049 -3.0255777011585079 0.053683547542678976 -2.7133937000698358 0.018579528283319255 0.019224554263382678,0.012529613150665192 -1.5460596655149377 0.038661020789113022 -1.529326034934505 0.038560126032197807 0.034631000352080998,0.088769761833829453 0.1310751162988141 0.18414490546634424 0.18443225259400806 0.16157492810146654 0.13816236051562591,0.00085166323496634576 -1.567652112366331 0.0055968515481139777 -1.5643628700010197 0.0063072980493082886 0.0059151716236908397,0.027476204365927365 0.0835501919655222 0.14427470759948571 0.16339040670705338 0.15845847893312359 0.1472294353430057,0 0 0 0 0 0,22.25837459553177 -330 -113.36309577196209 9.9586706676755057 1.3054662878329788 -0.054863687023383179
ur,tetrapga,0.296258304,1.053119979,4.354422352,1,40.513346,0.06955,1.93593,0.017858,6.349812,0.045587,49.313252,0.044874,18.903657,21.141802,15.967018,16.861898,2.908442,4.134718,6.951289,0.015379,0.01183,0.016544,6.907536,6.852745,40.045459,0.467887,123,41,6.341148,0.974435,6.341148,49.446938,5.06416825,1,0,0,113.889608689,34.556091442,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0035730930103448416 -0.49300517825981655 0.03246602918085064 -1.4100781719378062 0.0021604744180717507 0.0025830441222473902,-0.033767384211865384 -3.8341710835204985 0.035893531731702212 -1.5626152370689097 0.021979033481124257 0.021862720079197744,0.017954615332180547 -1.5383945146675833 0.049211529062105179 -1.5189132810210457 0.047557332331055774 0.042244320778326599,0.10539152670780065 0.14323740593999723 0.19340488322147506 0.18817071069657904 0.16036144364966479 0.13428855972849821,0.0010813893298220487 -1.5669757106331719 0.0067581684615594844 -1.5630514895385568 0.0075763695951617709 0.0070921599603143721,0.029955098312447012 0.085549023230564403 0.14605212112688945 0.1644517434028174 0.15880633049405876 0.14701556243707861,0 0 0 0 0 0,33.74085684899962 -330 -110.67274497921848 2.5622465898986775 1.3623045672187004 -0.066126916682648584
ur,tetrapga,0.345778372,0.840769784,4.857655664,1,40.616873,0.06886,1.951735,0.017658,6.728734,0.038257,49.826242,0.040694,18.933877,21.215932,15.980176,16.929875,2.92572,4.13679,6.970161,0.016102,0.01179,0.015981,6.926288,6.868318,40.149809,0.467064,123,41,6.716069,1.030336,6.716069,49.954925,5.077109125,1,0,0,114.570089069,18.932321038,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.005367204808353618 -0.69500075352597668 0.033740844034741917 -1.4688760442419915 0.0030546359021778723 0.003470714998860357,-0.040181421528507885 -4.559093661384745 0.027408706746853861 -0.9508995289720692 0.025571270450387283 0.02472750112966645,0.023533235256796629 -1.5310440625293038 0.058976926886706492 -1.5095297455537076 0.055456044974229117 0.048799398443016118,0.11987331208246965 0.15355519613933949 0.20087990932928168 0.19068187720841318 0.15853143900361405 0.13038263756141411,0.0013309410621564913 -1.5662833476669109 0.0079336469184169232 -1.5617316896622899 0.0088481500737794504 0.0082673872663110732,0.032432587582494801 0.087540477409268791 0.14781507178815409 0.16549524674746266 0.15913570831420373 0.14678918091476528,0 0 0 0 0 0,45.671572812812663 -330 -107.7017540315847 -1.1454980748385424 1.4656943182654008 0.021127899048513754
ur,tetrapga,0.39581295,0.597930376,5.540535518,1,40.443194,0.069492,1.821087,0.018126,6.334277,0.038355,49.057107,0.039491,18.883063,21.093139,15.944156,16.84064,2.911054,4.108696,6.936025,0.015147,0.012166,0.014521,6.894191,6.837225,39.976202,0.466992,123,41,6.326377,0.979909,6.326377,49.182419,5.05539925,1,0,0,115.049978241,7.453585382,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0073121533420670787 -0.93248056467206075 0.034743248009776496 -1.5046245150268363 0.0040886370621497047 0.0044699870554412878,-0.039094433053010282 -5.3155623370977745 0.023250993925342793 -0.57368573260818223 0.02791176122035845 0.026540177791403496,0.02989139620356681 -1.5231099425521599 0.069201803826499292 -1.4999417041235339 0.063326961402578819 0.055215119689812832,0.13422782257706534 0.16350901662005904 0.20770960055839133 0.19244434325021484 0.15596869644163461 0.12599604677453774,-0.0029371519085874031 -1.2683034911856734 0.018755841063457592 -1.5319581610409168 0.0084154621411758491 0.0080318920854088403,0.0073006925143324491 -2.364696207863632 -0.32238932120999853 0.15274831246770265 0.24346052102673954 0.20784037801230776,2.4143151275920296 98.95031424997272 24.378465265013364 2.3110325202177471 -0.38828037823927575 0.013480101564975901,55.218507667343289 -330 -105.67959465080412 -3.5082935981445189 1.468108134570409 0.013789354402556242
ur,tetrapga,0.445066314,0.356081354,4.864797979,0.951416813,34.093901,0.068418,1.999253,0.017985,6.310089,0.036139,42.887462,0.043904,12.597214,21.049996,10.637194,16.785232,1.940516,4.120768,5.986335,0.01329,0.009621,0.013327,5.950097,5.900684,33.64721,0.446691,82,41,6.302327,0.966788,6.302327,43.019538,4.261737625,1,0,0,114.17612799,5.173783191,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0053816016685138005 -1.1790561057180193 0.020135695988650195 -1.5272947913415871 0.0056088644729369507 0.0055360495606102461,0.13475147022519793 -4.5987975574530155 -0.52551958946340727 -0.38162133039794172 0.043767365958858079 0.027575548448473104,0.036844298313326661 -1.5148252772393105 0.079582798113164349 -1.4904361986537176 0.0709325619629355 0.061305830466977601,0.14805048614140887 0.17281801945584796 0.21370249655995693 0.19341246448104216 0.15275332841392616 0.12125691130499465,-0.0025165019224345211 -1.2866760985201195 0.016697168600597414 -1.5322333848386247 0.012866446063380051 0.011019605378287702,0.053199725732540851 -2.2960821658616899 -0.25690126455696055 -0.034151826383676157 0.55644530965419925 0.37340080780474355,-3.8145772728974556 88.728721061231923 42.314810702623284 2.6678113405419488 -0.38940407111921471 0.0047054432600799594,-26.597949114622303 313.96754831902854 135.97701019445924 12.776047180233036 -2.1099766039194137 0.024260785149586184
ur,tetrapga,0.488225269,0.225030209,3.521272148,1,34.252821,0.069522,1.934312,0.017444,6.352545,0.040249,43.000033,0.031102,12.647289,21.149173,10.678855,16.87214,1.948607,4.131033,6.002067,0.013522,0.01016,0.014247,5.964138,5.913216,33.796462,0.456359,82,41,6.344829,0.976409,6.344829,43.117857,4.281602625,1,0,0,112.270591709,1.798895708,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00056147171321929723 -1.3403732629429739 -0.0061287119284819547 -1.5403192545742297 0.0071316175917175238 0.0064746334346121341,0.12036151318022424 -3.2036924809125242 -0.6315756594698636 -0.25153789913990376 0.029415509536902848 0.018140912197602117,0.043490361022044635 -1.5071982116183047 0.088908204130649551 -1.4820818628502628 0.077454270829650673 0.066443434771429596,0.15988489899198124 0.18055589483055659 0.21834382653353501 0.19363212968158391 0.14937873675991264 0.11677008509954193,0.0055617207083030838 -1.3615442292070317 -0.016463245629337007 -1.5383364764181968 0.0099960220459748925 0.0087612424631778978,0.62503112438547337 -2.6463707830072352 -1.2918167126068818 0.2478472695041064 0.35805055678217113 0.28582612857072059,7.940788043675564 326.94480770129019 110.34737398218491 7.8728083670957343 -1.2251684342608673 0.028264068697061231,-50.756092169529779 330 150 13.134215901473908 -2.4536848243065243 -0.043831803417379689
