robot,backend,t,tracking_error,velocity_error,torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,solver_dam_calc_ms,solver_dam_calcdiff_ms,solver_dynamics_calc_ms,solver_dynamics_calcdiff_ms,solver_cost_sum_calc_ms,solver_cost_sum_calcdiff_ms,solver_cost_item_total_ms,solver_state_cost_total_ms,solver_control_cost_total_ms,solver_velocity_cost_total_ms,solver_collision_cost_total_ms,solver_collision_residual_total_ms,solver_model_total_ms,solver_overhead_ms,solver_dam_calc_calls,solver_dam_calcdiff_calls,initial_dam_calc_ms,initial_cost_sum_calc_ms,initial_model_total_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,u_cmd,effort
ur,tetrapga,0.000063104,2.066926295,11.00647891,1,39.423742,0.092945,3.77862,0.014076,9.262952,0.174297,53.144617,0.074411,19.993138,18.904435,19.828347,18.66543,0.117389,0.083104,0.094017,0.029982,0.034717,0.029318,0,0,38.897573,0.526169,123,41,9.230103,0.064051,9.230103,53.330249,4.92796775,1,0,0,10.408621834,74.164170011,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00059581554373448601 -0.013529238860699719 0.010274928779747597 -0.21173813900976016 -0.00033647480077539789 1.5798106730032978e-05,0.023268735330326189 -0.60691682048554918 0.27335528016971089 -10.824526260189032 -0.0069842210725265304 0.00028565903227938404,9.5038416299306087e-07 -1.5707916920813367 8.5298399667718363e-06 -1.570786367941597 9.8721149582589e-06 9.3463873047101572e-06,0.015070397146738817 0.073453672051363383 0.13517846014170995 0.15782108098337208 0.15644375491998488 0.1481102827179048,0.00013144816762495427 -1.5701959237380763 0.0010973575926718536 -1.569519190783301 0.0012631936022046895 0.0011936327312568153,0.017553958509414994 0.075487310848685693 0.13702618901548572 0.15897031325112279 0.15688356240486848 0.1479592025235659,0 0 0 0 0 0,-13.029827916260945 -330 -131.40816033863783 -56 2.1056579549935588 -0.091686118843171391
ur,tetrapga,0.053448365,2.058042868,11.014515512,1,35.307066,0.068835,1.502479,0.01889,5.355205,0.052769,42.652443,0.031193,16.853792,17.944455,16.743306,17.73415,0.083043,0.070798,0.066831,0.019132,0.024344,0.023355,0,0,34.798247,0.508819,123,41,5.348676,0.019147,5.348676,42.770002,4.41338325,1,0,0,10.476499904,73.321504983,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00059581554373448601 -0.013529238860699719 0.010274928779747597 -0.21173813900976016 -0.00033647480077539789 1.5798106730032978e-05,0.023268735330326189 -0.60691682048554918 0.27335528016971089 -10.824526260189032 -0.0069842210725265304 0.00028565903227938404,0.0012476283834772677 -1.5665102073805595 0.0075499098240308614 -1.5621617192397022 0.0084343601506464382 0.0078854777467015011,0.031627230041157958 0.086893801450502753 0.14724346753351672 0.16515792754928216 0.15903064385009399 0.14686415686866874,0.00028181206749071461 -1.5695839129399494 0.0022009120601700501 -1.568242889370967 0.0025199602014510567 0.0023766600366599273,0.020036900064034673 0.077514262587454849 0.1388601164028252 0.16010213003964566 0.15730502794192869 0.1477955257197045,0 0 0 0 0 0,-13.029827916260945 -330 -131.40816033863783 -56 2.1056579549935588 -0.091686118843171391
ur,tetrapga,0.096354089,1.683780835,8.377696338,1,35.587967,0.068425,1.466115,0.019157,5.709299,0.040273,43.263858,0.039897,17.081859,18.007071,16.984937,17.800565,0.069578,0.070086,0.059632,0.017762,0.021061,0.020809,0,0,35.08893,0.499037,123,41,5.701458,0.020211,5.701458,43.389886,4.448495875,1,0,0,5.297196928,50.154564553,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00049525716533819597 -0.067892649334808416 0.020759100455805205 -0.77996937302154079 -0.00030312653874127959 6.079555374382866e-06,-0.018191054995926902 -1.3607251946090586 0.14516620690425008 -8.0761323363011428 -0.0059120670666673227 0.0001716580375892583,0.002889285071962888 -1.5625545598745596 0.01406701584733777 -1.5549594973492766 0.015291401592913584 0.014157928060157379,0.044887414028168593 0.097456510777101463 0.15647238783863204 0.17047844852918045 0.1605134114561661 0.14545912387517163,0.00045203649691292921 -1.5689557137392209 0.0033190822932911744 -1.5669576033736545 0.0037800250595061238 0.0035583275949213132,0.022519064718248522 0.079534388385812171 0.14068010813598003 0.16121644524916173 0.15770812236210674 0.14761926849543791,0 0 0 0 0 0,6.4587904695138985 -330 -111.49284623126701 -56 -1.2221816949499682 0.13830465674305217
ur,tetrapga,0.139886798,1.503649255,5.837563847,1,35.242511,0.069153,1.51261,0.020656,5.722278,0.039893,42.939698,0.032882,17.05083,17.7239,16.96673,17.542104,0.056813,0.052824,0.047121,0.014203,0.016439,0.016479,0,0,34.77473,0.467781,123,41,5.714437,0.019187,5.714437,43.059357,4.405313875,1,0,0,2.187959387,38.176367787,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.00040636010328337912 -0.13939595500852331 0.025515733569288598 -1.0500944237870133 8.7054731412181048e-05 0.00042698230609392317,-0.022737456854630272 -2.0140284675662872 0.094886422743631738 -5.2584379165889485 0.016571583469195378 0.017283269793756099,0.0051349908769644393 -1.5580830691015803 0.02107442398172716 -1.5474303284669619 0.022301840376869268 0.020452531405265588,0.058272148873535191 0.10793256196639242 0.16538841345923447 0.17533889446713247 0.16147154624868443 0.14366971634659229,0.00064211461239737993 -1.5683113812975875 0.0044517562731801498 -1.565663473144252 0.0050432410954231802 0.0047385348297980375,0.025000295404056044 0.081547549768845456 0.14248603096283388 0.16231317402339587 0.1580928178959039 0.14743044774893796,0 0 0 0 0 0,13.116850304526157 -330 -112.84598481090137 31.406071792695911 3.5945208189517115 2.354785608850388
ur,tetrapga,0.183017943,1.35189635,4.570283327,1,35.333337,0.068574,1.615271,0.018368,5.717931,0.032925,43.095357,0.03409,17.045597,17.815387,16.962719,17.622914,0.055477,0.052489,0.045585,0.014525,0.014724,0.016336,0,0,34.860984,0.472353,123,41,5.709447,0.018263,5.709447,43.217,4.416667125,1,0,0,1.563183253,28.400900882,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0013767142028942015 -0.23828896940876684 0.028798563870934202 -1.2282347622562302 0.00071084396576873241 0.0010960176708768215,-0.024034006204875273 -2.6602970643185708 0.061074500503030774 -3.440801337998376 0.011704842139884236 0.012969393125486227,0.0079326868262491988 -1.5532086221466144 0.028390009643969625 -1.5397736977152665 0.029276975462952753 0.026604500230415142,0.071440049696228011 0.11805162526484708 0.17375827761257312 0.17960934837620798 0.1618765171470202 0.14153940860339273,0.00085203831403060952 -1.5676509718828915 0.0055988209186545786 -1.5643606397095053 0.006309461011703865 0.0059171813030655133,0.027480435086016358 0.083553608676430788 0.14427775255502231 0.16339223275508355 0.15845908817520105 0.14722908108645436,0 0 0 0 0 0,17.99321485223604 -330 -114.57119049975591 14.703860513257496 1.2703490491582037 -0.033151533030633118
ur,tetrapga,0.226363351,1.199508534,4.204460122,1,35.396343,0.069012,1.547213,0.018504,5.735227,0.039355,43.11242,0.034261,17.101782,17.826536,17.013131,17.64048,0.061303,0.05238,0.0497,0.015333,0.016954,0.017413,0,0,34.928318,0.468025,123,41,5.726524,0.021801,5.726524,43.232565,4.424542875,1,0,0,1.937518961,20.130952589,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.002455177817129344 -0.36411008052280452 0.031132301289444129 -1.3444217582691762 0.0015285454299777 0.0019392071192121285,-0.028020021897235212 -3.2948970433837261 0.042935001370902011 -2.244289440242484 0.01575858741121557 0.016426385306664938,0.011313996180010824 -1.5478762778481223 0.036095234546094646 -1.5319054748628544 0.036292537437069151 0.032686789602495235,0.084555107153419573 0.12793925650162072 0.18168614390095228 0.18334449424029467 0.16173720368430655 0.13904474876141557,0.0010817982457732372 -1.5669745428657706 0.0067601620936270689 -1.5630492447600037 0.007578537305516159 0.0070941667201781019,0.0299593267694576 0.085552427471051642 0.14605514151599969 0.16445353909139948 0.15880690823498386 0.14701518682130277,0 0 0 0 0 0,25.304292348222475 -330 -112.47446606380589 6.9142479446754805 1.3475296050126806 -0.047887863262543462
ur,tetrapga,0.269667421,1.032635852,4.39047971,1,35.397843,0.069154,1.593597,0.019563,5.799575,0.039512,43.254408,0.036086,17.155037,17.768579,17.062013,17.578379,0.064471,0.059691,0.05349,0.015462,0.018956,0.019072,0,0,34.923616,0.474227,123,41,5.787435,0.026915,5.787435,43.376786,4.424730375,1,0,0,2.661507878,13.510775236,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0037509053010193957 -0.51639674610915121 0.032857478001899136 -1.4200548933689148 0.0024899089061904277 0.0028990142025305957,-0.034015813380815448 -3.9227470162310563 0.031250841616638034 -1.4609926233036807 0.018625594470797924 0.018677750885649422,0.015256739968373633 -1.5421275200888342 0.04412545537271198 -1.5238953109670414 0.043283545923062348 0.038647723793771585,0.097514831749129491 0.13751534308367469 0.18910493852570018 0.18651029212456205 0.16105192513150848 0.13620354721976968,0.0013313837958189439 -1.5662821527162472 0.0079356646145918586 -1.5617294306401244 0.0088503222799258228 0.0082693909359214755,0.032436813508684749 0.087543868945596029 0.14781806738905109 0.16549701193930763 0.15913625451497407 0.14678878397281739,0 0 0 0 0 0,34.611183558029708 -330 -110.45383277539668 1.902510085895301 1.3791594341900684 -0.057548991782581993
ur,tetrapga,0.313117061,0.844926089,4.848562501,1,35.248408,0.068499,1.637823,0.017461,5.693709,0.03872,43.052657,0.048397,17.036151,17.74604,16.95908,17.56474,0.050351,0.050312,0.04196,0.01361,0.013645,0.014705,0,0,34.782191,0.466217,123,41,5.68541,0.018603,5.68541,43.189886,4.406051,1,0,0,3.634367634,9.150169607,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0052897099101783824 -0.69515288111754836 0.034196092423671269 -1.4691354756792154 0.0035518094875819392 0.0039345667156224949,-0.039175023210876944 -4.5575861968827738 0.023915494820310058 -0.94808168128897907 0.020610411226113505 0.020140134911551654,0.019773223998597652 -1.5359496045627219 0.052494321522711496 -1.5157329092668315 0.050256359212375749 0.044497537568632235,0.11035023407313554 0.14680038596382033 0.19602827721531862 0.18911079423471538 0.15981774726655473 0.13300811484707858,0.0016007830970191097 -1.5655738610002516 0.0091252122581753307 -1.5604013403379315 0.010124668055140482 0.0094427539600564474,0.034912738415185267 0.089527796331129991 0.14956640066525048 0.1665225714708323 0.15944710486116564 0.14654989226526818,0 0 0 0 0 0,44.805468013942395 -330 -108.55081189906539 -1.3406746620412378 1.391421491074869 -0.063957235045368321
ur,tetrapga,0.35638898,0.633525661,5.440148022,1,35.347501,0.074246,1.633236,0.019392,5.738559,0.040345,43.175319,0.03303,17.110051,17.766188,17.026842,17.581584,0.055624,0.055296,0.045931,0.014438,0.014917,0.016576,0,0,34.876239,0.471262,123,41,5.7295,0.024092,5.7295,43.299253,4.418437625,1,0,0,4.840797987,8.019671865,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0069439248611989236 -0.9010372896961869 0.035296318262366386 -1.5008271911584787 0.0046831132361055336 0.0050191051368457954,-0.039091118644049676 -5.2164386030793297 0.019440000689010896 -0.61216851857280563 0.021973247293059158 0.021085956213256127,0.024821455305608888 -1.5294033158913098 0.06111642374633465 -1.5075041344988178 0.057135621840450491 0.050178113946853037,0.1229419529672435 0.15570657030187665 0.20238969896858011 0.19112094678634137 0.1580476602577138 0.12948898430101877,0.0018899830273730915 -1.564849728376088 0.010328687768749983 -1.5590651174750354 0.011401426579765648 0.010614155962954036,0.037386944665832332 0.091504073304648201 0.15130001279136299 0.16753013912824979 0.15973943852726682 0.14629853212674318,0 0 0 0 0 0,53.406761261681993 -330 -106.76568508991724 -3.4424591959768804 1.3946904596383014 -0.068301789406573832
ur,tetrapga,0.399816519,0.411984259,5.197978982,0.630740513,35.463319,0.069534,1.543975,0.018479,5.691071,0.037815,43.181415,0.045146,17.15778,17.83122,17.063024,17.645195,0.065478,0.053891,0.05073,0.015935,0.016189,0.018606,0,0,34.989,0.474319,123,41,5.684037,0.019612,5.684037,43.313549,4.432914875,1,0,0,5.286109156,7.62601419,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0066023930134313123 -1.1222123725274087 0.027040399653448757 -1.5217992000408276 0.0060955458303048491 0.0061344153123226502,0.092886238786616407 -4.9486395050134311 -0.4732559875567206 -0.42837586537858574 0.035676910803049869 0.021639370072584863,0.03043106014579515 -1.522453770130527 0.070034414949101634 -1.4991710237081053 0.063950922282874745 0.055718814258822975,0.13536326759665104 0.16428418412801249 0.20822404436706263 0.19255151292504244 0.15573287083614867 0.12562626779909686,0.002198969210584106 -1.5641098165908351 0.011545972866111375 -1.5577209062964106 0.012680449642071868 0.011783497281221387,0.039859275511085132 0.09347256399680047 0.15301877617769249 0.168519637629201 0.16001323617604726 0.14603472468799517,0 0 0 0 0 0,-1.2791418000544779 208.14436913173813 89.940690661757941 9.5644414578109718 -1.4916793531938772 -0.060003622365268683
