robot,backend,sample_id,callback_index,solver_iter,elapsed_ms,iter_interval_ms,cost,stop,dam_calc_interval_ms,dam_calcdiff_interval_ms,dam_total_interval_ms,cost_state_calc_interval_ms,cost_state_calcdiff_interval_ms,cost_state_total_interval_ms,cost_control_calc_interval_ms,cost_control_calcdiff_interval_ms,cost_control_total_interval_ms,cost_acc_calc_interval_ms,cost_acc_calcdiff_interval_ms,cost_acc_total_interval_ms,cost_collision_calc_interval_ms,cost_collision_calcdiff_interval_ms,cost_collision_total_interval_ms,cost_other_calc_interval_ms,cost_other_calcdiff_interval_ms,cost_other_total_interval_ms,cost_total_interval_ms,non_cost_model_interval_ms,solver_overhead_interval_ms,stack_total_interval_ms,dam_calc_calls,dam_calcdiff_calls
"ur10","TetraPGA",0,1,0,0.523591,0.523591,618.084218156,746.428769499,0.194746,0.203232,0.397978,0.00491,0.003961,0.008871,0.004105,0.001674,0.005779,0.005967,0.028496,0.034463,0,0,0,0,0,0,0.049113,0.348865,0.125613,0.523591,153,51
"ur10","TetraPGA",0,2,1,0.897115,0.373524,35.538266359,616.088269912,0.065037,0.195649,0.260686,0.001659,0.003868,0.005527,0.001409,0.001621,0.00303,0.001888,0.027767,0.029655,0,0,0,0,0,0,0.038212,0.222474,0.112838,0.373524,51,51
"ur10","TetraPGA",0,3,2,1.270737,0.373622,2.022797073,33.629036586,0.070024,0.195473,0.265497,0.001762,0.003853,0.005615,0.001446,0.001643,0.003089,0.002051,0.027539,0.02959,0,0,0,0,0,0,0.038294,0.227203,0.108125,0.373622,51,51
"ur10","TetraPGA",0,4,3,1.639939,0.369202,1.909058534,0.113741183,0.064648,0.196817,0.261465,0.001599,0.003851,0.00545,0.001342,0.001668,0.00301,0.001826,0.028038,0.029864,0,0,0,0,0,0,0.038324,0.223141,0.107737,0.369202,51,51
"ur10","TetraPGA",0,5,4,2.008812,0.368873,1.909056717,0.000001817,0.064743,0.196569,0.261312,0.001625,0.003809,0.005434,0.001402,0.001791,0.003193,0.001796,0.027754,0.02955,0,0,0,0,0,0,0.038177,0.223135,0.107561,0.368873,51,51
"ur10","TetraPGA",1,1,0,0.519489,0.519489,141.081488519,429.741086048,0.194776,0.199525,0.394301,0.005438,0.003819,0.009257,0.00427,0.001627,0.005897,0.006132,0.028075,0.034207,0,0,0,0,0,0,0.049361,0.34494,0.125188,0.519489,153,51
"ur10","TetraPGA",1,2,1,0.897985,0.378496,6.72202591,140.016705397,0.064898,0.197459,0.262357,0.001866,0.003752,0.005618,0.001433,0.001659,0.003092,0.002063,0.028264,0.030327,0,0,0,0,0,0,0.039037,0.22332,0.116139,0.378496,51,51
"ur10","TetraPGA",1,3,2,1.268139,0.370154,1.059207295,5.668109909,0.0645,0.195772,0.260272,0.0017,0.003818,0.005518,0.001409,0.001697,0.003106,0.001969,0.028113,0.030082,0,0,0,0,0,0,0.038706,0.221566,0.109882,0.370154,51,51
"ur10","TetraPGA",1,4,3,1.635849,0.36771,1.053897007,0.00531028,0.064303,0.194895,0.259198,0.001731,0.003682,0.005413,0.001386,0.001639,0.003025,0.001906,0.027432,0.029338,0,0,0,0,0,0,0.037776,0.221422,0.108512,0.36771,51,51
"ur10","TetraPGA",1,5,4,2.006691,0.370842,1.053897007,0,0.06458,0.196398,0.260978,0.001872,0.00381,0.005682,0.001428,0.001692,0.00312,0.00195,0.027338,0.029288,0,0,0,0,0,0,0.03809,0.222888,0.109864,0.370842,51,51
"ur10","TetraPGA",2,1,0,0.525612,0.525612,252.708380857,460.952259746,0.198059,0.201925,0.399984,0.005413,0.003921,0.009334,0.004199,0.00186,0.006059,0.005957,0.029444,0.035401,0,0,0,0,0,0,0.050794,0.34919,0.125628,0.525612,153,51
"ur10","TetraPGA",2,2,1,0.896672,0.37106,8.178508338,251.410853461,0.064517,0.194732,0.259249,0.001762,0.003665,0.005427,0.001393,0.001626,0.003019,0.001825,0.027253,0.029078,0,0,0,0,0,0,0.037524,0.221725,0.111811,0.37106,51,51
"ur10","TetraPGA",2,3,2,1.265084,0.368412,1.291501409,6.887300724,0.064457,0.195116,0.259573,0.001712,0.003703,0.005415,0.001385,0.001679,0.003064,0.001953,0.027117,0.02907,0,0,0,0,0,0,0.037549,0.222024,0.108839,0.368412,51,51
"ur10","TetraPGA",2,4,3,1.633563,0.368479,1.291195027,0.00030636,0.064614,0.196501,0.261115,0.001721,0.003711,0.005432,0.001383,0.001728,0.003111,0.001901,0.02695,0.028851,0,0,0,0,0,0,0.037394,0.223721,0.107364,0.368479,51,51
"ur10","TetraPGA",2,5,4,2.000555,0.366992,1.291195025,0.000000002,0.064421,0.194348,0.258769,0.001711,0.003629,0.00534,0.001381,0.001542,0.002923,0.001867,0.027044,0.028911,0,0,0,0,0,0,0.037174,0.221595,0.108223,0.366992,51,51
"ur10","TetraPGA",3,1,0,0.451973,0.451973,354.603472903,1321.393931493,0.13419,0.198582,0.332772,0.003649,0.003741,0.00739,0.002966,0.001648,0.004614,0.004457,0.028519,0.032976,0,0,0,0,0,0,0.04498,0.287792,0.119201,0.451973,102,51
"ur10","TetraPGA",3,2,1,0.821089,0.369116,29.984062473,351.715140532,0.064795,0.195237,0.260032,0.001663,0.003617,0.00528,0.00139,0.001702,0.003092,0.001921,0.02708,0.029001,0,0,0,0,0,0,0.037373,0.222659,0.109084,0.369116,51,51
"ur10","TetraPGA",3,3,2,1.194676,0.373587,2.887427214,27.099165294,0.065065,0.197085,0.26215,0.001743,0.003814,0.005557,0.001361,0.001699,0.00306,0.001918,0.027144,0.029062,0,0,0,0,0,0,0.037679,0.224471,0.111437,0.373587,51,51
"ur10","TetraPGA",3,4,3,1.56231,0.367634,2.884888167,0.002539042,0.06465,0.195053,0.259703,0.001642,0.003802,0.005444,0.001354,0.001634,0.002988,0.001912,0.02699,0.028902,0,0,0,0,0,0,0.037334,0.222369,0.107931,0.367634,51,51
"ur10","TetraPGA",3,5,4,1.930454,0.368144,2.884888165,0.000000002,0.064493,0.194578,0.259071,0.001686,0.003693,0.005379,0.001345,0.001724,0.003069,0.001923,0.027062,0.028985,0,0,0,0,0,0,0.037433,0.221638,0.109073,0.368144,51,51
"ur10","TetraPGA",4,1,0,0.448083,0.448083,411.033029819,1016.476204229,0.131545,0.198079,0.329624,0.003577,0.00396,0.007537,0.002918,0.001764,0.004682,0.00449,0.027739,0.032229,0,0,0,0,0,0,0.044448,0.285176,0.118459,0.448083,102,51
"ur10","TetraPGA",4,2,1,0.819988,0.371905,15.028542578,408.466040637,0.064996,0.195856,0.260852,0.001677,0.003805,0.005482,0.001397,0.001723,0.00312,0.002024,0.027115,0.029139,0,0,0,0,0,0,0.037741,0.223111,0.111053,0.371905,51,51
"ur10","TetraPGA",4,3,2,1.187944,0.367956,2.565952539,12.46258632,0.064903,0.195126,0.260029,0.001838,0.003847,0.005685,0.001383,0.001657,0.00304,0.001979,0.027404,0.029383,0,0,0,0,0,0,0.038108,0.221921,0.107927,0.367956,51,51
"ur10","TetraPGA",4,4,3,1.556144,0.3682,2.565951521,0.000000991,0.064678,0.195231,0.259909,0.001678,0.003773,0.005451,0.001347,0.001765,0.003112,0.001931,0.027278,0.029209,0,0,0,0,0,0,0.037772,0.222137,0.108291,0.3682,51,51
"ur10","TetraPGA",5,1,0,0.516678,0.516678,119.381994325,393.320407646,0.194434,0.197432,0.391866,0.005218,0.003817,0.009035,0.004203,0.001737,0.00594,0.005863,0.027756,0.033619,0,0,0,0,0,0,0.048594,0.343272,0.124812,0.516678,153,51
"ur10","TetraPGA",5,2,1,0.898191,0.381513,3.045509143,118.068785431,0.065035,0.196993,0.262028,0.00176,0.003749,0.005509,0.001471,0.00159,0.003061,0.002002,0.027149,0.029151,0,0,0,0,0,0,0.037721,0.224307,0.119485,0.381513,51,51
"ur10","TetraPGA",5,3,2,1.267756,0.369565,1.307402119,1.738962546,0.064627,0.196527,0.261154,0.001713,0.003733,0.005446,0.001389,0.001575,0.002964,0.001881,0.027154,0.029035,0,0,0,0,0,0,0.037445,0.223709,0.108411,0.369565,51,51
"ur10","TetraPGA",5,4,3,1.635532,0.367776,1.306516045,0.000885981,0.064852,0.19486,0.259712,0.001847,0.003715,0.005562,0.001406,0.001626,0.003032,0.001882,0.027105,0.028987,0,0,0,0,0,0,0.037581,0.222131,0.108064,0.367776,51,51
"ur10","TetraPGA",5,5,4,2.010752,0.37522,1.306516038,0.000000007,0.064627,0.198893,0.26352,0.00181,0.003804,0.005614,0.001402,0.001627,0.003029,0.001872,0.028952,0.030824,0,0,0,0,0,0,0.039467,0.224053,0.1117,0.37522,51,51
"ur10","TetraPGA",6,1,0,0.521871,0.521871,192.866734378,609.27579507,0.19452,0.197185,0.391705,0.005194,0.003778,0.008972,0.004113,0.001713,0.005826,0.005918,0.027988,0.033906,0,0,0,0,0,0,0.048704,0.343001,0.130166,0.521871,153,51
"ur10","TetraPGA",6,2,1,0.894385,0.372514,36.486282071,191.364405708,0.064439,0.195481,0.25992,0.001641,0.003796,0.005437,0.00132,0.001644,0.002964,0.00193,0.027978,0.029908,0,0,0,0,0,0,0.038309,0.221611,0.112594,0.372514,51,51
"ur10","TetraPGA",6,3,2,1.267594,0.373209,1.502783357,34.985754958,0.064645,0.197753,0.262398,0.001609,0.003695,0.005304,0.00132,0.001712,0.003032,0.001946,0.027731,0.029677,0,0,0,0,0,0,0.038013,0.224385,0.110811,0.373209,51,51
"ur10","TetraPGA",6,4,3,1.649493,0.381899,1.500469909,0.002313314,0.06437,0.2021,0.26647,0.00164,0.00378,0.00542,0.001322,0.001739,0.003061,0.001938,0.027707,0.029645,0,0,0,0,0,0,0.038126,0.228344,0.115429,0.381899,51,51
"ur10","TetraPGA",6,5,4,2.022698,0.373205,1.500469899,0.000000009,0.064471,0.194722,0.259193,0.001617,0.003758,0.005375,0.001341,0.001662,0.003003,0.00194,0.027426,0.029366,0,0,0,0,0,0,0.037744,0.221449,0.114012,0.373205,51,51
"ur10","TetraPGA",7,1,0,0.448677,0.448677,238.248768577,1476.587253874,0.133353,0.197384,0.330737,0.003497,0.003869,0.007366,0.002969,0.001761,0.00473,0.004447,0.027991,0.032438,0,0,0,0,0,0,0.044534,0.286203,0.11794,0.448677,102,51
"ur10","TetraPGA",7,2,1,0.822192,0.373515,4.925505971,235.338068253,0.067053,0.194677,0.26173,0.00181,0.003677,0.005487,0.001342,0.001632,0.002974,0.001963,0.027041,0.029004,0,0,0,0,0,0,0.037465,0.224265,0.111785,0.373515,51,51
"ur10","TetraPGA",7,3,2,1.195037,0.372845,2.961347179,2.016205621,0.064727,0.200203,0.26493,0.001713,0.00369,0.005403,0.001367,0.001759,0.003126,0.001942,0.029333,0.031275,0,0,0,0,0,0,0.039804,0.225126,0.107915,0.372845,51,51
"ur10","TetraPGA",7,4,3,1.567223,0.372186,2.909422927,0.052055556,0.064668,0.199373,0.264041,0.001711,0.003625,0.005336,0.001341,0.001668,0.003009,0.001898,0.029944,0.031842,0,0,0,0,0,0,0.040187,0.223854,0.108145,0.372186,51,51
