robot,backend,dof,sample_id,converged,failed,solver_iterations,solve_total_ms,final_cost,final_stop,failure_message,dam_calc_ms,dam_calcdiff_ms,dam_total_ms,cost_state_calc_ms,cost_state_calcdiff_ms,cost_state_total_ms,cost_control_calc_ms,cost_control_calcdiff_ms,cost_control_total_ms,cost_acc_calc_ms,cost_acc_calcdiff_ms,cost_acc_total_ms,cost_collision_calc_ms,cost_collision_calcdiff_ms,cost_collision_total_ms,cost_other_calc_ms,cost_other_calcdiff_ms,cost_other_total_ms,cost_total_ms,non_cost_model_ms,solver_overhead_ms,stack_total_ms,dam_calc_calls,dam_calcdiff_calls,dam_calc_per_iter_ms,dam_calcdiff_per_iter_ms,dam_total_per_iter_ms,cost_state_calc_per_iter_ms,cost_state_calcdiff_per_iter_ms,cost_state_total_per_iter_ms,cost_control_calc_per_iter_ms,cost_control_calcdiff_per_iter_ms,cost_control_total_per_iter_ms,cost_acc_calc_per_iter_ms,cost_acc_calcdiff_per_iter_ms,cost_acc_total_per_iter_ms,cost_collision_calc_per_iter_ms,cost_collision_calcdiff_per_iter_ms,cost_collision_total_per_iter_ms,cost_other_calc_per_iter_ms,cost_other_calcdiff_per_iter_ms,cost_other_total_per_iter_ms,cost_total_per_iter_ms,non_cost_model_per_iter_ms,solver_overhead_per_iter_ms,stack_total_per_iter_ms
"ur10","TetraPGA",6,0,1,0,4,2.009057,1.909056717,0.000001817,"",0.459198,0.98774,1.446938,0.011555,0.019342,0.030897,0.009704,0.008397,0.018101,0.013528,0.139594,0.153122,0,0,0,0,0,0,0.20212,1.244818,0.562119,2.009057,357,255,0.1147995,0.246935,0.3617345,0.00288875,0.0048355,0.00772425,0.002426,0.00209925,0.00452525,0.003382,0.0348985,0.0382805,0,0,0,0,0,0,0.05053,0.3112045,0.14052975,0.50226425
"ur10","TetraPGA",6,1,1,0,4,2.006794,1.053897007,0,"",0.453057,0.984049,1.437106,0.012607,0.018881,0.031488,0.009926,0.008314,0.01824,0.01402,0.139222,0.153242,0,0,0,0,0,0,0.20297,1.234136,0.569688,2.006794,357,255,0.11326425,0.24601225,0.3592765,0.00315175,0.00472025,0.007872,0.0024815,0.0020785,0.00456,0.003505,0.0348055,0.0383105,0,0,0,0,0,0,0.0507425,0.308534,0.142422,0.5016985
"ur10","TetraPGA",6,2,1,0,4,2.000712,1.291195025,0.000000002,"",0.456068,0.982622,1.43869,0.012319,0.018629,0.030948,0.009741,0.008435,0.018176,0.013503,0.137808,0.151311,0,0,0,0,0,0,0.200435,1.238255,0.562022,2.000712,357,255,0.114017,0.2456555,0.3596725,0.00307975,0.00465725,0.007737,0.00243525,0.00210875,0.004544,0.00337575,0.034452,0.03782775,0,0,0,0,0,0,0.05010875,0.30956375,0.1405055,0.500178
"ur10","TetraPGA",6,3,1,0,4,1.930614,2.884888165,0.000000002,"",0.393193,0.980535,1.373728,0.010383,0.018667,0.02905,0.008416,0.008407,0.016823,0.012131,0.136795,0.148926,0,0,0,0,0,0,0.194799,1.178929,0.556886,1.930614,306,255,0.09829825,0.24513375,0.343432,0.00259575,0.00466675,0.0072625,0.002104,0.00210175,0.00420575,0.00303275,0.03419875,0.0372315,0,0,0,0,0,0,0.04869975,0.29473225,0.1392215,0.4826535
"ur10","TetraPGA",6,4,1,0,3,1.556281,2.565951521,0.000000991,"",0.326122,0.784292,1.110414,0.00877,0.015385,0.024155,0.007045,0.006909,0.013954,0.010424,0.109536,0.11996,0,0,0,0,0,0,0.158069,0.952345,0.445867,1.556281,255,204,0.108707333,0.261430667,0.370138,0.002923333,0.005128333,0.008051667,0.002348333,0.002303,0.004651333,0.003474667,0.036512,0.039986667,0,0,0,0,0,0,0.052689667,0.317448333,0.148622333,0.518760333
"ur10","TetraPGA",6,5,1,0,4,2.010886,1.306516038,0.000000007,"",0.453575,0.984705,1.43828,0.012348,0.018818,0.031166,0.009871,0.008155,0.018026,0.0135,0.138116,0.151616,0,0,0,0,0,0,0.200808,1.237472,0.572606,2.010886,357,255,0.11339375,0.24617625,0.35957,0.003087,0.0047045,0.0077915,0.00246775,0.00203875,0.0045065,0.003375,0.034529,0.037904,0,0,0,0,0,0,0.050202,0.309368,0.1431515,0.5027215
"ur10","TetraPGA",6,6,1,0,4,2.022806,1.500469899,0.000000009,"",0.452445,0.987241,1.439686,0.011701,0.018807,0.030508,0.009416,0.00847,0.017886,0.013672,0.13883,0.152502,0,0,0,0,0,0,0.200896,1.23879,0.58312,2.022806,357,255,0.11311125,0.24681025,0.3599215,0.00292525,0.00470175,0.007627,0.002354,0.0021175,0.0044715,0.003418,0.0347075,0.0381255,0,0,0,0,0,0,0.050224,0.3096975,0.14578,0.5057015
"ur10","TetraPGA",6,7,1,0,5,2.307821,2.909291954,0,"",0.461367,1.184299,1.645666,0.012132,0.022447,0.034579,0.009723,0.010192,0.019915,0.013973,0.16942,0.183393,0,0,0,0,0,0,0.237887,1.407779,0.662155,2.307821,357,306,0.0922734,0.2368598,0.3291332,0.0024264,0.0044894,0.0069158,0.0019446,0.0020384,0.003983,0.0027946,0.033884,0.0366786,0,0,0,0,0,0,0.0475774,0.2815558,0.132431,0.4615642
"ur10","TetraPGA",6,8,1,0,4,2.021734,2.654816083,0.00000002,"",0.457482,0.987941,1.445423,0.01204,0.018653,0.030693,0.009705,0.008221,0.017926,0.013722,0.139901,0.153623,0,0,0,0,0,0,0.202242,1.243181,0.576311,2.021734,357,255,0.1143705,0.24698525,0.36135575,0.00301,0.00466325,0.00767325,0.00242625,0.00205525,0.0044815,0.0034305,0.03497525,0.03840575,0,0,0,0,0,0,0.0505605,0.31079525,0.14407775,0.5054335
"ur10","TetraPGA",6,9,1,0,4,2.03857,4.143455842,0.000040292,"",0.458715,0.997156,1.455871,0.012267,0.021094,0.033361,0.010023,0.008496,0.018519,0.014056,0.138139,0.152195,0,0,0,0,0,0,0.204075,1.251796,0.582699,2.03857,357,255,0.11467875,0.249289,0.36396775,0.00306675,0.0052735,0.00834025,0.00250575,0.002124,0.00462975,0.003514,0.03453475,0.03804875,0,0,0,0,0,0,0.05101875,0.312949,0.14567475,0.5096425
