2026-06-29T21:58:34+08:00
Running /tmp/tetrapga_operator_bench_build/TetraPGA_operator_bench
Run on (24 X 5300 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x12)
  L1 Instruction 32 KiB (x12)
  L2 Unified 2048 KiB (x12)
  L3 Unified 30720 KiB (x1)
Load Average: 1.48, 1.08, 1.08
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"point_transform/TetraPGA/pga_rbm3/iterations:1000000",1000000,38.2938,38.2449,ns,,2.61473e+07,,,
"point_transform/TetraPGA/pga_rbm3/iterations:1000000",1000000,40.1691,40.0763,ns,,2.49524e+07,,,
"point_transform/TetraPGA/pga_rbm3/iterations:1000000",1000000,50.3661,50.3629,ns,,1.98559e+07,,,
"point_transform/TetraPGA/pga_rbm3/iterations:1000000",1000000,39.0269,38.9851,ns,,2.56508e+07,,,
"point_transform/TetraPGA/pga_rbm3/iterations:1000000",1000000,43.9942,43.9508,ns,,2.27527e+07,,,
"point_transform/TetraPGA/pga_rbm3/iterations:1000000",1000000,37.2184,37.2172,ns,,2.68693e+07,,,
"point_transform/TetraPGA/pga_rbm3/iterations:1000000",1000000,37.2377,37.237,ns,,2.6855e+07,,,
"point_transform/TetraPGA/pga_rbm3/iterations:1000000_mean",7,40.9009,40.8677,ns,,2.47262e+07,,,
"point_transform/TetraPGA/pga_rbm3/iterations:1000000_median",7,39.0269,38.9851,ns,,2.56508e+07,,,
"point_transform/TetraPGA/pga_rbm3/iterations:1000000_stddev",7,4.77814,4.78228,ns,,2.57114e+06,,,
"point_transform/TetraPGA/pga_rbm3/iterations:1000000_cv",7,1.66889e+07,1.67169e+07,ns,,0.103984,,,
"point_transform/Pinocchio/SE3_act_Vector3/iterations:1000000",1000000,17.1821,17.1818,ns,,5.82012e+07,,,
"point_transform/Pinocchio/SE3_act_Vector3/iterations:1000000",1000000,14.0644,14.064,ns,,7.11038e+07,,,
"point_transform/Pinocchio/SE3_act_Vector3/iterations:1000000",1000000,9.37093,9.37084,ns,,1.06714e+08,,,
"point_transform/Pinocchio/SE3_act_Vector3/iterations:1000000",1000000,6.32238,6.32224,ns,,1.58172e+08,,,
"point_transform/Pinocchio/SE3_act_Vector3/iterations:1000000",1000000,4.66629,4.66597,ns,,2.14318e+08,,,
