2026-06-29T22:00:39+08:00
Running /tmp/tetrapga_operator_bench_build/TetraPGA_operator_bench
Run on (24 X 5300 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x12)
  L1 Instruction 32 KiB (x12)
  L2 Unified 2048 KiB (x12)
  L3 Unified 30720 KiB (x1)
Load Average: 1.09, 1.06, 1.07
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"point_transform/Pinocchio/SE3_act_Vector3/iterations:1000000",1000000,3.53402,3.53387,ns,,2.82975e+08,,,
"point_transform/Pinocchio/SE3_act_Vector3/iterations:1000000",1000000,3.52756,3.52751,ns,,2.83486e+08,,,
"point_transform/Pinocchio/SE3_act_Vector3/iterations:1000000",1000000,3.54618,3.5461,ns,,2.82e+08,,,
"point_transform/Pinocchio/SE3_act_Vector3/iterations:1000000",1000000,3.52916,3.52908,ns,,2.8336e+08,,,
"point_transform/Pinocchio/SE3_act_Vector3/iterations:1000000",1000000,3.53588,3.53581,ns,,2.82821e+08,,,
"point_transform/Pinocchio/SE3_act_Vector3/iterations:1000000",1000000,3.54588,3.54581,ns,,2.82023e+08,,,
"point_transform/Pinocchio/SE3_act_Vector3/iterations:1000000",1000000,3.54259,3.54251,ns,,2.82285e+08,,,
"point_transform/Pinocchio/SE3_act_Vector3/iterations:1000000_mean",7,3.53732,3.53724,ns,,2.82707e+08,,,
"point_transform/Pinocchio/SE3_act_Vector3/iterations:1000000_median",7,3.53588,3.53581,ns,,2.82821e+08,,,
"point_transform/Pinocchio/SE3_act_Vector3/iterations:1000000_stddev",7,0.00768485,0.00768382,ns,,614134,,,
"point_transform/Pinocchio/SE3_act_Vector3/iterations:1000000_cv",7,310358,310323,ns,,0.00217233,,,
"exp_map/Pinocchio/exp6/iterations:1000000",1000000,26.5983,26.594,ns,,3.76024e+07,,,
"exp_map/Pinocchio/exp6/iterations:1000000",1000000,24.5907,24.5904,ns,,4.06663e+07,,,
"exp_map/Pinocchio/exp6/iterations:1000000",1000000,25.412,25.4117,ns,,3.93519e+07,,,
"exp_map/Pinocchio/exp6/iterations:1000000",1000000,24.7629,24.7626,ns,,4.03835e+07,,,
"exp_map/Pinocchio/exp6/iterations:1000000",1000000,24.8732,24.8727,ns,,4.02046e+07,,,
"exp_map/Pinocchio/exp6/iterations:1000000",1000000,24.5431,24.5426,ns,,4.07455e+07,,,
"exp_map/Pinocchio/exp6/iterations:1000000",1000000,24.6734,24.6729,ns,,4.05303e+07,,,
"exp_map/Pinocchio/exp6/iterations:1000000_mean",7,25.0648,25.0638,ns,,3.99264e+07,,,
"exp_map/Pinocchio/exp6/iterations:1000000_median",7,24.7629,24.7626,ns,,4.03835e+07,,,
"exp_map/Pinocchio/exp6/iterations:1000000_stddev",7,0.736012,0.734674,ns,,1.12549e+06,,,
"exp_map/Pinocchio/exp6/iterations:1000000_cv",7,4.19491e+06,4.18744e+06,ns,,0.0281891,,,
"motion_transform_direct/TetraPGA/ga_rbm/iterations:1000000",1000000,14.2195,14.2202,ns,,7.03226e+07,,,
"motion_transform_direct/TetraPGA/ga_rbm/iterations:1000000",1000000,14.0494,14.0491,ns,,7.1179e+07,,,
"motion_transform_direct/TetraPGA/ga_rbm/iterations:1000000",1000000,13.8705,13.8702,ns,,7.2097e+07,,,
"motion_transform_direct/TetraPGA/ga_rbm/iterations:1000000",1000000,13.9837,13.9834,ns,,7.15132e+07,,,
"motion_transform_direct/TetraPGA/ga_rbm/iterations:1000000",1000000,14.0206,14.0205,ns,,7.13242e+07,,,
"motion_transform_direct/TetraPGA/ga_rbm/iterations:1000000",1000000,13.9421,13.942,ns,,7.17256e+07,,,
"motion_transform_direct/TetraPGA/ga_rbm/iterations:1000000",1000000,13.8482,13.848,ns,,7.22128e+07,,,
"motion_transform_direct/TetraPGA/ga_rbm/iterations:1000000_mean",7,13.9906,13.9905,ns,,7.14821e+07,,,
"motion_transform_direct/TetraPGA/ga_rbm/iterations:1000000_median",7,13.9837,13.9834,ns,,7.15132e+07,,,
"motion_transform_direct/TetraPGA/ga_rbm/iterations:1000000_stddev",7,0.125086,0.125346,ns,,636849,,,
